project_id	n_barcodes	n_plates	n_centers	n_tss	plates	centers
TCGA-BRCA	200	37	1	28	['A00Z', 'A034', 'A056', 'A084', 'A089']	['07']
TCGA-KIRC	200	17	1	11	['0864', '1188', '1277', '1289', '1305']	['07']
TCGA-LUAD	200	25	1	27	['0946', '1107', '1206', '1628', '1755']	['07']
TCGA-THCA	200	18	1	19	['A10U', 'A13Y', 'A14Y', 'A16R', 'A180']	['07']
TCGA-PRAD	200	20	1	27	['1580', '1789', '1858', '1965', '2118']	['07']
TCGA-LUSC	200	24	2	30	['0692', '0851', '0980', '1100', '1201']	['07', '41']
TCGA-LIHC	200	19	1	31	['A131', 'A155', 'A16W', 'A180', 'A213']	['07']
TCGA-HNSC	200	19	1	21	['1436', '1514', '1686', '1873', '1915']	['07']
TCGA-COAD	200	27	1	19	['0821', '0826', '0905', '1022', '1113']	['07']
TCGA-STAD	200	18	2	20	['1131', '1157', '1602', '1802', '1884']	['13', '31']
TCGA-UCEC	200	28	1	23	['A00V', 'A040', 'A104', 'A109', 'A10J']	['07']
TCGA-KIRP	200	18	1	29	['1193', '1351', '1592', '1965', '2139']	['07']
TCGA-KICH	91	2	1	4	['2315', '2403']	['07']
TCGA-BLCA	200	26	1	29	['A10U', 'A13Y', 'A14Y', 'A16R', 'A180']	['07']
TCGA-ESCA	198	10	1	19	['A24K', 'A260', 'A28J', 'A31P', 'A336']	['31']
TCGA-READ	177	15	1	13	['0821', '0826', '0905', '1119', '1660']	['07']
