pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	BANF1	ENSG00000175334	8815
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	HMGA1	ENSG00000137309	3159
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	LIG4	ENSG00000174405	3981
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	PSIP1	ENSG00000164985	11168
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	XRCC4	ENSG00000152422	7518
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	XRCC5	ENSG00000079246	7520
M26996	REACTOME_2_LTR_CIRCLE_FORMATION	C2	CP:REACTOME	Homo sapiens	XRCC6	ENSG00000196419	2547
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	ABCB1	ENSG00000085563	5243
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	ABCG2	ENSG00000118777	9429
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	ADH1A	ENSG00000187758	124
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	MAPDA	ENSG00000168803	161823
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	NT5C2	ENSG00000076685	22978
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	PCK1	ENSG00000124253	5105
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	SLC22A1	ENSG00000175003	6580
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	SLC22A2	ENSG00000112499	6582
M677	REACTOME_ABACAVIR_ADME	C2	CP:REACTOME	Homo sapiens	SLC22A3	ENSG00000146477	6581
