pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ABCA1	ENSG00000165029	19
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ABCB8	ENSG00000197150	11194
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACAA2	ENSG00000167315	10449
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACADL	ENSG00000115361	33
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACADM	ENSG00000117054	34
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACADS	ENSG00000122971	35
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACLY	ENSG00000131473	47
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACO2	ENSG00000100412	50
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ACOX1	ENSG00000161533	51
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ADCY6	ENSG00000174233	112
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ADIG	ENSG00000182035	149685
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ADIPOQ	ENSG00000181092	9370
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ADIPOR2	ENSG00000006831	79602
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	AGPAT3	ENSG00000160216	56894
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	AIFM1	ENSG00000156709	9131
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	AK2	ENSG00000004455	204
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ALDH2	ENSG00000111275	217
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ALDOA	ENSG00000149925	226
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ANGPT1	ENSG00000154188	284
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ANGPTL4	ENSG00000167772	51129
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	APLP2	ENSG00000084234	334
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	APOE	ENSG00000130203	348
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ARAF	ENSG00000078061	369
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ARL4A	ENSG00000122644	10124
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ATL2	ENSG00000119787	64225
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ATP1B3	ENSG00000069849	483
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	ATP5PO	ENSG00000241837	539
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	BAZ2A	ENSG00000076108	11176
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	BCKDHA	ENSG00000248098	593
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	BCL2L13	ENSG00000099968	23786
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	BCL6	ENSG00000113916	604
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	C3	ENSG00000125730	718
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CAT	ENSG00000121691	847
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CAVIN1	ENSG00000177469	284119
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CAVIN2	ENSG00000168497	8436
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CCNG2	ENSG00000138764	901
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CD151	ENSG00000177697	977
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CD302	ENSG00000241399	9936
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CD36	ENSG00000135218	948
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CDKN2C	ENSG00000123080	1031
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CHCHD10	ENSG00000250479	400916
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CHUK	ENSG00000213341	1147
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CIDEA	ENSG00000176194	1149
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CMBL	ENSG00000164237	134147
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CMPK1	ENSG00000162368	51727
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COL15A1	ENSG00000204291	1306
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COL4A1	ENSG00000187498	1282
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COQ3	ENSG00000132423	51805
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COQ5	ENSG00000110871	84274
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COQ9	ENSG00000088682	57017
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COX6A1	ENSG00000111775	1337
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COX7B	ENSG00000131174	1349
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	COX8A	ENSG00000176340	1351
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CPT2	ENSG00000157184	1376
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CRAT	ENSG00000095321	1384
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CS	ENSG00000062485	1431
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CYC1	ENSG00000179091	1537
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	CYP4B1	ENSG00000142973	1580
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DBT	ENSG00000137992	1629
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DDT	ENSG00000099977	1652
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DECR1	ENSG00000104325	1666
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DGAT1	ENSG00000185000	8694
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DHCR7	ENSG00000172893	1717
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DHRS7	ENSG00000100612	51635
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DHRS7B	ENSG00000109016	25979
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DLAT	ENSG00000150768	1737
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DLD	ENSG00000091140	1738
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DNAJB9	ENSG00000128590	4189
M5905	HALLMARK_ADIPOGENESIS	H		Homo sapiens	DNAJC15	ENSG00000120675	29103
