pathway_id	pathway_name	gene_entrez
R-MMU-1266738	Mus musculus: Developmental Biology	100009614
R-MMU-1266738	Mus musculus: Developmental Biology	100040201
R-MMU-1266738	Mus musculus: Developmental Biology	100040214
R-MMU-1266738	Mus musculus: Developmental Biology	100040248
R-MMU-1266738	Mus musculus: Developmental Biology	100040249
R-MMU-1266738	Mus musculus: Developmental Biology	100040276
R-MMU-1266738	Mus musculus: Developmental Biology	100041250
R-MMU-1266738	Mus musculus: Developmental Biology	100041261
R-MMU-1266738	Mus musculus: Developmental Biology	100041281
R-MMU-1266738	Mus musculus: Developmental Biology	100041351
R-MMU-1266738	Mus musculus: Developmental Biology	100041412
R-MMU-1266738	Mus musculus: Developmental Biology	100041488
R-MMU-1266738	Mus musculus: Developmental Biology	100043617
R-MMU-1266738	Mus musculus: Developmental Biology	100043627
R-MMU-1266738	Mus musculus: Developmental Biology	100126226
R-MMU-1266738	Mus musculus: Developmental Biology	100191037
R-MMU-1266738	Mus musculus: Developmental Biology	100415785
R-MMU-1266738	Mus musculus: Developmental Biology	100462664
R-MMU-1266738	Mus musculus: Developmental Biology	100502803
R-MMU-1266738	Mus musculus: Developmental Biology	100502831
R-MMU-1266738	Mus musculus: Developmental Biology	100502865
R-MMU-1266738	Mus musculus: Developmental Biology	100502921
R-MMU-1266738	Mus musculus: Developmental Biology	100502953
R-MMU-1266738	Mus musculus: Developmental Biology	100503388
R-MMU-1266738	Mus musculus: Developmental Biology	100504183
R-MMU-1266738	Mus musculus: Developmental Biology	102637192
R-MMU-1266738	Mus musculus: Developmental Biology	102637417
R-MMU-1266738	Mus musculus: Developmental Biology	102640500
R-MMU-1266738	Mus musculus: Developmental Biology	103573
R-MMU-1266738	Mus musculus: Developmental Biology	103967
R-MMU-1266738	Mus musculus: Developmental Biology	104099
R-MMU-1266738	Mus musculus: Developmental Biology	104458
R-MMU-1266738	Mus musculus: Developmental Biology	105148
R-MMU-1266738	Mus musculus: Developmental Biology	105243089
R-MMU-1266738	Mus musculus: Developmental Biology	105243090
R-MMU-1266738	Mus musculus: Developmental Biology	105866
R-MMU-1266738	Mus musculus: Developmental Biology	107045
R-MMU-1266738	Mus musculus: Developmental Biology	107448
R-MMU-1266738	Mus musculus: Developmental Biology	107508
R-MMU-1266738	Mus musculus: Developmental Biology	107656
R-MMU-1266738	Mus musculus: Developmental Biology	108167466
R-MMU-1266738	Mus musculus: Developmental Biology	109052
R-MMU-1266738	Mus musculus: Developmental Biology	110308
R-MMU-1266738	Mus musculus: Developmental Biology	110310
R-MMU-1266738	Mus musculus: Developmental Biology	110351
R-MMU-1266738	Mus musculus: Developmental Biology	110596
R-MMU-1266738	Mus musculus: Developmental Biology	11350
R-MMU-1266738	Mus musculus: Developmental Biology	114255
R-MMU-1266738	Mus musculus: Developmental Biology	114566
