pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	6.363128143087124e-07	1.590782035771781e-05		1.2111893754423944	200	CS;SCARB1;NDUFA5;NDUFS3;SUCLG1;SULT1A1;PGM1;ACAA2;PHLDB1;ACO2;ESYT1;UQCR10;MIGA2;COX6A1;CMBL;COX8A;NABP1;MGST3;COQ9;DLAT;CAVIN1;COX7B;BAZ2A;ADCY6;DECR1;SDHC;CHCHD10;CAT;SCP2;MAP4K3;PEX14;TKT;ECH1;ACADS;GADD45A;PDCD4;HADH;DDT;CPT2;IDH1;DLD;RETSAT;ESRRA;UQCRC1;UBC;UQCRQ;RREB1;ATP5PO;HIBCH;ATL2;YWHAG;PREB;VEGFB;UQCR11;NDUFB7;EPHX2;TOB1;LPCAT3;PIM3;ORM1;ARAF;SQOR;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.9454782220452965	0.9683197175031932		-0.5593933891424335	200	BRCA1;LYN;TIMP1;UBE2N;WARS1;RARS1;RPS3A;HLA-DQA1;IFNAR2;LIF;RPL9;IFNGR2;GBP2;FAS
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.531754574099772	0.6800027740243575		0.036679819216794175	101	TNFAIP8;PGM3;PTPN21;H1-0;PMEPA1;PLPP1;CCND1;SCD;DBI;SLC38A2;GPD1L;PA2G4;NCOA4;AZGP1;ADRM1;XRCC5;FKBP5;SLC26A2;SORD
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.43608496092518906	0.6404532660341345		0.45339292631482175	36	APP;VEGFA;S100A4;TIMP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.27162344736331423	0.523245718841261		0.24110111545448973	200	MPZL2;LAMA3;NECTIN2;GNAI2;LDLRAP1;CDK8;LIMA1;PIK3R3;NHERF4;INPPL1;MAP3K20;NECTIN3;RRAS;CNN2;HADH;DHX16;ITGA2;LAMC2;SDC3;TUBG1;JUP;CD99;LAMB3;ITGB1;MYL9;CDH3;COL16A1;MYH9
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.16636098459526028	0.4149849655004128		0.8573334437742247	44	AKAP7;BRCA1;APP;LYN;EFNA5;CRYBG1;ATP8B1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.005046450093981776	0.0315403130873861		0.7899507265504481	161	IER3;ISG20;TIMP1;PMAIP1;CLU;DNM1L;RHOB;H1-0;ADD1;CCND1;SQSTM1;DFFA;RHOT2;ROCK1;BRCA1;CFLAR;DDIT3;TOP2A;EGR3;DNAJA1;CDC25B;KRT18;APP;PSEN1;BCL2L1;CASP7;GADD45A;PDCD4;RETSAT;ENO2;AIFM3;PPT1;HMGB2;CASP8;BIRC3;RELA;IRF1;FAS;ERBB2
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.10130428366294579	0.3511685809640807		0.5880910300244313	112	SULT2B1;BCAR3;ABCD3;SLC29A1;NR3C2;PXMP2;CAT;SCP2;OPTN;PEX11G;SULT1B1;CROT;IDH1;RETSAT;RXRA;HSD17B11;MLYCD;TFCP2L1;EPHX2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.1289796544037657	0.3793519247169579		0.5256568626296994	74	SQLE;CLU;S100A11;TRIB3;SCD;PMVK;ERRFI1;PDK3;NSDHL;ANXA5;ETHE1;ECH1;NFIL3;CXCL16;ALCAM;FABP5;TM7SF2;ACSS2;CHKA
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.550025457199567	0.6800027740243575		0.03509287717770517	138	GNG12;FN1;TIMP1;CLU;MAFF;CAPN5;MST1;SERPINA1;HMGCS2;P2RY1;MMP15;DUSP14;DUSP6;ITGA2
