pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	NA	NA	NA	NA	160	ATP5PO;ACO2;TST;UQCR10;DDT;CHCHD10;ETFB;ECH1;NDUFB7;UQCR11;SULT1A1;SQOR;ACADS;COX6A1;PDCD4;COX8A;CAT;CYC1;EPHX2;COX7B;UQCRQ;CMBL;HADH;UQCRC1;SUCLG1;PGM1;SCP2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.0949050949050949	0.203368060510918	1.14121120557225	NA	88	BCL10;GBP2;GLMN;DEGS1;SOCS5;MTIF2;CAPG;DARS1;LY75;STAT1;CD47;MRPL3;NCK1;EREG;ABCE1;CD74;RARS1;NPM1;HLA-E;C2;HLA-DRA;HLA-DQA1;TAP2;TAP1;HLA-DMB;HLA-DMA;TAPBP;CCND3;MAP3K7;IFNGR1;TIMP1;IL2RG;ELF4;FLNA;IKBKB;LYN;IL7;RIPK2;CDKN2A;TRAF2;IRF7;IL18;ABI1;UBE2D1;SRGN;EIF3A;PTPN6;UBE2N;GZMB;WARS1;EIF3J;SOCS1;AARS1;IRF8;EIF5A;CCL4;BRCA1;NME1;RPS19;BCL3;EIF3D;IFNAR2;IFNGR2;NOS2;ACHE;LIF
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.105894105894106	0.216601580237944	1.13781228888815	NA	85	TMEM50A;GNAI3;ELK4;RAB4A;STK39;ITGAV;XRCC5;NGLY1;SEC24D;INPP4B;SPCS3;SELENOP;ELL2;SRP19;TNFAIP8;CCND3;SRF;ELOVL5;PGM3;CDK6;AZGP1;DNAJB9;INSIG1;SMS;SAT1;B4GALT1;FADS1;CCND1;IDI1;ARID5B;RRP12;SCD;SLC38A2;KRT8;PA2G4;TSC22D1;ACTN1;SORD;PIAS1;ABHD2;UBE2I;CENPN;KRT19;MYL12A;PMEPA1;ADRM1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.0158508521751432	0.0706608276928254	1.51929882086875	NA	15	S100A4;ITGAV;LRPAP1;MSX1;SPP1;VEGFA;TNFRSF21;TIMP1;PTK2;VAV2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.673326673326673	0.757492507492507	0.957306519624626	NA	112	SDC3;COL16A1;CAP1;PIK3R3;SHC1;NECTIN4;MAP3K20;ARPC2;IRS1;GNAI2;PIK3CB;ITGA2;RASA1;TGFBI;DHX16;PBX2;MAPK14;EPB41L2;ACTB;FSCN1;CLDN4;EXOC4;ZYX;INSIG1;MSN;ADAM9;TNFRSF11B;PTK2;B4GALT1;TSC1;VAV2;HRAS;MDK;RSU1;ITGB1;VCL;TIAL1;RHOF;CDK8;ACTN1;TJP1;CD276;STX4;NF1;JUP;TUBG1;ICAM2;ITGB4;BAIAP2;ACTG1;MYL12B;LAMA3;MYL9;SRC;CNN2;GTF2F1;CRB3;ACTN4;AKT2;NECTIN2;RRAS;RAC2;LAMC2;CDH3;COL17A1;CLDN18;PLCG1;GRB7;LAMB3;IKBKG
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.936422056752304	0.999000999000999	-0.774894528025155	NA	21	EFNA5;ATP8B1;CRYBG1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.0202765152392445	0.0760369321471667	1.20121293355019	NA	119	DFFA;PPT1;JUN;GADD45A;BCL10;TGFBR3;MCL1;DAP3;PEA15;BTG2;ATF3;PSEN2;RHOB;PPP3R1;SLC20A1;CFLAR;CASP8;CTNNB1;EREG;CASP3;DAP;IRF1;ETF1;SQSTM1;IER3;TAP1;CDKN1A;IFNGR1;IGF2R;HSPB1;CASP2;SAT1;TIMP1;XIAP;BCAP31;EGR3;BNIP3L;CLU;PTK2;DNAJA1;ANXA1;GSN;SPTAN1;IFITM3;WEE1;CD44;MADD;RELA;CCND1;BIRC3;CASP4;IL18;SC5D;VDAC2;ENO2;CDKN1B;EMP1;DNM1L;KRT18;CDK2;ERBB3;DDIT3;DNAJC3;ISG20;TNFRSF12A;CREBBP;RARA;BRCA1;FDXR;TIMP2;ROCK1;PMAIP1;CDC25B;BCL2L1;GPX4;GADD45B;BID;TIMP3;BTG3;SOD1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	NA	NA	NA	NA	64	PXMP2;PRDX5;CAT;ALDH1A1;EPHX2;NR3C2;HSD17B11;SULT1B1;TFCP2L1;SCP2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.132	0.2475	1.13724505121508	NA	66	ERRFI1;FBXO6;S100A11;FDPS;HSD17B7;ATF3;CTNNB1;SEMA3B;ALCAM;PLSCR1;ANTXR2;ANXA5;GPX8;STARD4;PNRC1;ACAT2;GUSB;PDK3;NSDHL;FDFT1;CLU;MAL2;SQLE;NFIL3;FADS2;STX5;TM7SF2;DHCR7;SC5D;IDI1;SCD;LGMN;TNFRSF12A;CXCL16;TMEM97;ALDOC;ACTG1;FASN;TRIB3;LDLR;PLAUR;ATF5
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.425574425574426	0.580328762146944	1.03426450840988	NA	63	PEF1;F3;S100A13;RABIF;KLF7;FN1;ARF4;PROS1;ITGA2;F12;C2;FYN;RAC1;GNB2;USP11;TIMP1;LAMP2;CTSB;CLU;ADAM9;ANXA1;GSN;PRSS23;LRP1;DUSP6;LGMN;SERPINA1;CRIP2;CTSH;FURIN;DUSP14;CFD;SIRT2;APOC1;TIMP3;MAFF;GDA;CTSV;MMP7;CTSE;CFB
