pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.9960704349839105	0.9960704349839105		-1.2450365964796344	200	CD151;CS;SCARB1;TST;AIFM1;JAGN1;NDUFS3;GPX4;DHRS7B;SLC19A1;DNAJB9;GRPEL1;DRAM2;IFNGR1;TANK;ACADM;COQ9;DLAT;COX7B;BAZ2A;MCCC1;CHCHD10;DNAJC15;SDHC;SCP2;PEX14;HADH;DDT;CPT2;IDH1;PPM1B;RETSAT;ESRRA;UBC;ATP5PO;MTCH2;GPAM;HIBCH;ECHS1;GPD2;COQ5;ELMOD3;UQCR11;SSPN;PIM3;SLC1A5;ARAF;COQ3;PFKFB3;CDKN2C;CHUK;IMMT;AGPAT3;CCNG2;ACAA2;ACO2;UQCR10;COX6A1;ACLY;CMBL;MGST3;DHRS7;ETFB;RIOK3;ACADS;PTCD3;RMDN3;PEMT;DLD;ITSN1;SOWAHC;UQCRC1;PPP1R15B;UQCRQ;ME1;UCP2;G3BP2;RTN3;ATL2;YWHAG;ABCB8;TOB1;ORM1;ATP1B3;MDH2;PLIN2;SUCLG1;SOD1;POR;ACOX1;DHCR7;MGLL;SLC66A3;UBQLN1;SLC25A10;GPAT4;ADIPOR2;CAT;DBT;TKT;UCK1;CYC1;ALDOA;RREB1;CD302;RNF11;GPHN;NDUFB7;GHITM;EPHX2;NDUFA5;BCL2L13;ARL4A;SULT1A1;REEP5;PGM1;PHLDB1;ESYT1;NMT1;COX8A;NABP1;SLC25A1;CAVIN1;ADCY6;SLC5A6;TALDO1;GBE1;MAP4K3;FAH;ECH1;GADD45A;STAT5A;CMPK1;PDCD4;QDPR;ALDH2;MRPL15;IDH3G;REEP6;SORBS1;PREB;VEGFB;PPARG;SAMM50;DGAT1;PHYH;SQOR;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.18227316260045665	0.8836358655770471		1.0877896210357114	200	TRAF2;TAP2;IL18;IL2RG;ABI1;RPL39;IFNGR1;HLA-DRA;WARS1;NPM1;IKBKB;HLA-DMA;DEGS1;STAT1;RPS9;EGFR;EIF5A;LY75;EIF3D;CD74;ABCE1;LIF;CD47;HLA-DMB;CCL5;CCND2;MTIF2;RARS1;RPS3A;IFNAR2;ELF4;BRCA1;PSMB10;IRF8;RIPK2;CTSS;IRF7;MAP3K7;NCK1;LYN;EIF3A;PTPN6;RPL9;IFNGR2;AARS1;FAS;ACHE;GZMB;NOS2;CAPG;EIF4G3;GBP2;GCNT1;FLNA;NME1;BCL3;B2M;MRPL3;TPD52;C2;CCL4;EREG;HLA-A;GLMN;IL7;HLA-E;IL4R;TAP1;TIMP1;DARS1;SOCS5;BCL10;SOCS1;CDKN2A;CSK;TAPBP;HLA-DQA1;SRGN;RPS19;EIF3J;CCND3;GALNT1;UBE2D1;UBE2N;ACVR2A;HIF1A;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.42592725522771197	0.9960704349839105		0.27856830129698995	101	ANKH;TMEM50A;SEC24D;UBE2J1;ABCC4;DNAJB9;SCD;DBI;LMAN1;GNAI3;SPDEF;CDC14B;STK39;ACTN1;INPP4B;PA2G4;FADS1;SAT1;MAP7;NDRG1;SLC26A2;VAPA;ELK4;GSR;CAMKK2;CENPN;ELL2;XRCC6;DHCR24;PTK2B;UAP1;HPGD;HMGCS1;ARID5B;PIAS1;ADRM1;FKBP5;KRT19;ZMIZ1;SRF;UBE2I;PGM3;H1-0;PLPP1;HMGCR;SMS;SELENOP;B2M;GPD1L;TPD52;TMPRSS2;B4GALT1;SGK1;INSIG1;XRCC5;IDI1;SORD;TNFAIP8;ITGAV;PTPN21;KRT8;PMEPA1;CCND1;RAB4A;ACSL3;SLC38A2;ABHD2;RRP12;NGLY1;MYL12A;SRP19;IQGAP2;PDLIM5;TSC22D1;APPBP2;SPCS3;NCOA4;CCND3;AZGP1;CDK6;HERC3;ELOVL5;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.5867048381441735	0.9960704349839105		0.16905141982290897	36	APP;VAV2;SPP1;S100A4;TIMP1;MSX1;ITGAV;LRPAP1;JAG2;PDGFA;JAG1;TNFRSF21;PTK2;VEGFA;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.44725803858049873	0.9960704349839105		0.18399211357786244	200	MPZL2;DLG1;BAIAP2;TAOK2;SYMPK;NECTIN1;COL17A1;PIK3CB;RASA1;CDH1;INPPL1;PFN1;SYK;NECTIN3;CRB3;CLDN7;HRAS;CAP1;MPZL1;GTF2F1;ACTN1;EGFR;CNN2;HADH;SHC1;MSN;ZYX;ACTG1;PLCG1;TJP1;LAMC2;SDC3;CLDN18;GRB7;ITGB4;LAMB3;MYH9;NECTIN2;CTNND1;RHOF;PTK2;PIK3R3;FSCN1;ADAM15;TSC1;GNAI1;MVD;NF1;CLDN4;CTNNA1;PKD1;VCL;ACTB;VAV2;IRS1;VASP;YWHAH;JUP;CD99;TIAL1;COL16A1;TMEM8B;TGFBI;EXOC4;CDK8;IKBKG;LIMA1;MAPK14;RAC2;PARVA;RSU1;SKAP2;WASL;ADAM9;STX4;NECTIN4;DHX16;AKT2;SORBS3;PCDH1;B4GALT1;ARPC2;ITGA2;INSIG1;EPB41L2;TNFRSF11B;PBX2;ITGB1;BMP1;LAMA3;GNAI2;LDLRAP1;PALS1;NF2;MAPK13;NHERF4;CD276;MAP3K20;ICAM2;ITGA3;RRAS;CLDN15;SRC;MYL12B;MDK;TUBG1;ACTN4;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.47390180609115806	0.9960704349839105		0.6420184130066793	44	GSTM3;TMEM8B;IL2RG;PCSK9;CRYBG1;FLOT2;BRCA1;EFNA5;ADIPOR2;AKAP7;APP;DCBLD2;EPHB4;ATP8B1;ADAM10;PLAUR;B4GALT1;HSPB1;LYN;NCOA6;SULF2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.598301574573564	0.9960704349839105		-0.10487822278156929	161	IER3;ANKH;IL18;SPTAN1;GSN;GPX4;DFFA;RHOT2;LMNA;IFNGR1;PPP3R1;CFLAR;GCH1;BAX;CASP7;ERBB3;CASP2;RETSAT;AIFM3;SAT1;LGALS3;TSPO;CASP1;MCL1;TIMP3;RELA;SOD2;EBP;IRF1;GSR;ERBB2;IGF2R;CCND2;PEA15;IFITM3;CTH;ANXA1;PTK2;TNFRSF12A;BCL2L2;BRCA1;VDAC2;ATF3;DDIT3;TOP2A;XIAP;CASP4;KRT18;BCL2L1;NEDD9;CASP3;DNAJC3;PAK1;FDXR;TIMP2;MGMT;BIK;GADD45B;JUN;SMAD7;BTG3;CTNNB1;SATB1;FAS;PSEN2;DAP3;DNM1L;H1-0;SOD1;MADD;ETF1;WEE1;EGR3;BTG2;CREBBP;PPT1;SLC20A1;BCAP31;CASP8;RARA;EREG;HSPB1;SC5D;TXNIP;BIRC3;CDC25B;BCL2L11;BID;TAP1;ISG20;TIMP1;PMAIP1;CLU;RHOB;CCND1;CYLD;SQSTM1;BCL10;ROCK1;TNFSF10;CDK2;EMP1;DNAJA1;APP;PSEN1;DAP;GADD45A;PDCD4;CD14;ENO2;CDKN1B;BNIP3L;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.9933199068252532	0.9960704349839105		-1.6337502446229668	112	LONP2;SULT2B1;NUDT12;PRDX5;ALDH9A1;SOD1;PEX13;AMACR;DHCR24;SLC27A5;HACL1;ALDH1A1;ACSL5;HSD17B4;PEX26;ABCA2;SLC29A1;GNPAT;NR3C2;PNPLA8;ISOC1;PXMP2;PEX6;CAT;SCP2;GCLM;EFHC1;OPTN;HSD3B7;PEX11G;GSTK1;SULT1B1;PEX19;IDH1;NPC1;RETSAT;PECR;FADS1;PEX16;HSD17B11;MLYCD;ATXN1;FDXR;TFCP2L1;RBP1;SLC35B2;EPHX2;NR1I2;FADS2;ACSL1;SLC27A2;IDH2;PHYH;IDI1;PEX7;PEX1;PFKM;CYP27A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.5934816225803123	0.9960704349839105		-0.09677062913089665	74	FASN;PCYT2;GPX8;PLSCR1;SQLE;ATF5;CLU;LGMN;S100A11;FDPS;STARD4;TRIB3;LDLR;FDFT1;DHCR7;TNFRSF12A;ACAT2;SCD;ERRFI1;STX5;PDK3;ATF3;ABCA2;FBXO6;HMGCS1;JAG1;HMGCR;LSS;HSD17B7;GNAI1;TP53INP1;MVD;CPEB2;ANXA5;NSDHL;ETHE1;ECH1;GUSB;NFIL3;ACTG1;MAL2;PNRC1;CXCL16;MVK;PLAUR;TMEM97;SC5D;ALCAM;LGALS3;FABP5;TM7SF2;ATXN2;ALDOC;ANXA13;ANTXR2;ACSS2;CHKA;EBP;FADS2;PPARG;SEMA3B;IDI1;CD9;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.9317264930229242	0.9960704349839105		-1.070256482236266	138	BMP1;USP11;TIMP1;CTSO;CLU;CTSE;MAFF;GSN;ANXA1;LGMN;ARF4;SERPINA1;CSRP1;FURIN;F12;F3;GNB2;FN1;GDA;SIRT2;PREP;CAPN5;CFD;LAMP2;S100A13;MMP7;DPP4;FYN;ADAM9;CTSB;MMP14;PEF1;MSRB2;THBS1;APOC1;ANG;C2;RAC1;CFB;ITGA2;CRIP2;CTSV;WDR1;TIMP3;RABIF;MST1;LTA4H;CAPN2;MEP1A;HMGCS2;KLF7;P2RY1;PROS1;LRP1;CD9;DUSP14;DUSP6;CTSH;PRSS23
