pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0131144780056298	0.275404038118226	NA	2.54538698886737	50	LAPTM5/ID2/GLRX
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0544107294783797	0.498304699405195	NA	1.76297842393999	86	GLRX/POLR3K/GALK1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0711863856293136	0.498304699405195	NA	1.30049992974383	158	ATP6V0B/HADHB/MRPS11/MRPS12
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.167119609846498	0.662898345750117	NA	1.43435567647862	72	CD48/BCL2L1
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.185748398678779	0.662898345750117	NA	1.33749413722603	77	GLRX/GALK1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.212760677802239	0.662898345750117	NA	2.08071872186392	23	GLRX
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.220966115250039	0.662898345750117	NA	2.01931817719978	24	ID2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.320570962996185	0.688224518808325	NA	1.39482731229199	37	ID2
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.375771413005533	0.688224518808325	NA	1.11242758159126	45	ABCB9
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.387382885922557	0.688224518808325	NA	0.593053422497681	129	UCHL5/GLRX
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.39536114005566	0.688224518808325	NA	1.01931817719978	48	CD48
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.473755171437599	0.688224518808325	NA	0.673543340358049	61	ID2
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.490434142192136	0.688224518808325	NA	0.604280677920935	64	ID2
