pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.395948434622468	0.591501690004829	1.17781205811922	NA	152	UBC;UQCR10;COX6A1;TOB1;REEP5;ALDOA;COX7B;SQOR;ARL4A;SOD1;DNAJC15;COX8A;DHRS7;ECH1;UQCR11;GADD45A;G3BP2;TALDO1;ATP1B3;MDH2;NDUFAB1;SCP2;SDHC;SUCLG1;IDH3G;CAVIN2;GHITM;STOM;PLIN2;ETFB;CHCHD10;SDHB;CD151;PIM3;DECR1;AK2;QDPR;NDUFB7;UQCRQ;GPHN;UQCRC1;ARAF;DDT
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.490808823529412	0.600919052668788	1.06361870716683	NA	146	HLA-A;LTB;B2M;IRF7;IL2RG;STAT1;CD3D;SRGN;TIMP1;SOCS1;TAP1;CAPG;PF4
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.00841515269804224	0.0447334414770222	1.72484253454395	NA	73	B2M;MYL12A;SAT1;ARID5B;DBI;IDI1;TMEM50A;MAF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0582120582120582	0.207900207900208	1.70957154134051	NA	10	S100A4;TIMP1;PF4
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.34954954954955	0.591501690004829	1.26983408190551	NA	88	PFN1;ACTB;MYL12B;ITGB1;RAC2;ICAM2;ARPC2;YWHAH;CD99;CLDN5;ACTG1;PTPRC;VASP;HRAS
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.335378323108384	0.591501690004829	1.1166750402631	NA	20	IL2RG;CRYBG1;SULF2;GATA3;LYPD3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.00594600937306492	0.0447334414770222	1.65755785994842	NA	118	JUN;CD69;SAT1;ISG20;TIMP1;ANXA1;IFITM3;PMAIP1;LMNA;TAP1;CASP1;DNAJA1;TNFSF10;SOD1;CASP4;EBP;BAX;BCAP31;VDAC2;BIRC3;GADD45A;CCND2;BTG3;DDIT3;FAS;LGALS3;GNA15;CLU
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.404135338345865	0.591501690004829	0.956153963801255	NA	53	GSTK1;IDI1;SOD1;OPTN;PRDX5;IDH2;SCP2;PFKM;LCK
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.261029411764706	0.567455242966752	1.25911845550924	NA	56	S100A11;PLSCR1;ANXA5;IDI1;NIBAN1;EBP;ECH1;LGALS3;CLU;ACTG1;FBXO6;ETHE1;GUSB;SC5D;FASN;PMVK;ATF3
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.27378640776699	0.570388349514563	1.13841033363997	NA	43	TIMP1;ANXA1;PF4;PEF1;CFH;CLU;CAPN2;ISCU;GNB2;SPARC;ARF4;MAFF;CRIP2;RAC1;GP9
