pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.950354609929078	0.988346158135385	0.748423377370818	NA	72	QDPR;ADIPOR2;LIFR;DHRS7B;DHCR7;NMT1;ITSN1;SOD1;MAP4K3
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.624242424242424	0.934227063259321	-0.898621045651329	NA	34	JAK2;APBB1;GALNT1;BCAT1;PRKCB;BRCA1;EIF3A;STAT1;RPS9;IL7
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.015865440832467	0.396636020811674	1.54312325151123	NA	52	SLC38A2;FKBP5;SELENOP;PDLIM5;NDRG1;LIFR;SGK1;SRP19;VAPA;DHCR24;PTPN21;IDI1;TPD52;B2M;MAK;TSC22D1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.3889816360601	0.88102808691044	-1.10115985437229	NA	6	PTK2;ITGAV;APP
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.04	0.473240965382352	-1.40779327925155	NA	61	JAM3;PTK2;COL16A1;LIMA1;NRXN2;CERCAM;MYH9;ACTN2;PPP2R2C;CDH11;EVL;PLCG1;ITGA2;TJP1;ACTG1;CDH1;TIAL1;DLG1;INSIG1;NECTIN1;PIK3CB
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.758883248730964	0.988346158135385	0.767517644633023	NA	10	ADIPOR2;ADAM10;CROCC;DCBLD2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.551111111111111	0.911244760342628	-0.937031758963595	NA	42	PTK2;PSEN1;DNM1L;RHOB;APP;PAK1;DPYD;GSN;DAP3;BRCA1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.0935672514619883	0.668337510442774	1.32848105625562	NA	33	SLCO1A2;OPTN;ATXN1;DHCR24;ABCA6;NR3C2;SOD1;IDI1;PNPLA8
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.828220858895706	0.988346158135385	-0.757949692908097	NA	26	SEMA3B;CD9;SCD;ACTG1;ATXN2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.199445983379501	0.712307083498219	1.21192221672781	NA	23	CPQ;HTRA1;LAMP2;CLU
