pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.3323452949462598	0.7795340152152261		0.48292816982779313	200	PFKL;ELOVL6;QDPR;ADIPOR2;ENPP2;PHLDB1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.9007826546287175	0.9689101059259526		-0.653465803346013	200	JAK2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.4464220136499891	0.7795340152152261		0.40498505823799313	101	SLC38A2;SELENOP;ELOVL5;FKBP5
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.05384624071357367	0.3003532815570293		2.991034830262143	36	SPP1;PTK2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.0057526371011040545	0.12368169767373717		1.5628065521003867	200	CADM2;CERCAM;NFASC;ACTN2;JAM3;NRXN2;PTK2;LIMA1;COL16A1;MYH9
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.49242304444408963	0.7795340152152261		1.1710079211048667	44	ADIPOR2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.13754252676560927	0.5376662409928362		1.0722669195552137	161	SC5D;PSEN1;RHOB;DNM1L;PTK2
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.6466228193938335	0.8647866256113		0.17658337975753705	112	ABCA5;SLCO1A2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.5156339339419095	0.7795340152152261		0.5409966543712836	74	SC5D;SEMA3B
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.4504636162842903	0.7795340152152261		0.7302309642859622	138	HTRA1;CPQ
