pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.000492503678613927	0.0229982269684736	NA	1.07221173457354	78	RHOB/ITGAV/HYCC2/ALCAM/SPP1/PLPP1/ADAM19/CCND3/TNFRSF21/CA2/NDRG1/PTCH1/CDKN1C/DENND5A/MYO1E/RORA/IGF1R/BCL2/BCL2L1/AHCY/IKZF2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.00099227408140006	0.0229982269684736	NA	1.06347692459593	71	COL16A1/QSOX1/RHOB/WIPF1/ITGAV/SLIT2/SPP1/ITGA2/EDIL3/PLOD3/SFRP1/CADM1/HTRA1/PMP22/TPM4/COLGALT1/SPOCK1/SGCD/NTM
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.00167043137093929	0.0229982269684736	NA	0.948223017298086	85	MRAS/APOD/TPD52L1/CLU/GSN/LDB3/SCD/EFS/DAPK2/MEF2A/CDH13/HDAC5/ITGB4/DTNA/MYH9/PICK1/APP/ACTN2/GNAO1/NCAM1/SGCD
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.00183985815747789	0.0229982269684736	NA	1.14426667170235	53	DTNB/EFHD1/CPB1/SELENOP/SGK1/STAG3/PTPRJ/ZBTB16/MACROH2A2/CPEB3/RGS11/SOX10/GRID2/ARPP21/DCC
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.00460267048825734	0.0403752664819699	NA	0.860959870842293	86	CR1/DOCK10/RBSN/HSPA1A/LAMP2/CLU/CA2/CPQ/ZFPM2/JAK2/LIPA/CPM/DGKH/PSEN1/CDH13/L3MBTL4/ACTN2/MT3/KCNIP3/CDK5R1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.00484503197783639	0.0403752664819699	NA	1.96529653065703	10	ITGAV/SPP1/TNFRSF21/PTK2/APP
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0181132810721931	0.129380579087093	NA	0.687311783357263	97	TXNIP/ABCC5/FBXW7/GM2A/CCND3/TPD52L1/WWP1/NDRG1/CDKN2A/NOL8/ZBTB16/DDIT4/PTPRE/SP1/CCP110/CDH13/ITGB4/APP/SLC35D1/CDK5R1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0277812505594287	0.17363281599643	NA	0.74290410932058	70	DPYD/TXNIP/RHOB/BNIP3L/CLU/PTK2/DNAJA1/GSN/SC5D/CDKN1B/DNM1L/PSEN1/CREBBP/BCL2L1/APP
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0403924345104777	0.224319286716824	NA	0.860959870842293	43	HSD17B7/SEMA3B/ALCAM/FDFT1/CLU/SC5D/SCD/CD9/ACTG1/LDLR
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0448638573433648	0.224319286716824	NA	0.685188611464292	68	ITGAV/PDLIM5/LIFR/SELENOP/PLPP1/FKBP5/CCND3/ELOVL5/SGK1/AZGP1/NDRG1/SCD/SLC38A2/B2M
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.052268099724171	0.232904680996874	NA	0.565365923768392	95	PLPP3/LTBP1/DLG1/KIT/PDLIM5/MAP1B/ATXN1/BCKDHB/CDK13/MAGI2/DLC1/NFIB/CDKN1B/IGF1R/PMP22/PTPRM/LDLR/ABCC1
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0558995773656407	0.232904680996874	NA	1.19976178429405	17	HEY2/PTCH1/RTN1/MYH9/CDK5R1
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0624736012628381	0.232904680996874	NA	0.572979107878268	84	KAZN/SEMA3B/RHOBTB3/FKBP5/ELOVL5/TPD52L1/FDFT1/DLC1/JAK2/GAB2/FKBP4/CHPT1/ELF1/IGF1R/MAPT/BCL2
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0652133106791246	0.232904680996874	NA	0.586784907403298	78	SEMA3B/FKBP5/ELOVL5/TPD52L1/SGK1/FDFT1/CA2/JAK2/FKBP4/CD9/CHPT1/ALDH3A2/MAPT/BCL2/IGSF1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.0811591291388095	0.261785712234839	NA	0.619521693815298	61	SPSB1/PLPP3/RHOB/CCNL1/BCL6/PDLIM5/SGK1/DENND5A/PTPRE/IRS2/NFKBIA/LDLR
