pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.9752750970166911	0.9999757770086534		-0.505349535841567	200	CD151;CS;NDUFS3;AIFM1;DHRS7B;ANGPT1;CRAT;GRPEL1;LIFR;DRAM2;TANK;DLAT;COX7B;MCCC1;CHCHD10;DNAJC15;ITGA7;PEX14;HADH;DDT;CPT2;IDH1;PPM1B;ESRRA;UBC;ATP5PO;CIDEA;HIBCH;MTCH2;GPD2;SNCG;UQCR11;SSPN;PIM3;SLC1A5;GPX3;PFKFB3;CHUK;IMMT;SDHB;AGPAT3;CCNG2;BCL6;ACO2;SPARCL1;UQCR10;STOM;COX6A1;ACLY;MGST3;NKIRAS1;DHRS7;ETFB;RIOK3;COL4A1;PTCD3;RMDN3;DLD;ITSN1;UQCRC1;PPP1R15B;LAMA4;ME1;G3BP2;UQCRQ;RTN3;ATL2;YWHAG;ATP1B3;PLIN2;MDH2;SUCLG1;SOD1;ACOX1;SLC66A3;ABCA1;GPAT4;ADIPOR2;CAT;DBT;TKT;CYC1;APLP2;RNF11;GPHN;NDUFB7;GHITM;LPCAT3;HSPB8;SLC27A1;LPL;NDUFA5;BCL2L13;REEP5;PGM1;PHLDB1;ESYT1;MIGA2;NMT1;COX8A;SLC5A6;TALDO1;MAP4K3;ECH1;GADD45A;CMPK1;PDCD4;NDUFAB1;MRPL15;IDH3G;BCKDHA;PREB;VEGFB;ELOVL6;PPARG;DGAT1;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.9117568366680749	0.9999757770086534		-0.5238012648882061	200	MTIF2;DARS1;PRKCB;WAS;SOCS5;ST8SIA4;EIF4G3;ABI1;HDAC9;RPL39;CSK;TAPBP;FLNA;WARS1;NPM1;PSMB10;FYB1;NME1;CSF1;IKBKB;CCND2;STAT1;RPS19;RPS9;RIPK2;B2M;MAP3K7;MRPL3;NCK1;TPD52;GALNT1;UBE2D1;EIF3D;LYN;UBE2N;LY86;EIF3A;ACVR2A;ABCE1;RPL9;CD47;F2R;AARS1;CARTPT;HIF1A;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.8926478736895314	0.9999757770086534		-0.4508290414028513	101	CAMKK2;UBE2I;BMPR1B;ELL2;TMEM50A;ITGAV;SEC24D;XRCC6;PLPP1;UBE2J1;ABCC4;RAB4A;DBI;PTK2B;LIFR;ACSL3;SLC38A2;UAP1;ABHD2;LMAN1;AKAP12;ARID5B;HMGCR;PIAS1;GSR;CDC14B;SMS;STK39;APPBP2;ACTN1;INPP4B;B2M;TSC22D1;GPD1L;PA2G4;TPD52;FADS1;B4GALT1;HOMER2;SGK1;INSIG1;CDK6;XRCC5;FKBP5;MAP7;NDRG1;SLC26A2;VAPA;IDI1;RPS6KA3;HERC3;ELOVL5;ZMIZ1;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.4213309028194002	0.9999757770086534		0.30764141748625196	36	APP;NRP1;VAV2;SPP1;LPL;S100A4;ITGAV;COL5A2;SLCO2A1;FGFR1;TNFRSF21;PTK2;CCND2;FSTL1;VEGFA;PDGFA
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.00639061107708071	0.3195305538540355		0.9561828703943656	200	CDH8;DLG1;TAOK2;SGCE;KCNH2;JAM3;SYMPK;NECTIN1;CRAT;NRXN2;ADAMTS5;ACTA1;PIK3CB;MAP4K2;SLIT2;RASA1;CDH1;FYB1;PFN1;NECTIN3;CAP1;NFASC;MPZL1;GTF2F1;ACTN1;SHC1;HADH;MSN;ACTG1;TJP1;SPEG;SDC3;MYH9;CNTN1;NECTIN2;CTNND1;NEXN;RHOF;PTK2;PIK3R3;CDH6;AKT3;TSC1;ADAM15;AMIGO1;NF1;MYH10;CTNNA1;PKD1;VCL;ACTB;EVL;VAV2;IRS1;YWHAH;JUP;NEGR1;TIAL1;CDH11;COL16A1;CADM2;AMIGO2;CDH4;EXOC4;SIRPA;CDK8;IKBKG;LIMA1;MAPK14;TRO;PARVA;RSU1;SKAP2;WASL;ADAM9;ADAM23;NECTIN4;DHX16;B4GALT1;ARPC2;ITGA2;PPP2R2C;INSIG1;EPB41L2;ITGB1;ARHGEF6;LAMA3;GNAI2;ATP1A3;GAMT;PALS1;NF2;PTEN;MAP3K20;ITGA3;CADM3;RRAS;SRC;MYL12B;NLGN3;MAPK11;TSPAN4;NLGN2;TUBG1;FBN1;ACTN4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.4675918297869407	0.9999757770086534		0.21726112748219037	44	HSPB1;AKAP7;DCBLD2;APP;LYN;MDGA1;EFNA5;NCOA6;FLOT2;RTN4RL1;NTNG1;SULF2;ADIPOR2;ADAM10;B4GALT1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.7066924839435379	0.9999757770086534		-0.17016952111263398	161	IER3;PSEN2;PPP2R5B;CLU;SPTAN1;DAP3;SOD1;RHOB;MADD;ADD1;CYLD;PTK2;NEFH;SQSTM1;BCL2L2;DFFA;ROCK1;LMNA;CFLAR;DPYD;VDAC2;ATF3;DDIT3;ETF1;BAX;DIABLO;DNAJA1;XIAP;BTG2;APP;PSEN1;BCL2L1;NEDD9;GPX1;GADD45A;CASP3;PDCD4;CREBBP;AIFM3;PAK1;DCN;PPT1;ENO2;CDKN1B;SLC20A1;PDGFRB;BNIP3L;BCAP31;PLPPR4;RNASEL;HSPB1;SC5D;MCL1;TIMP2;TIMP3;CASP9;RELA;SOD2;GPX3;JUN;F2R;CD44;CTNNB1;GSR;SATB1;IGF2R;CCND2;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.9815886871486056	0.9999757770086534		-0.8413314187420442	112	LONP2;PAOX;PRDX5;NEDD4;SOD1;PEX13;SOAT2;SLC23A1;ACSL5;ABCA1;ABCD3;CYP46A1;ABCA2;ABCA5;SLC29A1;GNPAT;NR3C2;PNPLA8;SLC23A2;CAT;GCLM;AR;RXRG;OPTN;CROT;PEX19;IDH1;NPC1;ABCA3;FADS1;ATXN1;ABCA6;ABCD2;ACSL1;IDH2;ABCG4;IDI1;PEX1;PFKM
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.7740803677767701	0.9999757770086534		-0.3087165637280698	74	FASN;PCYT2;SQLE;ATF5;CLU;LGMN;S100A11;FDPS;STARD4;LDLR;FDFT1;ACAT2;PMVK;PDK3;ATF3;ABCA2;HMGCR;LSS;NSDHL;ANXA5;LPL;ECH1;GUSB;SREBF2;ACTG1;MAL2;SC5D;ALCAM;FABP5;TM7SF2;ATXN2;PPARG;ANTXR2;ACSS2;CHKA;IDI1;CD9;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__5d6d404a_wilcoxon	census_scrna__5d6d404a_wilcoxon	0.8928435035757168	0.9999757770086534		-0.5380345019256275	138	USP11;CLU;SERPING1;LGMN;ARF4;FURIN;FN1;GDA;SIRT2;F10;CAPN5;S100A13;FYN;ADAM9;PEF1;SPARC;CPQ;RAC1;ITGA2;F2RL2;GNG12;CRIP2;WDR1;TIMP3;RABIF;CASP9;CAPN2;PLEK;KLF7;FBN1;LRP1;CD9;DUSP14;DUSP6;F8
