pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.0767230169050715	0.348740985932143	-1.2967154213006	NA	117	APOE;RETSAT;ANGPTL4;GPAM;GBE1;TALDO1;SUCLG1;ENPP2;NDUFS3;LPCAT3;IDH3G;PHLDB1;RIOK3;MTCH2;CHUK;NMT1;NDUFB7;AGPAT3;UQCR10;HIBCH;ELMOD3;MYLK;UBC;GPX4;PEX14;RMDN3;YWHAG;PFKL;NKIRAS1;IMMT;NDUFA5
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.0973201692524683	0.374308343278724	-1.28255988493948	NA	52	EIF3J;IFNGR2;WARS1;IL7;STAT1;RPS19;RPS3A;JAK2;GCNT1;RARS1;BCAT1;EIF3A;TGFB1;BRCA1;RPS9;B2M;APBB1;RIPK2;TAPBP;ABCE1;DEGS1;HIF1A;CD47
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.476363636363636	0.793939393939394	0.987015825895274	NA	68	AKT1;ABCC4;ELK4;ZBTB10;SLC38A2;PIAS1;CAMKK2;TSC22D1;APPBP2;LIFR
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.00609169734916155	0.0761462168645194	-1.66470223010605	NA	10	PTK2;LRPAP1;APP
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.696153846153846	0.870192307692308	0.903017493973124	NA	94	CDH8;TSC1;PTEN;SYMPK;SIRPA;NRXN2;GNAI1;DLG1;CLDN15;ITGA2;TRAF1;RSU1;MYH9;CDH3;PKD1;CDH4;PPP2R2C
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.349514563106796	0.699029126213592	-1.08453113561629	NA	14	APP;AKAP7;BRCA1;MAL;FLOT2;ATP8B1;DCBLD2;CROCC;NCOA6
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.0601915184678523	0.320855614973262	-1.3459284857142	NA	75	RETSAT;BAX;DNM1L;PTK2;FEZ1;BCAP31;VDAC2;SAT1;APP;XIAP;BTG3;RHOB;PSEN1;GPX4;TXNIP;ISG20;BRCA1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.912305516265912	0.943771110669581	-0.732282811948354	NA	54	RETSAT;BCAR3;PEX1;PRDX5;GSTK1;CYP46A1;NUDT12
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.336363636363636	0.699029126213592	1.05818987941955	NA	43	LGMN;GNAI1;CPEB2;PNRC1;FDPS;CTNNB1;LSS;MVD;ALCAM;SC5D;HMGCR;ATXN2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__5e57cd50_pseudobulk	census_scrna__5e57cd50_pseudobulk	0.12797619047619	0.426587301587302	-1.25641681204856	NA	43	F8;ARF4;RGN;FN1;CPB2;VWF;FYN;KLKB1;CD9
