pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.1352562223835252	0.23320038341987104		0.46320798412797304	200	NDUFA5;TST;BCL6;DNAJB9;COX6A1;ACADM;CAT;SCP2;ECH1;NDUFAB1;UBC;ALDH2;ME1;RREB1;ATP5PO;ATL2;GHITM;ELOVL6;SLC1A5;PFKFB3
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0001412139962321279	0.001412139962321279		1.2524333451510814	200	GZMB;TIMP1;RPS3A;PRF1;SOCS1;RPL39;PTPRC;CD28;NPM1;FYB1;CSF1;CD247;GZMA;SRGN;RPS9;B2M;JAK2;CCND3;CCL4;ETS1;HLA-A;UBE2N;CD3G;CD79A;RPL9;TRAT1;IL2RA;IL4R;CXCL13
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.009510540737040992	0.0609270255789032		1.1520062945544396	101	SLC38A2;SPCS3;ELL2;KRT19;B2M;FKBP5;PMEPA1;NGLY1;PLPP1;UBE2J1;SLC26A2;MYL12A;CCND3;VAPA;DNAJB9
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.2856834863976438	0.4081192662823483		1.3174546183080544	36	S100A4;TIMP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.013403945627358704	0.0609270255789032		0.9719117709650295	200	MDK;EPB41L2;CAP1;PTPRC;VASP;RRAS;YWHAH;TGFBI;RAC2;FYB1;ACTG1;WASL;LIMA1;ACTB;ACTN4;MYL12B;ITGA2;ARPC2
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.9234731909419914	0.9423195825938688		-0.8275308788758686	44	CD160
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.12974929677981042	0.23169517282109003		0.5399299736676311	161	IFITM3;KRT18;XIAP;LEF1;TXNIP;CASP7;CFLAR;TIMP1;CYLD;CDKN1A;CDKN1B;CD44;PRF1;IGF2R;BTG2;FDXR
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.08046634164375573	0.18230345594489977		0.8799079680539358	112	ABCA2;FDXR;SLC29A1;PEX19;FADS2;ABCD2;PEX1;CAT;SCP2;ATXN1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.05461857693754975	0.1437330972040783		1.0688873426517946	74	NIBAN1;CD9;ECH1;ABCA2;S100A11;FADS2;ACTG1;PNRC1;CXCL16
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.04287162132780706	0.13774467507751656		1.1461732889975162	138	TIMP1;LTA4H;SERPINA1;HMGCS2;DPP4;FURIN;CD9;ITGA2;F8
