pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.9994288456789916	0.9999343150342053		-1.306053864501626	200	RNF11;IDH3A;CMPK1;MGST3;TOB1;DECR1;DNAJC15;CAT;ESYT1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.8679506539892812	0.9999343150342053		-0.45626421570155273	200	RARS1;GLMN;BCAT1;IL7;STAT4;CD247;GALNT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.8985975463891859	0.9999343150342053		-0.49581181571437766	101	SLC38A2;INSIG1;APPBP2;RRP12;INPP4B;PMEPA1;ABCC4;ZMIZ1;MAK
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.710974967887869	0.9999343150342053		-0.023440483580575835	36	COL5A2;FGFR1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.7738815894290972	0.9999343150342053		-0.2141106702650335	200	CDH8;INSIG1;EPB41L2;IRS1;CADM3;CNTN1;MPZL1;BAIAP2;GNAI2;NEGR1;SIRPA;CTNND1;NEXN;NRXN2;GNAI1;PIK3R3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.1650834707904591	0.9999343150342053		0.9269274056430749	44	CROCC;EFNA5;RTN4RL1;NTNG1;ADAM10;AFAP1L2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.8785118366571666	0.9999343150342053		-0.4469585005935754	161	SC5D;PPP3R1;ADD1;CREBBP;PAK1;SATB1;XIAP;DFFA;PEA15
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.39225758648131337	0.9999343150342053		0.26818310831275755	112	HACL1;RXRA;ALDH1A1;GSTK1;CYP7B1;PNPLA8;IDH2;ALDH8A1;SLC23A2;CAT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.9402162485522347	0.9999343150342053		-0.8042703219190819	74	SC5D;ACSS2;LDLR;GNAI1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.998882979159952	0.9999343150342053		-2.30761636120592	138	GDA
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.7282929614887094	0.9999343150342053		-0.1648638076244009	200	GRB2;CD46;GCA;DGKG;GNAI2;ZEB1;DOCK10;PCLO;CTSL;SPOCK2;HPCAL4;KCNIP2;LIPA;PIK3CA
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.9587073159053949	0.9999343150342053		-0.652169500506289	150	POLR1C;POM121;SRSF6;MPG;REV3L;TK2;GTF2H1;GTF2H3;RFC3;STX3;XPC
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.9934143044308086	0.9999343150342053		-1.0544721926869431	200	MLH1;PDS5B;SMC1A;TIPIN;RFC3;CBX5;PPM1D;STAG1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.5070667781458271	0.9999343150342053		0.08826218695329427	200	CADM1;DST;EDIL3;MEST;COL5A2;SGCB;PMEPA1;PLOD2;GPC1;ID2;SPOCK1;SLC6A8;CDH2
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	gseapy_enrichr	census_scrna__6f7fd0f1_pseudobulk	census_scrna__6f7fd0f1_pseudobulk	0.19840317228941856	0.9999343150342053		0.36117347226606833	200	TPBG;ISG20L2;RPS6KA2;PODXL;ADCY1;SEC14L2;RRP12;RAB31;TMEM164;CELSR2;RETREG1;SIAH2;SLC1A4;IL6ST;NRIP1;OVOL2;ADCY9;ITPK1;TOB1;MED13L;OLFM1;RHOBTB3
