pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	8.86611527008831e-07	4.43305763504416e-05	NA	0.351800468369044	140	Dusp5/Timp1/Apoc1/Gnb2/F10/Fdx1/Gpd2/Fn1/Dgkg/Casp3/Xpnpep1/Rasgrp1/Pim1/Sh2b3/Lgmn/Maff/Atox1/Gp9/Cxcl3/Kif2a/Dyrk2/Pfn1/Ppp4c/Rnf4/Gnai2/Lgals3/Gngt2/Ltf/Mmp14/Pik3ca/Jak2/Gnai3/Dusp6/Col4a2/Plaur/C3/Fyn/Prdm4/Fcer1g/Gca/Cebpb/Pla2g4a/Was/Psmb9/Irf1/Irf2/C1qc/Brpf3/Lipa/Usp8/Lta4h/Ppp2cb/Dgkh/Cblb/Pik3r5/Itgam/F5/Tnfaip3/Cd36/Prkcd/C1qa/Cxcl2/Usp15/Lrp1/Pik3cg/Timp2/Plscr1/Casp9/Ehd1/Serpine1/Grb2/Car2/Calm1/Olr1/Ccl5/Serpinb2/Clu/Plek/Ang/Serpinc1/Calm3/S100a13/Cr1l/Ctso/Adam9/Usp14/Zeb1/Gng2/Mmp8/Rhog/Cd55/Stx4a/Prcp/Lyn/S100a9/Anxa5/Cr2/Lcp2/Dock10/Ctsc/Hspa5/Raf1/Casp4/Csrp1/Ctsh/Msrb1/Lap3/Lamp2/Ctsb/Ctsd/Cxcl1/Casp1/Pla2g7/Rbsn/Serpina1b/Serpina1e/Fcnb
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	8.57340001351024e-06	0.000214335000337756	NA	0.299678986985979	165	Ier3/Cdkn1a/Dusp5/Slc16a6/Mxd1/Slc2a6/Rel/Sqstm1/Ccl2/Gadd45a/Ccnl1/Icosl/Rnf19b/Nfil3/Gadd45b/Il7r/Birc2/Dusp1/Ifngr2/Map3k8/Tnip1/Klf9/Eif1/Dennd5a/Tsc22d1/Sat1/Nfkb2/Ifih1/Maff/Btg1/Abca1/Tnfsf9/Relb/Smad3/Tgif1/Nfkb1/Cxcl3/Sdc4/Il1b/Tnip2/Lamb3/Trib1/Cd80/Rhob/Pdlim5/Tnf/Junb/Egr1/Ccnd1/Klf6/Plaur/Rigi/Ptgs2/Kdm6b/Hbegf/Fosb/Slc2a3/Ptpre/Cebpb/Nfkbia/Litaf/Atp2b1/Zc3h12a/Irf1/Phlda1/Klf10/Nampt/Jun/Bcl2a1a/Csf1/Per1/Ripk2/Ier2/Tnfaip3/Egr2/Bcl6/Cxcl2/Cflar/Nfe2l2/Fosl2/Zfp36/Tap1/Cebpd/Vegfa/Ccrl2/Pmepa1/Ehd1/Sgk1/Klf2/Mcl1/Serpine1/Nfkbie/Olr1/Ccl5/Serpinb2/Plek/Serpinb8/Ccl4/Pnrc1/Btg3/B4galt1/Map2k3/Id2/Btg2/Il15ra/Tlr2/Gch1/Ninj1/Egr3/Bhlhe40/Il6st/Pfkfb3/G0s2/Nr4a1/Inhba/Tnfaip8/Marcks/Rela/Ets2/Myc/Tnfaip6/Ier5/Cxcl5/Tiparp/Ldlr/Icam1/Tnfaip2/Atf3/Stat5a/Birc3/Nfat5/Cxcl1/Cd44
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	6.64476128764195e-05	0.00110746021460699	NA	0.360740512722258	88	Timp1/Gadd45a/Ccn2/Tgm2/Gadd45b/Fn1/Fas/Flna/Bgn/Mfap5/Sat1/Timp3/Glipr1/Myl9/Vim/Ppib/Cxcl3/Sdc4/Plod1/Vcan/Copa/Calu/Rhob/Spp1/Acta2/Gpc1/Mmp14/Col4a2/Plaur/Col4a1/Plod3/Capg/Jun/Mgp/Itgb1/Tnfaip3/Igfbp4/Cxcl2/Fbln2/Thbs1/Lrp1/Vegfa/Pmepa1/Il15/Serpine1/Gja1/Cald1/Dcn/Ecm1/Colgalt1/Wipf1/Sparc/Id2/Notch2/Fstl3/Qsox1/Tgfbi/Tpm2/Itgb3/Inhba/Itgav/Fuca1/Cxcl5/Emp3/Serpine2/Itga5/Dab2/Cxcl12/Nt5e/Tpm1/Tpm4/Basp1/Cxcl1/Cd44
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.000188359775499336	0.0023544971937417	NA	0.275851615135745	140	Cdkn1a/Gpr132/Timp1/Axl/Mxd1/Ccl2/Kif1b/Icosl/Slc7a2/Nmi/Il7r/P2rx4/Ccl17/Ifngr2/Tnfrsf1b/Rasgrp1/Il2rb/Gpc3/Aqp9/Abca1/Tnfsf9/Clec5a/Nfkb1/Ptgir/Mefv/Cybb/Il1b/Ifnar1/Slc7a1/Adgre1/Ccl24/Acvr2a/Abi1/Mmp14/Fzd5/Gnai3/Klf6/Plaur/Msr1/Hbegf/Ptpre/Nfkbia/Atp2b1/Prok2/Ly6e/Irf1/Nampt/Csf1/Ripk2/Gna15/Pik3r5/Sell/Nlrp3/Adora2b/Ccrl2/Il15/Serpine1/Irak2/Eif2ak2/Olr1/Ccl5/Ifitm1/C5ar1/Ccl7/Osm/Ptafr/Atp2c1/Sema4d/Il10ra/Hif1a/Btg2/Ccr7/Il15ra/Tlr2/Gch1/Slc31a2/Ccl22/Tapbp/Itgb3/Inhba/Rgs1/Rela/Myc/Tnfaip6/Kcnj2/Rhog/Cxcl5/Cd55/Ptger2/Emp3/Sri/Il18rap/Lyn/Atp2a2/Itga5/Ldlr/Lcp2/Raf1/Nod2/Il4ra/Cd82/Icam1/Csf3r/Rnf144b/Acvr1b/Ffar2/Tlr1/Ebi3/Stab1/Sgms2/Fpr1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.000427005063151213	0.0036108665868881	NA	0.311158483871697	96	Cap1/Msn/Map4k2/Syk/Arhgef6/Rasa1/Shc1/Myl9/Icam2/Baiap2/Ptprc/Epb41l2/Pfn1/Sympk/Gtf2f1/Vcan/Tubg1/Dlg1/Lamb3/Gnai2/Skap2/Atp1a3/Ldlrap1/Dhx16/Cd34/Crat/Actn4/Actg1/Rras/Tsc1/Ctnna1/Sdc3/Map3k20/Mapk13/Pkd1/Sirpa/Rhof/Mapk14/Itgb1/Taok2/Fscn1/Mvd/Myl12b/Arpc2/Adam15/Jup/Cdh1/Hras/Cldn15/Thbs3/B4galt1/Rsu1/Zyx/Nf1/Tgfbi/Vasp/Tspan4/Akt2/Adam9/Plcg1/Evl/Inppl1/Mdk/Actb/Pecam1/Actn1/Stx4a/Vwf/Mmp9/Myh9/Ywhah/Icam1/Cd274/Pbx2/Pten/Rac2/Cdk8/Actc1
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.000433303990426572	0.0036108665868881	NA	0.360175304080009	69	Il17ra/Fas/Ifngr2/Map3k8/Tnfrsf1b/Hmox1/Pim1/Tnfrsf21/Stat3/Cxcl3/Cbl/Tnfrsf1a/Il1b/Ifnar1/Crlf2/Tnf/Cd38/Ltbr/Ptpn2/Irf1/Jun/Csf1/Pik3r5/Cd36/Cxcl2/Csf2ra/Pf4/Il10rb/Bak1/Stat2/Ccr1/Irf9/Grb2/Socs1/Ccl7/Acvrl1/Itga4/Ltb/Csf2rb2/Il15ra/Tlr2/Il6st/Itgb3/Il13ra1/Il1r2/Ptpn11/Il3ra/Il4ra/Csf3r/Cd9/Ptpn1/Myd88/Stat1/Acvr1b/Ebi3/Cxcl1/Cd44/Il2rg
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.00058901775544938	0.00420726968178129	NA	0.245434301648861	152	Sdcbp/E2f2/Ezh1/Cdr2/Hagh/Sidt2/Sec14l1/Nudt4/Smox/Tal1/Tnrc6b/Bach1/H4c14/Cat/Mgst3/Mocos/Tfrc/Hbb-bt/Htra2/Atg4a/Kat2b/Mpp1/H1f0/Ppox/Gde1/Fech/Slc2a1/Cpox/Ucp2/Marchf2/Kdm7a/Top1/Slc66a2/Minpp1/Lrp10/Rcl1/Tmcc2/C3/Ranbp10/Riok3/Nfe2/Gypa/Bpgm/Rnf123/Slc25a37/Cast/Khnyn/Xpo7/Asns/Add1/Bnip3l/Arhgef12/Ell2/Narf/Marchf8/Trim10/Adipor1/Prdx2/Usp15/Nfe2l1/Nr3c1/Clcn3/Isca1/Ncoa4/Abcg2/Rad23a/Slc30a1/Hmbs/Tspo2/Mkrn1/Add2/Car2/Eif2ak1/Ank1/Gclm/Vezf1/Map2k3/Btg2/Trak2/Mfhas1/Glrx5/Sptb/Ccnd3/Gmps/Slc10a3/Tns1/Gapvd1/Ubac1/Synj1/Urod/Tmem9b/Rbm5/Alas2/Htatip2/Atp6v0a1/Blvrb/Picalm/Epb41/Foxj2/Fbxo9/Tfdp2/Rbm38/Agpat4/Dcaf10/Psmd9/Lamp2/Snca/Daam1/Ctsb/Tent5c/Tcea1/Klf3/Pigq/Epb42/Hbq1b/Slc4a1/Spta1/Nnt
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.00225531143520892	0.0140956964700558	NA	0.241484956064886	124	Ier3/Cdkn1a/Timp1/Crebbp/Sqstm1/Gadd45a/Sod1/Gadd45b/Fas/Bcl2l11/Casp3/Rara/Bgn/Hmox1/Bcl10/Dnaja1/Pmaip1/Sat1/Timp3/App/H1f0/Sc5d/Il1b/Smad7/Ddit3/Lgals3/Ctnnb1/Gpx4/Bmf/Rhob/Gpx1/Tnf/Lmna/Gsn/Cd38/Ccnd1/Psen2/Cav1/Pdcd4/Emp1/Rhot2/Ifitm3/Add1/Irf1/Rock1/Bnip3l/Jun/Dnm1l/Gna15/Ppp3r1/Cflar/Xiap/Lef1/Tap1/Slc20a1/Timp2/Casp9/Bid/Ebp/Cdkn1b/Cdk2/Rnasel/Ank/Bax/Mcl1/Cdc25b/Casp8/Txnip/Ppt1/Bcap31/Tspo/Igfbp6/Clu/Plcb2/Dcn/Btg3/Madd/Sptan1/Btg2/Nedd9/Gch1/Egr3/Casp6/Isg20/Gsr/Igf2r/Rela/Anxa1/Pak1/Bcl2l1/Dap/Casp4/Atf3/Birc3/Casp1/Cd44
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.00259002687668241	0.0143890382037912	NA	0.298128535422579	77	Timp1/Apoc1/Gda/Gnb2/F10/Fn1/P2ry1/Capn2/Klf7/Lgmn/Timp3/Furin/Maff/Gp9/Gng12/Mmp14/Gsn/Dusp6/C3/Fyn/Wdr1/Lta4h/F2rl2/C1qa/Pf4/Thbs1/Lrp1/Trf/Casp9/Serpine1/Rac1/Olr1/Apoa1/Serpinb2/Msrb2/Clu/Plek/Ang/Serpinc1/Sparc/S100a13/Crip2/Ctso/Itgb3/Adam9/Anxa1/Apoc2/Mmp8/Pecam1/Vwf/Mmp9/Csrp1/Cd9/Ctsh/Lamp2/Ctsb/Serpina1b/Serpina1e/Apoc3/Fga/Fgg/Arf4
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__7b6bab5a_wilcoxon	census_scrna__7b6bab5a_wilcoxon	0.00288568646338286	0.0144284323169143	NA	0.227861672200911	133	Ier3/Cdkn1a/Cavin1/Ccn2/Tgm2/Fam162a/Nfil3/Grhpr/Dusp1/Ets1/Ugp2/Zfp292/Xpnpep1/Bgn/Ddit4/Hmox1/Klf7/Pim1/Rbpj/Pfkp/Cxcr4/Maff/Btg1/Gpc3/Pam/Mt1/Pfkl/Vhl/Tpd52/Pdk3/Ampd3/Sdc4/Plac8/Ddit3/Slc2a1/Gpc1/Aldoc/Ero1a/Glrx/Klf6/Plaur/Prdx5/Cav1/Noct/Slc2a3/Sdc3/Bnip3l/Nagk/Jun/Akap12/Ndst1/Slc6a6/Tnfaip3/Eno3/Fosl2/Zfp36/Nr3c1/Klhl24/Adora2b/Vegfa/Cdkn1b/Atp7a/Tes/Serpine1/Hexa/Mt2/Dcn/Pgk1/Pnrc1/Gbe1/Tpi1/Tgfbi/Bhlhe40/Casp6/Pfkfb3/Gaa/Isg20/Gcnt2/Gys1/S100a4/Pgm1/Bcl2/Wsb1/Tiparp/Nedd4l/Myh9/Eno1/Scarb1/Hspa5/Plin2/Ext1/Errfi1/Sap30/Atf3/Ndrg1/Anxa2/Gapdh/Cited2/Chst3/Gpi1/Aldob/Aldoa
