pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	2.6908323492078e-07	1.3454161746039e-05	NA	0.429169737325663	162	STMN1/RPA2/CTPS1/NASP/USP1/ANP32E/CKS1B/UBE2T/LBR/SMC6/MSH2/XPO1/MTHFD2/POLE4/MCM6/ORC2/BARD1/CNOT9/MLH1/MCM2/STAG1/SMC4/TRA2B/TFRC/SLBP/RFC1/PAICS/HNRNPD/H2AZ1/CENPE/MAD2L1/HMGB2/RAD1/LMNB1/PTTG1/NUP153/DEK/TUBB/MCM3/SYNCRIP/MMS22L/RPA3/TBRG4/RFC2/MCM7/POP7/ING3/EZH2/RBBP7/SMC1A/HMGB3/GINS4/PRKDC/MCM4/ATAD2/PSIP1/CDKN2A/CKS2/WEE1/POLA2/POLD3/EED/MRE11/HELLS/SMC3/MKI67/CBX5/PA2G4/NUP107/NAP1L1/TMPO/UNG/RAN/POLE/PDS5B/EXOSC8/PNN/CDKN3/EIF2S1/DUT/TIPIN/GSPT1/CCP110/DCTPP1/CTCF/RPA1/TP53/NAA38/TOP2A/TUBG1/BRCA1/LUC7L3/NME1/SRSF1/RAD51C/KPNA2/JPT1/SRSF2/TK1/SNRPB/NOP56/PCNA/DNMT1/ASF1B/LIG1/UBE2S/RANBP1/MCM5/BIRC5/ORC6/CENPM/RNASEH2A/TIMELESS/BRCA2/PRIM2/CHEK1/RACGAP1/RRM2/CHEK2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	7.72180281644216e-07	1.93045070411054e-05	NA	0.421689772204837	156	SRSF10/STMN1/HMGN2/RPA2/SFPQ/NASP/MTF2/DR1/CKS1B/UCK2/CENPF/LBR/HNRNPU/ODC1/XPO1/MCM6/MAP3K20/BARD1/CUL3/DTYMK/SMARCC1/MCM2/STAG1/SMC4/TRA2B/NSD2/YTHDC1/HNRNPD/H2AZ1/CENPE/MAD2L1/SAP30/TENT4A/LMNB1/SLC12A2/PURA/G3BP1/PTTG1/PRP4K/E2F3/MAPK14/MCM3/SYNCRIP/CASP8AP2/AMD1/KATNA1/FBXO5/H2AZ2/DBF4/EZH2/SMC1A/ATRX/HMGB3/DKC1/WRN/SQLE/CKS2/SMC2/RAD23B/ABL1/POLA2/RBM14/KIF5B/KIF20B/MKI67/CCNT1/TMPO/KMT5A/POLE/PDS5B/CUL4A/TFDP1/CDKN3/ARID4A/MNAT1/FOXN3/RPS6KA5/NUSAP1/SMAD3/TLE3/GSPT1/MT2A/E2F4/CTCF/GINS2/CHMP1A/TOP2A/CBX1/SRSF1/KPNA2/JPT1/SRSF2/NDC80/SNRPD1/TOP1/UBE2C/TNPO2/UPF1/BCL3/UBE2S/HIRA/MCM5/NUP50/TPX2/BIRC5/ORC6/KNL1/BRCA2/PRIM2/CHEK1/RACGAP1/CHAF1A/EFNA5/H2BC12
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	1.81296280302786e-05	0.000293509207091464	NA	0.332308198073074	198	MFN2/SDHB/MRPS15/ATP6V0B/UQCRH/ACADM/ATP5PB/NDUFS2/SDHC/MGST3/ATP1B1/TIMM17A/FH/HADHB/COX7A2L/MDH1/SUCLG1/IMMT/MRPL35/COX5B/SLC25A12/ATP5MC3/MTX2/NDUFB3/NDUFS1/IDH1/SLC25A20/ALAS1/TOMM70/COX17/NDUFB4/NDUFB5/OPA1/ATP5ME/GRPEL1/NDUFC1/ETFDH/SLC25A4/NDUFS6/NNT/NDUFS4/COX7C/UQCRQ/VDAC1/NDUFA2/ATP6V0E1/NQO2/COX7A2/MPC1/NDUFA4/CYCS/ATP5MF/NDUFA5/ATP6V1F/NDUFB2/HCCS/PDHA1/HSD17B10/COX7B/SLC25A5/NDUFA1/AIFM1/IDH3G/VDAC3/ATP6V1H/MRPL15/DECR1/PDP1/UQCRB/COX6C/NDUFB6/FXN/NDUFA8/SURF1/PDHX/NDUFS3/COX8A/MRPL11/NDUFS8/CPT1A/NDUFC2/ACAT1/TIMM8B/SDHD/ATP5MG/ATP5F1C/PHYH/VDAC2/GLUD1/COX15/NDUFB8/CASP7/PRDX3/NDUFA9/ATP5MC2/SLC25A3/COX6A1/MTRF1/ATP6V1D/NDUFB1/COX5A/ETFA/IDH3A/MRPS11/IDH2/ECI1/UQCRC2/NDUFAB1/SLC25A11/ATP5MC1/COX11/ATP5PD/NDUFV2/ATP5F1A/ACAA2/CYB5A/ATP5F1E/NDUFS7/UQCR11/TIMM13/NDUFA7/NDUFB7/MRPL34/COX6B1/ECH1/MRPS12/TIMM50/BAX/ETFB/NDUFA3/ATP6V1E1/UQCR10/POLR2F/TOMM22/NDUFA6/ATP5PF
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	2.34807365673171e-05	0.000293509207091464	NA	0.328965754496798	197	TARDBP/SRM/HNRNPR/PSMB2/PABPC4/CTPS1/USP1/SERBP1/CCT3/HDGF/HNRNPU/ACP1/YWHAQ/ODC1/PPM1G/SRSF7/XPO1/CCT4/SNRPG/STARD7/DDX18/MCM6/PSMD14/SSB/HNRNPA3/HSPD1/HSPE1/ORC2/EEF1B2/PSMD1/UBE2E1/SMARCC1/TOMM70/MCM2/TRA2B/RFC4/NCBP2/DHX15/HNRNPD/EIF4E/H2AZ1/MAD2L1/ABCE1/CCT5/VDAC1/G3BP1/DEK/MRPS18B/LSM2/RPS10/SRPK1/SRSF3/GLO1/HSP90AB1/SYNCRIP/HDAC2/TCP1/EIF3B/HNRNPA2B1/CBX3/PSMA2/MCM7/IFRD1/SSBP1/PRPS2/EIF1AX/HPRT1/VBP1/VDAC3/MCM4/COPS5/PABPC1/RPS6/FAM120A/NCBP1/RAD23B/SET/RRM1/EIF4G2/RPS3/CLNS1A/DDX21/PRDX3/CDK2/PA2G4/PTGES3/XPOT/CCT2/NAP1L1/SLC25A3/PWP1/RPL6/RAN/TFDP1/HNRNPC/PSMC6/EIF2S1/ERH/EIF3J/DUT/COX5A/PSMA4/SNRPA1/RPS2/RNPS1/GSPT1/NDUFAB1/SF3B3/PSMD7/KARS1/YWHAE/PSMB3/NME1/SRSF1/KPNA2/SRSF2/TYMS/SNRPD1/TXNL4A/NOP56/PCNA/SNRPB2/EIF2S2/PSMA7/LSM7/PSMD8/FBL/PSMC4/RUVBL2/RPS5/TRIM28/RANBP1/UBE2L3/SNRPD3/MCM5
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.000167322617697205	0.00167322617697205	NA	0.431258481053616	87	ISG15/IFI44L/IFI44/GBP4/MOV10/ADAR/CMPK2/RSAD2/EIF2AK2/PNPT1/NMI/IFIH1/CASP8/SP110/CD47/PARP9/PARP14/PLSCR1/LAP3/HERC6/IL15/DDX60/PSMB8/PSMB9/TAP1/CMTR1/NCOA7/SAMD9/SAMD9L/PARP12/LY6E/TDRD7/TRIM14/IFITM3/IRF7/TRIM5/UBE2L6/CASP1/IFIT2/IFIT3/SLC25A28/STAT2/TRAFD1/OAS1/ELF1/EPSTI1/LPAR6/PSME1/PSME2/IRF9/PSMA3/IFI27/WARS1/B2M/ISG20/CNP/DHX58/IFI35/TRIM25/HELZ2/BST2/USP18/MX1/RTP4
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.00221639939108066	0.0184699949256722	NA	0.262767264819997	165	ISG15/PSMB2/IFI44L/IFI44/GBP4/ADAR/SLAMF7/CMPK2/RSAD2/EIF2AK2/PNPT1/MTHFD2/VAMP5/ST3GAL5/NMI/IFIH1/CASP8/SP110/MYD88/EIF4E3/PARP14/PLSCR1/TNFSF10/LAP3/HERC6/NFKB1/IL15/DDX60/CASP3/GZMA/ST8SIA4/IRF4/RIPK1/HLA-DRB1/HLA-DQA1/PSMB8/PSMB9/TAP1/HLA-DMA/TAPBP/CMTR1/PSMA2/FGL2/SRI/SAMD9L/NAMPT/IRF5/PARP12/LY6E/JAK2/RIGI/TDRD7/TRIM14/IFITM3/IRF7/UBE2L6/CASP4/CASP1/PFKP/IFIT2/IFIT3/IFIT1/SLC25A28/CASP7/PTPN6/CD69/STAT2/TRAFD1/OAS3/OAS2/EPSTI1/GPR18/PSME1/PSME2/IRF9/PSMA3/IFI27/WARS1/B2M/SPPL2A/ISG20/CIITA/SOCS1/MT2A/NLRC5/XAF1/CCL5/DHX58/STAT3/IFI35/TRIM25/SOCS3/RNF213/PTPN2/SAMHD1/NCOA3/ZBP1/HELZ2/BST2/USP18/APOL6/MX2/MX1/CD38/FAS/GCH1/RTP4/KLRK1
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.155222227039311	0.999958707731309	NA	0.116019896826442	137	RPA2/TAF12/AGO4/TAF13/POLR3GL/MPC2/CMPK2/DGUOK/POLE4/EIF1B/COX17/UMPS/POLR2H/RFC4/NCBP2/NUDT9/ERCC8/TAF9/SMAD5/POLR1H/REV3L/GTF2H5/RPA3/RALA/POM121/RFC2/POLR2J/POLA1/HPRT1/CETN2/BCAP31/POLB/POLR2K/RRM2B/VPS28/AK3/SURF1/SNAPC4/NELFB/TAF10/CSTF3/DDB2/STX3/FEN1/POLR2G/SAC3D1/POLA2/POLD3/ZWINT/RAD52/PRIM1/RFC5/GTF2H3/POLR1D/DAD1/DUT/GTF2A2/SNAPC5/NME3/ARL6IP1/POLR2C/TP53/NME1/SUPT4H1/ALYREF/TYMS/RNMT/ITPA/PCNA/SRSF6/ADA/NELFCD/ADRM1/POLR2I/ERCC2/ERCC1/LIG1/MRPL40/DGCR8/POLR2F/RBX1
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.256289801017339	0.999958707731309	NA	0.359628804072586	10	SRP9/SPCS1/ELP4/FOXO1/SRP14/SEC11A/NEUROD1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.26255715221473	0.999958707731309	NA	0.0989082640770383	89	PIK3R3/VAV3/RIT1/ACTR2/ACTR3/PDK1/CAB39/RAF1/MYD88/NCK1/MAPK10/EIF4E/DAPP1/UBE2D3/PLA2G12A/MAPK9/RIPK1/CSNK2B/MAP3K7/RAC1/RPS6KA3/IL2RG/MAPKAP1/TRAF2/HRAS/CFL1/GRK2/PPP1CA/PPP2R1B/PTEN/ITPR2/IRAK4/PRKAG1/CDK2/STAT2/TBK1/UBE2N/ARPC3/PTPN11/AKT1/TSC2/PRKCB/ACACA/MAP2K6/GRB2/RPTOR/SMAD2/YWHAB/MKNK2/PIN1/PAK4/MAPK1
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.270600703485097	0.999958707731309	NA	0.0823101722325446	116	CASP9/GNAI3/CTSS/S100A9/S100A12/CSRP1/CD46/PLEK/KYNU/GPD2/GCA/CASP10/DOCK10/RAF1/RBSN/GNAI2/PLSCR1/PIK3CA/LAP3/ANXA5/CASP3/GZMA/KIF2A/ATOX1/HSPA1A/PSMB9/GNB2/LAMP2/F8/CLU/PPP2CB/LYN/PDP1/JAK2/FCN1/IRF7/CTSD/CD59/PRCP/CTSC/CASP4/CASP1/XPNPEP1/DUSP5/CASP7/USP15/DYRK2/PRDM4/DGKH/GMFB/LGALS3/PSEN1/CALM1/SERPINA1/RASGRP1/USP8/PPP4C/AKAP10/CCL5/GNGT2/GRB2/USP14/CEBPB/PLAUR/CALM3/USP16/APOBEC3F
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.293356177282876	0.999958707731309	NA	0.0586265480397715	176	ENO1/PIK3R3/PHGDH/MLLT11/RIT1/CACYBP/NIBAN1/UCHL5/RAB1A/ACTR2/MTHFD2/IMMT/ACTR3/PSMD14/PDK1/HSPD1/HSPE1/IDH1/ACSL3/EDEM1/SLC6A6/MCM2/GMPS/TFRC/QDPR/USO1/DAPP1/UBE2D3/ELOVL6/SRD5A1/HMGCS1/DHFR/GLRX/STARD4/HSPA4/SSR1/EEF1E1/GCLC/SKAP2/PSPH/FGL2/PDAP1/NAMPT/IFRD1/CFP/EBP/HPRT1/GSR/MCM4/TCEA1/COPS5/SQLE/NFIL3/ARPC5L/PSMD13/FADS1/STIP1/CTSC/HMBS/IDI1/PPA1/P4HA1/GOT1/ADD3/TPI1/SHMT2/TBK1/UNG/ATP2A2/UFM1/PSMB5/ERO1A/PSMC6/PSMA3/ATP6V1D/RDH11/WARS1/PSMA4/SEC11A/NUPR1/CORO1A/CYB5B/RPA1/TMEM97/ACACA/TUBG1/NMT1/ATP5MC1/PSMD12/FDXR/EIF2S2/LDLR/PSMC4/TOMM40/SLC1A5/SDF2L1/XBP1/PSMG1/VLDLR/RRM2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.311610154351917	0.999958707731309	NA	0.125740743898308	42	LAMTOR5/NDUFS2/GLRX2/STK25/OXSR1/NDUFB4/GLRX/ATOX1/GCLC/IPCEF1/GSR/TXN/PFKP/PDLIM1/SELENOS/HMOX2/PRNP/SBNO2/CDKN2D/PRDX2/ERCC2/TXNRD2/NDUFA6/SOD1/ABCC1
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.375718871349159	0.999958707731309	NA	0.0917934119749708	43	HAX1/STAM2/MYD88/IL6ST/TNF/BAK1/IFNGR1/IL2RG/CBL/A2M/STAT2/PTPN11/IRF9/SOCS1/STAT3/GRB2/SOCS3/PTPN2/TYK2/IL17RA/IL10RB/IFNAR1/CD38/FAS/PF4
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.395968881632689	0.999958707731309	NA	0.0570660340521546	74	TMEM50A/GNAI3/ELK4/DBI/STK39/XRCC5/ACSL3/NGLY1/GPD1L/HERC3/SPCS3/ANKH/HMGCS1/IQGAP2/SRP19/SLC26A2/FKBP5/SRF/PGM3/SGK1/CDK6/RPS6KA3/SMS/SAT1/GSR/FADS1/IDI1/SLC38A2/PA2G4/CAMKK2/TSC22D1/AKT1/B2M/MAF/CENPN/MYL12A/VAPA/LMAN1/PMEPA1/ADRM1/ABCC4/BMPR1B
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.401561026198574	0.999958707731309	NA	0.0745006273881751	47	LPIN1/GMCL1/TSN/STAM2/AGFG1/TOPBP1/RFC4/RPL39L/RAD17/SLC12A2/DBF4/BRAF/EZH2/VDAC3/TLE4/STRBP/TALDO1/CLPB/SIRT1/CHFR/IFT88/CDKN3/ZC3H14/CSNK2A2/PIAS2/NF2/PSMG1
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.408199680798557	0.999958707731309	NA	0.0441269783446564	96	ACP1/ID2/KYNU/IDH1/SLC6A6/ALAS1/SSR3/CASP6/ETFDH/MARCHF6/MCCC2/SAR1B/CYFIP2/BPHL/GCLC/MAN1A1/CROT/PGRMC1/HPRT1/GSR/ACP2/TKFC/GSTO1/TMBIM6/CSAD/PTGES3/SHMT2/ATP2A2/ALDH2/DHRS1/MTHFD1/ENTPD5/ARPP19/FAH/CES1/MT2A/KARS1/TMEM97/NMT1/SLC35B1/LPIN2/CYB5A/CNDP2/GSS/NFS1/LONP1/ECH1/SLC1A5/COMT/GART/CBR1/FAS/SLC35D1/GCH1
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.511221300080492	0.999958707731309	NA	0.00630551290968911	146	KIF1B/CDC42/KIFAP3/ARL8A/CENPF/SOS1/CCDC88A/NCK2/CLASP1/ALS2/PPP4R2/NCK1/SMC4/DLG1/RFC1/PKD2/CENPE/ARHGAP10/RICTOR/RASA1/APC/LMNB1/DOCK2/RANBP9/KATNA1/FBXO5/HDAC6/SMC1A/OPHN1/PCM1/HOOK3/ARFGEF1/CDK5RAP2/CNTRL/ABL1/TSC1/SAC3D1/ARHGEF12/NET1/KIF5B/VCL/KIF20B/SMC3/TUBGCP2/CLIP1/TUBGCP3/ARF6/NIN/DYNC1H1/KLC1/TUBGCP5/NUSAP1/AKAP13/ABR/YWHAE/NF1/TOP2A/DYNLL2/TUBD1/NDC80/RALBP1/CEP192/ROCK1/KIF3B/MAPRE1/CEP250/PREX1/MYO9B/MARK4/CYTH2/TUBGCP6/PCNT/TPX2/BIRC5/PLEKHG2/BRCA2/SASS6/RACGAP1/CNTROB/KNTC1
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.542238979674086	0.999958707731309	NA	-0.00192636493548765	145	SDHB/CMPK1/SCP2/ACADM/DBT/DRAM2/SDHC/MGST3/PPP1R15B/ATL2/PPM1B/SUCLG1/ELMOD3/PTCD3/IMMT/GPD2/TANK/HIBCH/NABP1/IDH1/NKIRAS1/GRPEL1/QDPR/CCNG2/HADH/ELOVL6/REEP5/UQCRQ/RREB1/IFNGR1/NDUFA5/ABCB8/COX7B/AIFM1/IDH3G/MRPL15/DECR1/DGAT1/PLIN2/UCK1/TALDO1/CD151/NDUFS3/MTCH2/COX8A/VEGFB/PHLDB1/PHYH/CHUK/PRDX3/ALDH2/COX6A1/COQ5/ACADS/DNAJC15/SQOR/IDH3A/FAH/NDUFAB1/SULT1A1/COQ9/DHRS7B/NMT1/TOB1/RIOK3/ACAA2/UQCR11/NDUFB7/SLC27A1/ECH1/LIPE/SLC1A5/ETFB/BCL2L13/SLC25A1/CHCHD10/UQCR10/SOD1/AGPAT3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.547496095558007	0.999958707731309	NA	0.00426251746671724	53	FBXO6/FDPS/HSD17B7/NIBAN1/ATF3/CTNNB1/PLSCR1/CPEB2/ANXA5/HMGCS1/STARD4/PNRC1/EBP/FDFT1/CLU/FABP5/TP53INP1/SQLE/NFIL3/IDI1/ATXN2/LGALS3/TMEM97/ACTG1/PCYT2/FASN/LDLR/ECH1/PLAUR
