pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.2010472262397152	0.4569255141811709		0.22517122131429512	200	CD151;AIFM1;JAGN1;NDUFS3;GPX4;DHRS7B;DNAJB9;IFNGR1;TANK;ACADM;COX7B;CHCHD10;DNAJC15;SCP2;PEX14;HADH;DDT;PPM1B;UBC;ATP5PO;HIBCH;GPD2;COQ5;UQCR11;SLC1A5;ARAF;AGPAT3;CCNG2;ACAA2;ACO2;UQCR10;STOM;MGST3;NKIRAS1;LIPE;ETFB;PTCD3;PEMT;DLD;UQCRC1;PPP1R15B;UQCRQ;ATL2;TOB1;PRDX3;ATP1B3;MDH2;SUCLG1;SOD1;POR;AK2;DHCR7;UBQLN1;DBT;TKT;IDH3A;CAVIN2;UCK1;ALDOA;RREB1;NDUFB7;GHITM;EPHX2;LPCAT3;SLC27A1;NDUFA5;ARL4A;SULT1A1;REEP5;PGM1;PHLDB1;MIGA2;NMT1;NABP1;SLC25A1;TALDO1;GBE1;FAH;ECH1;GADD45A;STAT5A;CMPK1;PDCD4;ALDH2;BCKDHA;VEGFB;ELOVL6;SAMM50;DGAT1;PHYH;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.05597674291661912	0.23022419045481055		0.425994101208418	200	TAP2;IL2RG;WAS;ST8SIA4;ABI1;HDAC9;LCP2;RPL39;IFNGR1;HLA-DRA;NPM1;FYB1;IKBKB;CD247;GZMA;KLRD1;HLA-DMA;DEGS1;STAT1;CXCR3;RPS9;JAK2;EIF5A;EIF3D;CD74;CD47;F2R;HLA-DMB;CCL5;RPS3A;CD3D;BRCA1;CD8A;CTSS;IRF7;NCK1;LYN;EIF3A;CRTAM;ZAP70;SIT1;PTPN6;RPL9;STAT4;CD96;EIF4G3;GBP2;APBB1;BCL3;B2M;IL16;IL18RAP;HLA-A;ITGAL;CD3E;ICAM1;HLA-E;CCR5;TNF;HLA-DOA;TAP1;FASLG;CD7;PRKCB;SOCS1;CDKN2A;CSK;CD28;HLA-DQA1;LTB;FGR;IL2RB;SRGN;HCLS1;RPS19;EIF3J;CCND3;CFP;CD2;GPR65;GALNT1;TGFB1;ETS1;ACVR2A;CD3G;IFNG;PF4;TRAT1;NCR1;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.1252304965699599	0.34942406504951534		0.43450127945723727	101	CAMKK2;TNFAIP8;UBE2I;CENPN;BMPR1B;ANKH;TMEM50A;PMEPA1;XRCC6;UBE2J1;ABCC4;DBI;DNAJB9;ZBTB10;SLC38A2;UAP1;HPGD;RRP12;HMGCS1;ARID5B;GNAI3;NGLY1;MAF;MYL12A;PIAS1;IQGAP2;GSR;SPCS3;STK39;TSC22D1;ACTN1;INPP4B;B2M;NCOA4;FADS1;CCND3;ADRM1;SAT1;B4GALT1;SGK1;INSIG1;SRF;FKBP5;SLC26A2;HERC3;ELK4;RPS6KA3;ELOVL5;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.816847564985147	0.9330259180284044		-0.5261715766125664	36	VCAN;S100A4;LRPAP1;PF4;PDGFA
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.05985828951825074	0.23022419045481055		0.5429654294418733	200	AMIGO2;DLG1;SGCE;GNAI2;GAMT;SYMPK;LDLRAP1;RHOF;LIMA1;PALS1;NF2;CLDN11;MAPK13;PTEN;MAPK14;RAC2;RASA1;FYB1;AKT3;INPPL1;TSC1;ADAM15;PFN1;SKAP2;WASL;MVD;NF1;MAP3K20;STX4;ICAM2;HRAS;CAP1;CTNNA1;GTF2F1;ACTN1;HADH;MSN;ZYX;PKD1;VCL;SORBS3;ACTB;MYL12B;B4GALT1;VCAN;INSIG1;VASP;YWHAH;TUBG1;NEGR1;PBX2;CD99;ICAM1;TIAL1;ITGB1;MYL9;MYH9
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.48636891435985713	0.7844659909029954		0.14215433517935908	44	AKAP7;BRCA1;LYN;GATA3;EFNA5;IL2RG;MAL;NCOA6;CRYBG1;FLOT2;IL2RB;PLAUR;B4GALT1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.007194762962033901	0.05995635801694917		0.7224934014223973	161	CASP6;ANKH;SPTAN1;GPX4;DFFA;RHOT2;LMNA;IFNGR1;PPP3R1;CFLAR;DPYD;BAX;CASP2;SAT1;CASP1;MCL1;RELA;EBP;PLCB2;F2R;IRF1;GSR;IGF2R;IFITM3;LEF1;ANXA1;BRCA1;VDAC2;ATF3;TOP2A;XIAP;CASP4;FDXR;RNASEL;CASP9;GADD45B;JUN;CTNNB1;SATB1;DAP3;DNM1L;SOD1;WEE1;CD69;CREBBP;PPT1;SLC20A1;CASP8;RARA;TXNIP;CDC25B;TNF;BID;TAP1;ISG20;PMAIP1;CLU;RHOB;FASLG;ADD1;CYLD;SQSTM1;ROCK1;TNFSF10;CDK2;DNAJA1;GSTM1;PSEN1;DAP;GADD45A;PDCD4;ENO2;CDKN1B;FEZ1;CD2;BNIP3L;HMGB2;CD38;CD44;GCH1;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.7823223853046276	0.9330259180284044		-0.25906453670979507	112	LONP2;NEDD4;SOD1;SLC27A5;HACL1;HSD17B4;PEX26;CYP46A1;ABCA5;GNPAT;LIPE;PXMP2;PEX6;SCP2;EFHC1;OPTN;SULT1B1;CROT;PEX19;FADS1;PEX16;HSD17B11;MLYCD;ATXN1;FDXR;EPHX2;IDH2;PHYH;PEX1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.8546396360242975	0.9330259180284044		-0.3671327540968536	74	PCYT2;SQLE;CLU;S100A11;STARD4;LDLR;DHCR7;STX5;ATF3;FBXO6;HMGCS1;HSD17B7;TP53INP1;MVD;CPEB2;ANXA5;ECH1;GUSB;NFIL3;PNRC1;PLAUR;FABP5;ATXN2;ALDOC;ANTXR2;EBP;PLSCR1;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9dbab10c_wilcoxon	census_scrna__9dbab10c_wilcoxon	0.8490104256484093	0.9330259180284044		-0.3930000394844643	138	TF;USP11;CLU;ISCU;ANXA1;SERPINA1;GNB2;CFD;LAMP2;DPP4;FYN;SPARC;RAC1;CRIP2;RABIF;CASP9;CAPN2;PLEK;PF4;LTA4H;DUSP14;A2M
