pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.00224297083862668	0.112148541931334	NA	0.146080939081242	124	PIK3CD/PEX14/PRDM2/PIK3R3/PLPP3/ADGRL2/DDAH1/CCN1/TGFBR3/F3/NOTCH2/PIAS3/NEK7/ATP2B4/CDC42BPA/AKT3/LTBP1/PRKCE/EFEMP1/ANXA4/FHL2/ACVR2A/RND3/TFPI/COL3A1/COL5A2/IGFBP5/BHLHE40/PPARG/NR1D2/TGFBR2/MGLL/ATP2C1/RASA2/DLG1/APBB2/YTHDC1/PDLIM5/NFKB1/INPP4B/TENT4A/NIPBL/DAB2/MAP1B/AGGF1/NR3C1/PDGFRB/DUSP1/ATXN1/MAPK14/PHF3/BCKDHB/FYN/GJA1/SYNE1/SCAF8/SYNJ2/MIOS/ICA1/CDK13/MAGI2/SRI/COL1A2/SERPINE1/PRKAR2B/CAV1/ARHGEF9/ATRX/DLC1/RBPMS/SDC2/MYC/NFIB/GCNT1/VAV2/RXRA/WDR37/KCNMA1/ZMIZ1/BMPR1A/PTEN/ADD3/GRK5/MGMT/ATP2B1/SLC7A1/MRPS31/TOGARAM1/DMAC2L/SIPA1L1/MTA1/TJP1/ANXA2/SMAD3/MAP2K5/IGF1R/MT1E/PMP22/ERBB2/SPOP/COL1A1/PTPRM/SMAD7/ATRN/PLCB4/ID1/LDLR/DBP/RUNX1/DYRK1A/ABCC1/MET/SFMBT1/ADORA2B/LPAR1
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.00508778322970579	0.127194580742645	NA	0.120037786410504	157	KIF1B/CAPZB/WASF2/EPB41/ARHGAP29/NOTCH2/ARHGEF11/KIFAP3/RASAL2/ARL8A/CENPF/CDC42BPA/SOS1/LRPPRC/SPTBN1/CCDC88A/ALMS1/NCK2/BCL2L11/CLASP1/RAB3GAP1/TLK1/TUBA4A/ATG4B/ARHGEF3/FLNB/PPP4R2/NCK1/RASA2/SMC4/ECT2/DLG1/RFC1/PDLIM5/PALLD/SORBS2/TRIO/RICTOR/RASA1/APC/LMNB1/SYNPO/DOCK2/NEDD9/RANBP9/CD2AP/DST/MARCKS/EPB41L2/KATNA1/LATS1/EZR/FSCN1/RAPGEF5/DOCK4/WASL/MID1IP1/UXT/HDAC6/SMC1A/OPHN1/ARHGAP4/FLNA/PCM1/HOOK3/ARFGEF1/CDK5RAP2/CNTRL/GSN/RABGAP1/SPTAN1/ABL1/TSC1/ARFIP2/CKAP5/CDC42EP2/CTTN/NUMA1/CEP57/ARHGEF12/NET1/ABI1/KIF5B/CDK1/VCL/KIF20B/PCGF5/SMC3/TUBGCP2/STK38L/FGD4/PXN/RHOF/CLIP1/FARP1/ARHGEF7/TUBGCP3/ARHGAP5/ARF6/NIN/DYNC1H1/KLC1/NUSAP1/AKAP13/RHOT2/KIF22/TAOK2/ABR/PAFAH1B1/SSH2/NF1/ARHGAP27/CDC27/DYNLL2/TUBD1/CDC42EP4/SEPTIN9/ARHGDIA/CSNK1D/TBCD/RALBP1/CEP192/ROCK1/KIF3B/MAPRE1/CEP250/STAU1/MYO9B/ACTN4/MARK4/CYTH2/BCR/MYH9/SUN2/TUBGCP6/TIAM1/ITSN1/PCNT/PLEKHG2/MID1/CLIP2/BRCA2/RAPGEF6
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0100496453697376	0.167494089495627	NA	0.122997325968201	126	LDLRAP1/SDC3/CAP1/PIK3R3/NEXN/ADAM15/NECTIN4/MPZL1/PTPRC/AKT3/ACTG2/ARPC2/GNAI2/CD86/PIK3CB/DLG1/SLIT2/HADH/FYB1/ITGA2/VCAN/RASA1/TGFBI/CTNNA1/PCDH1/DHX16/MAPK14/MAPK13/EPB41L2/ACTB/FSCN1/SKAP2/EGFR/CLDN4/GNAI1/SGCE/WASL/EXOC4/CD99/MSN/ARHGEF6/BMP1/SORBS3/ADAM9/PTK2/B4GALT1/SYK/CRAT/TSC1/VAV2/TSPAN4/PARVA/MDK/CTNND1/INPPL1/LAYN/MPZL2/THY1/NECTIN1/RSU1/VCL/PTEN/TIAL1/VWF/AMIGO2/LIMA1/RHOF/CDK8/PALS1/ACTN1/TJP1/FBN1/PKD1/TAOK2/STX4/MMP2/CX3CL1/CDH11/CDH1/MVD/PFN1/NF1/JUP/TUBG1/ITGA3/ICAM2/ITGB4/BAIAP2/ACTG1/MYL12B/LAMA3/SIRPA/MYL9/SRC/MMP9/GTF2F1/CRB3/ICAM1/ACTN4/AKT2/NECTIN2/VASP/SYMPK/RRAS/NF2/YWHAH/MYH9/RAC2/TRAF1/LAMC2/CDH3/CD274/NEGR1/LAMB3/IKBKG
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0228925982829374	0.286157478536717	NA	0.102784105078692	140	DHRS3/KAZN/NBL1/SFN/SLC2A1/SLC16A1/OLFML3/MUC1/ISG20L2/SLC19A2/ELF3/OPN3/FHL2/MLPH/BHLHE40/SH3BP5/CISH/FLNB/LRIG1/SIAH2/TIPARP/HES1/AREG/AFF1/PDLIM3/RETREG1/IL6ST/MAST4/SNX24/SLC26A2/WWC1/TPBG/GJA1/TPD52L1/RPS6KA2/PODXL/DYNLT3/GLA/TMEM164/ZNF185/FDFT1/DLC1/EGR3/KLF10/SYBU/MYC/JAK2/B4GALT1/BAG1/AQP3/EEIG1/PTGES/NAV2/CD44/PLAAT3/RHOD/ALDH3B1/CCND1/NADSYN1/TSKU/GAB2/PRSS23/ENDOD1/SVIL/CXCL12/MYOF/RRP12/ARL3/ADD3/ABLIM1/INPP5F/SCNN1A/KRT8/KRT18/CHPT1/MED13L/NCOR2/ELF1/FARP1/FOS/ITPK1/BCL11B/CA12/THSD4/ABHD2/IGF1R/ABCA3/ADCY9/ABAT/AMFR/MED24/RARA/IGFBP4/KRT19/TOB1/AKAP1/NHERF1/CANT1/FASN/RAB31/RBBP8/SLC39A6/PMAIP1/BCL2/TGIF2/TGM2/TJP3/KDM4B/BLVRB/SULT2B1/XBP1/SYNGR1/CELSR1/NRIP1/TIAM1/TFF3/TFF1/SLC37A1/SLC7A5/RAPGEFL1/KLK10/SLC27A2/LAD1/KRT15/KRT13/MSMB
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0428613972276185	0.399415451582895	NA	0.115624450852116	87	ISG15/IFI44L/IFI44/GBP2/GBP4/CSF1/MOV10/SELL/CMPK2/RSAD2/EIF2AK2/PNPT1/NMI/IFIH1/CASP8/SP110/CCRL2/UBA7/CD47/PARP9/PARP14/PLSCR1/LAP3/HERC6/DDX60/IRF2/IRF1/CD74/GMPR/PSMB8/CMTR1/TENT5A/NCOA7/SAMD9/SAMD9L/TMEM140/PARP12/NUB1/RIPK2/TRIM14/IFITM2/IFITM1/IFITM3/IRF7/TRIM21/UBE2L6/CASP1/IFIT2/IFIT3/SLC25A28/C1S/STAT2/TRAFD1/OAS1/OASL/ELF1/EPSTI1/LPAR6/PSME2/IRF9/PSMA3/WARS1/B2M/ISG20/CNP/DHX58/IFI35/TRIM25/LGALS3BP/PROCR/OGFR/HELZ2/BST2/IFI30/USP18/MX1/RTP4/CXCL10/CXCL11
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0479298541899474	0.399415451582895	NA	0.143755886134998	54	MTHFR/FGGY/IFI44L/TENT5C/COQ8A/RSAD2/DTNB/TCF7L1/TFCP2L1/NR4A2/MFSD6/BARD1/IGFBP2/SKIL/SELENOP/SYNPO/EDN1/CDKAL1/SGK1/LFNG/VPS50/NR6A1/GTF3C5/PTPRJ/CAMK1D/CPEB3/KMT2D/SLC16A7/SNN/GPRC5C/SERPINB2/MAST3/MX1/TG/FGFR3/CD80/LYPD3/SLC25A23/EDN2/BMPR1B/SCGB1A1/THRB/SPRR3/KRT4/KRT15/KRT13/PRKN/KRT5/LGALS7/SLC6A14
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.069514410769521	0.416433450662206	NA	0.0797004919656507	140	TNFRSF1B/EPHB2/FUCA1/LAPTM5/YRDC/TSPAN1/EVI5/PTBP2/CTSS/FCER1G/RABGAP1L/TOR1AIP2/RGS16/PTGS2/CFH/G0S2/ID2/ADAM17/TRIB2/STRN/IL1B/GYPC/WDR33/CXCR4/TFPI/SATB1/DCBLD2/ZNF639/ETV5/ST6GAL1/APOD/EREG/SPARCL1/SPP1/GUCY1A1/CPE/CBR4/FBXO4/ITGA2/MAP3K1/ATG10/GLRX/HBEGF/DOCK2/F13A1/PSMB8/AKAP12/TSPAN13/HDAC9/GPNMB/AVL9/INHBA/IGFBP3/IKZF1/LAT2/CROT/GNG11/ZNF277/TMEM176B/TMEM176A/CSF2RA/TSPAN7/IL2RG/AMMECR1/PLAT/LY96/CA2/TRIB1/IL33/ENG/SPON1/RBM4/BIRC3/IL10RA/MPZL2/CBL/VWA5A/PLAU/CCSER2/RBP4/DNMBP/ADAM8/CCND2/C3AR1/CLEC4A/EMP1/DUSP6/CMKLR1/USP12/LCP1/CAB39L/SPRY2/ITGBL1/NIN/MTMR10/IRF8/JUP/EPB41L3/BTBD3/MAFB/MMP9/RETN/ANGPTL4/AKT2/PLAUR/PPP1R15A/CD37/ITGB2/TRAF1/CDADC1/KCNN4/CCL20/GALNT3/PRRX1/SLPI/ALDH1A2/MAP7/MALL/PIGR/PPBP/TMEM100/MMP10/CXCL10/CFB
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0799673605655569	0.416433450662206	NA	0.0680864843306027	173	ISG15/PSMB2/PDE4B/IFI44L/IFI44/GBP4/FCGR1A/SLAMF7/PTGS2/CFH/CMPK2/RSAD2/EIF2AK2/PNPT1/PELI1/MTHFD2/VAMP8/VAMP5/ST3GAL5/NMI/TNFAIP6/IFIH1/STAT1/STAT4/CASP8/SP110/MYD88/CD86/PARP14/PLSCR1/TNFSF10/LAP3/HERC6/NFKB1/MARCHF1/DDX60/IRF2/CASP3/GZMA/ST8SIA4/ISOC1/IRF1/CD74/LCP2/RIPK1/PSMB8/CDKN1A/PIM1/CMTR1/SOD2/ARL4A/NOD1/UPP1/AUTS2/FGL2/SRI/SAMD9L/NAMPT/IRF5/PARP12/RIPK2/JAK2/RIGI/TRIM14/IFITM2/IFITM3/IRF7/TRIM21/UBE2L6/SERPING1/IL18BP/CASP4/CASP1/IL10RA/IL15RA/ARID5B/IFIT2/IFIT3/IFIT1/SLC25A28/CASP7/PTPN6/C1S/C1R/CD69/STAT2/BTG1/CMKLR1/TRAFD1/OAS3/OAS2/OASL/LATS2/EPSTI1/PNP/PSME2/IRF9/NFKBIA/PSMA3/HIF1A/WARS1/B2M/LYSMD2/PML/ISG20/SOCS1/MT2A/NUP93/PSMB10/IRF8/XAF1/CCL2/CCL7/CCL5/DHX58/IFI35/TRIM25/SOCS3/LGALS3BP/RNF213/SECTM1/RBCK1/SAMHD1/CD40/NCOA3/PTPN1/OGFR/HELZ2/ICAM1/BST2/IFI30/FPR1/USP18/APOL6/CSF2RB/IFNAR2/MX2/MX1/CD38/FAS/PLA2G4A/CD274/IDO1/GCH1/IL6/RTP4/CXCL9/RAPGEF6/CXCL10/CXCL11/TMT1B/CFB
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.0909228371414411	0.416433450662206	NA	0.0742149528819209	136	NBL1/GALE/SFN/JAK1/SLC16A1/S100A9/ATP2B4/OPN3/ID2/DUSP2/CISH/FLNB/SIAH2/AREG/AFF1/CPE/PDLIM3/MOCS2/IL6ST/SLC26A2/MAPK13/SLC29A1/TPBG/TPD52L1/SGK1/PERP/RPS6KA2/TSPAN13/AGR2/SNX10/PRKAR2B/CAV1/DYNLT3/GLA/HPRT1/FDFT1/EGR3/FABP5/CA2/GFUS/JAK2/BAG1/UNC13B/SLC2A8/EEIG1/PTGES/ASS1/PKP3/CD44/MDK/PLAAT3/ALDH3B1/CCND1/PRSS23/ST14/DNAJC1/CXCL12/DLG5/MYOF/ARL3/ADD3/PDCD4/CD9/SCNN1A/PTPN6/NAB2/CHPT1/NCOR2/FARP1/METTL3/FOS/BATF/ITPK1/CKB/SORD/CA12/HOMER2/ISG20/ABHD2/ABCA3/EMP2/AMFR/CDH1/RABEP1/ALDH3A2/IGFBP4/KRT19/TOB1/NHERF1/LLGL2/DCXR/RAB31/IMPA2/RBBP8/BCL2/TJP3/LSR/ZFP36/BLVRB/SULT2B1/ETFB/XBP1/LARGE1/TST/NRIP1/TIAM1/TFF3/TFF1/LTF/LAMC2/FGFR3/ST6GALNAC2/SLC7A5/RAPGEFL1/KLK10/TRIM29/SLC27A2/PLXNB1/KLK11/KRT13
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.105252086976079	0.416433450662206	NA	0.0912884662408623	84	CASP9/C1QA/PEF1/GNG12/F3/CTSK/S100A13/CFH/RABIF/CAPN2/PLEK/KLF7/FN1/ARF4/P2RY1/WDR1/CFI/FGG/ITGA2/SPARC/C2/PREP/FYN/RAC1/GNB2/SERPINE1/USP11/TIMP1/LAMP2/F8/CTSB/BMP1/ADAM9/PLAT/ANXA1/GSN/SERPING1/CAPN5/PRSS23/MSRB2/PLAU/HTRA1/VWF/CD9/C1S/C1R/A2M/OLR1/LRP1/DUSP6/ISCU/ANG/MMP14/LGMN/CRIP2/THBS1/FBN1/CTSH/FURIN/MMP2/DUSP14/SERPINB2/THBD/MMP9/CFD/C3/APOC1/TIMP3/MAFF/COMP/C9/MMP7/MMP10/CTSE/CFB
