pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.9686256286397005	0.9999793841363049		-0.4880595563080593	200	CD151;SCARB1;APOE;JAGN1;AIFM1;NDUFS3;GPX4;ANGPT1;DNAJB9;GRPEL1;FABP4;DRAM2;TANK;ACADM;COQ9;COX7B;BAZ2A;MCCC1;CHCHD10;DNAJC15;SDHC;SCP2;PEX14;MYLK;HADH;PPM1B;IDH1;ESRRA;UBC;ATP5PO;MTCH2;GPAM;HIBCH;COQ5;ELMOD3;SSPN;PIM3;SLC1A5;ARAF;GPX3;COQ3;PFKFB3;CDKN2C;CHUK;IMMT;AGPAT3;ACAA2;ACO2;SPARCL1;PTGER3;STOM;COX6A1;ACLY;MGST3;NKIRAS1;DHRS7;ENPP2;RIOK3;CYP4B1;COL4A1;ACADS;PTCD3;DLD;ITSN1;SOWAHC;UQCRC1;PPP1R15B;UQCRQ;G3BP2;UCP2;RTN3;ATL2;YWHAG;ABCB8;TOB1;PRDX3;ATP1B3;MDH2;ANGPTL4;SUCLG1;SOD1;POR;ACOX1;DHCR7;MGLL;RAB34;SLC66A3;ABCA1;UBQLN1;ITIH5;SLC25A10;COL15A1;ADIPOR2;CAT;DBT;TKT;FZD4;IDH3A;CAVIN2;CYC1;ALDOA;RREB1;APLP2;CD302;GPHN;NDUFB7;GHITM;LPCAT3;HSPB8;SLC27A1;LPL;NDUFA5;SULT1A1;REEP5;PGM1;PHLDB1;ESYT1;NMT1;COX8A;NABP1;SLC25A1;CAVIN1;ADCY6;DECR1;TALDO1;GBE1;MAP4K3;GADD45A;STAT5A;CMPK1;PDCD4;NDUFAB1;ALDH2;MRPL15;BCKDHA;PREB;VEGFB;ELOVL6;SAMM50;PHYH;SQOR;OMD
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.02899317925967523	0.24160982716396026		0.8975751331924163	200	TRAF2;TAP2;IL18;ABI1;RPL39;IL1B;NPM1;FYB1;IKBKB;CCL11;CCL19;DEGS1;RPS9;EGFR;JAK2;EIF5A;EIF3D;CD74;ABCE1;LIF;CD47;F2R;THY1;CCL5;CCND2;MTIF2;IL15;RARS1;IFNAR2;ELF4;PSMB10;PRKCG;IRF4;RIPK2;CTSS;IRF7;MAP3K7;NCK1;CXCL9;EIF3A;RPL9;IFNGR2;INHBB;AARS1;FAS;CXCL13;FCGR2B;CAPG;EIF4G3;GBP2;APBB1;FLNA;NME1;BCL3;B2M;MRPL3;IL16;C2;TPD52;CCL4;TLR2;GLMN;ICAM1;TAP1;CCL2;TIMP1;DARS1;PRKCB;SOCS5;SOCS1;TLR3;CDKN2A;CSK;TAPBP;IL2;CCL7;SRGN;RPS19;IL6;CCND3;GALNT1;TGFB1;UBE2D1;ETS1;TGFB2;UBE2N;PF4;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.5206420917893293	0.9999793841363049		0.014049320233040534	101	CAMKK2;TNFAIP8;TMEM50A;ELL2;PGM3;ITGAV;PTPN21;SEC24D;PMEPA1;XRCC6;PLPP1;CCND1;DHCR24;RAB4A;DBI;DNAJB9;ACSL3;SLC38A2;UAP1;ABHD2;HPGD;AKT1;HMGCS1;LMAN1;AKAP12;GNAI3;ARID5B;HMGCR;NGLY1;MYL12A;SRP19;PDLIM5;SMS;APPBP2;STK39;SELENOP;ACTN1;SPCS3;B2M;TSC22D1;GPD1L;PA2G4;NCOA4;TPD52;FADS1;STEAP4;CCND3;ADRM1;SAT1;B4GALT1;HOMER2;IDI1;INSIG1;ELOVL5;ADAMTS1;XRCC5;KRT19;FKBP5;SORD;ALDH1A3;NDRG1;SLC26A2;VAPA;ELK4;RPS6KA3;GSR;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.006177825510488787	0.10296375850814646		3.5081826612203124	36	TIMP1;ITGAV;POSTN;FGFR1;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;JAG1;THBD;LUM;APP;NRP1;VTN;COL5A2;KCNJ8;FSTL1;VEGFA;PDGFA;VCAN;VAV2;MSX1;LRPAP1;PF4;LPL;CCND2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.010726970441462393	0.10726970441462393		0.9705683427284062	200	DLG1;BAIAP2;TAOK2;SYMPK;NECTIN1;NRXN2;ADAMTS5;ACTA1;CERCAM;RASA1;FYB1;INPPL1;PFN1;NECTIN3;HRAS;CAP1;NFASC;GTF2F1;ACTN1;EGFR;CNN2;HADH;SHC1;THBS3;MSN;ZYX;ACTG1;PLCG1;TJP1;LAMC2;SPEG;SDC3;THY1;CD34;MYH9;CNTN1;CTNND1;NEXN;PTK2;AKT3;FSCN1;ADAM15;TSC1;VCAM1;GNAI1;NF1;MYH10;CTNNA1;PKD1;VCL;ACTB;EVL;VCAN;VAV2;IRS1;YWHAH;JUP;NEGR1;TIAL1;CDH11;COL16A1;CDH4;TMEM8B;TGFBI;EXOC4;SIRPA;CDK8;IKBKG;LIMA1;MAPK14;PARVA;RSU1;PARD6G;WASL;ADAM9;ADAM23;MMP2;DHX16;AKT2;SORBS3;B4GALT1;ARPC2;PPP2R2C;INSIG1;EPB41L2;TNFRSF11B;PBX2;ICAM1;ITGB1;ARHGEF6;BMP1;GNAI2;GAMT;ACTG2;LDLRAP1;NF2;CD276;MAP3K20;CADM3;RRAS;ITGA9;NRTN;SRC;MYL12B;FLNC;MDK;TSPAN4;NLGN2;TUBG1;FBN1;ACTN4;MYL9
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.19101505001482694	0.6367168333827565		0.905346223480609	44	TMEM8B;PCSK9;EFNA5;GAS1;RTN4RL1;SRPX;ADIPOR2;AKAP7;APP;CROCC;DCBLD2;SCUBE1;EPHB4;MDGA1;ATP8B1;ADAM10;PLAUR;AFAP1L2;B4GALT1;HSPB1;NCOA6;SULF2;THY1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.8149966430977332	0.9999793841363049		-0.27072258726029297	161	PPP2R5B;IL18;SPTAN1;GSN;GPX4;DFFA;RHOT2;LMNA;PPP3R1;BMP2;CFLAR;GCH1;IL1B;BAX;CASP2;HGF;SAT1;LGALS3;TSPO;CASP1;MCL1;TIMP3;SOD2;EBP;GPX3;F2R;IRF1;GSR;ERBB2;CCND2;IFITM3;LEF1;ANXA1;PTK2;BCL2L2;VDAC2;ATF3;TOP2A;XIAP;CASP4;BCL2L1;NEDD9;CASP3;HMOX1;DNAJC3;CAV1;FDXR;RNASEL;IGFBP6;MGMT;TIMP2;GADD45B;JUN;CTNNB1;FAS;SATB1;PSEN2;DAP3;DNM1L;SOD1;PLAT;WEE1;BTG2;MMP2;BGN;CREBBP;DCN;PPT1;SLC20A1;RARA;HSPB1;SC5D;BIRC3;CDC25B;BCL2L11;GPX1;TAP1;TIMP1;PMAIP1;RHOB;ADD1;CCND1;CYLD;SQSTM1;ROCK1;CDK2;EMP1;DNAJA1;GSTM1;LUM;APP;PSEN1;GADD45A;IL6;PDCD4;CD14;ENO2;CDKN1B;PDGFRB;FEZ1;BNIP3L;HMGB2;TGFB2;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.8764362951842077	0.9999793841363049		-0.4875532204540189	112	LONP2;NEDD4;ALDH9A1;SOD1;PEX13;BCAR3;DHCR24;ACSL5;PEX12;ABCA1;ABCD3;HSD17B4;ABCA2;ABCA5;SLC29A1;GNPAT;PNPLA8;ISOC1;SLC23A2;ABCD1;SCP2;GCLM;AR;PEX6;CAT;CYP39A1;GSTK1;CROT;IDH1;ABCA3;FADS1;RXRA;HSD17B11;MLYCD;ATXN1;FDXR;RBP1;ABCA6;SLC35B2;CYP7B1;FADS2;PHYH;IDI1;PEX7;PEX1;AMACR;CYP27A1;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.7537980308227241	0.9999793841363049		-0.28470747755149534	74	FASN;GPX8;PLSCR1;SQLE;ATF5;LGMN;S100A11;FDPS;STARD4;LDLR;FDFT1;DHCR7;ACAT2;ERRFI1;ATF3;ABCA2;FBXO6;HMGCS1;JAG1;HMGCR;HSD17B7;GNAI1;CPEB2;ANXA5;ETHE1;LPL;SREBF2;NFIL3;ACTG1;PNRC1;CXCL16;MVK;PLAUR;TMEM97;SC5D;ALCAM;LGALS3;ATXN2;ANTXR2;CHKA;EBP;FADS2;SEMA3B;IDI1;CD9;CTNNB1;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b2dd6bc9_wilcoxon	census_scrna__b2dd6bc9_wilcoxon	0.16832160726822468	0.6367168333827565		0.5031190847873314	138	BMP1;USP11;TIMP1;CTSO;MAFF;GSN;ISCU;ANXA1;LGMN;SERPING1;RAPGEF3;HTRA1;PLAT;ARF4;FURIN;F3;MMP3;CSRP1;GNB2;FN1;GDA;SIRT2;PLAU;CAPN5;LAMP2;S100A13;MMP11;DPP4;FYN;ADAM9;THBD;CTSB;PEF1;MMP2;SERPINB2;SPARC;MSRB2;THBS1;APOC1;ANG;CFH;CPQ;RAC1;C2;SERPINE1;CFB;GNG12;CRIP2;WDR1;TIMP3;S100A1;CTSK;CAPN2;HMGCS2;TFPI2;PLEK;KLF7;FBN1;PROS1;PF4;LRP1;CD9;ITGB3;DUSP14;DUSP6;CTSH;PRSS23
