pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	1.298485837584e-06	6.49242918791998e-05	NA	0.11059544123736	195	MFN2/SDHB/MRPS15/ATP6V0B/UQCRH/ACADM/ATP5PB/NDUFS2/SDHC/MGST3/ATP1B1/TIMM17A/FH/HADHA/HADHB/COX7A2L/LRPPRC/MDH1/HTRA2/SUCLG1/RETSAT/IMMT/MRPL35/COX5B/SLC25A12/ATP5MC3/MTX2/NDUFB3/NDUFS1/IDH1/ACAA1/UQCRC1/ALAS1/PDHB/TOMM70/COX17/NDUFB4/MRPS22/NDUFB5/OPA1/ATP5ME/GRPEL1/BDH2/NDUFC1/ETFDH/SLC25A4/SDHA/NDUFS6/MTRR/NNT/MRPS30/NDUFS4/COX7C/UQCRQ/VDAC1/HSPA9/NDUFA2/ATP6V0E1/NQO2/COX7A2/MPC1/NDUFA4/CYCS/OGDH/POR/MDH2/PDK4/ATP5MF/DLD/NDUFA5/ATP6V1F/NDUFB2/SLC25A6/HCCS/PDHA1/HSD17B10/ABCB7/COX7B/SLC25A5/NDUFA1/AIFM1/IDH3G/ATP6AP1/VDAC3/ATP6V1H/MRPL15/DECR1/PDP1/UQCRB/COX6C/ATP6V1C1/CYC1/NDUFB6/FXN/ISCA1/ATP6V1G1/NDUFA8/SURF1/PMPCA/LDHA/PDHX/NDUFS3/TIMM10/COX8A/MRPL11/NDUFV1/NDUFS8/TCIRG1/CPT1A/NDUFC2/ACAT1/FDX1/DLAT/TIMM8B/SDHD/ATP5MG/ATP5F1C/PHYH/SUPV3L1/VDAC2/GLUD1/COX15/CASP7/PRDX3/ACADSB/OAT/ECHS1/NDUFA9/PHB2/LDHB/ATP5MC2/CS/ATP5F1B/SLC25A3/ISCU/COX6A1/SUCLA2/OXA1L/TIMM9/ATP6V1D/ALDH6A1/DLST/NDUFB1/COX5A/ETFA/IDH3A/MRPS11/IDH2/RHOT2/ECI1/UQCRC2/NDUFAB1/GOT2/COX4I1/SLC25A11/ACADVL/RHOT1/ATP5MC1/COX11/ATP5PD/NDUFV2/AFG3L2/ATP5F1A/ACAA2/CYB5A/IDH3B/ATP5F1E/GPX4/ATP5F1D/NDUFS7/TIMM13/NDUFB7/MRPL34/UQCRFS1/GPI/COX6B1/ECH1/MRPS12/TIMM50/BAX/ETFB/NDUFA3/ATP6V1E1/UQCR10/POLR2F/TOMM22/ACO2/NDUFA6/CYB5R3/ATP5PF/ATP5PO/COX10/ATP6V0C/BCKDHA
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00136888722875341	0.0342221807188352	NA	0.0803424948337875	194	RPL22/TARDBP/SRM/HNRNPR/PSMB2/PABPC4/CTPS1/USP1/SERBP1/MRPL9/ILF2/CCT3/HDGF/EPRS1/HNRNPU/ACP1/YWHAQ/ODC1/PPM1G/SRSF7/XPO1/CCT4/PCBP1/SNRPG/CCT7/STARD7/DDX18/MCM6/PSMD14/SSB/HNRNPA3/HSPD1/HSPE1/ORC2/EEF1B2/PSMD1/UBE2E1/RPL14/EXOSC7/SMARCC1/IMPDH2/RRP9/GNL3/TOMM70/MCM2/CNBP/TRA2B/RFC4/NCBP2/DHX15/EIF4E/H2AZ1/RPL34/MAD2L1/ABCE1/CCT5/AP3S1/VDAC1/ETF1/G3BP1/NPM1/NOP16/NHP2/CANX/RACK1/DEK/MRPS18B/LSM2/RPS10/SRPK1/SRSF3/GLO1/HSP90AB1/SYNCRIP/HDAC2/HDDC2/TCP1/AIMP2/HNRNPA2B1/CBX3/POLD2/PPIA/EIF4H/MCM7/IFRD1/SSBP1/CUL1/PRPS2/EIF1AX/PRDX4/PGK1/HPRT1/VBP1/VDAC3/MCM4/COPS5/PABPC1/MYC/CYC1/RPS6/IARS1/NCBP1/RAD23B/POLE3/SET/RRM1/EIF4G2/PSMA1/LDHA/RPS3/CLNS1A/DDX21/NOLC1/PRDX3/BUB3/PHB2/HNRNPA1/CDK2/PA2G4/PTGES3/CDK4/XPOT/CCT2/NAP1L1/SLC25A3/PWP1/RPL6/RPLP0/RAN/TFDP1/APEX1/HNRNPC/PSMA6/PSMC6/EIF2S1/ERH/EIF3J/DUT/COX5A/PSMA4/SNRPA1/RPS2/RNPS1/RSL1D1/GSPT1/NDUFAB1/TUFM/GOT2/SF3B3/PSMD7/KARS1/YWHAE/C1QBP/EIF4A1/PSMD3/KPNB1/PHB1/NME1/SRSF1/KPNA2/SRSF2/TYMS/SNRPD1/TXNL4A/NOP56/PCNA/SNRPB2/EIF2S2/PSMA7/LSM7/UBA2/PSMD8/FBL/PSMC4/SNRPA/SNRPD2/RPL18/RUVBL2/PRPF31/RPS5/TRIM28/RANBP1/UBE2L3/SNRPD3/SF3A1/MCM5/EIF3D/XRCC6/U2AF1
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00583157522838248	0.0689674559226549	NA	0.0712187013209014	188	ENO1/NFYC/SLC2A1/PRDX1/PIK3R3/DHCR24/PGM1/AK4/PHGDH/MLLT11/RIT1/CACYBP/NIBAN1/UCHL5/BTG2/EPRS1/SLC1A4/RAB1A/PNO1/MTHFD2/HK2/IMMT/ACTR3/PSMD14/PDK1/HSPD1/HSPE1/IDH1/IGFBP5/TUBA4A/ACSL3/BHLHE40/EDEM1/SLC6A6/RRP9/GBE1/GSK3B/MCM2/RPN1/PLOD2/SERP1/GMPS/QDPR/MTHFD2L/USO1/DAPP1/UBE2D3/SRD5A1/HMGCS1/HMGCR/DHFR/STARD4/HSPA4/ETF1/HSPA9/CCNG1/CANX/SQSTM1/SSR1/EEF1E1/CDKN1A/ELOVL5/GCLC/SKAP2/YKT6/PPIA/PSPH/CCT6A/CYP51A1/ASNS/PDAP1/PSMC2/NAMPT/IFRD1/TES/NUP205/ABCF2/INSIG1/CFP/EBP/PGK1/GLA/HPRT1/G6PD/STC1/GSR/MCM4/TCEA1/COPS5/SQLE/SLA/NFIL3/ARPC5L/HSPA5/PSMD13/GTF2H1/LDHA/FADS2/FADS1/STIP1/FKBP2/TM7SF2/DHCR7/SERPINH1/SYTL2/CTSC/SLC37A4/HMBS/SC5D/IDI1/PPA1/DDIT4/P4HA1/GOT1/SCD/ADD3/ADIPOR2/CD9/GAPDH/TPI1/SLC2A3/M6PR/BCAT1/SHMT2/DDIT3/TBK1/LTA4H/HSP90B1/TXNRD1/UNG/ATP2A2/UFM1/PNP/PSMB5/EGLN3/ERO1A/PSMC6/PSMA3/ATP6V1D/RDH11/LGMN/WARS1/SORD/PSMA4/SEC11A/GGA2/NUPR1/ALDOA/CORO1A/CYB5B/RPA1/MAP2K3/TMEM97/ACLY/TUBG1/PSME3/NMT1/ATP5MC1/PSMD12/NHERF1/FDXR/TRIB3/EIF2S2/CALR/DDX39A/IFI30/GPI/NFKBIB/PSMC4/TOMM40/SLC1A5/PPP1R15A/SDF2L1/PITPNB/XBP1/PSMG1/PFKL/ITGB2/SLC7A5/PSAT1/PLK1/RRM2
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00649660242283395	0.0689674559226549	NA	0.0787534823526156	149	AGRN/B3GALT6/ENO1/PLOD1/GALE/STMN1/SDC3/AKR1A1/NASP/AK4/HS2ST1/AGL/SLC35A3/HAX1/SDHC/ALDH9A1/QSOX1/ELF3/BPNT1/COG2/SDC1/MDH1/UGP2/GFPT1/HK2/IDH1/RPE/ANKZF1/GMPPA/CHPF/GPC1/HDLBP/GMPPB/B4GALT4/FAM162A/COPB2/PLOD2/PGM2/SRD5A3/CASP6/KIF2A/VCAN/PAM/ALDH7A1/P4HA2/TGFBI/GNPDA1/RARS1/B4GALT7/IER3/VEGFA/GCLC/TPBG/NT5E/ZNF292/CITED2/CHST12/PPIA/IGFBP3/GUSB/TPST1/CLDN3/MDH2/SLC25A13/DLD/CHPF2/PAXIP1/PDK3/PGK1/PRPS1/IL13RA1/GPC3/NSDHL/G6PD/STC1/PPP2CB/SDC2/EXT1/GFUS/AK3/B4GALT1/GNE/TXN/HSPA5/COL5A1/TALDO1/LDHA/CD44/EXT2/B3GAT3/SLC37A4/PFKP/CDK1/DDIT4/P4HA1/ECD/PGAM1/GOT1/MXI1/LHPP/FKBP4/TPI1/ENO2/DCN/ANG/EGLN3/PYGL/ERO1A/FUT8/GALK2/ARPP19/CLN6/GLCE/PKM/MPI/ISG20/POLR3K/ALG1/PMM2/ALDOA/GOT2/NOL3/MED24/XYLT2/GALK1/SLC16A3/DSC2/ME2/CYB5A/RBCK1/PYGB/ANGPTL4/PGLS/PSMC4/GYS1/MIF/BIK/SOD1/TFF3/NDUFV3/KDELR3/GAPDHS/MET/CHST2/CHST6
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00689674559226549	0.0689674559226549	NA	0.0910458651995731	108	EXOSC10/ZBTB17/SHC1/CKS1B/ATF6/ATF3/PDIA6/PREB/SLC1A4/MTHFD2/DCTN1/EIF2AK3/NABP1/EDEM1/TATDN2/RRP9/SPCS1/PDIA5/SRPRB/SERP1/EIF4G1/EIF4A2/NOP14/SDAD1/SEC31A/EIF4E/EXOSC9/SPCS3/TARS1/PAIP1/MTREX/SLC30A5/SKIC3/DCP2/HSPA9/RPS14/NPM1/NHP2/CNOT6/EXOC2/TUBB2A/SSR1/NFYA/VEGFA/FKBP14/ASNS/DNAJB9/CNOT4/TSPYL2/DKC1/EIF4EBP1/LSM1/YWHAZ/EXOSC4/IARS1/HSPA5/EXOSC2/BANF1/YIF1A/DDX10/HYOU1/H2AX/SRPRA/KIF5B/DDIT4/IFIT1/ALDH18A1/EXOSC1/NOLC1/BAG3/XPOT/CNOT2/HSP90B1/NFYB/DNAJC3/ERO1A/EIF2S1/IMP3/DNAJA4/SEC11A/PARN/FUS/HERPUD1/ATP6V0D1/GEMIN4/EIF4A1/CCL2/GOSR2/ERN1/WIPI1/EIF4A3/CXXC1/NOP56/ARFGAP1/EEF2/CALR/LSM4/POP4/CEBPG/EXOSC5/XBP1/ATF4/EDC4/KDELR3/SLC7A5/PSAT1
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00860476741992452	0.0717063951660376	NA	0.0829659657006418	125	HMGCL/UROD/CPT2/DHCR24/CRYZ/ACADM/S100A10/SDHC/HSD17B7/ALDH9A1/PRDX6/GLUL/G0S2/EPHX1/FH/ODC1/HADHB/MDH1/MCEE/SUCLG1/RETSAT/FABP1/GPD2/HIBCH/IDH1/D2HGDH/ACAA1/PDHB/PTPRG/SUCLG2/MIX23/MGLL/UGDH/HSD17B11/RAP1GDS1/METAP1/H2AZ1/HADH/OSTC/ETFDH/SDHA/HMGCS1/HSD17B4/LTC4S/BPHL/ECI2/ELOVL5/BCKDHB/SERINC1/ACAT2/INMT/BLVRA/MDH2/DLD/HCCS/PDHA1/SMS/HSD17B10/XIST/ACSL4/NSDHL/IDH3G/CA2/NBN/DECR1/GRHPR/ALDH1A1/AUH/HSDL2/ALAD/CRAT/LDHA/UBE2L6/CPT1A/SDHD/PTS/IDI1/PCBD1/ACSL5/UROS/ECHS1/ADIPOR2/ENO2/GABARAPL1/ERP29/ACADS/KMT5A/HSPH1/SUCLA2/APEX1/PSME1/RDH11/DLST/GSTZ1/HSP90AA1/NTHL1/ECI1/ALDOA/ACADVL/ALDH3A2/ACOX1/FASN/ACAA2/IDH3B/TP53INP2/ACOT8/GCDH/ECH1/IL4I1/MIF/YWHAH/LGALS1/ADSL/ACO2/PPARA/NCAPH2/CBR1/CBR3/GAPDHS/ACOT2/HPGD/CA4
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0137032510012293	0.08793961502786	NA	0.118012912799842	52	SRM/MRTO4/MAP3K6/TFB2M/WDR43/MPHOSPH10/HK2/DUSP2/DDX18/IMP4/HSPD1/HSPE1/RRP9/GNL3/TCOF1/NPM1/NOP16/NDUFAF4/AIMP2/CBX3/TBRG4/LAS1L/MCM4/MYC/RCL1/RABEPK/WDR74/SUPV3L1/RRP12/PPRC1/NOLC1/NOP2/PA2G4/CDK4/UTP20/UNG/PUS1/NOC4L/SORD/DCTPP1/NIP7/MYBBP1A/TMEM97/PHB1/NOP56/PPAN/FARSA/EXOSC5/GRWD1/PES1/MCM5/PLK1
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0140703384044576	0.08793961502786	NA	0.0703948925671027	154	STMN1/PPP1R8/RPA2/AK2/CTPS1/NASP/CDKN2C/USP1/ANP32E/CKS1B/UBE2T/LBR/SMC6/MSH2/XPO1/MTHFD2/POLE4/MCM6/ORC2/BARD1/CNOT9/MLH1/MCM2/STAG1/SMC4/TRA2B/SLBP/TACC3/LYAR/RFC1/PAICS/DCK/H2AZ1/MAD2L1/HMGB2/RAD1/LMNB1/RAD50/PTTG1/NUP153/DEK/TUBB/TCF19/HMGA1/CDKN1A/MCM3/SYNCRIP/MMS22L/ASF1A/PMS2/RPA3/POLD2/TBRG4/HUS1/RFC2/MCM7/POP7/ING3/NUP205/EZH2/RBBP7/PRDX4/SMC1A/PRPS1/HMGB3/PRKDC/MCM4/NBN/RAD21/ATAD2/MYC/PSIP1/CDKN2A/CKS2/IPO7/WEE1/SSRP1/POLA2/POLD3/EED/MRE11/H2AX/CDK1/HELLS/NOLC1/SMC3/MKI67/CDKN1B/CBX5/PA2G4/PAN2/CDK4/NUP107/NAP1L1/TMPO/UNG/RAN/POLE/PDS5B/EXOSC8/PNN/EIF2S1/UBR7/DUT/TIPIN/GSPT1/CCP110/KIF22/DCTPP1/NUDT21/CTCF/RPA1/TP53/SHMT1/TOP2A/TUBG1/LUC7L3/NME1/SRSF1/RAD51C/KPNA2/JPT1/SRSF2/TK1/SNRPB/NOP56/PCNA/CSE1L/DNMT1/ILF3/DDX39A/LIG1/POLD1/UBE2S/RANBP1/MCM5/PHF5A/XRCC6/BIRC5/CENPM/SUV39H1/RNASEH2A/BRCA2/PRIM2/SPC25/PLK1/PPM1D/RRM2/KIF18B
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0467407351631304	0.239842849778899	NA	0.061869834762309	131	ELOA/RPA2/TAF12/SF3A3/PDE4B/GTF2B/TAF13/POLR3C/POLR3GL/MPC2/GUK1/CMPK2/DGUOK/POLE4/ERCC3/POLR2D/XPC/EIF1B/IMPDH2/COX17/UMPS/SEC61A1/POLR2H/RFC4/NCBP2/NUDT9/SMAD5/DCTN4/POLR1H/NELFE/POLR1C/REV3L/GTF2H5/RPA3/NT5C3A/RALA/POM121/RFC2/TAF6/POLR2J/USP11/UPF3B/HPRT1/CETN2/BCAP31/POLB/SDCBP/POLR2K/RRM2B/VPS28/AK3/NFX1/AK1/GTF3C5/SURF1/EDF1/GTF2H1/TSG101/CSTF3/DDB2/SSRP1/STX3/DDB1/FEN1/POLR2G/SAC3D1/POLA2/POLD4/POLD3/POLL/AAAS/TARBP2/PRIM1/RFC5/VPS37B/TMED2/GTF2H3/POLR1D/PNP/DAD1/GMPR2/DUT/GTF2A2/SNAPC5/MPG/NME4/NME3/ERCC4/ARL6IP1/NUDT21/POLR2C/TK2/TAF1C/APRT/POLR2A/TP53/NME1/SUPT4H1/NT5C/CANT1/TYMS/RNMT/ITPA/PCNA/SRSF6/ADA/RAE1/NELFCD/ADRM1/POLR2E/GPX4/GTF2F1/ELL/POLR2I/SUPT5H/BCAM/ERCC2/ERCC1/LIG1/POLD1/MRPL40/DGCR8/POLR2F/RBX1/ERCC5/POLH
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0479685699557797	0.239842849778899	NA	0.0578919203622717	147	SRSF10/STMN1/HMGN2/RPA2/SFPQ/NASP/CDKN2C/MTF2/DR1/NOTCH2/CKS1B/UCK2/RASAL2/CENPF/LBR/HNRNPU/ODC1/XPO1/MEIS1/MCM6/MAP3K20/BARD1/CUL3/NCL/DTYMK/SMARCC1/MCM2/STAG1/SMC4/TRA2B/TACC3/NSD2/YTHDC1/H2AZ1/MAD2L1/LMNB1/SLC12A2/PURA/G3BP1/PTTG1/PRP4K/E2F3/HMGA1/MAPK14/MCM3/SYNCRIP/CASP8AP2/AMD1/KATNA1/H2AZ2/HUS1/DBF4/ORC5/CUL1/EZH2/SMC1A/ATRX/HMGB3/DKC1/WRN/RAD21/SQLE/MYC/CKS2/SMC2/RAD23B/ODF2/ABL1/NUP98/POLA2/RBM14/CCND1/CUL5/H2AX/HSPA8/KIF5B/CDK1/KIF20B/NOLC1/BUB3/MKI67/CDKN1B/CCNT1/CDK4/TMPO/KMT5A/POLE/SLC7A1/PDS5B/CUL4A/TFDP1/ARID4A/MNAT1/HIF1A/RPS6KA5/MEIS2/NUSAP1/SMAD3/TLE3/PML/GSPT1/KIF22/MT2A/E2F4/CTCF/GINS2/CHMP1A/PAFAH1B1/LIG3/TOP2A/CDC27/KPNB1/CBX1/SRSF1/KPNA2/JPT1/SRSF2/NDC80/SNRPD1/SS18/RBL1/TOP1/UBE2C/ILF3/DDX39A/UPF1/TGFB1/BCL3/ATF5/UBE2S/EWSR1/MCM5/NUP50/BIRC5/PRMT5/SUV39H1/SLC7A5/BRCA2/PRIM2/PLK1/H2BC12
