pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	6.16148260980907e-06	0.000308074130490453	NA	0.247363145690816	154	MFN2/SDHB/UQCRH/ACADM/ATP5PB/NDUFS2/SDHC/MGST3/ATP1B1/TIMM17A/FH/HADHA/HADHB/COX7A2L/LRPPRC/MDH1/SUCLG1/IMMT/COX5B/ATP5MC3/MTX2/IDH1/ACAA1/UQCRC1/TOMM70/NDUFB4/MRPS22/NDUFB5/ATP5ME/NDUFC1/ETFDH/SLC25A4/SDHA/NDUFS6/MTRR/NNT/MRPS30/NDUFS4/COX7C/VDAC1/HSPA9/ATP6V0E1/NQO2/COX7A2/MPC1/NDUFA4/CYCS/OGDH/MDH2/ATP5MF/DLD/NDUFA5/ATP6V1F/NDUFB2/SLC25A6/PDHA1/COX7B/NDUFA1/AIFM1/ATP6AP1/VDAC3/ATP6V1H/DECR1/PDP1/UQCRB/COX6C/ATP6V1C1/NDUFB6/ISCA1/ATP6V1G1/NDUFA8/PMPCA/LDHA/PDHX/NDUFV1/NDUFS8/NDUFC2/ACAT1/DLAT/SDHD/ATP5MG/ATP5F1C/SUPV3L1/VDAC2/GLUD1/COX15/NDUFB8/PRDX3/ACADSB/OAT/ECHS1/NDUFA9/LDHB/ATP5MC2/ATP5F1B/SLC25A3/ISCU/COX6A1/SUCLA2/TIMM9/ATP6V1D/DLST/NDUFB1/COX5A/ETFA/IDH3A/MRPS11/IDH2/RHOT2/UQCRC2/NDUFAB1/COX4I1/RHOT1/ATP5MC1/COX11/ATP5PD/NDUFV2/AFG3L2/ATP5F1A/CYB5A/ATP5F1E/GPX4/ATP5F1D/NDUFS7/UQCR11/UQCRFS1/COX6B1/TIMM50/NDUFA3/ATP6V1E1/UQCR10/CYB5R3/ATP5PF/ATP5PO/COX10/MAOB/ATP6V0C
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.00538110080352111	0.134527520088028	NA	0.16313686225532	143	RPL22/TARDBP/SRM/HNRNPR/PSMB2/PABPC4/CTPS1/USP1/SERBP1/CCT3/HNRNPU/ACP1/YWHAQ/PPM1G/SRSF7/CCT4/CCT7/DDX18/SSB/HNRNPA3/HSPD1/HSPE1/ORC2/PSMD1/UBE2E1/RPL14/EXOSC7/SMARCC1/GNL3/TOMM70/TRA2B/DHX15/EIF4E/H2AZ1/RPL34/CCT5/AP3S1/VDAC1/ETF1/NPM1/CANX/RACK1/SRPK1/SRSF3/GLO1/HSP90AB1/HDDC2/TCP1/EIF3B/CBX3/PSMA2/PPIA/EIF4H/IFRD1/SSBP1/CUL1/PRPS2/PGK1/HPRT1/VBP1/VDAC3/COPS5/PABPC1/RPS6/IARS1/FAM120A/NCBP1/RAD23B/SET/RRM1/PSMA1/LDHA/RPS3/DDX21/PRDX3/HNRNPA1/PA2G4/XPOT/CCT2/NAP1L1/SLC25A3/PWP1/RPL6/RPLP0/RAN/TFDP1/HNRNPC/PSMA6/PSMC6/EIF2S1/ERH/EIF3J/DUT/COX5A/PSMA4/SNRPA1/RPS2/RNPS1/NDUFAB1/SF3B3/PSMD7/YWHAE/PSMB3/PSMD3/KPNB1/SRSF1/SRSF2/SNRPD1/TXNL4A/NOP56/SNRPB2/EIF2S2/PSMA7/UBA2/PSMD8/SNRPD2/RPL18/PRPF31/UBE2L3/XRCC6
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.00863541101123321	0.143923516853887	NA	0.354717058761048	24	SRM/TFB2M/WDR43/MPHOSPH10/DDX18/HSPD1/HSPE1/GNL3/TCOF1/NPM1/NDUFAF4/CBX3/LAS1L/RCL1/RABEPK/PRMT3/SUPV3L1/RRP12/PA2G4/UTP20/PUS1/NOP56/FARSA
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0145329081826523	0.181661352283154	NA	0.177957866230426	92	RNF19B/SLC19A2/PTPN14/COQ8A/TPRKB/XPC/IP6K2/FAM162A/RAP2B/ABCC5/MXD4/RCHY1/HSPA4L/FBXW7/PLK2/HINT1/HDAC3/CYFIP2/RACK1/CCND3/FOXO3/SESN1/TPD52L1/RPS12/PDGFA/UPP1/POM121/SAT1/TSPYL2/FGF13/WWP1/PVT1/NDRG1/ELP1/RALGDS/CTSD/CD81/DDB2/CTSF/RAD9A/ZBTB16/EI24/PTPRE/CCND2/LDHB/TM7SF3/CSRNP2/ACVR1B/SP1/DGKA/MDM2/BTG1/APAF1/ISCU/PRKAB1/TSC22D1/RB1/CGRRF1/CCNK/JAG2/RPS27L/RAB40C/ABAT/CCP110/CDH13/TOB1/RAD51C/BAIAP2/BLCAP/RPL36/RPL18/PRMT2/SLC35D1/ERCC5/ZNF365/POLH/PPM1D/CDK5R1
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0219967352369569	0.192786100136606	NA	0.169202862954674	89	ELOA/RPA2/AGO4/SF3A3/PDE4B/GTF2B/POLR3C/MPC2/GUK1/DGUOK/ERCC3/POLR2D/XPC/EIF1B/UMPS/NUDT9/ERCC8/SMAD5/DCTN4/POLR1C/GSDME/NT5C3A/RALA/POM121/USP11/UPF3B/HPRT1/BCAP31/POLB/RRM2B/VPS28/AK3/NFX1/SNAPC4/EDF1/GTF2H1/TSG101/CSTF3/DDB2/SSRP1/STX3/DDB1/POLL/RAD52/ADCY6/RFC5/VPS37B/TMED2/GTF2H3/POLR1D/DAD1/DUT/GTF2A2/MPG/NME3/ERCC4/ARL6IP1/POLR2C/TK2/TAF1C/RNMT/ITPA/SRSF6/RAE1/NELFCD/POLR2E/GPX4/ELL/SUPT5H/ERCC1/DGCR8/RBX1/RFC3/ERCC5/POLH
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0231343320163927	0.192786100136606	NA	0.197477316949851	64	PEX14/CTPS1/PRDX1/SCP2/DHCR24/ABCD3/FDPS/GNPAT/ITGB1BP1/MSH2/PEX13/ERCC3/IDH1/ACAA1/SMARCC1/ABCC5/HSD17B11/ACSL1/SLC25A4/CDK7/HSD17B4/ECI2/ATXN1/SEMA3C/ABCB1/FIS1/GSTK1/STS/CLN8/PABPC1/ALDH1A1/CAT/FADS1/CADM1/IDI1/PEX5/RDH11/CLN6/IDH2/SIAH1/MLYCD/DLG4/ACOX1/VPS4B/SLC23A2/ACOT8/ERCC1/SLC25A17/SOD1/ABCC8/PEX6/ESR2/SLC27A2/CACNA1B/ABCB9
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.233660712860441	0.999389176875572	NA	0.209666725957765	15	ST3GAL6/SAP30/SKP1/FBXW11/PPARD/CUL1/DTX4/ARRB1/MAML2/TCF7L2/PRKCA/JAG1/RBX1
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.235654281872139	0.999389176875572	NA	0.0762676005405661	81	RER1/VAMP3/STX12/PPT1/ATP1A1/VAMP4/ARF1/COG2/RAB5A/COPB2/AP2M1/USO1/SEC31A/SEC24D/ARFIP1/CLCN3/SCAMP1/PAM/AP3S1/SNX2/DST/DOP1A/STX7/IGF2R/ICA1/SCRN1/RAB9A/RPS6KA3/LAMP2/OCRL/VAMP7/ATP6V1H/RAB2A/CLTA/RAB14/COPB1/TSG101/ZW10/ARCN1/STAM/SGMS1/BNIP3/M6PR/DNM1L/MON2/TMED2/CLN5/GALC/SNAP23/ADAM10/GOSR2/TOM1L1/CLTC/NAPG/VPS4B/ERGIC3/RAB22A/STX16/GNAS/AP2S1/MAPK1/ARFGAP3/SOD1/SH3GL2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.242478053844057	0.999389176875572	NA	0.126610986230206	33	PRDX1/GCLM/NDUFS2/PRDX6/GLRX2/STK25/OXSR1/NDUFB4/ATOX1/GCLC/IPCEF1/MSRA/GSR/TXN/CAT/PFKP/MGST1/TXNRD1/HMOX2/MBP/PRNP/GPX4/CDKN2D/FTL/TXNRD2/SOD1/ABCC1
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.251232940268635	0.999389176875572	NA	0.0589610202268471	114	PEX14/SDHB/AK2/CMPK1/RNF11/SCP2/PGM1/ACADM/DBT/DRAM2/SDHC/MGST3/MTARC2/ATL2/PPM1B/SUCLG1/ELMOD3/PTCD3/IMMT/GPD2/TANK/HIBCH/IDH1/NKIRAS1/UQCRC1/TKT/MYLK/MGLL/ATP1B3/QDPR/G3BP2/SPARCL1/HADH/LIFR/REEP5/ME1/IFNGR1/ARL4A/MDH2/YWHAG/DLD/NDUFA5/ABCB8/COX7B/AIFM1/GPAT4/DECR1/UBQLN1/MIGA2/TALDO1/CAT/MTCH2/RTN3/ESRRA/DLAT/APLP2/PFKFB3/GHITM/SORBS1/CHUK/PRDX3/ECHS1/ADIPOR2/LPCAT3/ADCY6/ITGA7/ALDH2/COX6A1/UBC/COL4A1/DHRS7/RMDN3/IDH3A/NDUFAB1/SULT1A1/COQ9/DHRS7B/NMT1/TOB1/ACOX1/RIOK3/GPX4/UQCR11/CHCHD10/UQCR10/SAMM50/SOD1/ATP5PO/AGPAT3
