pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.807253886010363	0.984594601615878	-0.819694864599605	NA	114	DECR1;MGST3;CHCHD10;COX7B;DLD;ATP5PO;NDUFA5;UQCR11;SOD1;MGLL;CAT;PRDX3;IDH3A;TKT;ATP1B3;UQCR10;ABCB8;MYLK;SDHC;SULT1A1;ARL4A;IMMT;MDH2;NKIRAS1;DHRS7B;AK2;SPARCL1;APLP2;NDUFAB1;TALDO1;PTCD3;CHUK;LPCAT3;SUCLG1;ADCY6;HADH;GHITM;GPX4;IFNGR1;G3BP2;UQCRC1;ACADM;COL4A1;RIOK3;ECHS1;PPM1B;COQ9;MTCH2;SORBS1;PEX14;PGM1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.200676437429538	0.984594601615878	-1.19891280919463	NA	55	RPS19;IL7;RPS3A;RPL9;STAT4;GLMN;RPS9;RPL39
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.637254901960784	0.984594601615878	0.914766873698541	NA	70	CCND3;FKBP5;MAP7;ZMIZ1;INPP4B;ANKH;RRP12;ACTN1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.634116192830655	0.984594601615878	-0.84998589044301	NA	13	LRPAP1;COL5A2;CCND2;PDGFA;JAG2;TNFRSF21;JAG1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.00402730930925019	0.20136546546251	1.60732387259664	NA	101	CADM2;CNTN1;NEGR1;NRXN2;BAIAP2;ATP1A3;TJP1;CADM3;ACTN1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0307161896595568	0.678314491264132	1.48831320146979	NA	21	EFNA5;CROCC;HSPB1;RTN4RL1;ADAM10
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.683333333333333	0.984594601615878	-0.908372330409482	NA	66	TIMP3;DNM1L;PAK1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.891279728199321	0.984594601615878	-0.663959498732977	NA	50	GSTK1;HSD17B4;IDI1;SOD1;CAT;ALDH8A1;CROT;PEX1;NPC1;PFKM;HACL1;GNPAT;ATXN1;IDH2;PEX7
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.809142857142857	0.984594601615878	-0.759598407544879	NA	40	ACTG1;CHKA;MAL2;IDI1;PDK3;MVD;ALDOC;SQLE
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0925058548009368	0.748074459888237	-1.30635147940659	NA	33	TIMP3;ISCU;GDA;PRSS23;ARF4;USP11;CPQ
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.694805194805195	0.984594601615878	-0.908661654276012	NA	86	CTSL;CD46;LIPA;GCA;KCNIP3;CPQ;USP14
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.591991341991342	0.984594601615878	-0.966974507948628	NA	89	PDE4B;EIF1B;GUK1;TK2;MPG;POLR1C;RFC3;NME3;GTF2H1;USP11;GTF2H3;STX3;RNMT;NUDT9;XPC;ERCC8;DDB1;MPC2;NT5C3A;SF3A3;NELFCD;TAF1C;GSDME;POLR2C;ARL6IP1;RBX1;RALA;ITPA;POLL;DCTN4;DGUOK;ADCY6
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.576923076923077	0.984594601615878	0.967903438838994	NA	89	STAG1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.481646273637375	0.984594601615878	-1.03253616212684	NA	71	TIMP3;COL12A1;GPC1;RGS4;PFN2;CDH11;CALD1;CAP2;COL5A2
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	1	1	0.675250699565352	NA	101	ADCY9;JAK2;FKBP5;RPS6KA2;MED13L;RRP12;CELSR2
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.85792349726776	0.984594601615878	-0.751195342836549	NA	80	JAK1;TSPAN13;PRSS23;COX6C
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.677595628415301	0.984594601615878	-0.914000293125872	NA	80	PTS;MDH1;UROS;DECR1;DLD;HSD17B4;ACAA1;H2AZ1;LDHA;IDI1;SDHA;ALAD;MGLL;ENO2;METAP1;NBN;D2HGDH;ETFDH;BPHL;PDHA1;SDHC;DLST;MDH2;SDHD;CPOX;BCKDHB;ACOT8;SUCLA2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.104730424384353	0.748074459888237	1.20787621908279	NA	109	STAG1;RPS6KA5;EFNA5;H2AZ2;RBM14
