pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.2509464541339827	0.9991285079367203		0.23865917289548566	200	AIFM1;GPX4;DHRS7B;LIFR;DRAM2;IFNGR1;TANK;ACADM;COQ9;DLAT;COX7B;CHCHD10;SDHC;SCP2;ITGA7;PEX14;MYLK;HADH;PPM1B;IDH1;ESRRA;UBC;ATP5PO;MTCH2;HIBCH;ECHS1;GPD2;ELMOD3;UQCR11;PFKFB3;CHUK;IMMT;SDHB;AGPAT3;SPARCL1;UQCR10;COX6A1;MGST3;NKIRAS1;DHRS7;RIOK3;COL4A1;PTCD3;RMDN3;DLD;UQCRC1;ME1;G3BP2;RTN3;ATL2;YWHAG;ABCB8;TOB1;PRDX3;ATP1B3;MTARC2;MDH2;SUCLG1;SOD1;AK2;ACOX1;MGLL;UBQLN1;GPAT4;ADIPOR2;CAT;DBT;TKT;IDH3A;APLP2;RNF11;GHITM;LPCAT3;NDUFA5;ARL4A;SULT1A1;REEP5;PGM1;MIGA2;NMT1;ADCY6;DECR1;TALDO1;CMPK1;NDUFAB1;QDPR;ALDH2;SORBS1;SAMM50
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.706467573824251	0.9991285079367203		-0.19081155030134078	200	RPS3A;RARS1;IFNAR2;EIF4G3;HDAC9;GCNT1;RPL39;TAPBP;IFNGR1;APBB1;WARS1;NPM1;IKBKB;CD247;PRKCG;STAT1;DEGS1;RPS19;RPS9;RIPK2;EIF3J;CTSS;MAP3K7;JAK2;MRPL3;NCK1;C2;CCND3;UBE2D1;UBE2N;ACVR2A;GLMN;RPL9;IFNGR2;CD47;THY1;STAT4;IL7;CXCL13;CCND2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.49984321899834716	0.9991285079367203		0.03708311376618992	101	CAMKK2;GUCY1A1;BMPR1B;ANKH;ELK4;TMEM50A;PGM3;ITGAV;PTPN21;SEC24D;PMEPA1;XRCC6;PLPP1;UBE2J1;ABCC4;DHCR24;RAB4A;LIFR;ACSL3;SLC38A2;RRP12;HMGCS1;ARID5B;AKAP12;GNAI3;HMGCR;SRP19;MAK;PIAS1;CDC14B;SPCS3;STK39;TSC22D1;ACTN1;INPP4B;GPD1L;PA2G4;NCOA4;FADS1;CCND3;SAT1;HOMER2;MERTK;HSD17B14;CDK6;XRCC5;FKBP5;MAP7;NDRG1;IDI1;RPS6KA3;GSR;ZMIZ1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.9183015529158387	0.9991285079367203		-0.9488537802736854	36	LRPAP1;PDGFA;COL5A2;ITGAV;JAG2;JAG1;TNFRSF21;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.9799170850687582	0.9991285079367203		-0.6139524082305885	200	CADM2;CDH8;DLG1;BAIAP2;SGCE;CNTN1;CDH4;TMEM8B;GNAI2;ATP1A3;ACTN2;SIRPA;CTNND1;NEXN;NECTIN1;NRXN2;PIK3R3;NF2;MAPK13;PIK3CB;MAPK14;TRO;MAP4K2;PARVA;CD276;SLIT2;RASA1;TSC1;MAP3K20;ADAM9;MVD;NF1;ADAM23;NECTIN3;NFASC;MYH10;CTNNA1;MPZL1;CADM3;ACTN1;HADH;ITGA9;ZYX;PKD1;ACTG1;AKT2;ACTB;MYL12B;PLCG1;PCDH1;TJP1;EVL;ICAM5;ARPC2;PPP2R2C;EPB41L2;CX3CL1;SPEG;NLGN2;SLC30A3;NEGR1;FBN1;SHROOM2;THY1;ITGB1;CDH11;COL16A1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.5614861806391669	0.9991285079367203		0.009621209655242368	44	HSPB1;AKAP7;DCBLD2;CROCC;CX3CL1;TMEM8B;EFNA5;RTN4RL1;SHROOM2;NTNG1;ATP8B1;ADIPOR2;ADAM10;SULF2;THY1;AFAP1L2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.7132562356532118	0.9991285079367203		-0.1861894274829173	161	PPP2R5B;ANKH;CLU;DAP3;DNM1L;SOD1;GPX4;MADD;CYLD;SQSTM1;BCL2L2;DFFA;RHOT2;LMNA;IFNGR1;PPP3R1;VDAC2;DPYD;ETF1;DNAJA1;XIAP;PSEN1;NEDD9;CASP3;DNAJC3;CREBBP;ENO2;PAK1;PPT1;FEZ1;SAT1;SLC20A1;BNIP3L;BCAP31;PEA15;PLPPR4;HSPB1;SC5D;MGMT;TIMP3;CASP9;SMAD7;CTNNB1;GSR;SATB1;IGF2R;CCND2;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.629773857870378	0.9991285079367203		-0.10196015649396276	112	SOD1;PEX13;DHCR24;ALDH8A1;HACL1;ALDH1A1;HSD17B4;ABCD3;CYP46A1;ABCA5;SLC29A1;GNPAT;NR3C2;PEX6;SLC23A2;CAT;SCP2;GCLM;GSTK1;CROT;NPC1;IDH1;ABCA3;PECR;DIO2;FADS1;HSD17B11;MLYCD;ATXN1;FADS2;ACSL1;SLC27A2;IDH2;IDI1;PEX7;PEX1;PFKM
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.7093393989125067	0.9991285079367203		-0.2172043862263868	74	PLSCR1;SQLE;CLU;FDPS;ACAT2;GLDC;ERRFI1;PDK3;HMGCS1;JAG1;HMGCR;LSS;HSD17B7;MVD;CPEB2;GUSB;SREBF2;ACTG1;MAL2;PNRC1;SC5D;CYP51A1;ALCAM;ALDOC;FADS2;ACSS2;CHKA;IDI1;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.6954147861126556	0.9991285079367203		-0.2093168404180094	138	USP11;CLU;ISCU;ARF4;GDA;SIRT2;PREP;LAMP2;DPP4;FYN;ADAM9;RGN;MSRB2;CPQ;C2;RAC1;C1S;CRIP2;TIMP3;CASP9;FBN1;PROS1;LTA4H;PRSS23
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	gseapy_enrichr	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.6876241049151208	0.9991285079367203		-0.1425363233251808	200	CDK5R1;PDP1;KCNIP3;GCA;CD55;DGKG;USP16;ACTN2;IRF2;CLU;GNAI2;ZEB1;CALM3;CEBPB;USP14;SH2B3;KCNIP2;CBLB;PIK3CA;PREP;CDH13;DOCK10;PCLO;GNAI3;LAMP2;DPP4;GNB4;RNF4;ADAM9;FYN;HPCAL4;PRCP;LIPA;RASGRP1;ATOX1;PSEN1;CTSD;RBSN;CD46;CASP3;CTSS;GNG2;XPNPEP1;JAK2;CTSL;HSPA1A;CPQ;C2;ME1;MT3;KIF2A;C1S;GPD2;L3MBTL4;SCG3;CASP9;USP15;DGKH;PLA2G4A;PLSCR1;LTA4H;PRDM4;COL4A2
