pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.187946884576098	0.328735632183908	1.14869090447315	NA	136	COX6A1;ABCA1;SOD1;G3BP2;IFNGR1;UQCR10;GRPEL1;CHCHD10;COX8A;REEP5;APLP2;GADD45A;SDHC;JAGN1;NMT1;SLC25A1;NDUFAB1;ETFB;TKT;PIM3;DNAJC15;DNAJB9;RIOK3;PEMT;IDH3A;SUCLG1;PRDX3;SDHB;MRPL15;GPHN;NDUFB7;DHRS7;BAZ2A;IMMT;COX7B;TOB1;PFKFB3;SULT1A1;LPCAT3;ACLY
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.573333333333333	0.698403648802737	0.970332900297788	NA	123	SOCS1;IFNGR2;IRF4;IRF7;IL2RA;IFNGR1;CCND3;TRAT1;SRGN;IL4R;UBE2N;ITK;SPI1;EIF3A;NME1;STAT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.0216153266820913	0.0720510889403042	1.42265519181229	NA	69	ARID5B;MYL12A;SPCS3;FKBP5;CCND3;LMAN1;SAT1;VAPA;IDI1;CDK6;SRP19;ELK4;DBI;PIAS1;UBE2I;DNAJB9;NGLY1;TMEM50A;SEC24D
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.29126213592233	0.455097087378641	1.15801982092498	NA	8	VCAN;CCND2;LRPAP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.411452810180276	0.587789728828965	1.04689988586377	NA	74	CLDN5;MYL12B;WASL;VCAN;RASA1;NF2;TSPAN4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.741444866920152	0.805918333608861	0.807477962636034	NA	16	CRYBG1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.392783505154639	0.577622801697999	1.04335467821459	NA	107	ISG20;SOD1;IFNGR1;CD14;SC5D;IFITM3;SAT1;EBP;TSPO;PMAIP1;BCL2L11;DDIT3;CD69;GADD45A;CASP8;CFLAR;BCAP31;BAX;CREBBP;MGMT;CASP1;CYLD;BTG3;CCND2;TNFSF10
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.773980154355017	0.806229327453142	0.815810604763416	NA	46	ABCA1;SOD1;LONP2;IDI1;IDH2;GSTK1;PEX16;SLC23A2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.0353200883002208	0.0981113563895021	1.39009123290976	NA	48	PLSCR1;FBXO6;SC5D;EBP;IDI1;SREBF2;FASN;FABP5;LDLR;ANXA5;CLU;S100A11
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__c7775e88_pseudobulk	census_scrna__c7775e88_pseudobulk	0.770809578107184	0.806229327453142	0.811975486533718	NA	36	CFD;FURIN;PEF1;SERPINA1;DPP4;KLF7;USP11;CLU
