pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.107252298263534	0.174139446811388	1.21773123173111	NA	155	MGST3;PLIN2;NDUFAB1;APOE;CHCHD10;DDT;MDH2;RAB34;PRDX3;TALDO1;SCP2;SLC1A5;CMBL;GADD45A;SDHC;PIM3;ACADM;CD151;AK2;COX6A1;JAGN1;QDPR;SSPN;ETFB;SOD1;SQOR;HADH;MRPL15;IFNGR1;TST;CYC1;MTCH2;ANGPT1;FAH;REEP5;ACAA2;NDUFS3;COX8A
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0437044745057232	0.141002098635887	1.2904471162745	NA	107	CD74;NPM1;HLA-A;HLA-DRA;HLA-DQA1;TIMP1;B2M;NME1;NCF4;ITGB2;HLA-DMA;CSK;RPS9;CCND2;CD47;EIF5A;UBE2N;CD7;STAT1;HLA-DMB;SRGN;ABCE1;FYB1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.356149732620321	0.414127596070141	1.0922191542976	NA	80	FKBP5;KRT8;ACTN1;B2M;MYL12A;DBI;UBE2I;MAF;SMS;SELENOP;SRP19;GNAI3;SPCS3;ACSL3;VAPA;CCND3;DHCR24;SORD;RAB4A;TMEM50A;ADRM1;H1-0
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0056701231841119	0.056701231841119	1.5373391876907	NA	10	S100A4;SPP1;TIMP1;APP;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0734522560335782	0.163343742493394	1.26196911941271	NA	98	ACTB;CD99;ACTN1;PFN1;ACTG1;YWHAH;MAP3K20;CAP1;FYB1;MYL12B;RHOF;FSCN1;HADH;EPB41L2;ARPC2;CD34;ZYX;RAC2
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.035437430786268	0.136297810716415	1.45684433828875	NA	16	HSPB1;APP;GSTM3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.00324971018354615	0.0406213772943269	1.38747982807784	NA	108	HSPB1;TIMP1;BCAP31;IFITM3;CD44;CASP1;KRT18;ISG20;BAX;TSPO;APP;SATB1;CCND2;GSN;RHOB;VDAC2;IRF1;GADD45A;TAP1;PAK1;GNA15;HGF;BID;SOD1;IFNGR1;MGMT;PMAIP1;IGFBP6
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.819868995633188	0.854030203784571	0.806654274189752	NA	58	AR;SLC29A1;SCP2;HSD17B11;IDH2;SOD1;ISOC1;DHCR24;PRDX5;GCLM;SLC27A5;ALDH9A1;SLC35B2;IDI1;FADS1;OPTN;SLC27A2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0114520557513392	0.062732329492659	1.3741896180032	NA	51	S100A11;NIBAN1;FABP5;CD9;ACTG1;ETHE1;TMEM97
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.148309705561614	0.218102508178844	1.22900428746829	NA	48	TIMP1;CD9;CFD;ARF4;GSN;MSRB2;SPARC;DUSP6;PEF1;LTA4H
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0709812108559499	0.163343742493394	1.25316131059073	NA	105	PSMB9;PIM1;TIMP1;CASP1;PFN1;FCER1G;CALM3;LAP3;CALM1;IRF1;SPOCK2;GNAI3;PLSCR1;PPP4C;DUSP6;CTSC;CTSD;LTA4H;GCA;HSPA5;CD59;GNB2
