pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.0530400638829519	0.120545599733982	1.23721543911724	NA	199	ENSG00000117791;ENSG00000128590;ENSG00000125730;ENSG00000196502;ENSG00000152137;ENSG00000158615;ENSG00000197150;ENSG00000184076;ENSG00000069849;ENSG00000148343;ENSG00000172893;ENSG00000132300;ENSG00000128609;ENSG00000175567;ENSG00000099977;ENSG00000198130;ENSG00000119787;ENSG00000165672;ENSG00000088682;ENSG00000127540;ENSG00000131174;ENSG00000250479;ENSG00000004779;ENSG00000141232;ENSG00000128311;ENSG00000164405;ENSG00000117054;ENSG00000116171;ENSG00000112769;ENSG00000168497;ENSG00000176340;ENSG00000109519;ENSG00000138074;ENSG00000111775;ENSG00000104823;ENSG00000100412;ENSG00000151552;ENSG00000123080;ENSG00000163541;ENSG00000170027;ENSG00000133318;ENSG00000091140;ENSG00000127884;ENSG00000127948;ENSG00000050628;ENSG00000006831;ENSG00000211445;ENSG00000170323;ENSG00000105281;ENSG00000171135;ENSG00000179091;ENSG00000213341;ENSG00000163931;ENSG00000148175;ENSG00000143252;ENSG00000175445;ENSG00000165678;ENSG00000150991;ENSG00000131473;ENSG00000173638;ENSG00000138796;ENSG00000062485;ENSG00000132170;ENSG00000213316;ENSG00000170262;ENSG00000177697;ENSG00000146701;ENSG00000117118;ENSG00000173559;ENSG00000099795;ENSG00000170522;ENSG00000078061;ENSG00000150768;ENSG00000073060;ENSG00000123091;ENSG00000152583;ENSG00000156709;ENSG00000111275;ENSG00000079739;ENSG00000137547;ENSG00000110871;ENSG00000160216;ENSG00000176194;ENSG00000137824;ENSG00000142973;ENSG00000198355;ENSG00000171723;ENSG00000111684;ENSG00000135218;ENSG00000135018;ENSG00000187498;ENSG00000164237;ENSG00000127083
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	8.90715586341104e-07	8.90715586341104e-06	1.80568344559189	NA	192	ENSG00000172156;ENSG00000153283;ENSG00000118971;ENSG00000143479;ENSG00000102265;ENSG00000173762;ENSG00000275302;ENSG00000115607;ENSG00000134460;ENSG00000122862;ENSG00000095752;ENSG00000153563;ENSG00000198851;ENSG00000128342;ENSG00000108691;ENSG00000150782;ENSG00000116824;ENSG00000113263;ENSG00000125538;ENSG00000109471;ENSG00000232810;ENSG00000182866;ENSG00000111537;ENSG00000177889;ENSG00000271503;ENSG00000172116;ENSG00000104998;ENSG00000134539;ENSG00000156234;ENSG00000069399;ENSG00000072401;ENSG00000081237;ENSG00000112576;ENSG00000104131;ENSG00000136244;ENSG00000026103;ENSG00000163519;ENSG00000164163;ENSG00000121807;ENSG00000187210;ENSG00000113532;ENSG00000166278;ENSG00000136634;ENSG00000115085;ENSG00000167286;ENSG00000185507;ENSG00000198821;ENSG00000164342;ENSG00000090339;ENSG00000239672;ENSG00000075151;ENSG00000105372;ENSG00000117560;ENSG00000160654;ENSG00000102245;ENSG00000132507;ENSG00000105369;ENSG00000140030;ENSG00000163737;ENSG00000101017;ENSG00000181163;ENSG00000147168;ENSG00000096996;ENSG00000100644
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.113526570048309	0.189210950080515	1.20374335755028	NA	100	ENSG00000167034;ENSG00000184254;ENSG00000170421;ENSG00000128590;ENSG00000130066;ENSG00000129128;ENSG00000171345;ENSG00000118515;ENSG00000074695;ENSG00000154734;ENSG00000112576;ENSG00000013375;ENSG00000052749;ENSG00000131016;ENSG00000152642;ENSG00000198833;ENSG00000112658;ENSG00000120899;ENSG00000101558;ENSG00000124225;ENSG00000105810;ENSG00000111837;ENSG00000153037;ENSG00000177189;ENSG00000123983;ENSG00000067064;ENSG00000160862;ENSG00000086062;ENSG00000103942
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.0990990990990991	0.186965811965812	1.33886706031972	NA	36	ENSG00000146072;ENSG00000118971;ENSG00000124875;ENSG00000109072;ENSG00000102265;ENSG00000174640;ENSG00000159167;ENSG00000112715;ENSG00000139329
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.21259842519685	0.287295169184933	1.0999529691814	NA	195	ENSG00000005020;ENSG00000163531;ENSG00000134762;ENSG00000126562;ENSG00000197965;ENSG00000141738;ENSG00000013297;ENSG00000062038;ENSG00000204381;ENSG00000106404;ENSG00000130202;ENSG00000130545;ENSG00000179242;ENSG00000172367;ENSG00000170214;ENSG00000105376;ENSG00000039068;ENSG00000168067;ENSG00000072415;ENSG00000112280;ENSG00000133026;ENSG00000081237;ENSG00000132964;ENSG00000198053;ENSG00000162692;ENSG00000125753;ENSG00000171862
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.286697247706422	0.358371559633028	1.09341661093356	NA	42	ENSG00000180447;ENSG00000162631;ENSG00000169174;ENSG00000011422;ENSG00000106211;ENSG00000057019;ENSG00000101955;ENSG00000147168;ENSG00000181856;ENSG00000124466;ENSG00000086062;ENSG00000100385;ENSG00000006831;ENSG00000137845;ENSG00000184349;ENSG00000107485;ENSG00000134202;ENSG00000140519;ENSG00000112139
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.026256914561077	0.0656422864026926	1.31333683574071	NA	155	ENSG00000118971;ENSG00000111057;ENSG00000102265;ENSG00000086061;ENSG00000130066;ENSG00000104368;ENSG00000179388;ENSG00000132906;ENSG00000150782;ENSG00000143384;ENSG00000116824;ENSG00000125538;ENSG00000232810;ENSG00000144136;ENSG00000125347;ENSG00000115008;ENSG00000110848;ENSG00000154640;ENSG00000142089;ENSG00000106211;ENSG00000139329;ENSG00000137331;ENSG00000006327;ENSG00000160049;ENSG00000162772;ENSG00000138795;ENSG00000136244;ENSG00000137752;ENSG00000131979;ENSG00000026103;ENSG00000131238;ENSG00000183773;ENSG00000159388;ENSG00000068971;ENSG00000117560;ENSG00000109929;ENSG00000162734;ENSG00000172183;ENSG00000168036;ENSG00000137875;ENSG00000116761;ENSG00000120705;ENSG00000065361;ENSG00000124762
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.219570405727924	0.288908428589373	1.11129238426859	NA	101	ENSG00000114115;ENSG00000146233;ENSG00000103569;ENSG00000138135;ENSG00000152556;ENSG00000140284;ENSG00000182866;ENSG00000172350;ENSG00000165092;ENSG00000066583;ENSG00000197142;ENSG00000176894;ENSG00000118514;ENSG00000126432;ENSG00000025423;ENSG00000036530;ENSG00000116171;ENSG00000118137
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.564903846153846	0.641936188811189	0.952160446138482	NA	74	ENSG00000104537;ENSG00000147676;ENSG00000130164;ENSG00000172893;ENSG00000011422;ENSG00000006327;ENSG00000162772;ENSG00000165030;ENSG00000012171;ENSG00000198099;ENSG00000105755;ENSG00000146278;ENSG00000109929;ENSG00000168036;ENSG00000164687;ENSG00000001630;ENSG00000104823;ENSG00000164211;ENSG00000178445
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.159600997506234	0.241819693191264	1.18172435790868	NA	118	ENSG00000205403;ENSG00000105825;ENSG00000102265;ENSG00000243649;ENSG00000104368;ENSG00000129455;ENSG00000137801;ENSG00000125730;ENSG00000148450;ENSG00000132906;ENSG00000102996;ENSG00000197632;ENSG00000196188;ENSG00000173531;ENSG00000139318;ENSG00000131187;ENSG00000111144;ENSG00000117525;ENSG00000168374;ENSG00000197249;ENSG00000166278;ENSG00000160999;ENSG00000122861;ENSG00000185010;ENSG00000118137;ENSG00000173391;ENSG00000163737;ENSG00000168487;ENSG00000185022;ENSG00000134240;ENSG00000159403;ENSG00000105707
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.000312734119850808	0.00142151872659458	1.54279854597122	NA	193	ENSG00000107742;ENSG00000163739;ENSG00000105825;ENSG00000102265;ENSG00000204389;ENSG00000243649;ENSG00000104368;ENSG00000197045;ENSG00000125730;ENSG00000137193;ENSG00000167748;ENSG00000132906;ENSG00000167083;ENSG00000102996;ENSG00000169946;ENSG00000197632;ENSG00000125347;ENSG00000182866;ENSG00000012223;ENSG00000169174;ENSG00000116711;ENSG00000271503;ENSG00000113088;ENSG00000104267;ENSG00000138166;ENSG00000011422;ENSG00000044574;ENSG00000139318;ENSG00000172216;ENSG00000109861;ENSG00000158825;ENSG00000136244;ENSG00000137752;ENSG00000111144;ENSG00000163220;ENSG00000117525;ENSG00000137757;ENSG00000197249;ENSG00000115271;ENSG00000166278;ENSG00000163221;ENSG00000173653;ENSG00000198736;ENSG00000185010;ENSG00000185507;ENSG00000173391;ENSG00000135047;ENSG00000102245
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.995073891625616	0.995073891625616	-0.72034313453181	NA	148	ENSG00000154767;ENSG00000134574;ENSG00000104221;ENSG00000166900;ENSG00000134899;ENSG00000009413;ENSG00000165684;ENSG00000134698;ENSG00000188986;ENSG00000196839;ENSG00000121851;ENSG00000014138;ENSG00000168002;ENSG00000186141;ENSG00000086102;ENSG00000133119;ENSG00000163161;ENSG00000111445;ENSG00000198056;ENSG00000125351;ENSG00000166548;ENSG00000176428;ENSG00000181135;ENSG00000148308;ENSG00000168496;ENSG00000051180;ENSG00000181222;ENSG00000166169;ENSG00000077514;ENSG00000117748;ENSG00000049541;ENSG00000167986;ENSG00000141510;ENSG00000183431;ENSG00000102978;ENSG00000174233;ENSG00000101146;ENSG00000152669;ENSG00000167005;ENSG00000147853
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.0784	0.163333333333333	-1.21129717025988	NA	199	ENSG00000118655;ENSG00000083642;ENSG00000132383;ENSG00000020922;ENSG00000108055;ENSG00000073111;ENSG00000035928;ENSG00000102054;ENSG00000100297;ENSG00000118007;ENSG00000079616;ENSG00000138376;ENSG00000111581;ENSG00000166508;ENSG00000142731;ENSG00000177084;ENSG00000104738;ENSG00000124795;ENSG00000146143;ENSG00000122966;ENSG00000137310;ENSG00000163029;ENSG00000139618;ENSG00000112118;ENSG00000014138;ENSG00000012963;ENSG00000101945;ENSG00000122512;ENSG00000111247;ENSG00000113810;ENSG00000159147;ENSG00000076003;ENSG00000115942;ENSG00000134690;ENSG00000146263;ENSG00000133119;ENSG00000117399;ENSG00000138778;ENSG00000095002;ENSG00000142945;ENSG00000164109
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_limma	0.122666666666667	0.197784810126582	1.16548617376548	NA	200	ENSG00000166923;ENSG00000114251;ENSG00000152661;ENSG00000115457;ENSG00000105290;ENSG00000163739;ENSG00000198959;ENSG00000105825;ENSG00000124875;ENSG00000117152;ENSG00000102265;ENSG00000130066;ENSG00000149257;ENSG00000116260;ENSG00000137801;ENSG00000170558;ENSG00000111341;ENSG00000180447;ENSG00000115738;ENSG00000073008;ENSG00000169429;ENSG00000140092;ENSG00000008517;ENSG00000112715;ENSG00000101680;ENSG00000011422;ENSG00000139329;ENSG00000006327;ENSG00000180914;ENSG00000136244;ENSG00000026103;ENSG00000077942;ENSG00000106484;ENSG00000162692;ENSG00000177283;ENSG00000176697;ENSG00000141753
