pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	1.71447896494203e-15	8.57239482471016e-14	NA	0.599270161081364	199	AK2/ANP32E/ASF1B/ATAD2/AURKA/AURKB/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1A/CDKN2A/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EED/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HUS1/ILF3/ING3/IPO7/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LIG1/LMNB1/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MMS22L/MSH2/MTHFD2/MXD3/MYBL2/MYC/NAP1L1/NASP/NBN/NCAPD2/NME1/NOP56/NUP107/NUP205/ORC2/ORC6/PA2G4/PAICS/PAN2/PCNA/PHF5A/PLK1/PLK4/PMS2/POLA2/POLD1/POLD2/POLE/POP7/PRDX4/PRIM2/PRKDC/PSIP1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD51AP1/RAN/RANBP1/RFC2/RFC3/RPA3/RRM2/SLBP/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SRSF2/SSRP1/STMN1/SUV39H1/SYNCRIP/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UNG/USP1/WDR90/WEE1/XPO1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	5.84538240082491e-11	1.46134560020623e-09	NA	0.51569180866249	196	ABL1/AMD1/ARID4A/ATF5/ATRX/AURKA/AURKB/BCL3/BIRC5/BRCA2/BUB1/BUB3/CBX1/CCNA2/CCNB2/CCND1/CCNF/CDC20/CDC25A/CDC25B/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CHMP1A/CKS1B/CKS2/CUL3/CUL5/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F2/E2F3/E2F4/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/GINS2/H2AX/H2AZ1/H2BC12/HIRA/HMGA1/HMGB3/HMGN2/HMMR/HOXC10/HUS1/ILF3/INCENP/JPT1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIF5B/KNL1/KPNA2/LMNB1/MAD2L1/MAP3K20/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MTF2/MYBL2/MYC/NASP/NDC80/NEK2/NSD2/NUMA1/NUP50/NUP98/ODC1/ODF2/ORC5/ORC6/PAFAH1B1/PBK/PLK1/PLK4/PML/POLA2/POLE/POLQ/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD54L/RBL1/RPS6KA5/SLC38A1/SLC7A5/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF10/SRSF2/STIL/STMN1/SUV39H1/SYNCRIP/TACC3/TENT4A/TFDP1/TMPO/TOP2A/TPX2/TRAIP/TROAP/TTK/UBE2C/UBE2S/UCK2/UPF1/XPO1/YTHDC1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.000212506225046002	0.00354177041743337	NA	0.32465778062608	179	ABLIM1/ACTA1/ACTC1/ACTN2/ADAM12/ADCY9/AGL/AGRN/APOD/ATP6AP1/BAG1/BDKRB2/BHLHE40/BIN1/CACNA1H/CASQ2/CDKN1A/CFD/CHRNA1/CHRNB1/CKB/CKM/CKMT2/CLU/COL4A2/COL6A2/COL6A3/COX7A1/CRYAB/CTF1/DAPK2/DENND2B/DES/DMD/DMPK/DTNA/EIF4A2/ERBB3/FDPS/FGF2/FHL1/FLII/FOXO4/GADD45B/GNAO1/GPX3/GSN/HBEGF/HDAC5/HRC/HSPB8/IGF1/IGFBP3/IGFBP7/ITGA7/ITGB4/KCNH2/LAMA2/LARGE1/LDB3/LPIN1/LSP1/MB/MEF2A/MEF2C/MEF2D/MRAS/MYBPC3/MYH11/MYH2/MYH3/MYL3/MYLK/MYO1C/MYOM1/MYOM2/NCAM1/NQO1/PDE4DIP/PDLIM7/PFKM/PICK1/PLXNB2/PPFIA4/PPP1R3C/PSEN2/PTGIS/PTP4A3/PYGM/REEP1/SCD/SCHIP1/SGCA/SGCD/SGCG/SH3BGR/SLC6A8/SLN/SMTN/SOD3/SORBS1/SORBS3/SPEG/SPHK1/SPTAN1/SSPN/SVIL/SYNGR2/TAGLN/TEAD4/TNNT1/TPD52L1/TPM2/TPM3/TSC2/WWTR1
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.000286378790237035	0.00357973487796294	NA	0.53545506348392	56	AIMP2/BYSL/CBX3/CDK4/DCTPP1/DUSP2/EXOSC5/FARSA/GNL3/HSPD1/HSPE1/IMP4/LAS1L/MCM4/MCM5/MPHOSPH10/MRTO4/MYBBP1A/MYC/NDUFAF4/NIP7/NOC4L/NOP2/NOP56/PA2G4/PES1/PLK1/PLK4/PPRC1/PRMT3/PUS1/RRP9/SLC19A1/SLC29A2/SRM/TBRG4/TCOF1/TFB2M/TMEM97/UNG/UTP20/WDR74
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.00166726563498497	0.0166726563498497	NA	0.263650448022394	198	ABCF2/ACLY/ADD3/AK4/ALDOA/ARPC5L/ASNS/ATP2A2/ATP5MC1/AURKA/BCAT1/BHLHE40/BTG2/BUB1/CACYBP/CALR/CCNF/CCNG1/CCT6A/CDC25A/CDKN1A/CFP/COPS5/CTSC/CXCR4/DDIT4/DDX39A/DHCR24/DHCR7/EBP/EDEM1/EEF1E1/EIF2S2/ELOVL6/ENO1/ERO1A/ETF1/FADS1/FADS2/FDXR/FGL2/GAPDH/GBE1/GLA/GMPS/GSK3B/HMBS/HPRT1/HSP90B1/HSPA5/HSPD1/HSPE1/IGFBP5/LDLR/LGMN/MAP2K3/MCM2/MCM4/ME1/MLLT11/MTHFD2/NAMPT/NFIL3/NFKBIB/NFYC/NIBAN1/NMT1/NUP205/NUPR1/PDAP1/PGK1/PITPNB/PLK1/POLR3G/PPIA/PPP1R15A/PSAT1/PSMA3/PSMA4/PSMB5/PSMC2/PSMC4/PSMC6/PSMD12/PSMD14/PSME3/PSMG1/PSPH/RPN1/RRM2/RRP9/SCD/SDF2L1/SERPINH1/SHMT2/SKAP2/SLC1A4/SLC2A3/SLC37A4/SLC6A6/SLC7A5/SQLE/SQSTM1/SRD5A1/SSR1/STC1/STIP1/TBK1/TES/TFRC/TMEM97/TOMM40/TPI1/TRIB3/TUBG1/TXNRD1/UBE2D3/UCHL5/UNG/USO1/VLDLR/WARS1/YKT6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.00265682538713149	0.0221402115594291	NA	0.251873280246041	198	ACKR3/ATF3/BCL3/BCL6/BHLHE40/BMP2/BTG1/BTG2/CCL2/CCL20/CCL5/CCN1/CCND1/CCRL2/CD69/CD80/CDKN1A/CEBPD/CSF1/CSF2/CXCL10/CXCL11/CXCL2/DENND5A/DNAJB4/DUSP1/DUSP2/DUSP4/DUSP5/EFNA1/EGR1/EGR2/EGR3/EIF1/ETS2/FJX1/FOS/FOSB/FOSL1/FOSL2/GADD45A/GADD45B/GEM/GPR183/HBEGF/ID2/IER2/IER3/IFIH1/IFIT2/IFNGR2/IL1A/IL23A/IL6/IL6ST/INHBA/JUN/JUNB/KDM6B/KLF10/KLF2/KLF4/KLF6/KLF9/LDLR/LIF/LITAF/MAFF/MAP2K3/MAP3K8/MARCKS/MCL1/MXD1/MYC/NAMPT/NFE2L2/NFIL3/NFKB1/NFKBIA/NFKBIE/NR4A1/NR4A2/NR4A3/OLR1/PDE4B/PDLIM5/PER1/PFKFB3/PHLDA1/PLAU/PLPP3/PMEPA1/PNRC1/PPP1R15A/PTGS2/PTX3/RCAN1/RHOB/RIPK2/SDC4/SERPINB2/SERPINB8/SGK1/SIK1/SLC2A3/SLC2A6/SOCS3/SOD2/SPHK1/SPSB1/SQSTM1/STAT5A/TAP1/TIPARP/TLR2/TNFAIP2/TNFAIP3/TNFAIP6/TNIP2/TRIB1/TSC22D1/ZFP36
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.00665557326560346	0.0475398090400247	NA	0.225499610262634	200	ABI3BP/ACTA2/ADAM12/BDNF/BGN/BMP1/CALD1/CAP2/CAPG/CCN1/CCN2/CDH11/CDH6/COL11A1/COL12A1/COL16A1/COL4A2/COL5A3/COL6A2/COL6A3/COL7A1/COL8A2/COLGALT1/COMP/COPA/CTHRC1/CXCL12/DCN/DKK1/DPYSL3/DST/ECM1/ECM2/EFEMP2/ELN/EMP3/FAP/FBLN1/FBLN2/FBLN5/FBN1/FBN2/FERMT2/FGF2/FLNA/FMOD/FSTL1/GADD45A/GADD45B/GAS1/GEM/GREM1/ID2/IGFBP2/IGFBP3/IGFBP4/IL32/IL6/INHBA/ITGA2/ITGA5/ITGB3/JUN/LAMA1/LAMA2/LAMC1/LAMC2/LOXL2/LRP1/LRRC15/LUM/MAGEE1/MATN2/MATN3/MCM7/MEST/MFAP5/MGP/MMP1/MMP14/MMP2/MSX1/MYL9/MYLK/OXTR/P3H1/PCOLCE/PCOLCE2/PDLIM4/PLOD1/PLOD3/PMEPA1/PMP22/POSTN/PPIB/PRSS2/PTHLH/PTX3/PVR/RHOB/SDC4/SERPINE2/SERPINH1/SFRP1/SGCB/SGCD/SGCG/SLC6A8/SLIT2/SLIT3/SPP1/TAGLN/TGFBR3/THBS1/TNFAIP3/TNFRSF11B/TPM1/TPM2/TPM4/VIM/WIPF1
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.00950631881615373	0.0549523067401804	NA	0.215953705991098	198	ADAR/APOL6/ARID5B/BATF2/BPGM/BST2/BTG1/C1R/C1S/CASP3/CASP8/CCL2/CCL5/CCL7/CD274/CD38/CD69/CDKN1A/CFB/CFH/CMPK2/CMTR1/CXCL10/CXCL11/CXCL9/DDX60/DHX58/EIF2AK2/EIF4E3/EPSTI1/FCGR1A/FGL2/GBP4/GBP6/HELZ2/HLA-B/HLA-G/IDO1/IFI27/IFI35/IFI44/IFI44L/IFIH1/IFIT1/IFIT2/IFIT3/IFNAR2/IL18BP/IL6/IRF5/IRF7/IRF9/ISG15/JAK2/LATS2/LGALS3BP/LY6E/MARCHF1/MTHFD2/MX1/MX2/NAMPT/NFKB1/NFKBIA/NLRC5/NMI/NUP93/OAS2/OAS3/OGFR/P2RY14/PARP12/PARP14/PDE4B/PELI1/PIM1/PLA2G4A/PLSCR1/PML/PNPT1/PSMA2/PSMA3/PSMB2/PSMB8/PSMB9/PSME1/PSME2/PTGS2/PTPN2/PTPN6/RBCK1/RIPK1/RIPK2/RNF213/RNF31/RSAD2/SAMHD1/SELP/SOCS3/SOD2/SSPN/STAT1/STAT2/STAT3/TAP1/TAPBP/TNFAIP2/TNFAIP3/TNFAIP6/TRIM14/TRIM25/TXNIP/UBE2L6/USP18/VAMP8/WARS1/XAF1/XCL1/ZBP1
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.00989141521323246	0.0549523067401804	NA	0.240834314592293	157	ABCB1/ALDOA/AMD1/AP2S1/AQP3/ASNS/ATF3/ATP6V1C1/ATP6V1F/BAK1/BCL2L11/BID/BMP2/BTG1/BTG2/CA2/CASP3/CCK/CCNE1/CDC34/CDK2/CDKN1C/CDO1/CHRNA5/CLCN2/COL2A1/CTSV/CXCL2/DGAT1/DLG4/E2F5/EPCAM/EPHX1/FEN1/FGF18/FKBP4/FOS/FOSB/GAL/GGH/GPX3/GRINA/H2AX/HMOX1/HSPA2/IGFBP2/IL6/IL6ST/JUNB/KCNH2/KLHDC3/LHX2/LYN/MAPK8IP2/MARK2/MGAT1/MMP14/MSX1/NAT1/NFKBIA/NKX2-5/NR4A1/NTRK3/OLFM1/PARP2/PDAP1/PDLIM3/PLCL1/POLE3/POLG2/POLR2H/PPAT/PPIF/PPP1R2/PRPF3/PTPRD/RAB27A/RFC4/RHOB/RPN1/SELENOW/SHOX2/SIGMAR1/SLC25A4/SLC6A12/SLC6A8/SOD2/SQSTM1/STARD3/STIP1/TACR3/TAP1/TARS1/TCHH/TFRC/YKT6
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BLCA_DESeq2	tcga_cancer__BLCA_DESeq2	0.0163108931978711	0.0755312145028109	NA	0.233564721833103	143	ADD3/ADGRL2/AGGF1/AKT3/AMPH/ANXA4/APBB2/ARHGEF9/ATP2B4/ATP2C1/ATRN/ATRX/ATXN1/BDNF/BHLHE40/BMPR1A/CAP2/CAV1/CCN1/CDC42BPA/CDON/CELF2/CITED2/COL11A1/DLC1/DMAC2L/DUSP1/EFEMP1/ERBB2/FBLN5/FYN/FZD2/GCNT1/GRK5/HAS2/IGFBP5/INPP4B/ITGB3/KCNMA1/KIT/LAMC1/LDLR/LPAR1/LTBP1/MAGI2/MAP1B/MAP2K5/MET/MGLL/MMP16/MRPS31/MYC/NEK7/NFIB/NFKB1/NR3C1/PDLIM5/PEX14/PHF3/PLCB4/PLPP3/PMP22/PRDM2/PRKAR2B/PRKCA/PRKCE/PTEN/PTGFR/PTPN21/RBPMS/RND3/SCAF8/SCHIP1/SCN8A/SDC2/SFMBT1/SIPA1L1/SMAD7/SPOP/SYNE1/TENT4A/TGFBR2/TGFBR3/TJP1/VAV2/VLDLR/YTHDC1
