pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	2.12254367140168e-12	1.06127183570084e-10	NA	0.315228132526464	199	CKS2/ASF1B/UBE2T/RACGAP1/SPC25/CDK1/KPNA2/GINS1/PTTG1/KIF4A/CDKN3/AURKA/TIMELESS/SPC24/CDCA8/SPAG5/EZH2/MELK/HMGB3/PLK1/H2AZ1/UBE2S/KIF2C/PCNA/TRIP13/MAD2L1/CCNB2/CDCA3/LMNB1/TK1/CENPE/DONSON/DLGAP5/TACC3/DDX39A/HMMR/JPT1/MTHFD2/RAD51AP1/PLK4/AURKB/BUB1B/KIF22/CDC20/KIF18B/NME1/DEPDC1/ORC6/MCM4/ESPL1/STMN1/MYBL2/CHEK1/RRM2/SMC4/DCTPP1/H2AX/TOP2A/RPA3/DNMT1/ATAD2/CIT/SNRPB/DIAPH3/CENPM/RFC2/PRIM2/BARD1/RAD21/TUBG1/MCM6/PAICS/CNOT9/RAD1/BIRC5/CCNE1/HELLS/MKI67/CDC25A/DSCC1/TCF19/SRSF1/BRCA2/GINS4/CTPS1/HMGA1/MCM3/MCM2/TUBB/RBBP7/SUV39H1/BRCA1/CSE1L/POLE/SMC6/HMGB2/RAN/POP7/POLA2/CDKN2A/NOP56/CKS1B/MXD3/GSPT1/WDR90/ILF3/SLBP/TMPO/NUP107/RFC3/DCK/LIG1/CDC25B/RANBP1/PSMC3IP/SRSF2/UBR7/TBRG4/RAD51C/NCAPD2/MSH2/CHEK2/CDKN2C/POLD2/TFRC/XPO1/POLD1/NUP205/UNG/MCM7/PRKDC/NOLC1/PRDX4/SMC1A/SHMT1/E2F8/CDK4/GINS3/NBN/ANP32E/PA2G4/DCLRE1B/CCP110/TIPIN/USP1/MYC/SSRP1/PPP1R8/POLD3/MCM5/NASP/HUS1/ING3/ORC2/MMS22L/WEE1/NAA38/PRPS1/ASF1A/AK2/PMS2/HNRNPD/TRA2B/BRMS1L/PAN2/DUT/CBX5/PHF5A/CTCF/SYNCRIP/ZW10/IPO7/EIF2S1/CDKN1B/LYAR/MLH1/TP53/EED/XRCC6/LUC7L3/DEK/RAD50/PNN/STAG1/RFC1/PPM1D/NUP153
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	3.48143922657381e-05	0.000870359806643454	NA	0.202961900275552	199	CBX3/KPNA2/H2AZ1/PCNA/MAD2L1/HNRNPU/HDGF/CCT3/BUB3/CCNA2/CDC20/NME1/MCM4/HPRT1/ILF2/CDC45/CSTF2/MCM6/RFC4/HNRNPA2B1/PSMC4/ERH/RNPS1/SRSF1/CTPS1/HSPE1/CCT2/GLO1/EPRS1/FAM120A/TYMS/SNRPG/MCM2/SET/NCBP2/CDK2/SNRPD1/CCT5/PSMD14/POLE3/NCBP1/SNRPA1/RAN/SRPK1/HNRNPC/TARDBP/PTGES3/PSMD3/NOP56/PPM1G/PSMB3/ACP1/SNRPB2/GSPT1/MRPL9/PPIA/PSMA4/RRM1/COPS5/SSBP1/CLNS1A/RUVBL2/RANBP1/SRSF2/TRIM28/TXNL4A/RPS10/HSPD1/HSP90AB1/HNRNPA3/PRPS2/TFDP1/PGK1/POLD2/EIF2S2/LSM7/HDAC2/PSMA7/XPO1/PSMB2/NOP16/IARS1/DHX15/SMARCC1/MCM7/LSM2/NOLC1/KPNB1/AIMP2/PRDX4/VBP1/XPOT/HNRNPR/CDK4/PABPC1/NDUFAB1/PA2G4/MRPL23/CCT7/NHP2/PSMD1/PSMC6/TUFM/PSMA6/USP1/STARD7/PRPF31/RRP9/MYC/IFRD1/CANX/RPL34/APEX1/G3BP1/CYC1/SF3B3/GNL3/PSMA1/EIF4A1/MCM5/CAD/EIF3B/PSMD8/VDAC1/C1QBP/LDHA/EIF4E/YWHAQ/ABCE1/SNRPA/ORC2/SNRPD2/NPM1/RAD23B/RPL22/UBE2L3/SSB/HNRNPD/TRA2B/EIF4G2/TCP1/AP3S1/GOT2/DUT/EIF3D/RPS2/DDX21/TOMM70/SYNCRIP/PWP1/SF3A1/HNRNPA1/EIF3J/SRSF7/EXOSC7/EIF2S1/YWHAE/EEF1B2/CCT4/DDX18/SRSF3/UBE2E1/SRM/COX5A/RPS6/MRPS18B/VDAC3/XRCC6/DEK/PCBP1/PSMA2/RPL6/RACK1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	5.48956357118049e-05	0.000914927261863414	NA	0.19963938520497	196	CKS2/NEK2/RACGAP1/CDK1/KPNA2/PTTG1/KIF4A/CDKN3/AURKA/TPX2/NDC80/EZH2/KIF23/UBE2C/CCNF/KIF11/HMGB3/PLK1/H2AZ1/STIL/UBE2S/KIF2C/BUB1/CENPF/MAD2L1/CENPA/TROAP/CCNB2/HNRNPU/EXO1/LMNB1/CENPE/TACC3/BUB3/DDX39A/HMMR/CCNA2/TTK/JPT1/PBK/KNL1/KIF15/POLQ/PLK4/AURKB/KIF22/CDC20/ORC6/E2F1/ESPL1/STMN1/MYBL2/CHEK1/SQLE/SMC4/ODF2/DBF4/TOP1/H2AX/TOP2A/RAD54L/TRAIP/CDC6/CDC45/GINS2/PRIM2/BARD1/RAD21/MCM6/TLE3/BIRC5/DMD/DTYMK/MKI67/CDC25A/H2BC12/CHAF1A/CDC7/SRSF1/BRCA2/HMGA1/E2F2/MCM3/MCM2/LIG3/SNRPD1/NSD2/ORC5/CBX1/FOXN3/SUV39H1/E2F3/POLE/SLC7A5/SFPQ/POLA2/SAP30/CKS1B/FBXO5/HOXC10/GSPT1/DKC1/MEIS1/FANCC/INCENP/ILF3/TMPO/BCL3/SMC2/CDC25B/ATF5/KIF20B/HMGN2/SRSF2/MAP3K20/MEIS2/TFDP1/CDKN2C/CCND1/XPO1/SS18/SMARCC1/NOLC1/KPNB1/NCL/TGFB1/RBM14/SMC1A/RBL1/CDK4/NUP50/UPF1/CHMP1A/HSPA8/H2AZ2/MYC/DR1/SLC38A1/G3BP1/MCM5/NASP/ARID4A/EWSR1/HUS1/EGF/RAD23B/RPS6KA5/SRSF10/MTF2/TNPO2/KMT5A/HNRNPD/TRA2B/PRMT5/PURA/WRN/CTCF/SYNCRIP/CUL4A/SLC7A1/CDKN1B/SMAD3/HIF1A/NUMA1/CUL3/MNAT1/UCK2/PAFAH1B1/STAG1/EFNA5
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.00266869241504494	0.0333586551880618	NA	0.270028713096367	56	CBX3/PLK1/PLK4/TFB2M/MCM4/DCTPP1/TMEM97/HSPE1/BYSL/FARSA/RABEPK/NOP56/SORD/TBRG4/HSPD1/PUS1/SLC19A1/RRP12/IMP4/NOP16/LAS1L/UNG/NOLC1/MPHOSPH10/AIMP2/PRMT3/EXOSC5/CDK4/NOC4L/GRWD1/PA2G4/TCOF1/RRP9/MYC/MRTO4/PPAN/GNL3/MCM5/PES1/NPM1/SLC29A2/PPRC1/WDR74/SUPV3L1/NOP2/NIP7/DDX18/SRM/WDR43/MAP3K6/UTP20
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0121759635389601	0.104017958932272	NA	0.177547797079403	96	ADAR/CXCL11/ISG15/IRF7/TXNIP/CXCL10/PSME2/RIPK2/OASL/PARP12/PARP9/HELZ2/TAP1/MOV10/UBE2L6/TRAFD1/OAS1/MX1/PSME1/SP110/TRIM14/IFI27/USP18/RSAD2/TRIM26/LPAR6/IFIH1/IFITM1/OGFR/SAMD9/PARP14/PSMA3/BST2/HLA-C/IFI35/CMPK2/PROCR/PSMB8/PNPT1/EPSTI1/NCOA7/IFIT2/DHX58/DDX60/TDRD7/ISG20/IRF1/CNP/IFIT3/LAMP3/PSMB9/IFI44/MVB12A/CMTR1/CASP8/TMEM140/BATF2/IRF9/LGALS3BP/LY6E/SELL/NMI/IL7/TRIM21/EIF2AK2/CD74/GBP2/CSF1/RTP4/SAMD9L/C1S/IFITM3/CASP1/HERC6/STAT2/IFI44L/LAP3/B2M/IL4R/IL15/TENT5A/WARS1
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0124821550718727	0.104017958932272	NA	0.125384211198751	193	CDK1/AURKA/POLR3K/CENPA/BPNT1/KIF20A/ALG1/HMMR/DEPDC1/STMN1/GFUS/COPB2/PMM2/HSPA5/FKBP4/IRS2/ARTN/CHPF/PSMC4/TXN/EGFR/PFKFB1/COL5A1/CHPF2/CASP6/GMPPA/COG2/GALE/ANGPTL4/RARS1/CLDN9/FUT8/VCAN/SAP30/LHX9/MET/P4HA1/SDHC/PPIA/AK3/SDC1/CACNA1H/RRAGD/EFNA3/B4GALT4/DCN/FAM162A/GNPDA1/UGP2/P4HA2/B3GAT1/GPC4/VLDLR/SRD5A3/BIK/FBP2/SLC16A3/GMPPB/CLN6/B3GAT3/SLC25A10/RPE/AK4/ENO2/NSDHL/CHST6/PGK1/GPC3/MXI1/SLC35A3/RBCK1/KDELR3/TPBG/HAX1/CXCR4/SPAG4/EGLN3/ERO1A/PAXIP1/MED24/PGLS/B3GALT6/GNE/TPI1/NT5E/MERTK/B4GALT1/QSOX1/ISG20/ALDOA/NANP/B4GALT7/IL13RA1/XYLT2/GALK1/IER3/B4GALT2/PHKA2/GFPT1/ECD/TFF3/NASP/ALDOB/LDHC/ALDH7A1/AKR1A1/LDHA/CLDN3/VEGFA/AGRN/PKM/CHST1/PLOD1/CD44/ME2/GAL3ST1/KIF2A/PGAM1/TALDO1/PGM2/SLC25A13/PRPS1/GPC1/CAPN5/SOD1/SDC3/HDLBP/PAM/ME1/IDUA/GOT2/GLCE/CITED2/ADORA2B/PPP2CB/PYGL/G6PD/MDH1/NDST3/LCT/TGFBI/GCLC/PC/STC1/MDH2/TGFA/ENO1/SLC37A4/TPST1/DSC2/STC2/PFKP/DPYSL4/GYS1/NOL3/GALK2/CHST2/ANG/GLRX
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0235806778540296	0.168433413243068	NA	0.267454769432541	33	VAV2/LPL/POSTN/OLR1/COL5A2/VCAN/PTK2/SPP1/KCNJ8/TIMP1/CCND2/NRP1/PF4/COL3A1/S100A4/FSTL1/PDGFA/MSX1/THBD/CXCL6/VEGFA/JAG2/TNFRSF21/LUM/ITGAV/JAG1/FGFR1/STC1/VTN/LRPAP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0413274056423164	0.258296285264477	NA	0.0996661998869755	194	ADAMTS5/CD34/CLDN5/CLDN11/VAV2/GNAI1/CDH11/DSC1/TUBG1/PECAM1/EGFR/NECTIN2/VWF/ATP1A3/NECTIN3/CD276/CD209/SKAP2/SGCE/ICAM2/SHROOM2/PPP2R2C/CLDN8/PFN1/CLDN19/CADM3/CLDN9/SRC/VCAN/COL9A1/PIK3R3/YWHAH/CLDN18/SIRPA/FLNC/CRB3/CX3CL1/PTK2/EVL/HADH/CERCAM/NRAP/AMH/LAMA3/LAMB3/EPB41L2/NLGN3/NEXN/ACTG1/SLIT2/RHOF/PARVA/INPPL1/MYL9/MAP3K20/COL17A1/ACTA1/MMP9/MAPK13/ACTB/CALB2/MDK/VASP/CAP1/NFASC/ACTN2/ACTC1/PCDH1/JAM3/BAIAP2/ITGA9/B4GALT1/CLDN7/TRO/SYMPK/TAOK2/CLDN6/MADCAM1/NECTIN4/ADAM15/CLDN14/ARPC2/GRB7/THY1/WNK4/JUP/WASL/CD86/AKT3/ITGA10/ARHGEF6/SPEG/MYL12B/MAP4K2/HRAS/TSPAN4/KCNH2/ALOX15B/RAC2/CLDN15/STX4/PTEN/BMP1/SHC1/RRAS/DHX16/CDK8/AMIGO1/ACTG2/GTF2F1/TRAF1/SDC3/LAYN/PKD1/MYH10/IRS1/NEGR1/CDH1/LAMC2/AMIGO2/FSCN1/LIMA1/FYB1/CRAT/VCL/ADAM23/CDH15/MAPK11/CDH4/KRT31/SYK/ITGB1/SORBS3/SLC30A3/IKBKG/CTNNA1/CDH8/TGFBI/NRXN2/CNTN1/TJP1/LDLRAP1/PBX2/ZYX/CADM2/THBS3/PARD6G/PIK3CB/PTPRC/MSN/ICAM1/CLDN4/CDH6/RASA1/TSC1/ITGB4/INSIG1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0583457388771921	0.324142993762179	NA	0.121165327181885	112	ALDH18A1/MTHFD2/PARN/H2AX/LSM4/EIF4A3/HSPA5/CALR/ATF3/SRPRB/YWHAZ/IGFBP1/ARFGAP1/TARS1/EXOSC4/CNOT6/FUS/SLC7A5/SPCS1/NFYA/NOP56/CKS1B/YIF1A/DKC1/KHSRP/BANF1/EXOC2/HSP90B1/DCP1A/EXOSC1/POP4/EIF2AK3/KDELR3/LSM1/IARS1/SSR1/IFIT1/SERP1/TSPYL2/NOLC1/ATF6/EIF4EBP1/XPOT/HYOU1/ERO1A/EXOSC5/PAIP1/EIF4G1/SLC30A5/DNAJA4/NHP2/XBP1/PDIA6/HSPA9/EXOSC2/PDIA5/TATDN2/CNOT2/RRP9/SEC31A/EIF4A1/SLC1A4/EIF4E/DCP2/VEGFA/SHC1/CHAC1/EIF4A2/NPM1/EDEM1/EXOSC9/WFS1/SRPRA/CCL2/WIPI1/SDAD1/IMP3/NOP14/EIF2S1/NABP1/ZBTB17/ATP6V0D1/TUBB2A/CXXC1/PREB/SPCS3/EDC4/PSAT1/DDX10/STC2/CEBPG/FKBP14
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0672094297943502	0.331103937483786	NA	0.0866872219032028	197	AURKA/CCNF/PLK1/BUB1/DDX39A/MTHFD2/MCM4/SQLE/RRM2/HPRT1/CACYBP/HSPA5/STIP1/CALR/TUBG1/CCT6A/ARPC5L/PSMC4/TRIB3/CDC25A/TMEM97/HSPE1/PRDX1/EPRS1/YKT6/RPN1/MCM2/SKAP2/PSMD14/HSPA4/RIT1/TOMM40/SLC7A5/PPP1R15A/PIK3R3/CD9/GMPS/P4HA1/ACTR3/SHMT2/SORD/PSMD12/PNO1/PPIA/PSMA4/PSPH/COPS5/SDF2L1/EEF1E1/EBP/SLC2A1/ACTR2/VLDLR/HSP90B1/SLC7A11/PSME3/SERPINH1/ADD3/PGM1/HSPD1/FDXR/NFIL3/UCHL5/GBE1/AK4/GSR/PSMA3/PGK1/PNP/EIF2S2/GSK3B/TFRC/PSMC2/SSR1/NUP205/UNG/SERP1/CXCR4/NFKBIB/RAB1A/EGLN3/ERO1A/PSMB5/TPI1/MLLT11/TCEA1/ALDOA/PDAP1/XBP1/DHCR24/ABCF2/SLC6A6/PSMC6/HSPA9/PSMG1/RDH11/DHCR7/PSMD13/CORO1A/RRP9/NIBAN1/IFRD1/CANX/CCNG1/HMBS/TBK1/SLC1A4/SC5D/IGFBP5/LDHA/SYTL2/ATP5MC1/FADS2/DAPP1/SLC2A3/PFKL/EDEM1/ATP6V1D/IMMT/M6PR/FGL2/GAPDH/CYP51A1/ME1/ACLY/TXNRD1/ITGB2/G6PD/SCD/BCAT1/GLA/NMT1/GPI/NAMPT/LGMN/GCLC/STC1/DHFR/HMGCR/MAP2K3/ADIPOR2/CFP/ENO1/SLC37A4/LDLR/SLA/BTG2/TM7SF2/BHLHE40/PSAT1/HMGCS1/MTHFD2L/QDPR/NFYC/STARD4/WARS1/GLRX/INSIG1
