pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	1.91276079729862e-13	1.91276079729862e-12	-2.18441070934032	NA	196	CAVIN2;LIFR;ITIH5;ACADL;ENPP2;GPAM;GPX3;SORBS1;SPARCL1;ITGA7;MRAP;LPL;PPARG;FZD4;LIPE;CD36;CAVIN1;FABP4;CIDEA;LEP;ARL4A;SSPN;MYLK;TANK;BCL6;ADIPOQ;ANGPTL4;STAT5A;ITSN1;CAT;IFNGR1;HADH;CD302;ALDH2;PHLDB1;ELMOD3;RETSAT;PGM1;PEMT;ESYT1;GBE1;CDKN2C;MGLL;ANGPT1;PFKFB3;LAMA4;ACADS
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0588942307692308	0.10906339031339	1.25193591828662	NA	192	CCL11;INHBA;NME1;TPD52;CCL7;IRF7;TAPBP;MRPL3;RIPK2;TRAF2;CD80;UBE2N;BRCA1;RARS1;CXCL9;STAT1;CDKN2A;TAP1;BCL3;CAPG;GALNT1;CSK;IL18;GLMN;TIMP1;CXCR3;IL12B;F2R;PTPN6;EIF5A;MMP9;TGFB1;IL2RB;AKT1;IFNG;ITGAL;HLA-A;IL11;HLA-DQA1;ELF4;CD7;DEGS1;THY1;LTB;CCR5;GPR65;CD86;IL2RG;IL12RB1;PSMB10;HLA-G;CD2;MTIF2;AARS1;FASLG;CCL5;HLA-DRA;ABCE1;LCK;GZMA;CD74;NPM1;ABI1;CD3D;CRTAM;MAP4K1;GZMB;TRAT1;SPI1;LY86;CD8A;SIT1;SOCS1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.356828193832599	0.509754562617999	-1.03983679777254	NA	100	LIFR;ARID5B;PLPP1;CDC14B;AKAP12;TSC22D1;SGK1;ADAMTS1;PTPN21;SELENOP;MAF;RPS6KA3;ALDH1A3;GUCY1A1;HERC3;KLK2;MERTK
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.614692653673163	0.788067504709184	0.912425420400425	NA	33	VAV2;POSTN;OLR1;COL5A2;VCAN;PTK2;SPP1;TIMP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0104567949769188	0.0201092211094591	-1.28434883355191	NA	194	ADAMTS5;CD34;CLDN5;CLDN11;GNAI1;DSC1;PECAM1;EGFR;VWF;NECTIN3;CD209;SKAP2;SGCE;ICAM2;CLDN8;CLDN19;CADM3;CLDN18;SIRPA;FLNC;CX3CL1;HADH;NRAP;LAMA3;LAMB3;EPB41L2;NLGN3;NEXN;SLIT2;PARVA;MYL9;MAP3K20;COL17A1;ACTA1;CALB2;NFASC;ACTN2;ACTC1;JAM3;ITGA9;TRO;AKT3;ITGA10;ARHGEF6;SPEG;TSPAN4;ALOX15B;CLDN15;PTEN
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.727015558698727	0.84536692871945	0.84019028740316	NA	44	PLAUR;SHROOM2;BRCA1;SULF2;GATA3;ATP8B1;NCOA6;SLC34A3;IL2RB;HSPB1;B4GALT1;THY1;PCSK9;IL2RG
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.402409638554217	0.558902275769746	1.02558067031267	NA	159	SLC20A1;DAP3;BGN;CASP3;TOP2A;LEF1;BAX;CASP6;CDK2;RARA;BRCA1;HMGB2;PPT1;PMAIP1;TAP1;DNAJA1;PTK2;RHOT2;BMF;CASP2;EBP;CDC25B;BCL2L1;PAK1;KRT18;IL18;BIK;FDXR;TIMP1;GSR;ENO2;F2R;ERBB2;CCND1;AIFM3;GCH1;PSEN2;PSEN1;DAP
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.000279779498423166	0.000699448746057916	-1.67029094120401	NA	104	ABCA9;ABCA8;ABCA6;ALDH1A1;NR3C2;LIPE;ABCD2;ACSL1;RXRG;SLCO1A2;HSD17B11;BBOX1;CAT;BMP6;AKR1D1;ABCA5;RETSAT;ACSL5;CYP46A1;SLC23A2;MLYCD;CYP39A1;NR1H4;ABCA1;CH25H;AGXT;OPTN
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.460377358490566	0.622131565527792	-0.995633488804128	NA	74	ADH4;GNAI1;LPL;PPARG;ACSS2;ATF3;ANTXR2;PNRC1;ALDOC;AVPR1A;NFIL3;CLU;ERRFI1;NIBAN1;FABP5;SC5D;LGALS3;ANXA5
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.0619188049741847	0.110569294596758	-1.21724675278819	NA	121	GSN;ANXA1;PROS1;F10;DUSP6;MAFF;GDA;PECAM1;CFD;DCT;VWF;TF;F3;F8;CSRP1;RAPGEF3;CFI;MASP2;LRP1;A2M;C8B;CLU;PF4;SERPING1;RGN;GNG12;CFH;DPP4;FYN;THBD;KLK8;C3;KLF7
