pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.6363366105982142	0.7366096167058033		-0.06680722864822895	200	SCARB1;APOE;JAGN1;AIFM1;NDUFS3;ANGPT1;SLC19A1;CRAT;GRPEL1;FABP4;LIFR;IFNGR1;TANK;ACADM;COX7B;BAZ2A;MCCC1;SDHC;CHCHD10;SCP2;ITGA7;MYLK;HADH;RETSAT;MTCH2;CIDEA;GPAM;HIBCH;GPD2;SNCG;COQ5;ELMOD3;SSPN;ARAF;GPX3;PFKFB3;CDKN2C;IMMT;AGPAT3;BCL6;ACAA2;SPARCL1;PTGER3;UQCR10;ADIPOQ;COX6A1;ACLY;CMBL;LEP;NKIRAS1;LIPE;DHRS7;ETFB;ENPP2;ACADS;RMDN3;PEMT;ITSN1;LAMA4;ME1;G3BP2;UCP2;UQCRQ;ABCB8;TOB1;ORM1;ATP1B3;MTARC2;PLIN2;MDH2;ANGPTL4;CD36;SUCLG1;SOD1;POR;AK2;ACOX1;DHCR7;MGLL;RAB34;SLC66A3;ABCA1;UBQLN1;ITIH5;SLC25A10;COL15A1;GPAT4;ADIPOR2;CAT;FZD4;CAVIN2;CYC1;ALDOA;RREB1;CD302;RNF11;NDUFB7;EPHX2;SLC27A1;LPL;NDUFA5;BCL2L13;ARL4A;REEP5;PGM1;PHLDB1;ESYT1;MIGA2;NMT1;COX8A;NABP1;CAVIN1;ADCY6;SLC5A6;TALDO1;GBE1;C3;FAH;ECH1;GADD45A;STAT5A;CMPK1;ACADL;LTC4S;NDUFAB1;QDPR;ALDH2;MRPL15;IDH3G;REEP6;SORBS1;PREB;VEGFB;PPARG;SAMM50;PHYH;SQOR;MRAP;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.07569362380665862	0.23654257439580817		0.36116839446490046	200	TRAF2;TAP2;IL18;IL2RG;WAS;ST8SIA4;ABI1;LCP2;IFNGR1;HLA-DRA;PTPRC;IL1B;WARS1;NPM1;MMP9;FYB1;IKBKB;CD247;CCL11;CCL19;GZMA;DEGS1;STAT1;CXCR3;EGFR;JAK2;EIF5A;LY75;EIF3D;CD74;LY86;IL11;ABCE1;DYRK3;LIF;THY1;F2R;HLA-DMB;IL2RA;CCL5;CCND2;CD86;MTIF2;IL15;RARS1;RPS3A;ELF4;CD3D;BRCA1;CD8B;PSMB10;CD8A;CCL13;SPI1;ITK;RIPK2;IRF7;MAP3K7;NCK1;CXCL9;LYN;CRTAM;ZAP70;SIT1;PTPN6;RPL9;IFNGR2;INHBB;CD96;AARS1;FAS;CSF1;ACHE;GZMB;STAB1;CAPG;CD80;GBP2;RPL3L;GCNT1;APBB1;FLNA;TLR6;NME1;IL12B;BCL3;INHBA;B2M;BCAT1;MRPL3;TPD52;C2;IL18RAP;EREG;LCK;HLA-A;CD3E;GLMN;ICAM1;ITGAL;IL7;HLA-E;CCR5;TNF;IL4R;TAP1;CCL2;TIMP1;MAP4K1;FASLG;CD7;SOCS5;SOCS1;TLR3;CDKN2A;CSK;TAPBP;IL12A;CCL7;HLA-DQA1;LTB;FGR;IL2RB;HLA-G;IGSF6;IL12RB1;SRGN;HCLS1;EIF3J;ELANE;IL6;CCND3;CFP;CD2;GPR65;GALNT1;TGFB1;NLRP3;ETS1;UBE2N;ACVR2A;CD3G;IFNG;PF4;TRAT1;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.39588269888768024	0.5980281814090556		0.11131377568208378	101	TNFAIP8;CENPN;BMPR1B;UBE2I;GUCY1A1;TMEM50A;PGM3;ITGAV;H1-0;PTPN21;SEC24D;KRT8;XRCC6;PLPP1;UBE2J1;DHCR24;CCND1;RAB4A;SCD;LIFR;UAP1;ABHD2;KLK3;HPGD;RRP12;AKT1;HMGCS1;LMAN1;AKAP12;GNAI3;ARID5B;HMGCR;MAF;SRP19;PIAS1;SPDEF;CDC14B;SMS;STK39;SELENOP;APPBP2;NKX3-1;B2M;SPCS3;GPD1L;PA2G4;TSC22D1;TPD52;STEAP4;CCND3;ADRM1;TMPRSS2;B4GALT1;HOMER2;SGK1;MERTK;HSD17B14;INSIG1;ADAMTS1;XRCC5;KLK2;KRT19;FKBP5;SORD;MAP7;ALDH1A3;NDRG1;VAPA;ELK4;RPS6KA3;HERC3;GSR;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.008764767916901587	0.04382383958450793		1.7449076222384936	36	TIMP1;ITGAV;POSTN;FGFR1;PTK2;COL3A1;SPP1;S100A4;JAG1;TNFRSF21;THBD;OLR1;LUM;NRP1;CXCL6;VTN;COL5A2;KCNJ8;FSTL1;VEGFA;PDGFA;VCAN;VAV2;MSX1;LRPAP1;JAG2;PF4;LPL;CCND2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.003312791953843976	0.02366279967031411		0.695493483575173	200	CDH8;TAOK2;SGCE;BAIAP2;KCNH2;JAM3;SYMPK;NRXN2;CRAT;ADAMTS5;ACTA1;CERCAM;CLDN11;COL17A1;PTPRC;PIK3CB;VWF;MAP4K2;MMP9;SLIT2;RASA1;CDH1;FYB1;INPPL1;PFN1;SYK;NECTIN3;CRB3;CLDN7;CLDN8;HRAS;CAP1;NFASC;GTF2F1;CLDN6;EGFR;HADH;SHC1;THBS3;MSN;ZYX;ACTG1;TJP1;COL9A1;LAMC2;SPEG;SDC3;CLDN18;GRB7;ITGB4;LAMB3;SHROOM2;THY1;CD34;CD86;CNTN1;NECTIN2;NEXN;RHOF;CLDN9;PTK2;PIK3R3;MADCAM1;CDH6;AKT3;FSCN1;ADAM15;AMIGO1;TSC1;CLDN19;GNAI1;CLDN4;MYH10;CTNNA1;ALOX15B;PKD1;VCL;ACTB;EVL;ACTC1;VCAN;VAV2;IRS1;VASP;YWHAH;JUP;NEGR1;ITGA10;CDH11;KRT31;CADM2;AMIGO2;CDH4;TGFBI;ACTN2;SIRPA;DSC1;CDK8;IKBKG;LIMA1;TRO;RAC2;CLDN5;PARVA;PARD6G;LAYN;SKAP2;WASL;CD209;ADAM23;STX4;NECTIN4;CDH15;DHX16;SORBS3;PCDH1;B4GALT1;ARPC2;PPP2R2C;INSIG1;EPB41L2;AMH;PBX2;ICAM1;ITGB1;ARHGEF6;BMP1;LAMA3;ATP1A3;PECAM1;ACTG2;LDLRAP1;TRAF1;CLDN14;MAPK13;CD276;PTEN;MAP3K20;ICAM2;CADM3;RRAS;NRAP;CLDN15;ITGA9;SRC;MYL12B;FLNC;MDK;WNK4;CX3CL1;NLGN3;CALB2;MAPK11;TSPAN4;SLC30A3;TUBG1;MYL9
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.5487973794959178	0.7035863839691253		-0.0019351431017573448	44	GSTM3;IL2RG;PCSK9;FLOT2;NTNG1;BRCA1;GATA3;EFNA5;GAS1;IL2RB;SRPX;ADIPOR2;PKHD1;AKAP7;DCBLD2;RHCG;EPHB4;SLC22A12;LYPD3;ATP8B1;PLAUR;B4GALT1;AFAP1L2;HSPB1;CX3CL1;LYN;SLC2A4;NCOA6;SHROOM2;SULF2;THY1;SLC34A3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.3912853387593798	0.5980281814090556		0.08731754092280726	161	IER3;CASP6;IL18;GSN;NEFH;DFFA;RHOT2;LMNA;IFNGR1;BMP2;CFLAR;DPYD;IL1B;BAX;CASP7;ERBB3;CASP2;HGF;RETSAT;AIFM3;AVPR1A;PLPPR4;LGALS3;CASP1;MCL1;TIMP3;RELA;SOD2;EBP;GPX3;F2R;IRF1;GSR;ERBB2;CCND2;BMF;IFITM3;LEF1;ANXA1;PTK2;TNFRSF12A;BCL2L2;BRCA1;VDAC2;ATF3;TOP2A;DIABLO;XIAP;CASP4;KRT18;BCL2L1;NEDD9;CASP3;HMOX1;PAK1;CAV1;FDXR;IGFBP6;TIMP2;BIK;JUN;FAS;SATB1;PSEN2;DAP3;DNM1L;H1-0;SOD1;MADD;WEE1;EGR3;BTG2;BGN;CREBBP;DCN;PPT1;SLC20A1;BCAP31;CASP8;RARA;EREG;HSPB1;SC5D;TXNIP;CDC25B;BCL2L11;TNF;BID;TAP1;GNA15;ISG20;TIMP1;PMAIP1;CLU;FASLG;ADD1;CCND1;TNFSF10;CDK2;EMP1;DNAJA1;LUM;PSEN1;CCNA1;DAP;GADD45A;IL6;CD14;ENO2;CDKN1B;FEZ1;CD2;BNIP3L;HMGB2;CD44;GCH1;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.3065816502553905	0.5109694170923176		0.1871353931462802	112	BBOX1;CH25H;ACSL5;ABCD3;NR3C2;ISOC1;SLC23A2;SCP2;RETSAT;MLYCD;ATXN1;SLC35B2;SLC27A2;BMP6;PEX1;NR1H4;NEDD4;AQP9;DHCR24;SLC23A1;PEX26;GNPAT;LIPE;SERPINA6;PXMP2;ABCD1;GCLM;AR;OPTN;ABCA3;DIO1;AKR1D1;PEX16;FDXR;CYP7B1;FADS2;AMACR;ABCA9;PAOX;NUDT12;HSD3B1;SOD1;ABCG8;SLC27A5;HACL1;ABCA1;CYP46A1;ABCA5;CAT;RXRG;ABCA8;CYP39A1;LCK;EPHX2;ACSL1;PIPOX;SLCO1A2;IDH2;PFKM;APOA1;SULT2B1;PRDX5;PEX13;ALDH1A1;ABCA2;SLC29A1;HSD17B6;HSD3B7;PEX11G;CROT;PECR;HSD17B11;AGXT;RBP1;ABCA6;ABCD2;PHYH;PEX7
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.14644261546941256	0.34867289397479184		0.4469607896751685	74	GPX8;SQLE;ATF5;CLU;LGMN;S100A11;FDPS;CBS;STARD4;LDLR;FDFT1;DHCR7;TRIB3;TNFRSF12A;ACAT2;SCD;GLDC;NIBAN1;ERRFI1;PMVK;STX5;ATF3;ABCA2;FBXO6;HMGCS1;JAG1;HMGCR;HSD17B7;GNAI1;TP53INP1;CPEB2;ANXA5;NSDHL;LPL;ECH1;ADH4;NFIL3;ACTG1;AVPR1A;MAL2;PNRC1;PLAUR;TMEM97;SC5D;CYP51A1;ALCAM;LGALS3;FABP5;TM7SF2;ATXN2;ALDOC;PPARG;ANTXR2;ACSS2;EBP;FADS2;CD9;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__BRCA_edgeR	tcga_cancer__BRCA_edgeR	0.10632361073094251	0.28128244541048875		0.40255598315802255	138	TF;GSN;MAFF;F12;MMP3;VWF;CAPN5;MMP9;MMP14;SPARC;THBS1;FGG;CFH;F2RL2;CRIP2;TIMP3;TMPRSS6;PROC;PROS1;ITGB3;CTSO;ANXA1;LGMN;SERPING1;PRSS23;CFI;FN1;F10;PLAU;CFD;HPN;S100A13;RGN;THBD;APOC1;CPQ;RAC1;C1S;MMP8;CTSV;COMP;HMGCS2;KLKB1;RAPGEF3;F3;GNB2;CPB2;LAMP2;MMP11;CTSB;OLR1;SERPINB2;C8B;C2;CFB;GNG12;WDR1;RABIF;FGA;PLEK;KLF7;P2RY1;CD9;DUSP6;CTSH;BMP1;APOA1;LEFTY2;TIMP1;CLU;ISCU;KLK8;ARF4;PECAM1;CSRP1;C8G;GDA;SIRT2;MMP1;C1R;DPP4;FYN;MASP2;C3;ANG;ACOX2;TFPI2;PF4;MMP10;MMP15;LRP1;A2M;F8;DCT
