pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	2.07138249680093e-09	1.03569124840047e-07	NA	0.302770576422657	199	AK2/ANP32E/ASF1A/ASF1B/ATAD2/AURKA/AURKB/BARD1/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CBX5/CCNB2/CCNE1/CCP110/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN2A/CDKN2C/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTCF/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EIF2S1/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/GSPT1/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HNRNPD/HUS1/ILF3/ING3/IPO7/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LIG1/LMNB1/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MRE11/MSH2/MTHFD2/MXD3/MYBL2/MYC/NAA38/NASP/NBN/NCAPD2/NME1/NOLC1/NOP56/NUP107/NUP205/ORC2/ORC6/PA2G4/PAICS/PAN2/PCNA/PHF5A/PLK1/PLK4/PMS2/PNN/POLA2/POLD1/POLD2/POLD3/POLE/POP7/PPP1R8/PRDX4/PRIM2/PRKDC/PRPS1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD51AP1/RAD51C/RAN/RANBP1/RBBP7/RFC1/RFC2/RFC3/RPA3/RRM2/SHMT1/SLBP/SMC1A/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SRSF2/SSRP1/STAG1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRA2B/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UBR7/UNG/USP1/WDR90/WEE1/XPO1/ZW10
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	1.22745801851009e-05	0.000306864504627524	NA	0.232656214358752	196	ARID4A/ATF5/AURKA/AURKB/BARD1/BCL3/BIRC5/BRCA2/BUB1/BUB3/CBX1/CCNA2/CCNB2/CCND1/CCNF/CDC20/CDC25A/CDC25B/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CHMP1A/CKS1B/CKS2/CTCF/CUL3/CUL4A/DBF4/DDX39A/DKC1/DMD/DR1/DTYMK/E2F1/E2F2/E2F3/EFNA5/EGF/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/G3BP1/GINS2/GSPT1/H2AX/H2AZ1/H2AZ2/H2BC12/HMGA1/HMGB3/HMGN2/HMMR/HNRNPD/HNRNPU/HOXC10/HSPA8/HUS1/ILF3/INCENP/JPT1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KMT5A/KNL1/KPNA2/KPNB1/LIG3/LMNB1/MAD2L1/MAP3K20/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MNAT1/MT2A/MTF2/MYBL2/MYC/NASP/NCL/NDC80/NEK2/NOLC1/NSD2/NUP50/ODC1/ODF2/ORC5/ORC6/PAFAH1B1/PBK/PLK1/PLK4/POLA2/POLE/POLQ/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD21/RAD23B/RAD54L/RBL1/RBM14/RPS6KA5/SAP30/SFPQ/SLC12A2/SLC38A1/SLC7A5/SMAD3/SMARCC1/SMC1A/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF10/SRSF2/SS18/STAG1/STIL/STMN1/SUV39H1/TACC3/TFDP1/TGFB1/TLE3/TMPO/TNPO2/TOP1/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/UPF1/WRN/XPO1
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	7.69203608629985e-05	0.00128200601438331	NA	0.210741437930311	199	ABCE1/ACP1/AIMP2/AP3S1/APEX1/BUB3/C1QBP/CAD/CANX/CBX3/CCNA2/CCT2/CCT3/CCT4/CCT5/CCT7/CDC20/CDC45/CDK2/CDK4/CLNS1A/COPS5/COX5A/CSTF2/CTPS1/CYC1/DDX21/DHX15/DUT/EEF1B2/EIF2S1/EIF2S2/EIF3B/EIF3D/EIF3J/EIF4A1/EIF4E/EIF4G2/EPRS1/ERH/EXOSC7/FAM120A/G3BP1/GLO1/GNL3/GOT2/GSPT1/H2AZ1/HDAC2/HDGF/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPD/HNRNPR/HNRNPU/HPRT1/HSP90AB1/HSPD1/HSPE1/IARS1/IFRD1/ILF2/KPNA2/KPNB1/LDHA/LSM2/LSM7/MAD2L1/MCM2/MCM4/MCM5/MCM6/MCM7/MRPL23/MRPL9/MRPS18B/MYC/NCBP1/NCBP2/NDUFAB1/NHP2/NME1/NOLC1/NOP16/NOP56/NPM1/ODC1/ORC2/PA2G4/PABPC1/PCNA/PGK1/POLD2/POLE3/PPIA/PPM1G/PRDX4/PRPF31/PRPS2/PSMA1/PSMA4/PSMA6/PSMA7/PSMB2/PSMB3/PSMC4/PSMC6/PSMD1/PSMD14/PSMD3/PSMD8/PTGES3/PWP1/RACK1/RAD23B/RAN/RANBP1/RFC4/RNPS1/RPL22/RPL34/RPL6/RPS10/RPS2/RPS6/RRM1/RRP9/RUVBL2/SET/SF3A1/SF3B3/SMARCC1/SNRPA/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPG/SRM/SRPK1/SRSF1/SRSF2/SRSF3/SRSF7/SSB/SSBP1/STARD7/TARDBP/TCP1/TFDP1/TOMM70/TRA2B/TRIM28/TUFM/TXNL4A/TYMS/UBE2E1/UBE2L3/USP1/VBP1/VDAC1/VDAC3/XPO1/XPOT/YWHAQ
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0261613657567358	0.192393274065117	NA	0.119132242175413	193	ADORA2B/AGRN/AK3/AK4/AKR1A1/ALDH7A1/ALDOA/ALDOB/ALG1/ANG/ANGPTL4/ARTN/AURKA/B3GALT6/B3GAT1/B3GAT3/B3GNT3/B4GALT1/B4GALT2/B4GALT4/B4GALT7/BIK/BPNT1/CACNA1H/CAPN5/CASP6/CDK1/CENPA/CHPF/CHPF2/CHST1/CHST2/CHST4/CHST6/CITED2/CLDN3/CLDN9/CLN6/COG2/COL5A1/COPB2/CTH/CXCR4/DCN/DEPDC1/ECD/EFNA3/EGFR/EGLN3/ELF3/ENO2/ERO1A/FAM162A/FBP2/FKBP4/FUT8/G6PD/GAL3ST1/GALE/GALK1/GALK2/GCLC/GFPT1/GFUS/GMPPA/GMPPB/GNE/GNPDA1/GOT1/GOT2/GPC1/GPC3/GPC4/GUSB/HAX1/HDLBP/HMMR/HS6ST2/HSPA5/IER3/IGFBP3/IL13RA1/IRS2/ISG20/KDELR3/KIF20A/KIF2A/LDHA/LHX9/MDH2/ME1/ME2/MED24/MERTK/MET/MXI1/NANP/NASP/NSDHL/NT5E/P4HA1/P4HA2/PAM/PAXIP1/PC/PFKFB1/PGAM1/PGK1/PGLS/PGM2/PHKA2/PKM/PLOD1/PMM2/POLR3K/PPIA/PPP2CB/PRPS1/PSMC4/PYGB/PYGL/QSOX1/RARS1/RBCK1/RPE/RRAGD/SAP30/SDC1/SDC2/SDC3/SDHC/SLC16A3/SLC25A10/SLC25A13/SLC35A3/SLC37A4/SOD1/SPAG4/SRD5A3/STMN1/TALDO1/TGFA/TPBG/TPI1/TPST1/TXN/UGP2/VCAN/VEGFA/VLDLR/XYLT2/ZNF292
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0291704789913142	0.192393274065117	NA	0.11442632511681	200	ABI3BP/ACTA2/ADAM12/ANPEP/APLP1/AREG/BASP1/BDNF/BGN/BMP1/CALD1/CALU/CAPG/CCN1/CCN2/CD59/CDH11/CDH2/CDH6/COL11A1/COL12A1/COL1A1/COL1A2/COL3A1/COL5A1/COL5A2/COL5A3/COL6A3/COL8A2/COLGALT1/COMP/COPA/CTHRC1/CXCL1/CXCL12/CXCL6/CXCL8/DAB2/DCN/DPYSL3/DST/ECM1/ECM2/EFEMP2/ENO2/FAP/FAS/FBLN1/FBLN2/FBLN5/FBN2/FERMT2/FGF2/FLNA/FMOD/FN1/FOXC2/FSTL1/FZD8/GADD45A/GAS1/GEM/GLIPR1/GPC1/GREM1/ID2/IGFBP2/IGFBP3/IL15/IL32/IL6/INHBA/ITGAV/ITGB1/ITGB3/ITGB5/JUN/LAMA1/LAMA2/LAMA3/LAMC1/LAMC2/LOXL1/LOXL2/LRP1/LRRC15/LUM/MATN2/MATN3/MCM7/MEST/MFAP5/MGP/MMP1/MMP14/MMP3/MSX1/MXRA5/MYL9/MYLK/NID2/NNMT/NT5E/NTM/OXTR/P3H1/PCOLCE2/PDLIM4/PFN2/PLAUR/PLOD1/PLOD3/PMEPA1/PMP22/POSTN/PPIB/PRSS2/PTHLH/PTX3/QSOX1/RGS4/SCG2/SDC1/SDC4/SERPINE1/SERPINE2/SERPINH1/SFRP1/SGCB/SGCD/SGCG/SLC6A8/SLIT2/SLIT3/SNAI2/SNTB1/SPARC/SPOCK1/SPP1/TAGLN/TFPI2/TGFB1/TGFBR3/TGM2/THBS2/THY1/TIMP1/TIMP3/TNFRSF11B/TNFRSF12A/TPM1/TPM2/TPM4/VCAN/VEGFA/VEGFC/VIM
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0300199700846439	0.192393274065117	NA	0.277248641769027	33	APP/CCND2/COL3A1/COL5A2/CXCL6/FGFR1/FSTL1/ITGAV/JAG1/JAG2/KCNJ8/LPL/LUM/MSX1/NRP1/OLR1/PDGFA/PF4/POSTN/PTK2/S100A4/SERPINA5/SPP1/THBD/TIMP1/TNFRSF21/VAV2/VCAN/VEGFA
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.030667474836131	0.192393274065117	NA	0.164101484141	96	ADAR/BST2/C1S/CASP1/CASP8/CD74/CMPK2/CMTR1/CNP/CSF1/CXCL10/CXCL11/DDX60/DHX58/EIF2AK2/EPSTI1/GBP2/HELZ2/HLA-C/IFI27/IFI35/IFI44/IFI44L/IFIH1/IFIT2/IFIT3/IFITM1/IFITM3/IL15/IL4R/IL7/IRF1/IRF7/IRF9/ISG15/ISG20/LAMP3/LAP3/LGALS3BP/LPAR6/LY6E/MOV10/MVB12A/MX1/NCOA7/NMI/OAS1/OASL/OGFR/PARP12/PARP14/PARP9/PNPT1/PROCR/PSMA3/PSMB8/PSMB9/PSME1/PSME2/RIPK2/RSAD2/SAMD9/SAMD9L/SELL/SP110/STAT2/TAP1/TDRD7/TENT5A/TMEM140/TRAFD1/TRIM14/TRIM21/TRIM26/TRIM5/TXNIP/UBE2L6/USP18
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0330815351003124	0.192393274065117	NA	0.210895695619941	56	AIMP2/BYSL/CBX3/CDK4/DCTPP1/EXOSC5/FARSA/GNL3/GRWD1/HSPD1/HSPE1/IMP4/LAS1L/MAP3K6/MCM4/MCM5/MPHOSPH10/MRTO4/MYC/NOC4L/NOLC1/NOP16/NOP56/NPM1/PA2G4/PES1/PLK1/PLK4/PPAN/PPRC1/PRMT3/PUS1/RABEPK/RRP12/RRP9/SLC19A1/SLC29A2/SORD/SRM/SUPV3L1/TBRG4/TCOF1/TFB2M/TMEM97/UNG/WDR43/WDR74
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0346307893317211	0.192393274065117	NA	0.148159940271978	112	ALDH18A1/ARFGAP1/ATF3/ATF6/ATP6V0D1/BANF1/CALR/CCL2/CEBPG/CHAC1/CKS1B/CNOT2/CNOT6/DCP1A/DCP2/DKC1/DNAJA4/EDEM1/EEF2/EIF2AK3/EIF2S1/EIF4A1/EIF4A2/EIF4A3/EIF4E/EIF4EBP1/EIF4G1/ERO1A/EXOC2/EXOSC1/EXOSC2/EXOSC4/EXOSC5/EXOSC9/FUS/GEMIN4/H2AX/HERPUD1/HSP90B1/HSPA5/HSPA9/HYOU1/IARS1/IFIT1/IGFBP1/IMP3/KDELR3/KHSRP/LSM1/LSM4/MTHFD2/NABP1/NFYA/NHP2/NOLC1/NOP14/NOP56/NPM1/PAIP1/PARN/PDIA5/PDIA6/POP4/PREB/PSAT1/RPS14/RRP9/SDAD1/SEC31A/SERP1/SHC1/SLC1A4/SLC30A5/SLC7A5/SPCS1/SRPRA/SRPRB/SSR1/TARS1/TATDN2/TSPYL2/TUBB2A/VEGFA/WFS1/WIPI1/XBP1/XPOT/YIF1A/YWHAZ/ZBTB17
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0507033811369769	0.253516905684885	NA	0.102153663137859	194	ACTB/ACTC1/ACTG1/ACTG2/ADAM15/ADAM23/ADAMTS5/ADRA1B/AKT3/ALOX15B/AMH/AMIGO1/AMIGO2/ARHGEF6/ARPC2/ATP1A3/B4GALT1/BAIAP2/BMP1/CADM2/CADM3/CALB2/CAP1/CD209/CD276/CD34/CD86/CDH1/CDH11/CDH15/CDH4/CDH6/CDH8/CDK8/CERCAM/CLDN11/CLDN14/CLDN15/CLDN18/CLDN19/CLDN4/CLDN5/CLDN6/CLDN7/CLDN8/CLDN9/CNTN1/COL17A1/COL9A1/CRB3/CTNNA1/CTNND1/CX3CL1/DHX16/DSC1/DSC3/EGFR/EPB41L2/EVL/FLNC/FYB1/GAMT/GNAI1/GRB7/GTF2F1/HADH/HRAS/ICAM2/ICAM5/INPPL1/IRS1/ITGA10/ITGA3/ITGA9/ITGB1/ITGB4/JAM3/JUP/KCNH2/KRT31/LAMA3/LAMB3/LAMC2/LAYN/LDLRAP1/LIMA1/MAP3K20/MAP4K2/MAPK11/MAPK13/MDK/MMP9/MPZL2/MSN/MVD/MYH10/MYL12B/MYL9/NECTIN2/NECTIN3/NECTIN4/NEGR1/NEXN/NFASC/NLGN2/NLGN3/NRXN2/PARD6G/PARVA/PBX2/PCDH1/PECAM1/PFN1/PIK3R3/PKD1/PPP2R2C/PTEN/PTK2/RAC2/RHOF/RRAS/SDC3/SGCE/SHC1/SHROOM2/SIRPA/SKAP2/SLIT2/SORBS3/SPEG/SRC/STX4/SYMPK/TAOK2/THY1/TJP1/TNFRSF11B/TRAF1/TRO/TSC1/TSPAN4/TUBG1/VASP/VAV2/VCAN/VCL/VWF/WASL/WNK4/YWHAH/ZYX
