pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.000138880552311622	0.000462935174372073	-1.63625313614079	NA	196	PTGER3;LIFR;ACADL;DBT;PDCD4;ADIPOQ;ACO2;SORBS1;ITIH5;ITGA7;ACADS;CAVIN2;CD302;DHRS7;FZD4;MYLK;SPARCL1;MTARC2;SCP2;ACADM;RNF11;CPT2;PHYH;HADH;NDUFA5;GPX3;HSPB8;ACOX1;NKIRAS1;MAP4K3;ADCY6;SSPN;CD36;VEGFB;COQ9;ALDH2;CRAT;CYP4B1;ELMOD3;ITSN1;UQCRQ;CAT;SULT1A1;CIDEA;UQCRC1;RETSAT;EPHX2;CHCHD10;REEP5;PGM1;SAMM50;GPAM;GADD45A;OMD;ATP5PO;SNCG;MIGA2;ENPP2;GHITM;SLC27A1;PHLDB1;PPP1R15B;CAVIN1;DNAJB9;HIBCH;ADIPOR2;CCNG2;MGLL;AGPAT3
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	1.94771128711152e-08	9.73855643555759e-08	1.91840784223591	NA	192	BRCA1;NME1;IL11;MMP9;CD80;CD86;RIPK2;STAT1;UBE2D1;TRAF2;TAP2;MRPL3;TAP1;EIF5A;F2R;IGSF6;PTPN6;ITGB2;WARS1;GZMB;IRF7;SOCS1;CXCL9;LIF;CCL7;SPI1;HIF1A;CCL4;NPM1;TIMP1;IL27RA;LCK;ICAM1;UBE2N;TLR2;FYB1;C2;IFNGR2;HLA-A;GZMA;CAPG;RPS19;NCK1;IL2RB;LCP2;TNF;LYN;ABCE1;TAPBP;IL2RA;INHBA;THY1;IL1B;CD4;ELF4;CDKN2A;IFNG;B2M;CD7;LY86;WAS;RPL39;ST8SIA4;PRF1;TLR6;CXCL13;CCL5;PSMB10;BCAT1;IL12RB1;IFNGR1;CCR5;GLMN;CXCR3;CD247;HCLS1;ABI1;FAS;CD3D;CD40;CD28;CD2;HLA-E;GPR65;CD3E;LY75;MTIF2;ACHE;IFNAR2;DARS1;CCND3;PTPRC;TGFB1;CCL13;CD96;HLA-DMB;HLA-DOB;HLA-DRA;IL15;NOS2;PF4;CCL22;FASLG;PRKCG;LTB;IRF8;CD74;CCR1;IL2RG;AARS1;SIT1;HLA-DOA;EGFR;ITGAL;MAP3K7;RPL3L
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.180790960451977	0.244312108718888	-1.17768924765479	NA	100	LIFR;PTPN21;RAB4A;HPGD;GPD1L;HOMER2;FKBP5;ELL2;AKAP12;ACSL3;ADAMTS1;ARID5B;UAP1;SPCS3;IQGAP2;PLPP1;NGLY1;SELENOP;INSIG1;BMPR1B;PDLIM5;TMPRSS2;TSC22D1;UBE2J1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.139107611548556	0.198725159355081	1.26692398582653	NA	34	SPP1;OLR1;CXCL6;COL5A2;JAG1;TIMP1;COL3A1;JAG2;VAV2;S100A4
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.559655596555966	0.621839551728851	-0.955033322067386	NA	195	TMEM8B;ACTN2;NEXN;FLNC;ITGA9;NEGR1;CADM3;CADM2;ACTG2;PARVA;PKD1;MYL9;JAM3;ITGA10;NRTN;HADH;AMIGO1;MAP3K20;NECTIN3;SPEG;SLIT2;NLGN3;MADCAM1;NRAP;PTEN;INSIG1;TSC1;CRAT;CLDN5;NFASC;ALOX15B
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.373205741626794	0.444292549555707	-1.05395980229161	NA	43	GHRL;SLC2A4;TMEM8B;SCUBE1;ATP8B1;SRPX;CD160
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0386198625478627	0.0622901008836495	1.25662132685036	NA	160	CDC25B;BRCA1;BAX;BID;TOP2A;CDK2;HMGB2;BCAP31;BCL2L11;PPT1;CASP2;TNFSF10;TAP1;BGN;F2R;IFITM3;PMAIP1;AIFM3;LEF1;PPP3R1;SLC20A1;CCNA1;TIMP1;DAP3;CD14;TNF;CCND1;EBP;BTG3;CASP1;IL1B;CD38;GPX1;GCH1;IL1A;BIK;TNFRSF12A;PLCB2;GPX4;PRF1;CTNNB1;CASP3;IFNGR1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.000325363562410983	0.000903787673363842	-1.71861034693914	NA	105	GNMT;GC;MLYCD;PXMP2;AR;ABCA8;ABCA9;RXRG;IDH2;SCP2;TTR;SULT1B1;PEX7;PHYH;ABCA6;NR3C2;ALDH1A1;ABCA2;ABCA5;ABCD3;AMACR;HSD17B4;NUDT12;PEX11A;NR0B2;CAT;RETSAT;EPHX2;CYP46A1;ISOC1;ALDH9A1;TFCP2L1;ABCA3;ABCG4;PEX19;ACSL1;PRDX5;PEX12
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.427710843373494	0.49203373945642	1.00326836235404	NA	74	PLAUR;TRIB3;PLSCR1;FBXO6;SCD;JAG1;CXCL16;EBP;GLDC;TNFRSF12A;HSD17B7;CTNNB1;ATF5;DHCR7;FDPS;GPX8;FADS2;NSDHL;GUSB;ANXA13;S100A11
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.602960969044415	0.655392357656972	-0.935297811208426	NA	123	FGG;FGA;RGN;HPN;CSRP1;CPQ;F10;CFD;F8;ACOX2;MASP2;GSN;TIMP3;F11;ISCU;KLKB1;THBS1;ITGB3;RAPGEF3;CAPN2;CTSO;CFH;TF;MAFF;GNG12;FBN1;F2;PROS1;ANG;A2M;LRP1
