pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	1.37860122336805e-34	6.89300611684025e-33	NA	1.05888704532851	199	AK2/ANP32E/ASF1B/ATAD2/AURKA/AURKB/BARD1/BIRC5/BRCA1/BRCA2/BUB1B/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTCF/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EIF2S1/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HNRNPD/ILF3/ING3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LIG1/LMNB1/LYAR/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MMS22L/MSH2/MTHFD2/MXD3/MYBL2/NAP1L1/NASP/NCAPD2/NME1/NOLC1/NOP56/NUDT21/NUP107/NUP205/ORC6/PA2G4/PAICS/PCNA/PHF5A/PLK1/PLK4/PMS2/POLA2/POLD1/POLD2/POLD3/POLE/POP7/PPP1R8/PRIM2/PRKDC/PRPS1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD51AP1/RAN/RANBP1/RFC2/RFC3/RPA1/RPA3/RRM2/SLBP/SMC1A/SMC3/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SRSF2/SSRP1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRA2B/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UNG/USP1/WDR90/XPO1/XRCC6
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	1.39207765096208e-20	3.4801941274052e-19	NA	0.872213163231705	198	ABL1/ARID4A/ATRX/AURKA/AURKB/BARD1/BIRC5/BRCA2/BUB1/BUB3/CBX1/CCNA2/CCNB2/CCNF/CDC20/CDC25A/CDC25B/CDC27/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CTCF/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F2/E2F3/E2F4/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/G3BP1/GINS2/H2AX/H2AZ1/H2BC12/HIF1A/HMGA1/HMGB3/HMGN2/HMMR/HNRNPD/HNRNPU/HOXC10/ILF3/INCENP/JPT1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KNL1/KPNA2/KPNB1/LMNB1/MAD2L1/MCM2/MCM3/MCM5/MCM6/MKI67/MNAT1/MT2A/MTF2/MYBL2/NASP/NCL/NDC80/NEK2/NOLC1/NSD2/ODC1/ODF2/ORC5/ORC6/PBK/PLK1/PLK4/PML/POLA2/POLE/POLQ/PRC1/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD21/RAD23B/RAD54L/RBL1/RPS6KA5/SLC12A2/SLC38A1/SLC7A5/SMC1A/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF2/STIL/STMN1/SUV39H1/TACC3/TFDP1/TGFB1/TMPO/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/XPO1
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	8.72094869292199e-14	1.45349144882033e-12	NA	0.734688776816324	199	ABCE1/AIMP2/APEX1/BUB3/C1QBP/CAD/CBX3/CCNA2/CCT2/CCT3/CCT4/CCT5/CCT7/CDC20/CDC45/CDK2/CDK4/CLNS1A/CSTF2/CTPS1/DDX18/DDX21/DEK/DUT/EIF2S1/EIF2S2/EIF3B/ERH/FBL/G3BP1/GLO1/H2AZ1/HDAC2/HDGF/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPD/HNRNPR/HNRNPU/HPRT1/HSP90AB1/HSPD1/HSPE1/ILF2/KARS1/KPNA2/KPNB1/LDHA/LSM2/LSM7/MAD2L1/MCM2/MCM4/MCM5/MCM6/MCM7/MRPL9/NAP1L1/NCBP1/NCBP2/NME1/NOLC1/NOP16/NOP56/NPM1/ODC1/PA2G4/PABPC1/PCNA/PGK1/POLD2/POLE3/PPIA/PPM1G/PRPF31/PSMA1/PSMA4/PSMA6/PSMA7/PSMB2/PSMB3/PSMC4/PSMD1/PSMD14/PSMD3/PSMD7/PSMD8/PTGES3/PWP1/RAD23B/RAN/RANBP1/RFC4/RNPS1/RRM1/RRP9/RUVBL2/SET/SF3B3/SNRPA/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPG/SRM/SRPK1/SRSF1/SRSF2/SRSF3/SSB/SSBP1/TARDBP/TCP1/TFDP1/TRA2B/TRIM28/TYMS/UBA2/USP1/VBP1/XPO1/XPOT/XRCC6/YWHAE
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	6.48575436297475e-06	8.10719295371844e-05	NA	0.823201301973788	56	AIMP2/BYSL/CBX3/CDK4/DCTPP1/DDX18/DUSP2/EXOSC5/FARSA/HSPD1/HSPE1/LAS1L/MCM4/MCM5/MRTO4/MYBBP1A/NIP7/NOC4L/NOLC1/NOP16/NOP56/NPM1/PA2G4/PES1/PLK1/PLK4/PRMT3/PUS1/RABEPK/RRP12/RRP9/SRM/TBRG4/TCOF1/UNG/UTP20/WDR43/WDR74
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.000334229393600162	0.00334229393600162	NA	0.38993351121104	197	ABCF2/ACLY/ACSL3/ACTR2/ACTR3/AK4/ARPC5L/ATP2A2/AURKA/BTG2/BUB1/CACYBP/CALR/CCNF/CCNG1/CCT6A/CDC25A/CTH/CTSC/CYB5B/DDX39A/DHCR7/DHFR/EBP/EIF2S2/ENO1/FDXR/G6PD/GAPDH/GLA/GMPS/GOT1/GPI/HMBS/HPRT1/HSP90B1/HSPA5/HSPD1/HSPE1/IFI30/IGFBP5/ITGB2/LDHA/M6PR/MCM2/MCM4/MTHFD2/NFKBIB/NIBAN1/NMT1/NUP205/NUPR1/PDAP1/PGK1/PGM1/PLK1/PNO1/POLR3G/PPA1/PPIA/PRDX1/PSAT1/PSMA3/PSMA4/PSMB5/PSMC2/PSMC4/PSMD12/PSMD13/PSMD14/PSME3/PSMG1/PSPH/RPA1/RPN1/RRM2/RRP9/SCD/SERPINH1/SHMT2/SLC1A5/SLC2A1/SLC7A5/SQLE/SRD5A1/STIP1/TBK1/TCEA1/TFRC/TM7SF2/TOMM40/TPI1/TRIB3/TUBG1/UNG/USO1/VLDLR/WARS1/XBP1
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.00277889818007879	0.0231574848339899	NA	0.455141210372175	97	ADAR/B2M/BST2/CASP1/CASP8/CMPK2/CNP/CXCL10/CXCL11/EIF2AK2/EPSTI1/GMPR/HLA-C/IFI27/IFI30/IFI35/IFI44/IFIT2/IFIT3/IFITM1/IFITM3/IRF7/ISG15/LAMP3/LGALS3BP/LPAR6/LY6E/MOV10/MX1/NMI/OAS1/OGFR/PARP12/PARP14/PARP9/PLSCR1/PNPT1/PSMA3/PSMB8/PSMB9/PSME1/PSME2/RIPK2/SAMD9/STAT2/TAP1/TRIM14/TXNIP/UBE2L6/USP18/WARS1
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0520031860950634	0.371451329250453	NA	0.231686812513067	151	ACAA1/ACADL/ACADM/ACADS/ACADVL/ACO2/ACOX1/ACSL1/ACSM3/ACSS1/ADH1C/ALAD/ALDH1A1/AOC3/APEX1/AQP7/AUH/BCKDHB/CA2/CA4/CD1D/CD36/CIDEA/CPOX/CPT2/CRAT/CYP1A1/ECI2/ETFDH/FMO1/GABARAPL1/GLUL/H2AZ1/HADH/HADHB/HMGCL/HMGCS2/HPGD/HSD17B10/HSD17B4/HSD17B7/HSDL2/HSP90AA1/HSPH1/IL4I1/INMT/LDHA/LGALS1/MAOA/MCEE/MDH1/MLYCD/NCAPH2/NSDHL/NTHL1/ODC1/PDHB/PPARA/PSME1/RETSAT/S100A10/SERINC1/SLC22A5/SMS/SUCLG2/TDO2/TP53INP2/UBE2L6
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0921226060873555	0.575766288045972	NA	0.195543157987311	148	AAAS/ADCY6/ADRM1/AGO4/AK3/ALYREF/ARL6IP1/BCAP31/CETN2/CMPK2/CSTF3/DDB2/DGUOK/DUT/EIF1B/ELOA/FEN1/GTF2A2/GTF2H3/GTF3C5/HPRT1/ITPA/LIG1/MPC2/NCBP2/NELFCD/NME1/NT5C3A/NUDT21/PCNA/POLA1/POLA2/POLB/POLD1/POLD3/POLL/POLR1C/POLR2F/POLR2G/POLR2H/POLR2J/POLR2K/POLR3C/POLR3GL/PRIM1/RAD51/RAE1/RBX1/REV3L/RFC2/RFC3/RFC4/RFC5/RPA3/SAC3D1/SF3A3/SNAPC4/SSRP1/TAF6/TARBP2/TYMS/UMPS/XPC/ZNF707/ZWINT
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.116892370540469	0.637876022465841	NA	0.152894313910191	197	ABAT/ANKRA2/BAK1/BAX/BLCAP/BTG2/CASP1/CCNG1/CCNK/CDH13/COQ8A/CTSF/CYFIP2/DDB2/EPHA2/F2R/FBXW7/FDXR/FGF13/FOXO3/HRAS/IER5/IFI30/IL1A/IRAK1/ISCU/ITGB4/JAG2/KIF13B/KLF4/KLK8/KRT17/LIF/MAPKAPK3/MKNK2/MXD4/NINJ1/NOL8/NOTCH1/NUDT15/NUPR1/PCNA/PERP/PITPNC1/PLK2/PMM1/PRKAB1/PVT1/RAD9A/RAP2B/RCHY1/RETSAT/RHBDF2/RRP8/S100A10/S100A4/SDC1/SERPINB5/SESN1/SFN/SLC19A2/SLC35D1/SLC3A2/SOCS1/SPHK1/TAP1/TGFA/TGFB1/TM4SF1/TNFSF9/TPRKB/TRAF4/TRIAP1/TRIB3/TSC22D1/TSPYL2/TXNIP/UPP1/VDR/VWA5A/WRAP73/WWP1/XPC/ZBTB16
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.127575204493168	0.637876022465841	NA	0.154822793064994	178	ABLIM1/ACSL1/ACTN2/ADAM12/AGRN/APOD/CACNA1H/CAMK2B/CASQ1/CASQ2/CD36/CDH13/CFD/CHRNA1/CKB/CKM/CKMT2/CLU/COL1A1/COL3A1/COL4A2/COL6A3/CRAT/DENND2B/DES/DMD/DMPK/DTNA/FABP3/FGF2/FHL1/FKBP1B/FOXO4/GADD45B/GNAO1/GPX3/GSN/HSPB8/IGFBP3/ITGA7/ITGB4/KCNH2/KLF5/LAMA2/LARGE1/LDB3/MAPK12/MEF2D/MYBPC3/MYH11/MYL3/MYOM1/MYOM2/NCAM1/NOTCH1/PDE4DIP/PPP1R3C/PTGIS/PYGM/REEP1/SCD/SGCA/SGCD/SH2B1/SMTN/SOD3/SORBS1/SPARC/SPHK1/STC2/SYNGR2/TEAD4/TGFB1/TNNT1/TPM3/TSC2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.161776877485061	0.735349443113915	NA	0.183848846473309	101	ACTR2/ACTR3/ADCY2/AP2M1/ARF1/ARPC3/ATF1/CAB39L/CALR/CDK1/CDK2/CDK4/CFL1/DUSP3/E2F1/GRB2/GRK2/HRAS/HSP90B1/LCK/MAPK1/MAPK10/MKNK2/NCK1/NFKBIB/PFN1/PLA2G12A/PPP1CA/PPP2R1B/PRKAA2/PRKAR2A/PTEN/RAC1/RAF1/RIPK1/SFN/SLC2A1/STAT2/TBK1/TRAF2/TRIB3/TSC2/UBE2N/YWHAB
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.207087493954829	0.862864558145119	NA	0.140553923389659	123	ACOX2/ANG/APOC1/BMP1/C2/CAPN2/CAPN5/CASP9/CFD/CLU/CPQ/CSRP1/CTSB/CTSE/CTSO/CTSV/DCT/DUSP14/F10/F11/F12/F2/FGA/FGG/GNB2/GNG12/GSN/HMGCS2/HPN/HRG/ISCU/ITGA2/KLK8/KLKB1/MASP2/MMP1/MMP10/MMP11/MMP14/MMP3/MMP8/MMP9/OLR1/PLAU/RABIF/RAC1/RAPGEF3/RGN/SH2B2/SPARC/TF/TIMP1
