pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.000103898934592752	0.000273418248928296	-1.62880460080885	NA	196	ADIPOQ;LIFR;PDCD4;ACADL;CYP4B1;SORBS1;ACO2;ACADS;DBT;ITIH5;CAVIN2;ACADM;SCP2;PTGER3;ACOX1;CD36;HADH;DHRS7;CD302;GPX3;FZD4;RNF11;EPHX2;PHYH;CPT2;ADCY6;MTARC2;NDUFA5;ALDH2;CAT;FABP4;ITGA7;CRAT;ELMOD3;NKIRAS1;PGM1;RETSAT;COQ9;ITSN1;SULT1A1;ENPP2;OMD;SPARCL1;GPAM;UQCRC1;CHCHD10;MIGA2;VEGFB;CIDEA;HSPB8;MAP4K3;GHITM;MGLL;HIBCH;PPP1R15B;REEP5;ADIPOR2;ATP5PO
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	1.57658486255474e-12	8.75880479197079e-12	2.184896296703	NA	192	STAT1;BRCA1;NME1;TAP2;TAP1;CD86;MRPL3;PTPN6;CD80;IL11;UBE2D1;EIF5A;TRAF2;C2;CAPG;MMP9;HIF1A;TIMP1;RIPK2;THY1;RPS19;IL2RA;HLA-A;INHBA;IFNGR2;F2R;NPM1;IGSF6;UBE2N;LYN;ELF4;RPL39;CXCL13;WARS1;TAPBP;CCL7;ABCE1;GZMB;IL2RB;ICAM1;CCL22;NCK1;TGFB1;ITGB2;CCL4;CSK;SPI1;CXCL9;B2M;LCK;TLR2;SOCS1;LIF;IRF7;LY86;FYB1;IL12RB1;PSMB10;IFNGR1;ABI1;HLA-DRA;HLA-DOB;IFNG;CD4;TNF;GZMA;LCP2;GLMN;IL27RA;LTB;TLR6;MTIF2;ST8SIA4;DARS1;CD74;HLA-DQA1;IFNAR2;WAS;FAS;NOS2;HLA-DMB;HLA-E;BCL3;IL18;EREG;CD3D;RPL3L;CD28;IL1B;CD7;IL2RG;MAP4K1;CD3E;IL10;TGFB2;CCR5;BCAT1;CD247;CD2;CD96;CCR1;PRF1;EIF3D;CXCR3;HCLS1;LY75;AARS1;GPR65;SIT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.138801261829653	0.169269831499577	-1.21996037325265	NA	100	HPGD;PTPN21;LIFR;GPD1L;RAB4A;HOMER2;SELENOP;ELL2;UAP1;FKBP5;ACSL3;ARID5B;PLPP1;IQGAP2;SPCS3;NGLY1;TMPRSS2;TSC22D1;UBE2J1;PDLIM5;AKAP12;INSIG1;CDC14B;STK39;PIAS1;AZGP1;ABHD2;ADAMTS1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0135260144511165	0.0198911977222301	1.58427127750611	NA	34	OLR1;COL5A2;SPP1;COL3A1;TIMP1;JAG1;JAG2;CXCL6;LUM;VAV2;VCAN;S100A4
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0852459016393443	0.112165660051769	1.17740678944746	NA	195	CDH3;MDK;PFN1;LAMC2;CD86;FSCN1;ITGA2;CLDN4;TUBG1;LAMB3;RAC2;MMP9;ITGB4;BMP1;THY1;CLDN7;CD276;JUP;NECTIN1;TGFBI;NECTIN4;VAV2;HRAS;AMIGO2;ICAM1;GRB7;DMP1;ITGA3;CNN2;IKBKG;VCAN;MYL12B;ICAM5;ACTB;GNAI2;MYH9;FYB1;MSN;VCAM1;CDH11;PLCG1;CLDN6;CLDN14;AMH;CERCAM;ACTN4;DHX16;CD274;TNFRSF11B;SYMPK;ACTG1;YWHAH;CAP1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.702054794520548	0.746866802681434	-0.867872374878084	NA	43	GHRL;SLC2A4;TMEM8B;SCUBE1;MAL;ATP8B1;CD160
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.000358890661636018	0.000780197090513082	1.59187621785227	NA	160	CDC25B;TOP2A;BGN;BAX;BCAP31;BRCA1;BID;IFITM3;HMGB2;CDK2;PPT1;TAP1;BCL2L11;CASP2;TNFSF10;TIMP1;PMAIP1;F2R;CD44;LEF1;PDGFRB;SLC20A1;DAP3;LUM;PPP3R1;CD14;EBP;FDXR;IL1A;CASP1;TNFRSF12A;GNA15;GPX1;AIFM3;BIK;CASP8;DIABLO;CTNNB1;CASP3;BTG3;IFNGR1;TNF;CCND1;HSPB1;GPX4;KRT18;H1-0
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	2.12208479116136e-05	6.24142585635695e-05	-1.84574261327132	NA	105	MLYCD;ABCA8;TTR;RXRG;NR3C2;GC;GNMT;ABCA9;AR;SULT1B1;SCP2;ABCA6;ABCA5;PXMP2;EPHX2;PHYH;ABCA3;HSD17B4;ABCA2;AMACR;NUDT12;ABCD3;IDH2;CAT;PEX11A;ALDH1A1;RETSAT;NR0B2;PEX7;ACSL1;ISOC1;CYP39A1;ALDH8A1;CYP46A1;ALDH9A1;PEX19;APOA1;PEX12;LONP2;HSD17B6;ATXN1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.126614987080103	0.158268733850129	1.19330309173518	NA	74	SCD;S100A11;TRIB3;PLAUR;SQLE;JAG1;NSDHL;PLSCR1;DHCR7;CXCL16;EBP;TNFRSF12A;FBXO6;HSD17B7;CD9;CTNNB1;FDPS;ACTG1;GPX8;FADS2;GUSB;MAL2;ATF5;ANXA5;ACAT2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.327683615819209	0.372367745249101	1.05269398591512	NA	123	F12;OLR1;MMP14;PLAU;MMP11;APOC1;SPARC;ITGA2;MMP1;C2;MMP9;MMP3;BMP1;CTSV;TIMP1;MMP10;CTSB;MMP8;RAC1;GNB2;SH2B2;DUSP14;HRG;KLK8;RABIF;CD9;MMP7;S100A13;SERPINE1;DUSP6
