pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	2.23323917939447e-09	1.11661958969723e-07	NA	0.40753254903795	199	ANP32E/ASF1B/ATAD2/AURKA/AURKB/BIRC5/BRCA1/BRCA2/BUB1B/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1B/CDKN2A/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/EED/EZH2/GINS1/GINS3/GINS4/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HNRNPD/HUS1/ILF3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LBR/LIG1/LMNB1/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MSH2/MTHFD2/MXD3/MYBL2/MYC/NASP/NCAPD2/NME1/NOP56/NUDT21/NUP107/NUP205/ORC2/ORC6/PAICS/PCNA/PHF5A/PLK1/PLK4/PNN/POLA2/POLD1/POLD2/POLD3/POLE/POLE4/POP7/PRIM2/PRKDC/PRPS1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD50/RAD51AP1/RAD51C/RAN/RANBP1/RFC2/RFC3/RPA1/RPA3/RRM2/SHMT1/SLBP/SMC1A/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SSRP1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRA2B/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UBR7/UNG/USP1/WDR90/WEE1/XPO1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	3.61990628008001e-07	9.04976570020001e-06	NA	0.356303291729476	197	AMD1/ARID4A/ATF5/AURKA/AURKB/BIRC5/BRCA2/BUB1/BUB3/CBX1/CCNA2/CCNB2/CCNF/CCNT1/CDC20/CDC25A/CDC25B/CDC27/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN1B/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CUL3/CUL4A/CUL5/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F3/E2F4/EFNA5/EGF/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/GINS2/H2AX/H2AZ1/H2AZ2/H2BC12/HIF1A/HIRA/HMGA1/HMGB3/HMMR/HNRNPD/HNRNPU/HOXC10/HUS1/ILF3/JPT1/KATNA1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIF5B/KNL1/KPNA2/LBR/LMNB1/MAD2L1/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MNAT1/MTF2/MYBL2/MYC/NASP/NDC80/NEK2/NOTCH2/NSD2/NUMA1/NUP50/ODC1/ODF2/ORC5/ORC6/PBK/PLK1/PLK4/PML/POLA2/POLE/POLQ/PRC1/PRIM2/PTTG1/PURA/RACGAP1/RAD21/RAD54L/RASAL2/RBL1/RPS6KA5/SFPQ/SLC12A2/SLC7A5/SMC1A/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF10/STIL/STMN1/SUV39H1/TACC3/TENT4A/TGFB1/TMPO/TNPO2/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/UPF1/XPO1/YTHDC1
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.000798026720798957	0.0133004453466493	NA	0.27560523235756	150	ACAA1/ACADL/ACADM/ACADS/ACADVL/ACO2/ACOT8/ACOX1/ACSL1/ACSM3/ADH1C/ADH7/ALAD/ALDH1A1/ALDH3A1/ALDH3A2/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/AUH/BCKDHB/BPHL/CA4/CA6/CBR3/CD36/CIDEA/CPOX/CPT2/CRAT/CRYZ/CYP1A1/D2HGDH/DECR1/DHCR24/DLD/ECH1/ECHS1/ECI1/EHHADH/ELOVL5/ENO2/ENO3/EPHX1/ETFDH/FH/FMO1/GLUL/GPD1/GPD2/GRHPR/GSTZ1/H2AZ1/HADH/HADHB/HAO2/HIBCH/HMGCL/HMGCS1/HMGCS2/HPGD/HSD17B4/HSDL2/HSP90AA1/HSPH1/IDH1/IDH3B/IDH3G/IDI1/IL4I1/INMT/LGALS1/LTC4S/MAOA/MCEE/MDH1/MDH2/ME1/MGLL/MLYCD/NCAPH2/NTHL1/ODC1/OSTC/PCBD1/PDHA1/PDHB/PPARA/PRDX6/PTPRG/RDH16/REEP6/RETSAT/SDHC/SDHD/SERINC1/SLC22A5/SMS/SUCLA2/SUCLG1/SUCLG2/TDO2/TP53INP2/UBE2L6/UROS/YWHAH
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.00244769910377223	0.0305962387971529	NA	0.300778303567127	101	ABCB1/ABCB4/ABCB9/ABCC5/ABCC8/ABCD1/ABCD2/ABCD3/ACAA1/ACOT8/ACOX1/ACSL1/ALDH1A1/ALDH9A1/BCL10/CACNA1B/CADM1/CAT/CDK7/CLN6/CLN8/CRABP1/CRABP2/CRAT/CTPS1/DHCR24/DHRS3/DIO1/ECH1/EHHADH/ELOVL5/EPHX2/ERCC3/FADS1/FIS1/GNPAT/GSTK1/HAO2/HMGCL/HSD11B2/HSD17B4/IDE/IDH1/IDH2/IDI1/ISOC1/ITGB1BP1/LONP2/MLYCD/MSH2/NUDT19/PEX11A/PEX11B/PEX6/PRDX1/PRDX5/RETSAT/RXRG/SCGB1A1/SCP2/SEMA3C/SIAH1/SLC23A2/SLC25A17/SLC25A19/SLC25A4/SLC27A2/SLC35B2/STS/SULT2B1/TOP2A/TSPO/VPS4B/YWHAH
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0128119901441981	0.110082804458345	NA	0.249462817555329	99	ABCA1/ABCA3/ABCA5/ABCA6/ABCA8/ABCA9/ABCD1/ABCD2/ABCD3/ACSL1/ALDH1A1/ALDH9A1/AMACR/AQP9/AR/BBOX1/CAT/CH25H/CROT/CYP27A1/CYP39A1/CYP7B1/CYP8B1/DHCR24/DIO1/DIO2/EPHX2/FADS1/FADS2/GNMT/GNPAT/GSTK1/HACL1/HSD17B4/HSD17B6/IDH1/IDH2/IDI1/ISOC1/LCK/LIPE/LONP2/MLYCD/NPC1/NR3C2/NUDT12/PEX1/PEX11A/PEX19/PEX26/PEX6/PEX7/PFKM/PHYH/PIPOX/PNPLA8/PRDX5/RBP1/RETSAT/RXRG/SCP2/SLC23A1/SLC23A2/SLC27A2/SLC27A5/SLC35B2/SLCO1A2/SULT1B1/SULT2B1/TFCP2L1
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0132099365350014	0.110082804458345	NA	0.252036761219155	96	ADAR/B2M/BATF2/BST2/C1S/CASP8/CCRL2/CMPK2/CMTR1/CXCL10/CXCL11/DDX60/DHX58/EIF2AK2/ELF1/EPSTI1/GMPR/HELZ2/HLA-C/IFI27/IFI30/IFI35/IFI44/IFI44L/IFIH1/IFIT2/IFIT3/IFITM1/IFITM2/IFITM3/IL7/IRF7/IRF9/ISG15/ISG20/LAMP3/LGALS3BP/LPAR6/LY6E/MOV10/MX1/NCOA7/NMI/NUB1/OASL/OGFR/PARP12/PARP14/PARP9/PLSCR1/PNPT1/PROCR/PSMB8/PSMB9/PSME2/RIPK2/RSAD2/RTP4/SELL/SP110/STAT2/TAP1/TMEM140/TRIM21/TXNIP/UBE2L6/USP18/WARS1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.017472317208865	0.124802265777607	NA	0.168194235647513	199	ABI3BP/ADAM12/APLP1/BASP1/BGN/BMP1/CADM1/CALD1/CALU/CAP2/CD44/CD59/CDH11/CDH6/COL11A1/COL12A1/COL16A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A2/COL6A3/COL7A1/COL8A2/COLGALT1/CTHRC1/CXCL12/CXCL8/DKK1/ECM1/ELN/EMP3/ENO2/FAP/FBN1/FBN2/FLNA/FN1/FOXC2/FSTL1/FSTL3/FUCA1/GADD45B/GJA1/GLIPR1/GPC1/GPX7/GREM1/HTRA1/ID2/IGFBP3/IL32/INHBA/ITGA5/ITGAV/ITGB5/JUN/LAMA1/LAMA3/LAMC1/LAMC2/LGALS1/LOX/LOXL1/LOXL2/LRRC15/LUM/MATN3/MCM7/MEST/MGP/MMP1/MMP14/MMP2/MMP3/MSX1/MXRA5/NID2/NOTCH2/NT5E/NTM/OXTR/P3H1/PCOLCE/PCOLCE2/PDGFRB/PFN2/PLAUR/PLOD1/PLOD2/PLOD3/PMEPA1/POSTN/PPIB/PRRX1/PTHLH/PTX3/PVR/QSOX1/RGS4/SERPINE1/SERPINE2/SERPINH1/SFRP1/SFRP4/SGCG/SLC6A8/SLIT2/SLIT3/SNAI2/SNTB1/SPARC/SPOCK1/SPP1/TGFB1/TGFBI/TGFBR3/THBS2/THY1/TNC/TNFAIP3/TNFRSF12A/TPM2/VCAM1/VCAN/VEGFA/VEGFC/WIPF1
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0369346526960902	0.230841579350564	NA	0.146053831998018	196	ABCA1/ACADL/ACADM/ACADS/ACLY/ACO2/ACOX1/ADCY6/ADIPOQ/AGPAT3/ALDH2/ALDOA/ANGPT1/APOE/ARAF/ARL4A/ATP1B3/ATP5PO/BCL6/C3/CAT/CAVIN1/CAVIN2/CCNG2/CD151/CD302/CD36/CHCHD10/CIDEA/CMPK1/COL4A1/COQ9/COX7B/COX8A/CPT2/CRAT/CS/CYP4B1/DBT/DECR1/DHCR7/DHRS7/DHRS7B/DLAT/DLD/DNAJB9/DRAM2/ECH1/ECHS1/ELMOD3/ELOVL6/EPHX2/ESRRA/ESYT1/FABP4/FZD4/GBE1/GHITM/GPD2/GPHN/GPX3/HADH/HIBCH/HSPB8/IDH1/IDH3A/IDH3G/ITIH5/ITSN1/LAMA4/LEP/LIFR/LIPE/LPL/LTC4S/MDH2/ME1/MGLL/MGST3/MIGA2/MTARC2/NABP1/NDUFA5/NDUFB7/NDUFS3/NKIRAS1/NMT1/PDCD4/PGM1/PHLDB1/PHYH/PIM3/PLIN2/POR/PPARG/PPM1B/PPP1R15B/PRDX3/PTGER3/QDPR/RAB34/REEP5/REEP6/RETSAT/RIOK3/RNF11/RREB1/RTN3/SAMM50/SCARB1/SCP2/SDHB/SDHC/SLC19A1/SLC1A5/SLC25A1/SLC27A1/SORBS1/SPARCL1/SUCLG1/TALDO1/TOB1/TST/UBC/UBQLN1/UQCR10/UQCRC1/UQCRQ/YWHAG
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0452319413593805	0.251288563107669	NA	0.13871185665685	197	ABCB7/ACAA1/ACADM/ACADSB/ACADVL/ACAT1/ACO2/AFG3L2/ALAS1/ALDH6A1/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MC1/ATP5MC2/ATP5MC3/ATP5ME/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/ATP6V1C1/ATP6V1D/BAX/BDH2/COX10/COX11/COX15/COX4I1/COX5A/COX5B/COX6B1/COX7A2/COX7B/COX7C/COX8A/CS/CYB5A/DECR1/DLAT/DLD/ECH1/ECHS1/ECI1/ETFA/ETFDH/FDX1/FH/GLUD1/GOT2/HADHA/HADHB/HSPA9/HTRA2/IDH1/IDH2/IDH3A/IDH3B/IDH3G/ISCU/MAOB/MDH1/MDH2/MFN2/MGST3/MPC1/MRPL34/MRPL35/MRPS12/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFB1/NDUFB2/NDUFB3/NDUFB7/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS7/NDUFV1/NDUFV2/NNT/NQO2/OAT/OGDH/OPA1/OXA1L/PDHA1/PDHB/PDHX/PDK4/PHYH/POR/PRDX3/RETSAT/RHOT1/RHOT2/SDHB/SDHC/SDHD/SLC25A11/SLC25A12/SLC25A20/SLC25A3/SLC25A4/SLC25A6/SUCLA2/SUCLG1/TCIRG1/TIMM8B/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ/VDAC1/VDAC2/VDAC3
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0503557039014013	0.251778519507007	NA	0.334498921411128	32	APP/CCND2/COL3A1/COL5A2/FSTL1/ITGAV/JAG1/JAG2/KCNJ8/LPL/LUM/MSX1/OLR1/PDGFA/POSTN/PTK2/SERPINA5/SLCO2A1/SPP1/STC1/VAV2/VCAN/VEGFA/VTN
