pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	4.35114310806498e-16	4.35114310806498e-15	-2.30451213224752	NA	196	GPX3;CYP4B1;CAVIN2;EPHX2;ADIPOQ;SCP2;MGLL;PDCD4;CMPK1;PPARG;ACADL;CPT2;HSPB8;ALDH2;CIDEA;RETSAT;HIBCH;SORBS1;ACADM;ACOX1;ESRRA;HADH;GBE1;CCNG2;TOB1;SUCLG1;ARL4A;AGPAT3;LIPE;ECHS1;REEP6;DLAT;CRAT;LTC4S;COQ9;CS;DLD;NDUFA5;GHITM;PGM1;SPARCL1;ACO2;NKIRAS1;ADCY6;UQCRC1;RNF11;MDH2;MTARC2;PTGER3;UQCRQ;ATP5PO;DECR1;TST;CAT;CHCHD10;ELOVL6;LIFR;UBC;IDH3A;COX7B;DHRS7B;RREB1;QDPR;DBT;ACADS;MIGA2;CD302;REEP5;GPHN;COX8A;SAMM50;PHYH;ECH1;PLIN2;RIOK3;SDHB;PRDX3;NDUFS3;ALDOA;LPL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	2.18353250105265e-05	7.27844167017549e-05	1.69073296966672	NA	191	IL11;TGFB1;CCL11;MMP9;INHBA;ELF4;SOCS1;BRCA1;CD80;THY1;CXCL13;FLNA;C2;AARS1;F2R;IL2RA;STAT1;TLR6;BCAT1;RIPK2;ETS1;CCL7;WARS1;TAP1;IFNAR2;CXCL9;TAPBP;HLA-A;TRAF2;ICAM1;STAT4;TAP2;PTPN6;HIF1A;CD86;IFNG;DYRK3;MRPL3;IL27RA;IL12RB1;HLA-DOB;F2;NME1;CCL5;HLA-G;IGSF6;ITGB2;LTB;EGFR;GZMB;LCP2;CD7;IL2RG;PRF1;IL1B;MAP3K7;IRF7;CDKN2A
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0126996445965219	0.0226779367795034	-1.40878907197711	NA	100	GPD1L;STK39;TMPRSS2;PDLIM5;STEAP4;HOMER2;NGLY1;HPGD;SLC26A2;ARID5B;ALDH1A3;ACSL3;SELENOP;NCOA4;DBI;RAB4A;UAP1;UBE2J1;LIFR;AZGP1;ELL2;PIAS1;PTPN21;SPDEF;ZMIZ1;TSC22D1;KLK3;VAPA;AKAP12;FKBP5;GSR;IDI1;SPCS3;IQGAP2;XRCC5;PLPP1;ADAMTS1;APPBP2;HMGCS1;NKX3-1;HMGCR;RPS6KA3;SORD;MAP7;DNAJB9;DHCR24
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	3.31797844698007e-05	0.000103686826468127	2.03252351883763	NA	32	COL5A2;VAV2;POSTN;COL3A1;LUM;PTK2;SPP1;ITGAV;APP;PDGFA;VCAN;JAG1;KCNJ8;VEGFA;OLR1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.000142001623261839	0.000371138611654095	1.59164058801987	NA	193	CD276;TGFBI;BMP1;LAMC2;VAV2;MMP9;MAP4K2;CERCAM;ICAM5;FSCN1;THY1;YWHAH;LAMA3;PLCG1;LAMB3;MSN;CLDN14;COL16A1;RAC2;AMH;CDH11;NLGN2;AMIGO2;PTK2;CDH6;TRAF1;VCAN;ITGB4;CLDN18;TUBG1;MYH9;AKT3;MYH10;MMP2;PFN1;ITGA3;LIMA1;VASP;GNAI1;ICAM1;SHC1;LAYN;IKBKG;CD86;MDK;ACTN1;GNAI2;MAPK11;RHOF;CDH3;SRC;SKAP2;SYMPK;ADRA1B;SDC3;CLDN15;SLC30A3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.281779661016949	0.343633732947499	1.09624766178889	NA	42	DCBLD2;BRCA1;THY1;PCSK9;PLAUR;SULF2;EPHB4;APP;ADAM10
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.497983870967742	0.579051012753188	0.981818790401112	NA	159	CDK2;ENO2;BRCA1;SLC20A1;DIABLO;TOP2A;BID;CDC25B;BGN;PDGFRB;LUM;TNFRSF12A;PPT1;PTK2;F2R;APP;BMF;FEZ1;BAX;DDIT3;MMP2;CAV1;TAP1;SMAD7;CASP8;CASP2;BCL2L11;HMGB2
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	7.81705705045662e-06	2.79180608944879e-05	-1.88945218882139	NA	99	ABCD3;EPHX2;ALDH9A1;SCP2;ABCA8;ISOC1;NUDT12;CH25H;RETSAT;HSD17B4;NR3C2;ACSL1;AR;LIPE;IDH2;ALDH1A1;GSTK1;ABCA5;MLYCD;PEX7;DIO2;CROT;RXRG;PEX19;PEX11A;DIO1;CYP7B1;CAT;CYP27A1;SLC27A2;PEX1;SULT2B1;GNPAT;SULT1B1;BBOX1;PHYH;CYP39A1;ABCA6;CYP8B1;PNPLA8;AMACR;HACL1;ABCA9;TFCP2L1;GNMT;PFKM;LONP2;SLC23A1;IDI1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.703921568627451	0.71828731492597	-0.891837615537606	NA	74	TM7SF2;PPARG;ADH4;CLU;ACSS2;LGALS3;ECH1;FDFT1;ETHE1;CPEB2;LPL;MVK;PCYT2;PMVK
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.082135523613963	0.124447763051459	1.23067109122985	NA	121	MMP11;MMP14;PLAU;BMP1;MMP1;MMP9;F2RL2;KLF7;SPARC;FN1;SERPINE1;C2;MMP3;PROC;CTSV;APOC1;MMP8;HTRA1;CTSK;DUSP14;MMP10;OLR1;MMP2;TMPRSS6
