pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0006339468619507468	0.004025376451496712		0.7000036685066143	200	CD151;CS;SCARB1;APOE;TST;NDUFS3;DHRS7B;ANGPT1;SLC19A1;CRAT;DNAJB9;FABP4;LIFR;DRAM2;ACADM;COQ9;DLAT;COX7B;CHCHD10;SDHC;SCP2;HADH;PPM1B;CPT2;IDH1;RETSAT;ESRRA;UBC;ATP5PO;CIDEA;HIBCH;ECHS1;GPD2;ELMOD3;PIM3;SLC1A5;ARAF;GPX3;SDHB;AGPAT3;CCNG2;BCL6;ACO2;SPARCL1;PTGER3;UQCR10;ADIPOQ;ACLY;LEP;MGST3;NKIRAS1;LIPE;DHRS7;RIOK3;CYP4B1;COL4A1;ACADS;DLD;ITSN1;UQCRC1;PPP1R15B;LAMA4;ME1;UQCRQ;RTN3;YWHAG;TOB1;PRDX3;ATP1B3;MTARC2;PLIN2;MDH2;CD36;SUCLG1;POR;ACOX1;DHCR7;MGLL;RAB34;ABCA1;UBQLN1;ITIH5;CAT;DBT;FZD4;IDH3A;CAVIN2;ALDOA;RREB1;CD302;RNF11;GPHN;NDUFB7;GHITM;EPHX2;SLC27A1;HSPB8;LPL;NDUFA5;ARL4A;REEP5;PGM1;PHLDB1;ESYT1;MIGA2;NMT1;COX8A;NABP1;SLC25A1;CAVIN1;ADCY6;DECR1;TALDO1;GBE1;C3;ECH1;CMPK1;PDCD4;ACADL;LTC4S;QDPR;ALDH2;IDH3G;REEP6;SORBS1;ELOVL6;PPARG;SAMM50;PHYH
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.9905911785802562	0.9905911785802562		-0.4765135317801668	200	TRAF2;TAP2;IL18;IL2RG;ABI1;LCP2;IL1B;WARS1;MMP9;CCR2;IKBKB;CCL11;CCL19;STAT1;RPS9;EGFR;CD40;JAK2;F2;IL11;DYRK3;THY1;F2R;IL2RA;CCL5;CCND2;CD86;RARS1;RPS3A;IFNAR2;ELF4;BRCA1;RIPK2;IRF7;MAP3K7;CXCL9;PTPN6;RPL9;STAT4;AARS1;CXCL13;ACHE;GZMB;CD80;PRF1;APBB1;FLNA;IL27RA;TLR6;NME1;INHBA;B2M;BCAT1;MRPL3;C2;CCL4;EREG;LCK;HLA-A;ICAM1;IL7;HLA-DOB;TAP1;CCL2;CD7;BCL10;SOCS1;TLR3;CDKN2A;TAPBP;IL12A;CD40LG;CCL7;LTB;HLA-G;IGSF6;IL10;IL12RB1;HCLS1;EIF3J;ELANE;GALNT1;TGFB1;ETS1;ACVR2A;IFNG;HIF1A;ITGB2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.011243020507940401	0.04324238656900154		0.7037208611153221	101	CAMKK2;TNFAIP8;CENPN;UBE2I;GUCY1A1;ELL2;PGM3;ITGAV;PTPN21;PMEPA1;PLPP1;UBE2J1;ABCC4;DHCR24;RAB4A;SCD;DBI;DNAJB9;LIFR;ACSL3;UAP1;KLK3;HPGD;HMGCS1;ARID5B;AKAP12;NGLY1;HMGCR;PIAS1;IQGAP2;SPDEF;PDLIM5;SMS;APPBP2;STK39;SELENOP;ACTN1;NKX3-1;B2M;SPCS3;GPD1L;TSC22D1;NCOA4;FADS1;STEAP4;ADRM1;TMPRSS2;AZGP1;B4GALT1;HOMER2;IDI1;ELOVL5;HSD17B14;CDK6;ADAMTS1;XRCC5;FKBP5;SORD;MAP7;ALDH1A3;SLC26A2;VAPA;ELK4;RPS6KA3;GSR;ZMIZ1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.01310590155063319	0.046806791252261386		1.282791368336985	36	ITGAV;POSTN;PTK2;COL3A1;SPP1;SLCO2A1;JAG1;SERPINA5;OLR1;LUM;APP;VTN;COL5A2;KCNJ8;FSTL1;VEGFA;PDGFA;VCAN;VAV2;MSX1;JAG2;LPL;CCND2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.29202358589425415	0.4294464498444914		0.1288116149199271	200	MPZL2;BAIAP2;SYMPK;JAM3;NRXN2;CRAT;ACTA1;CERCAM;CLDN11;MAP4K2;MMP9;SLIT2;PFN1;CRB3;CLDN7;CLDN8;NFASC;ACTN1;CLDN6;EGFR;HADH;SHC1;MSN;PLCG1;TJP1;LAMC2;SDC3;CLDN18;ITGB4;LAMB3;THY1;MYH9;CD86;CTNND1;RHOF;PTK2;CDH6;AKT3;TSC1;FSCN1;ADAM15;AMIGO1;VCAM1;GNAI1;CLDN4;MYH10;CTNNA1;ALOX15B;VCAN;VAV2;VASP;YWHAH;CDH11;COL16A1;KRT31;CADM2;AMIGO2;TMEM8B;TGFBI;EXOC4;SIRPA;LIMA1;IKBKG;ACTN3;RAC2;CLDN5;LAYN;SKAP2;WASL;ADAM23;ADRA1B;MMP2;NECTIN4;DHX16;AKT2;PCDH1;ICAM5;B4GALT1;AMH;ICAM1;ARHGEF6;BMP1;LAMA3;GNAI2;GAMT;TRAF1;CLDN14;CD274;MAPK13;CD276;ITGA3;CADM3;RRAS;NRAP;CLDN15;ITGA9;NRTN;SRC;FLNC;MDK;WNK4;NLGN3;MAPK11;NLGN2;SLC30A3;TUBG1;FBN1;ACTN4;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.07087209415404877	0.14085911150130254		0.7300607975370815	44	TMEM8B;IL2RG;MAL;PCSK9;CRYBG1;NTNG1;BRCA1;EFNA5;RTN4RL1;SRPX;AKAP7;APP;DCBLD2;RHCG;SCUBE1;EPHB4;MDGA1;ATP8B1;ADAM10;PLAUR;B4GALT1;AFAP1L2;ATP6V0A4;SLC2A4;NCOA6;SULF2;THY1;SLC34A3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.48622337654365017	0.6077792206795627		0.02521819822350231	161	IER3;CASP6;IL18;GSN;RHOT2;BMP2;CFLAR;DPYD;IL1B;BAX;IL1A;ERBB3;CASP2;RETSAT;AIFM3;AVPR1A;F2;PLPPR4;LGALS3;TSPO;PLCB2;GPX3;F2R;GSR;ERBB2;IGF2R;CCND2;BMF;IFITM3;LEF1;ANXA1;PTK2;TNFRSF12A;BRCA1;VDAC2;DDIT3;TOP2A;DIABLO;HMOX1;DNAJC3;PAK1;CAV1;RNASEL;MGMT;CASP9;GADD45B;JUN;SMAD7;BTG3;SATB1;DNM1L;PRF1;ETF1;WEE1;CD69;BTG2;MMP2;BGN;PPT1;SLC20A1;CASP8;EREG;SC5D;TXNIP;CDC25B;BCL2L11;GPX1;BID;TAP1;ISG20;CLU;ADD1;BCL10;TNFSF10;CDK2;EMP1;LUM;APP;DAP;PDCD4;ENO2;CDKN1B;PDGFRB;FEZ1;HMGB2;CD44;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0005856947506222233	0.004025376451496712		1.0151278581447645	112	LONP2;SULT2B1;NUDT12;PRDX5;ALDH9A1;PEX7;GNMT;BBOX1;AQP9;DHCR24;CH25H;SLC23A1;SLC27A5;HACL1;ALDH1A1;ABCA1;ABCD3;PEX26;HSD17B4;ABCA5;GNPAT;NR3C2;LIPE;PNPLA8;ISOC1;SLC23A2;ABCD1;SCP2;PEX6;AR;CAT;RXRG;HSD17B6;ABCA8;CYP39A1;GSTK1;SULT1B1;CROT;PEX19;IDH1;NPC1;RETSAT;ABCA3;DIO1;PEX11A;FADS1;DIO2;MLYCD;CYP8B1;TFCP2L1;RBP1;ABCA6;LCK;SLC35B2;EPHX2;CYP7B1;FADS2;ABCD2;ACSL1;SLC27A2;PIPOX;SLCO1A2;IDH2;IDI1;PFKM;PHYH;PEX1;AMACR;CYP27A1;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.46880799340977525	0.6077792206795627		0.06289845259848634	74	PCYT2;GPX8;PLSCR1;SQLE;ATF5;CLU;LGMN;CBS;STARD4;TRIB3;FDFT1;DHCR7;TNFRSF12A;SCD;NIBAN1;PMVK;HMGCS1;JAG1;HMGCR;GNAI1;CPEB2;ANXA5;ETHE1;LPL;ECH1;ADH4;AVPR1A;PNRC1;PLAUR;TMEM97;SC5D;LGALS3;TM7SF2;ANXA13;ANTXR2;ACSS2;FADS2;PPARG;IDI1;CD9;MVK
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.07491946169831809	0.14085911150130254		0.40533893902955104	138	TF;BMP1;USP11;CLU;GSN;MAFF;KLKB1;ANXA1;LGMN;RAPGEF3;HTRA1;ISCU;KLK8;SERPINA1;FURIN;CSRP1;MMP3;PRSS23;CFI;FN1;SIRT2;F10;PLAU;MMP1;CAPN5;MMP9;CFD;HPN;MMP7;MMP11;FYN;CTSB;RGN;OLR1;MMP14;PEF1;MMP2;SERPINB2;CD9;C3;SPARC;PDGFB;MSRB2;APOC1;ANG;ACOX2;CFH;C2;F2;SERPINE1;C1S;F2RL2;MMP8;GNG12;CRIP2;CTSV;TMPRSS6;HNF4A;CASP9;S100A1;CTSK;CAPN2;MEP1A;HMGCS2;PROC;KLF7;PROS1;FBN1;MMP10;LTA4H;DUSP14;DUSP6;F8;DCT
