pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.000267534820759307	0.0133767410379654	NA	0.199207398150869	196	ABCB7/ACAA1/ACAA2/ACADM/ACADSB/ACADVL/ACAT1/ACO2/AFG3L2/AIFM1/ALAS1/ALDH6A1/ATP5F1A/ATP5F1B/ATP5F1D/ATP5F1E/ATP5MC2/ATP5ME/ATP5MF/ATP5MG/ATP5PD/ATP5PO/ATP6AP1/ATP6V0B/ATP6V0E1/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1F/ATP6V1H/BAX/BDH2/CASP7/COX11/COX15/COX17/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX7C/COX8A/CPT1A/CS/CYB5A/CYB5R3/CYC1/CYCS/DECR1/DLAT/DLD/DLST/ECH1/ECHS1/ECI1/ETFA/ETFDH/FH/FXN/GOT2/GPI/GPX4/GRPEL1/HCCS/HSD17B10/HSPA9/HTRA2/IDH1/IDH2/IDH3A/IDH3B/IDH3G/IMMT/ISCU/MAOB/MDH2/MFN2/MRPL11/MRPL15/MRPL34/MRPL35/MRPS11/MRPS12/MRPS22/MRPS30/MTRF1/MTRR/MTX2/NDUFA1/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB2/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NNT/NQO2/OGDH/OPA1/OXA1L/PDHA1/PDHB/PDHX/PDK4/PDP1/PHB2/PHYH/PMPCA/POLR2F/PRDX3/RETSAT/RHOT1/RHOT2/SDHA/SDHB/SDHC/SDHD/SLC25A12/SLC25A20/SLC25A3/SLC25A4/SLC25A5/SLC25A6/SUCLA2/SUCLG1/SUPV3L1/TIMM10/TIMM13/TIMM50/TIMM9/TOMM22/TOMM70/UQCR10/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRQ/VDAC1/VDAC3
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.00677443787364833	0.116681418794035	NA	0.165944944019121	156	ABCG4/ACTC1/ADRA2C/AKR1B10/ARPP21/ASB7/ATP6V1B1/BARD1/BMPR1B/BTG2/C5/CACNA1F/CAMK1D/CCR8/CD207/CD40LG/CDKAL1/CELSR2/CHST2/CKM/CLDN16/CLDN8/CLSTN3/COL2A1/COPZ2/CPA2/CPB1/CPEB3/CYP39A1/DCC/DLK2/DTNB/EDAR/EDN1/EDN2/EGF/ENTPD7/EPHA5/FGFR3/FGGY/GAMT/GDNF/GP1BA/GP2/GPRC5C/GRID2/GTF3C5/HNF1A/HSD11B2/HTR1B/HTR1D/IDUA/IFI44L/IGFBP2/IL12B/ITIH3/KCND1/KCNMB1/KCNN1/KCNQ2/KLHDC8A/KLK7/KMT2D/KRT15/LFNG/LYPD3/MACROH2A2/MAGIX/MAST3/MFSD6/MSH5/MTHFR/MYH7/MYOT/NOS1/NPHS1/NR6A1/NRIP2/NTF3/NUDT11/OXT/PCDHB1/PDE6B/PDK2/PKP1/PLAG1/PRKN/PRODH/PTPRJ/RSAD2/RYR1/RYR2/SGK1/SHOX2/SLC12A3/SLC16A7/SLC25A23/SLC29A3/SLC38A3/SLC6A14/SLC6A3/SMPX/SNCB/SNN/SOX10/SYNPO/TCF7L1/TCL1A/TENM2/TEX15/TFAP2B/TFCP2L1/TFF2/TG/TGFB2/TGM1/THNSL2/THRB/TNNI3/UPK3B/VPS50/YBX2/YPEL1/ZBTB16/ZC2HC1C/ZNF112
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0089022019985091	0.116681418794035	NA	0.146341299955978	187	ABCC2/ABCC3/ABCD2/ABHD6/ACO2/ACOX1/ACOX2/ACOX3/ACP1/ACSM1/ADH5/AHCY/AKR1C2/AKR1C3/ALAS1/ALDH2/ALDH9A1/ANGPTL3/AOX1/AP4B1/AQP9/ARG2/ARPP19/ASL/ATOH8/ATP2A2/BCAR1/BCAT1/BPHL/CA2/CASP6/CDA/CDO1/CES1/CFB/CNDP2/COMT/CSAD/CYB5A/CYFIP2/CYP17A1/CYP1A1/CYP1A2/CYP26A1/CYP27A1/CYP2E1/CYP2J2/CYP2S1/CYP4F2/DCXR/DDC/DHPS/DHRS1/DHRS7/ECH1/ENPEP/ENTPD5/EPHA2/EPHX1/ESR1/ETFDH/ETS2/F11/FABP1/FAH/FAS/FBLN1/FBP1/FETUB/FMO1/FMO3/GABARAPL1/GAD1/GART/GCH1/GCLC/GCNT2/GSR/GSTA3/HGFAC/HMOX1/HNF4A/HPRT1/HRG/HSD11B1/HSD17B2/ID2/IDH1/IGF1/IGFBP1/IGFBP4/IL1R1/IRF8/ITIH1/KARS1/KYNU/LEAP2/LONP1/MAOA/MARCHF6/MCCC2/MT2A/NDRG2/NFS1/NPC1/NQO1/PAPSS2/PC/PDK4/PDLIM5/PEMT/PLG/PMM1/PPARD/PROS1/PSMB10/PTGDS/PTGES/PTGR1/PTS/PYCR1/RBP4/REG1A/RETSAT/SAR1B/SERPINA6/SERPINE1/SERTAD1/SHMT2/SLC22A1/SLC35D1/SLC6A12/SLC6A6/SMOX/SSR3/TDO2/TGFB2/TKFC/TMBIM6/TMEM176B/TMEM97/TNFRSF1A/TPST1/TTPA/UPB1/UPP1/VNN1/VTN/XDH
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.012848740887153	0.116681418794035	NA	0.135481800540482	196	ABL1/AMD1/ATF5/ATRX/AURKA/AURKB/BARD1/BCL3/BIRC5/BRCA2/BUB1/BUB3/CASP8AP2/CBX1/CCNA2/CCNB2/CCND1/CCNF/CCNT1/CDC20/CDC25A/CDC45/CDC6/CDK1/CDK4/CDKN1B/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CHMP1A/CKS1B/CKS2/CUL1/CUL3/CUL5/DBF4/DKC1/DR1/DTYMK/E2F1/E2F2/E2F3/E2F4/EFNA5/EGF/EXO1/EZH2/FANCC/FOXN3/GINS2/GSPT1/H2AX/H2AZ1/H2AZ2/HIF1A/HIRA/HMGB3/HMGN2/HMMR/HNRNPD/HNRNPU/HOXC10/HUS1/ILF3/INCENP/JPT1/KATNA1/KIF15/KIF22/KIF23/KIF2C/KIF4A/KMT5A/LBR/LIG3/MAD2L1/MAP3K20/MAPK14/MCM2/MCM3/MCM5/MEIS2/MKI67/MNAT1/MT2A/MTF2/MYBL2/MYC/NASP/NDC80/NEK2/NOLC1/NOTCH2/NSD2/NUMA1/NUP50/ODC1/ODF2/ORC5/ORC6/PBK/PDS5B/PLK1/PLK4/PML/POLA2/POLE/POLQ/PRIM2/PRMT5/PTTG1/RACGAP1/RAD21/RAD23B/RAD54L/RASAL2/RBM14/RPA2/RPS6KA5/SFPQ/SLC12A2/SLC38A1/SLC7A5/SMAD3/SMC1A/SMC4/SNRPD1/SQLE/SRSF10/SRSF2/SS18/STAG1/SUV39H1/SYNCRIP/TACC3/TENT4A/TFDP1/TLE3/TNPO2/TOP1/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/UCK2/UPF1/WRN/YTHDC1
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0129816684391032	0.116681418794035	NA	0.15213914449409	155	ABCB1/ACAA1/AGO2/ALAS1/ALDOA/AMD1/AP2S1/APOM/AQP3/ARRB2/ASNS/ATF3/ATP6V1C1/ATP6V1F/BID/BSG/BTG1/BTG2/BTG3/C4BPB/CA2/CASP3/CCND3/CCNE1/CDC34/CDC5L/CDKN1C/CDKN2B/CDO1/CEBPG/CHKA/CHRNA5/CLCN2/CNP/COL2A1/CREG1/CTSV/CXCL2/CYB5R1/CYP1A1/DDX21/DGAT1/DNAJB1/EIF5/EPCAM/EPHX1/FEN1/FGF18/FKBP4/FMO1/FOS/FOSB/FURIN/GCH1/GGH/GLS/GPX3/GRINA/GRPEL1/H2AX/HLA-F/HMOX1/HNRNPU/HSPA13/HSPA2/HTR7/HYAL2/ICAM1/IGFBP2/IL6/IL6ST/IRF1/JUNB/KCNH2/KLHDC3/MAOA/MAPK8IP2/MARK2/MGAT1/MMP14/MRPL23/MSX1/NAT1/NFKBIA/NPTX2/NPTXR/NTRK3/OLFM1/ONECUT1/PARP2/PDAP1/PDLIM3/PLCL1/POLG2/PPIF/PPP1R2/PPT1/PRKACA/PRKCD/PRPF3/PSMC3/RFC4/RHOB/RPN1/RXRB/SELENOW/SHOX2/SIGMAR1/SLC25A4/SLC6A12/SLC6A8/SQSTM1/STIP1/STK25/TACR3/TARS1/TFRC/TMBIM6/TST/TUBA4A/TYRO3/UROD/WIZ/YKT6
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0140017702552842	0.116681418794035	NA	0.183018457378062	104	ACRBP/ADAM2/ADCYAP1/ARL4A/ART3/AURKA/BRAF/BUB1/CAMK4/CCNB2/CCT6B/CDK1/CDKN3/CFTR/CHFR/CHRM4/CLGN/CLPB/CNIH2/COIL/CRISP2/CSNK2A2/DBF4/DCC/DDX25/DMC1/DMRT1/ELOVL3/EZH2/GAD1/GFI1/GMCL1/GPR182/GSG1/GSTM3/HOXB1/HSPA2/HSPA4L/IFT88/IL13RA2/IP6K1/KIF2C/LPIN1/MAP7/MAST2/MLF1/MLLT10/MTNR1A/NCAPH/NEFH/NEK2/NF2/NOS1/NPHP1/NPY5R/PACRG/PARP2/PCSK1N/PCSK4/PEBP1/PGS1/PHF7/PHKG2/PIAS2/POMC/RAD17/RFC4/SCG3/SEPTIN4/SIRT1/SLC12A2/SLC2A5/SNAP91/SPATA6/STAM2/STRBP/TCP11/TEKT2/TNNI3/TOPBP1/TSN/TTK/VDAC3/YBX2/ZC2HC1C
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0236958779308645	0.169256270934747	NA	0.174506957522545	96	ABCA1/ANP32E/AP2S1/AP3B1/ARCN1/ARF1/ARFGEF1/ARFGEF2/ARFIP1/ATP1A1/ATP6V1B1/ATP6V1H/ATP7A/BET1/BNIP3/CAV2/CD63/CLCN3/COG2/COPB1/COPB2/COPE/CTSC/DNM1L/DOP1A/DST/EGFR/GALC/GLA/GNAS/GOLGA4/GOSR2/ICA1/IGF2R/KRT18/LAMP2/LMAN1/M6PR/MAPK1/MON2/NAPA/NAPG/OCRL/PAM/PPT1/RAB14/RAB22A/RAB2A/RAB5A/RAB9A/RER1/RPS6KA3/SCAMP1/SCAMP3/SCRN1/SEC24D/SEC31A/SOD1/SSPN/STAM/STX12/STX16/STX7/TMED10/TMED2/TMX1/TOM1L1/TPD52/TSG101/TSPAN8/USO1/VAMP3/VAMP4/VPS45/VPS4B/YIPF6/YKT6/ZW10
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0351332254380937	0.208645383393303	NA	0.143242744005694	122	A2M/ACOX2/ADAM9/ANG/APOC1/APOC3/C1QA/C1R/C1S/C3/C8G/C9/CAPN2/CAPN5/CASP9/CD9/CFB/CFD/CFH/CFI/COMP/CPQ/CRIP2/CSRP1/CTSB/CTSE/CTSH/CTSK/CTSV/DCT/DPP4/DUSP14/F11/F12/F2RL2/F3/F8/FGA/FGG/FN1/FURIN/FYN/GDA/GNB2/GP1BA/HMGCS2/HNF4A/HRG/HTRA1/ISCU/ITGB3/ITIH1/KLF7/KLKB1/LAMP2/LEFTY2/LGMN/MASP2/MMP11/MMP14/MMP15/MMP3/MMP7/MMP9/MSRB2/MST1/P2RY1/PDGFB/PECAM1/PEF1/PLAT/PLAU/PLG/PREP/PROC/PROS1/PROZ/PRSS23/RABIF/RAPGEF3/RGN/S100A1/S100A13/SERPINA1/SERPINC1/SERPINE1/SERPING1/SIRT2/TF/TFPI2/THBD/THBS1/TIMP1/TIMP3/USP11/VWF/WDR1
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0375561690107945	0.208645383393303	NA	0.258338548326016	36	ADGRG1/CDK5R1/CDK6/CELSR1/CRMP1/DPYSL2/ETS2/GLI1/HEY1/HEY2/L1CAM/MYH9/NF1/NKX6-1/NRCAM/NRP1/NRP2/OPHN1/PLG/PML/PTCH1/RASA1/RTN1/SHH/SLIT1/THY1/TLE1/TLE3/UNC5C/VEGFA/VLDLR
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0488677015337817	0.244338507668908	NA	0.267616361914027	30	CHGA/DPP4/ELP4/FOXA2/FOXO1/GCK/HNF1A/ISL1/LMO2/MAFB/NKX6-1/PAK3/PAX6/PCSK1/PKLR/SCGN/SEC11A/SLC2A2/SPCS1/SRP14/SRP9/SRPRB/SST/STXBP1/SYT13/VDR
