pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.00143010300410634	0.0393504678635713	NA	0.201917151946793	97	B2M/BATF2/BST2/C1S/CASP1/CASP8/CCRL2/CD74/CMPK2/CNP/CSF1/CXCL10/CXCL11/DDX60/DHX58/EPSTI1/GBP2/GBP4/GMPR/HELZ2/HERC6/HLA-C/IFI27/IFI30/IFI35/IFI44/IFI44L/IFIH1/IFIT2/IFIT3/IFITM1/IFITM2/IFITM3/IL15/IL4R/IL7/IRF1/IRF2/IRF7/IRF9/ISG15/ISG20/LAMP3/LGALS3BP/LPAR6/LY6E/MOV10/MVB12A/MX1/NCOA7/NMI/NUB1/OAS1/OASL/OGFR/PARP12/PARP14/PARP9/PNPT1/PROCR/PSMB8/PSMB9/PSME1/PSME2/RIPK2/RNF31/RSAD2/RTP4/SAMD9/SAMD9L/SELL/SLC25A28/SP110/STAT2/TAP1/TDRD7/TENT5A/TMEM140/TRAFD1/TRIM14/TRIM21/TRIM25/TRIM26/TRIM5/TXNIP/UBA7/UBE2L6/WARS1
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.00173546806515079	0.0393504678635713	NA	0.14336496959168	194	ABCA1/ACVR1B/ACVR2A/ADGRE1/ADM/ADORA2B/ADRM1/AHR/APLNR/AQP9/ATP2B1/ATP2C1/AXL/BDKRB1/BEST1/BST2/BTG2/C3AR1/C5AR1/CALCRL/CCL17/CCL20/CCL22/CCL24/CCL5/CCR7/CCRL2/CD14/CD40/CD48/CD55/CD69/CD70/CD82/CDKN1A/CHST2/CLEC5A/CMKLR1/CSF1/CSF3R/CX3CL1/CXCL10/CXCL11/CXCL6/CXCL9/CXCR6/CYBB/DCBLD2/EBI3/EDN1/EMP3/F3/FFAR2/FPR1/FZD5/GABBR1/GCH1/GNA15/GPC3/GPR132/GPR183/HAS2/HBEGF/HIF1A/HRH1/ICAM1/IFITM1/IFNGR2/IL10/IL10RA/IL15/IL15RA/IL18/IL18R1/IL18RAP/IL1A/IL1R1/IL2RB/IL4R/IL7R/INHBA/IRAK2/IRF1/IRF7/ITGA5/ITGB3/ITGB8/KCNA3/KCNJ2/KCNMB2/KIF1B/KLF6/LAMP3/LCK/LCP2/LDLR/LIF/LPAR1/LTA/LY6E/LYN/MARCO/MEFV/MET/MMP14/MSR1/MXD1/MYC/NDP/NFKBIA/NLRP3/NMI/NMUR1/NOD2/NPFFR2/OLR1/OSM/OSMR/P2RX4/P2RX7/P2RY2/PCDH7/PDE4B/PDPN/PIK3R5/PLAUR/PSEN1/PTAFR/PTGER2/PTGER4/PTGIR/PTPRE/RAF1/RELA/RGS1/RGS16/RHOG/RIPK2/ROS1/RTP4/SCARF1/SCN1B/SELE/SELL/SERPINE1/SGMS2/SLAMF1/SLC11A2/SLC28A2/SLC31A1/SLC31A2/SLC4A4/SLC7A1/SPHK1/SRI/STAB1/TACR1/TACR3/TAPBP/TIMP1/TLR2/TLR3/TNFAIP6/TNFRSF1B/TNFRSF9/TNFSF10/TNFSF15/TNFSF9/VIP
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.00236102807181428	0.0393504678635713	NA	0.138199070926145	197	APOL6/ARID5B/ARL4A/AUTS2/B2M/BATF2/BPGM/BST2/BTG1/C1R/C1S/CASP1/CASP3/CASP4/CASP8/CCL5/CD38/CD40/CD69/CD74/CD86/CDKN1A/CFB/CIITA/CMKLR1/CMPK2/CSF2RB/CXCL10/CXCL11/CXCL9/DDX60/DHX58/EPSTI1/FAS/FCGR1A/FGL2/FPR1/GBP4/GBP6/GCH1/GPR18/GZMA/HELZ2/HERC6/HIF1A/HLA-A/HLA-B/HLA-DMA/HLA-DQA1/HLA-DRB1/HLA-G/ICAM1/IDO1/IFI27/IFI30/IFI35/IFI44/IFI44L/IFIH1/IFIT2/IFIT3/IFITM2/IFITM3/IFNAR2/IL10RA/IL15/IL15RA/IL18BP/IL2RB/IL4R/IL7/IRF1/IRF2/IRF4/IRF5/IRF7/IRF8/IRF9/ISG15/ISG20/ISOC1/ITGB7/KLRK1/LCP2/LGALS3BP/LY6E/LYSMD2/MARCHF1/MTHFD2/MVP/MX1/MX2/MYD88/NFKBIA/NLRC5/NMI/NOD1/OAS2/OAS3/OASL/OGFR/P2RY14/PARP12/PARP14/PDE4B/PELI1/PFKP/PLA2G4A/PML/PNP/PNPT1/PSMA2/PSMB10/PSMB2/PSMB8/PSMB9/PSME1/PSME2/PTGS2/PTPN1/PTPN2/PTPN6/RAPGEF6/RBCK1/RIPK1/RIPK2/RNF213/RNF31/RSAD2/RTP4/SAMD9L/SAMHD1/SECTM1/SELP/SERPING1/SLAMF7/SLC25A28/SOD2/SP110/SPPL2A/SRI/SSPN/ST3GAL5/ST8SIA4/STAT1/STAT2/STAT3/STAT4/TAP1/TAPBP/TDRD7/TNFAIP2/TNFAIP3/TNFAIP6/TNFSF10/TOR1B/TRAFD1/TRIM14/TRIM21/TRIM25/TRIM26/TXNIP/UBE2L6/UPP1/VAMP5/VCAM1/WARS1/XAF1/XCL1/ZBP1/ZNFX1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.00332866641822706	0.0416083302278382	NA	0.136537678050064	188	AARS1/ACHE/ACVR2A/APBB1/B2M/BCAT1/BCL3/BRCA1/C2/CCL11/CCL22/CCL4/CCL5/CCND2/CCND3/CCR1/CCR2/CCR5/CD1D/CD2/CD247/CD28/CD3D/CD3E/CD3G/CD4/CD40/CD40LG/CD7/CD74/CD79A/CD80/CD86/CD8A/CD8B/CD96/CDKN2A/CFP/CRTAM/CSF1/CSK/CTSS/CXCL13/CXCL9/CXCR3/DARS1/DEGS1/DYRK3/EGFR/EIF3A/EIF3D/EIF3J/EIF4G3/EIF5A/ELF4/ETS1/F2/F2R/FAS/FASLG/FCGR2B/FGR/FLNA/FYB1/GALNT1/GBP2/GCNT1/GLMN/GPR65/GZMA/GZMB/HCLS1/HIF1A/HLA-A/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DRA/HLA-E/HLA-G/ICAM1/IFNAR2/IFNG/IFNGR1/IFNGR2/IGSF6/IKBKB/IL10/IL11/IL12RB1/IL15/IL16/IL18/IL18RAP/IL27RA/IL2RA/IL2RB/IL2RG/IL4R/IL7/INHBA/INHBB/IRF4/IRF7/IRF8/ITGAL/ITGB2/ITK/KLRD1/LCK/LCP2/LIF/LTB/LY86/LYN/MAP4K1/MMP9/MRPL3/MTIF2/NCF4/NCK1/NCR1/NLRP3/NME1/NOS2/NPM1/PRF1/PRKCB/PSMB10/PTPN6/PTPRC/RARS1/RIPK2/RPL39/RPL9/RPS19/RPS9/SIT1/SPI1/SRGN/ST8SIA4/STAB1/STAT1/STAT4/TAP1/TAP2/TAPBP/TGFB1/TGFB2/TIMP1/TLR2/TLR3/TLR6/TNF/TPD52/TRAF2/TRAT1/UBE2N/WARS1/WAS/ZAP70
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.0126870118681756	0.119279524320822	NA	0.112663978819008	197	ACAA1/ACAA2/ACADM/ACADSB/ACADVL/ACAT1/ACO2/AFG3L2/AIFM1/ALAS1/ALDH6A1/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1E/ATP5MC1/ATP5MC2/ATP5MC3/ATP5ME/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/ATP6AP1/ATP6V0B/ATP6V0E1/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1F/ATP6V1G1/ATP6V1H/BAX/BDH2/COX10/COX11/COX15/COX17/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CPT1A/CS/CYB5R3/CYC1/CYCS/DECR1/DLAT/DLD/DLST/ECH1/ECHS1/ECI1/ETFA/ETFDH/FDX1/FH/FXN/GLUD1/GOT2/GPI/GPX4/GRPEL1/HADHA/HADHB/HCCS/HSD17B10/HSPA9/HTRA2/IDH1/IDH2/IDH3A/IDH3G/IMMT/ISCA1/ISCU/LDHA/LDHB/LRPPRC/MAOB/MDH1/MDH2/MFN2/MPC1/MRPL15/MRPL34/MRPL35/MRPS11/MRPS12/MRPS22/MRPS30/MTRR/MTX2/NDUFA1/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB2/NDUFB3/NDUFB5/NDUFB6/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS8/NDUFV1/NDUFV2/NNT/OAT/OGDH/OPA1/OXA1L/PDHA1/PDHB/PDHX/PDP1/PHB2/PHYH/PMPCA/POR/PRDX3/RETSAT/RHOT2/SDHB/SDHC/SDHD/SLC25A11/SLC25A12/SLC25A20/SLC25A3/SLC25A4/SLC25A5/SUCLA2/SUCLG1/SUPV3L1/SURF1/TCIRG1/TIMM13/TIMM17A/UQCR10/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ/VDAC1/VDAC2/VDAC3
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.0143135429184986	0.119279524320822	NA	0.126361449199999	151	AADAT/ACAA1/ACAA2/ACADM/ACADVL/ACAT2/ACO2/ACOT2/ACOT8/ACOX1/ACSL1/ACSL4/ACSL5/ACSM3/ACSS1/ADH1C/ADSL/ALAD/ALDH3A2/ALDH9A1/ALDOA/APEX1/AQP7/AUH/BCKDHB/BLVRA/BMPR1B/BPHL/CA2/CA4/CBR1/CBR3/CD1D/CD36/CEL/CPOX/CPT1A/CPT2/CRAT/CRYZ/CYP1A1/CYP4A11/CYP4A22/D2HGDH/DECR1/DHCR24/DLD/DLST/ECH1/ECHS1/ECI1/ECI2/EHHADH/ELOVL5/ENO2/EPHX1/ERP29/ETFDH/FABP1/FH/G0S2/GABARAPL1/GCDH/GPD2/GRHPR/GSTZ1/H2AZ1/HADH/HADHB/HAO2/HCCS/HIBCH/HMGCL/HMGCS1/HMGCS2/HPGD/HSD17B10/HSD17B11/HSD17B4/HSD17B7/HSDL2/HSP90AA1/HSPH1/IDH1/IDH3G/IDI1/IL4I1/INMT/KMT5A/LDHA/LGALS1/LTC4S/MAOA/MCEE/MDH1/MDH2/METAP1/MGLL/MLYCD/NBN/NCAPH2/ODC1/OSTC/PCBD1/PDHA1/PDHB/PPARA/PRDX6/PSME1/PTS/RAP1GDS1/RDH11/RDH16/REEP6/RETSAT/S100A10/SDHC/SDHD/SERINC1/SLC22A5/SMS/SUCLA2/SUCLG1/SUCLG2/TDO2/UBE2L6/UGDH/UROS/XIST/YWHAH
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.0197603440445474	0.14114531460391	NA	0.106164029006545	192	ABCB1/ACE/ADAM17/ADAM8/ADAMDEC1/ADGRA2/ADGRL4/AKT2/ALDH1A2/ALDH1A3/AMMECR1/ANGPTL4/ANO1/APOD/AVL9/BIRC3/BMP2/BPGM/BTBD3/BTC/C3AR1/CA2/CAB39L/CBL/CBR4/CCL20/CCND2/CD37/CDADC1/CFB/CMKLR1/CPE/CROT/CSF2RA/CTSS/CXCL10/CXCR4/DCBLD2/DNMBP/DOCK2/DUSP6/ENG/EPB41L3/EPHB2/ERO1A/ETS1/ETV1/ETV4/ETV5/EVI5/F2RL1/FBXO4/FCER1G/FGF9/FLT4/FUCA1/G0S2/GADD45G/GALNT3/GNG11/GPNMB/GPRC5B/GUCY1A1/GYPC/HBEGF/HOXD11/HSD11B1/ID2/IGF2/IGFBP3/IKZF1/IL10RA/IL2RG/IL33/IL7R/INHBA/IRF8/ITGA2/ITGB2/JUP/KCNN4/KIF5C/LAPTM5/LAT2/LCP1/LIF/LY96/MAFB/MALL/MAP3K1/MAP4K1/MAP7/MMP11/MMP9/MPZL2/MTMR10/MYCN/NAP1L2/NGF/NIN/NR0B2/NR1H4/NRP1/PCP4/PCSK1N/PDCD1LG2/PECAM1/PEG3/PIGR/PLAT/PLAU/PLAUR/PLVAP/PPP1R15A/PRDM1/PRELID3B/PRKG2/PRRX1/PSMB8/PTBP2/PTCD2/PTGS2/PTPRR/RABGAP1L/RBM4/RBP4/RELN/RGS16/SATB1/SCG5/SCN1B/SDCCAG8/SEMA3B/SERPINA3/SLPI/SNAP25/SNAP91/SPARCL1/SPON1/SPP1/SPRY2/ST6GAL1/STRN/TFPI/TLR8/TMEM158/TMEM176A/TMEM176B/TNFAIP3/TNFRSF1B/TNNT2/TPH1/TRAF1/TRIB1/TSPAN1/TSPAN13/TSPAN7/USH1C/USP12/VWA5A/WDR33/WNT7A/YRDC
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.107808968529341	0.610282182460366	NA	0.0927844854251515	107	ABCA1/ABCA3/ABCA4/ABCA5/ABCA6/ABCA8/ABCA9/ABCD1/ABCD2/ABCD3/ABCG8/ACSL1/ACSL5/AGXT/AKR1D1/ALDH8A1/ALDH9A1/APOA1/AQP9/ATXN1/BCAR3/BMP6/CAT/CH25H/CROT/CYP27A1/CYP39A1/CYP46A1/CYP7B1/CYP8B1/DHCR24/DIO1/DIO2/EFHC1/EPHX2/FADS1/FADS2/FDXR/GC/GNMT/HACL1/HAO1/HSD17B11/HSD17B4/HSD17B6/HSD3B7/IDH1/IDH2/IDI1/ISOC1/LCK/LIPE/LONP2/MLYCD/NEDD4/NPC1/NR0B2/NR1H4/NR1I2/NR3C2/NUDT12/OPTN/PAOX/PECR/PEX1/PEX11G/PEX12/PEX13/PEX19/PEX26/PEX7/PFKM/PHYH/PIPOX/PNPLA8/PRDX5/PXMP2/RBP1/RETSAT/SCP2/SERPINA6/SLC27A2/SLC27A5/SLC29A1/SLC35B2/SLCO1A2/SOD1/SULT2B1/TFCP2L1/TTR
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.119995521504726	0.610282182460366	NA	0.0644136281968583	194	ABCA3/ABHD2/ACOX2/ADD3/AFF1/AGR2/ALDH3A2/ALDH3B1/AMFR/ANXA9/ARL3/ASS1/ATP2B4/BAG1/BATF/BCL2/BTG3/CA12/CA2/CACNA2D2/CAV1/CCN5/CCNA1/CCND1/CD44/CD9/CDC20/CDC6/CDH1/CELSR2/CHPT1/CHST8/CISH/CKB/CLIC3/COX6C/CPE/CXCL12/CYP26B1/CYP4F11/DCXR/DHCR7/DHRS2/DNAJC1/DNAJC12/DYNLT3/EGR3/ELOVL5/EMP2/FABP5/FARP1/FDFT1/FGFR3/FKBP4/FLNB/FOS/FOXC1/FRK/GAL/GALE/GINS2/GJB3/GPER1/HMGCS2/HOMER2/HPRT1/HSPB8/ID2/IDH2/IGFBP4/IGSF1/IL17RB/IMPA2/ISG20/ITPK1/KCNK5/KIF20A/KLK10/KLK11/KRT19/LAMC2/LARGE1/LLGL2/LTF/MAPT/MDK/MEST/METTL3/MICB/MOCS2/MYB/MYOF/NBL1/NCOR2/NMU/NPY1R/NRIP1/OLFM1/OVOL2/PAPSS2/PCP4/PDLIM3/PDZK1/PGR/PKP3/PLAAT3/PLK4/PLXNB1/PPIF/PRKAR2B/PRLR/PRSS23/PTGER3/PTGES/PTPN6/RAB31/RABEP1/RAPGEFL1/RBBP8/RET/S100A9/SCARB1/SCNN1A/SCUBE2/SEMA3B/SERPINA1/SERPINA3/SERPINA5/SIAH2/SLC16A1/SLC1A4/SLC22A5/SLC24A3/SLC27A2/SLC29A1/SNX10/SORD/ST14/ST6GALNAC2/STIL/SULT2B1/TFAP2C/TFF1/TFF3/TH/TIAM1/TJP3/TMPRSS3/TNNC1/TOB1/TOP2A/TPD52L1/TPSAB1/TRIM29/TSPAN13/TST/UGDH/UNC13B/WFS1/XRCC3
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.122056436492073	0.610282182460366	NA	0.149753297554228	40	ADAM17/AXIN1/AXIN2/CCND2/CSNK1E/CTNNB1/CUL1/DLL1/DVL2/FRAT1/FZD1/FZD8/GNAI1/HDAC11/HDAC2/HEY1/HEY2/JAG1/JAG2/KAT2A/LEF1/MAML1/MYC/NCOR2/NKD1/NOTCH1/NOTCH4/PPARD/PSEN2/PTCH1/RBPJ/SKP2/TCF7/TP53/WNT6
