pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	5.3282034904763e-05	0.000133205087261907	-1.62035505663221	NA	194	DBT;HADH;GHITM;SUCLG1;UQCRC1;MAP4K3;NKIRAS1;COQ3;DLD;PTGER3;IMMT;GPAM;DHRS7;CAT;MCCC1;CHUK;DECR1;DHCR7;APLP2;SDHB;PRDX3;DLAT;GPHN;REEP6;IDH3A;SDHC;ACADM;MTCH2;ACOX1;MRPL15;COX8A;ATP1B3;ECHS1;COX7B;EPHX2;PHYH;NDUFS3;NDUFA5;UBQLN1;SOWAHC;COQ9;SCP2;UQCR10;BCL2L13;HIBCH;CYP4B1;TOB1;CPT2;GRPEL1;CS;G3BP2;MDH2;TST;ARAF;QDPR;AIFM1;ACO2;CHCHD10;GADD45A;RNF11;POR;SOD1;LIFR;ESRRA;RTN3;PTCD3;CYC1;ADCY6;JAGN1;MTARC2;UQCR11;OMD;PPM1B;REEP5;ELOVL6
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	1.93652580671697e-34	9.68262903358484e-33	2.91581065995061	NA	188	CDKN2A;CD40;TAPBP;ST8SIA4;LCP2;TAP1;IL4R;IL2RB;INHBB;IFNAR2;HLA-A;IL12RB1;CD1D;STAT4;IGSF6;GBP2;FASLG;KLRD1;ITGB2;HCLS1;IFNGR2;CD247;ITGAL;PRF1;ZAP70;SPI1;CCL5;MAP4K1;TGFB1;WAS;CXCL9;LY86;CRTAM;NCF4;CD2;CSK;IL16;GZMA;CD74;CXCR3;NCR1;GZMB;CD96;HLA-E;HLA-DMA;DARS1;CCR5;FGR;CSF1;CD7;GPR65;TLR6;CTSS;CD86;B2M;CD4;NCK1;TAP2;CD3E;CD3D;CD3G;SIT1;PTPN6;CD8A;ITK;DEGS1;CD8B;HLA-DQA1;TRAF2;TRAT1;FAS;CD80;HLA-DRA;ELF4;CCL4;PSMB10;HLA-G;PTPRC;IRF7;STAB1;FYB1;CFP;NPM1;TIMP1;IFNG;RPS19;TLR2;IL7;HLA-DOB;IL18RAP;FCGR2B;IL2RG;CCND2;CXCL13;MMP9;EGFR;C2;ICAM1;ETS1;TLR3;IL2RA;CD40LG;IRF4;HLA-DMB;IL27RA;BRCA1;DYRK3;CD28;NLRP3;IL15;LCK;IFNGR1;BCAT1;CCR2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.079696394686907	0.117200580421922	-1.24151189731112	NA	98	GPD1L;TMPRSS2;BMPR1B;HMGCR;IDI1;ACSL3;HPGD;HOMER2;PTPN21;GSR;SMS;SORD;HMGCS1;CDC14B;TPD52;NKX3-1;H1-0;VAPA;ABHD2;INSIG1;LIFR;DHCR24;ZBTB10;NGLY1;DBI;IQGAP2
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.145790554414784	0.186910967198442	1.25102919332298	NA	33	VEGFA;JAG2;COL5A2;TIMP1;CCND2;MSX1;FSTL1;PDGFA;NRP1;VCAN
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.184322033898305	0.224782968168665	1.11509985620017	NA	193	EVL;SIRPA;BMP1;STX4;RAC2;VWF;TSPAN4;CD276;SHC1;CD86;ALOX15B;CD99;ARHGEF6;MAPK11;SDC3;THBS3;PTPRC;YWHAH;FYB1;FSCN1;CDH6;ADRA1B;CDH8;MMP9;EGFR;ICAM1;TGFBI;LAYN;PBX2;GNAI2;VASP;PLCG1;CALB2;VCAM1;CX3CL1;PECAM1;VCAN;PFN1;CDH4;TRAF1;DMP1;AMH;ZYX;ATP1A3;ACTG2;NRXN2;PKD1;ADAM15;RRAS
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.00180414175119665	0.00346950336768587	-1.70036079401212	NA	44	GSTM3;MAL;RHCG;ATP6V0A4;GATA3;TMEM8B;GAS1;SCUBE1;AFAP1L2;ATP8B1;PCSK9;SHROOM2;LYPD3;NTNG1;APP;PKHD1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.021534465050489	0.0371283880180845	1.31352828515167	NA	160	ENO2;TAP1;CAV1;CCND1;ISG20;CASP4;CASP1;FASLG;PRF1;BID;BAX;CD2;FDXR;PLCB2;TOP2A;BIRC3;GNA15;RARA;HMOX1;CASP8;IRF1;FAS;TIMP1;PEA15;CCND2;CD14;DIABLO;ANXA1;CASP2;CD38;CD44;BRCA1;IFITM3;BNIP3L;IFNGR1;PPP3R1;CASP3;CFLAR;CDK2;CD69
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	1.61667666663175e-06	6.73615277763227e-06	-1.95196750578931	NA	107	TFCP2L1;NR3C2;CROT;PFKM;NR0B2;PEX7;HACL1;IDI1;TTR;CYP39A1;CAT;BCAR3;HSD17B4;PNPLA8;ABCD3;SLC27A5;ISOC1;IDH2;ALDH9A1;SLCO1A2;EPHX2;PEX19;PEX12;ABCA4;PHYH;ACSL1;SCP2;PEX1;ABCA6;ABCA8;ABCG8;NUDT12;PEX13;LONP2;BMP6;SOD1;DHCR24;CH25H;ALDH8A1;HSD17B6;PEX26;PECR;SULT2B1;DIO1;PEX11G;HAO1;SLC35B2;ABCA9;PXMP2;CYP7B1;SERPINA6;IDH1;AGXT;GNMT;RETSAT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.0417786755629136	0.0652791805670525	-1.35378722059471	NA	74	TM7SF2;SREBF2;SC5D;FDFT1;HMGCR;IDI1;MAL2;ADH4;PCYT2;GLDC;DHCR7;ACAT2;CYP51A1;SEMA3B;GNAI1;HMGCS1;LDLR;CD9;SQLE
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRC_limma	tcga_cancer__KIRC_limma	0.681159420289855	0.756323359232931	0.91116553026199	NA	126	BMP1;P2RY1;C3;APOC1;VWF;C1QA;MMP11;SH2B2;SPARC;PLEK;MMP14;TIMP1;ANG;ANXA1;MMP9;C2;FN1;DUSP14;PECAM1;FYN;SIRT2;CFB;PRSS23
