pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.5551343087279936	0.81637398342352		-0.017134366417037934	200	CD151;SCARB1;TST;GPX4;DHRS7B;ANGPT1;SLC19A1;GRPEL1;FABP4;LIFR;DRAM2;IFNGR1;TANK;ACADM;COQ9;MCCC1;SDHC;CHCHD10;SCP2;PEX14;MYLK;HADH;CPT2;IDH1;ATP5PO;CIDEA;GPAM;HIBCH;ECHS1;MTCH2;SNCG;COQ5;UQCR11;ARAF;GPX3;PFKFB3;CDKN2C;CHUK;SDHB;AGPAT3;RETN;CCNG2;BCL6;ACAA2;ACO2;SPARCL1;PTGER3;STOM;UQCR10;ADIPOQ;COX6A1;ACLY;CMBL;LEP;MGST3;NKIRAS1;LIPE;DHRS7;ENPP2;RIOK3;CYP4B1;PTCD3;RMDN3;PEMT;SOWAHC;PPP1R15B;LAMA4;ME1;G3BP2;UQCRQ;RTN3;ATL2;YWHAG;ABCB8;PRDX3;ATP1B3;MTARC2;ANGPTL4;CD36;SUCLG1;AK2;ACOX1;DHCR7;MGLL;RAB34;SLC66A3;ABCA1;UBQLN1;ITIH5;COL15A1;GPAT4;CAT;DBT;TKT;CAVIN2;ALDOA;CD302;RNF11;NDUFB7;EPHX2;SLC27A1;HSPB8;LPL;ARL4A;SULT1A1;REEP5;PHLDB1;ESYT1;NMT1;NABP1;ADCY6;SLC5A6;TALDO1;MAP4K3;C3;ECH1;GADD45A;LTC4S;NDUFAB1;QDPR;REEP6;SORBS1;VEGFB;ELOVL6;PPARG;PHYH;SQOR;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.4775889579441225	0.7462327467876914		0.026111427026106696	200	TRAF2;TAP2;IL18;IL2RG;WAS;ST8SIA4;NCF4;LCP2;RPL39;IFNGR1;HLA-DRA;NPM1;MMP9;IKBKB;GZMA;CCL11;CCL19;KLRD1;HLA-DMA;DEGS1;STAT1;CD4;RPS9;KRT1;CD40;JAK2;EIF5A;F2;EIF3D;LY86;IL11;THY1;F2R;HLA-DMB;IL2RA;CCL5;CCND2;CD86;RARS1;RPS3A;IFNAR2;ICOSLG;CD3D;BRCA1;CD8B;PSMB10;CD8A;SPI1;PRKCG;ITK;RIPK2;CTSS;IRF7;MAP3K7;NCK1;EIF3A;CRTAM;ZAP70;PTPN6;RPL9;IFNGR2;INHBB;STAT4;CD96;FAS;ACHE;NOS2;FCGR2B;CAPG;CD80;GBP2;RPL3L;APBB1;IL27RA;TLR6;NME1;INHBA;B2M;TPD52;C2;CCL4;EREG;TLR2;HLA-A;GLMN;ITGAL;IL7;CCR5;HLA-DOB;IL4R;CD1D;TAP1;TIMP1;MAP4K1;FASLG;DARS1;CD7;SOCS5;SOCS1;CDKN2A;CSK;TAPBP;CD28;HLA-DQA1;FGR;HLA-G;IGSF6;IL10;IL12RB1;HCLS1;RPS19;IL6;CCND3;CFP;CD2;GPR65;GALNT1;UBE2D1;NLRP3;ETS1;TGFB2;ACVR2A;NCR1;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.729473622727082	0.8684209794370025		-0.1588508273495207	101	CAMKK2;TNFAIP8;UBE2I;BMPR1B;ANKH;TMEM50A;ELL2;PGM3;H1-0;ITGAV;PTPN21;KRT8;PMEPA1;XRCC6;PLPP1;ABCC4;RAB4A;SCD;DBI;PTK2B;LIFR;ZBTB10;ACSL3;SLC38A2;UAP1;KLK3;HPGD;RRP12;AKT1;LMAN1;ARID5B;HMGCR;MAF;PIAS1;IQGAP2;PDLIM5;CDC14B;APPBP2;STK39;SELENOP;SPCS3;INPP4B;B2M;GPD1L;PA2G4;NCOA4;TPD52;STEAP4;CCND3;ADRM1;TMPRSS2;AZGP1;IDI1;MERTK;HSD17B14;INSIG1;ELOVL5;KLK2;SLC26A2;VAPA;KRT19;SORD;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.26790125817163696	0.6088664958446295		0.41041629234654026	36	APOH;TIMP1;ITGAV;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;JAG1;SERPINA5;THBD;OLR1;LUM;CXCL6;VTN;COL5A2;KCNJ8;FSTL1;PDGFA;VCAN;VAV2;LPL;CCND2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.12762465717689425	0.5411516846999663		0.26773253468787855	200	MPZL2;CDH8;DLG1;TAOK2;BAIAP2;KCNH2;JAM3;SYMPK;NRXN2;ADAMTS5;ACTA1;CERCAM;CLDN11;COL17A1;VWF;MAP4K2;MMP9;SLIT2;CDH1;PFN1;SYK;NECTIN3;CLDN8;HRAS;NFASC;MPZL1;CNN2;HADH;THBS3;ZYX;ACTG1;PLCG1;TJP1;LAMC2;SDC3;GRB7;ITGB4;THY1;CD34;MYH9;CD86;CNTN1;CTNND1;NEXN;RHOF;CLDN9;PTK2;PIK3R3;MADCAM1;CDH6;AKT3;FSCN1;AMIGO1;VCAM1;CLDN19;CLDN4;MYH10;ALOX15B;VCL;ACTB;EVL;ACTC1;VCAN;VAV2;IRS1;VASP;YWHAH;JUP;NEGR1;ITGA10;CDH11;COL16A1;KRT31;CADM2;AMIGO2;CDH4;TGFBI;EXOC4;SIRPA;CDK8;LIMA1;TRO;RAC2;CLDN5;PARVA;PARD6G;SKAP2;ADAM9;CD209;ADAM23;STX4;ADRA1B;MMP2;NECTIN4;PCDH1;ITGA2;ARPC2;PPP2R2C;INSIG1;EPB41L2;AMH;PBX2;BMP1;LAMA3;ATP1A3;PECAM1;LDLRAP1;TRAF1;CLDN14;CD274;NF2;CD276;PTEN;ICAM2;ITGA3;CADM3;RRAS;NRAP;CLDN15;ITGA9;NRTN;SRC;MYL12B;FLNC;MDK;WNK4;CX3CL1;NLGN3;CALB2;TSPAN4;NLGN2;TUBG1;FBN1;ACTN4;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.4486122468555517	0.7273087777858415		0.11601947142099772	44	GSTM3;IL2RG;MAL;PCSK9;CRYBG1;FLOT2;NTNG1;BRCA1;GATA3;EFNA5;GAS1;SRPX;AKAP7;DCBLD2;RHCG;SCUBE1;EPHB4;CD160;SLC22A12;LYPD3;ATP8B1;ADAM10;PLAUR;AFAP1L2;HSPB1;CX3CL1;ATP6V0A4;SULF2;THY1;SLC34A3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.04691008514268929	0.46910085142689284		0.43451142296595097	161	IER3;CASP6;ANKH;IL18;SPTAN1;GSN;GPX4;NEFH;RHOT2;PPP3R1;IFNGR1;CFLAR;DPYD;GCH1;BAX;IL1A;GUCY2D;CASP7;ERBB3;CASP2;HGF;AIFM3;AVPR1A;F2;PLPPR4;LGALS3;TSPO;CASP1;TIMP3;SOD2;PLCB2;GPX3;F2R;ERBB2;CCND2;BMF;LEF1;CTH;ANXA1;PTK2;TNFRSF12A;BCL2L2;BRCA1;ATF3;DDIT3;TOP2A;DIABLO;XIAP;CASP4;KRT18;BCL2L1;NEDD9;CASP3;HMOX1;DNAJC3;PAK1;FDXR;IGFBP6;MGMT;TIMP2;CASP9;GADD45B;JUN;SMAD7;CTNNB1;FAS;PSEN2;DAP3;H1-0;MADD;PLAT;ETF1;WEE1;EGR3;CD69;BTG2;MMP2;BGN;DCN;BCAP31;CASP8;RARA;EREG;HSPB1;SC5D;BIRC3;CDC25B;BCL2L10;GPX1;BID;TAP1;GNA15;ISG20;TIMP1;CLU;FASLG;SQSTM1;ROCK1;TNFSF10;CDK2;EMP1;DNAJA1;LUM;DAP;GADD45A;IL6;CD14;ENO2;CDKN1B;PDGFRB;CD2;BNIP3L;TGFB2;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.432935046002965	0.7273087777858415		0.07354972959466916	112	APOA1;NR1H4;PAOX;NUDT12;SULT2B1;PRDX5;ALDH9A1;TTR;PEX7;GNMT;BCAR3;AQP9;CH25H;GC;SLC23A1;HACL1;ALDH1A1;ABCA1;ABCD3;HSD17B4;CYP46A1;NR0B2;ABCA2;NR3C2;LIPE;PNPLA8;ISOC1;SLC23A2;ABCD1;SCP2;GCLM;AR;CAT;EFHC1;HSD17B6;CYP39A1;HSD3B7;GSTK1;SULT1B1;CROT;PEX19;IDH1;NPC1;ABCA3;DIO1;PEX11A;AKR1D1;HAO1;DIO2;RXRA;FDXR;CYP8B1;TFCP2L1;AGXT;RBP1;ABCA4;SLC35B2;EPHX2;CYP7B1;ABCD2;ACSL1;SLC27A2;PIPOX;SLCO1A2;IDH2;IDI1;PHYH;BMP6;PEX1;AMACR;NR1I2;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.25929926573477724	0.6088664958446295		0.26630467278063497	74	FASN;GPX8;SQLE;CLU;LGMN;S100A11;FDPS;TRIB3;LDLR;FDFT1;DHCR7;TNFRSF12A;ACAT2;SCD;NIBAN1;ERRFI1;STX5;PDK3;ATF3;ABCA2;FBXO6;JAG1;HMGCR;LSS;HSD17B7;TP53INP1;CPEB2;ANXA5;ETHE1;LPL;ECH1;ADH4;GUSB;SREBF2;ACTG1;AVPR1A;CXCL16;MVK;PLAUR;SC5D;CYP51A1;LGALS3;FABP5;ATXN2;ANXA13;ANTXR2;ACSS2;CHKA;PPARG;IDI1;CD9;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0037836043993770357	0.0945901099844259		0.8067315427791297	138	TF;GSN;F12;FURIN;APOC3;VWF;SH2B2;MMP9;MMP14;PEF1;MSRB2;THBS1;CFH;F2;F2RL2;TIMP3;TMPRSS6;MST1;CAPN2;PROS1;LTA4H;CTSO;ANXA1;LGMN;SERPING1;CFI;FN1;F10;PLAU;CFD;S100A13;MMP7;RGN;THBD;APOC1;CPQ;RAC1;C1S;CTSV;COMP;HNF4A;CASP9;C9;S100A1;HMGCS2;PROZ;USP11;KLKB1;RAPGEF3;HTRA1;PLAT;F3;GNB2;CPB2;MMP11;F11;ADAM9;PLG;OLR1;MMP2;C2;CFB;ITGA2;WDR1;PLEK;CD9;DUSP14;DUSP6;CTSH;BMP1;APOA1;LEFTY2;TIMP1;CLU;CTSE;PECAM1;SERPINA1;CSRP1;C8G;GDA;SERPINC1;C1QA;HRG;DPP4;C3;PDGFB;ANG;ACOX2;SERPINE1;CTSK;TFPI2;FBN1;MMP15;A2M;F8;PRSS23
