pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.100970873786408	0.180305131761442	-1.18333717623461	NA	196	OMD;ADIPOQ;MYLK;HADH;SOWAHC;GPX3;ITIH5;ANGPT1;EPHX2;CAT;MAP4K3;CIDEA;DBT;LIPE;MTARC2;ACADM;REEP5;AGPAT3;PTGER3;LPL;RNF11;SPARCL1;PFKFB3;HIBCH;ATP1B3;ARAF;CD302;AK2;LIFR;QDPR;ENPP2;SCP2;PHLDB1;ECHS1;PFKL;CCNG2;SORBS1;CPT2;GADD45A;SDHB;REEP6;LEP;IDH1;SLC66A3;ACOX1;PHYH;CHUK;UBQLN1;SDHC;CAVIN2;SUCLG1;G3BP2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	3.02587182075738e-05	0.00021613370148267	1.6939846589595	NA	188	CDKN2A;NME1;TAPBP;RPS19;TRAF2;HLA-A;BRCA1;TIMP1;IFNAR2;MAP3K7;CCND2;EIF5A;PTPN6;IGSF6;GALNT1;PRKCG;IFNGR2;PSMB10;IL18;HLA-G;LY86;FAS;GBP2;EREG;SPI1;ACHE;KLRD1;NCK1;IL4R;FCGR2B;RPL39;TLR2;CD86;TAP1;DARS1;TLR6;CD1D;CTSS;ITGB2;DEGS1;IFNGR1;CD40;STAT4;WAS;NCF4;CD80;ST8SIA4;CD8B;CCL5;B2M;CD8A;CAPG;TAP2;CCR5;FGR;GZMA;FASLG;RPL9;GPR65;IKBKB;CCL4;CSK;ITGAL;CRTAM;LCP2;CD3D;RIPK2;CD7;HLA-DOB;MAP4K1;IL2RG;CD2;CD4;IL12RB1;HLA-DMA;ZAP70;C2;CCND3;INHBB;KRT1;HCLS1;GZMB;PRF1;GLMN;CD3E;CD96;RPS3A;RARS1;IL7;RPS9;NLRP3;CD247
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.0175560805050693	0.0438902012626733	-1.40208676428445	NA	99	IDI1;KLK3;TMPRSS2;HMGCR;SELENOP;BMPR1B;PTPN21;UAP1;SORD;PLPP1;INSIG1;ACSL3;TPD52;IQGAP2;KLK2;INPP4B;ARID5B;LIFR;PDLIM5;ANKH;ELL2;MERTK;ITGAV;HPGD;STEAP4;H1-0;PTK2B;AZGP1;PIAS1;VAPA;ZBTB10;CDC14B;LMAN1;SRF;NCOA4
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.488938053097345	0.5881296578971	-0.972433642085324	NA	33	SERPINA5;APOH;STC1;LPL;LUM;SLCO2A1;VTN;ITGAV;THBD;PTK2;COL3A1;JAG1;VAV2;KCNJ8
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.35	0.472972972972973	-1.03812190810201	NA	194	NFASC;CNTN1;THY1;CLDN19;NEGR1;WNK4;ITGA9;CLDN8;CLDN5;CLDN14;CD34;HADH;LDLRAP1;PCDH1;INSIG1;VCL;MYL9;PARVA;ITGA10;CDH3;ITGA2;PARD6G;ACTN4;MYH10;PECAM1;CDH11;MYH9;MAP4K2;IRS1;CLDN11;JAM3;LIMA1;ACTC1;NEXN;COL16A1;SYK;CDH1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.0096639661985562	0.026844350551545	-1.59769561937413	NA	44	PCSK9;SLC34A3;THY1;SCUBE1;AFAP1L2;RHCG;GSTM3;NTNG1;GAS1;ATP6V0A4
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.0374294832970135	0.0813684419500293	1.28764337077338	NA	160	BAX;FDXR;GPX1;ENO2;ANXA1;CASP4;CASP8;TOP2A;TNFRSF12A;IGFBP6;CASP3;BRCA1;TIMP1;HSPB1;CCND2;BID;CLU;IL1A;CASP2;CDK2;KRT18;IL18;FAS;RHOT2;EREG;AIFM3;TSPO;ISG20;PLCB2;CASP1;BCL2L1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.000156467782539458	0.000869265458552546	-1.79595414302848	NA	107	HAO1;IDI1;NR3C2;PIPOX;AGXT;TFCP2L1;CYP8B1;SULT1B1;NR0B2;EPHX2;CAT;ABCA4;RXRA;HSD17B6;SULT2B1;GC;LIPE;ISOC1;CYP39A1;PEX7;ALDH9A1;CH25H;ABCD3;DIO1;HSD17B4;SLC23A1;IDH2;CYP46A1;SCP2;PNPLA8;BMP6;DIO2;NUDT12;PEX1;BCAR3;PEX11A;PEX19;HACL1;IDH1;RBP1;SLCO1A2;PHYH;CROT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.298174442190669	0.425963488843813	-1.09420030771289	NA	74	LDLR;AVPR1A;SREBF2;IDI1;ADH4;HMGCR;ERRFI1;FDFT1;CD9;LPL;PDK3;ANTXR2;CYP51A1;SC5D;ACAT2;ATF3;CTNNB1;SQLE;FDPS
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__KIRP_edgeR	tcga_cancer__KIRP_edgeR	0.197718631178707	0.307765151515151	-1.14694661796347	NA	124	PROZ;CSRP1;TIMP3;PLAT;CTSV;HRG;PLG;F11;PDGFB;ACOX2;CPQ;A2M;GSN;ITGA2;CD9;PLAU;F8;PECAM1;C9;SERPINC1;THBS1;RAPGEF3;USP11;COMP;F3;LEFTY2;HTRA1;FURIN;PRSS23;CASP9;CAPN2;MAFF;RGN;THBD;PEF1;MMP2;DUSP6;CTSH;SERPINE1;APOC3
