pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0027174272190866	0.13587136095433	NA	0.191256193056345	199	AK2/ANP32E/ASF1A/ASF1B/ATAD2/AURKA/AURKB/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CCNB2/CCNE1/CDC20/CDCA3/CDCA8/CDKN1A/CDKN1B/CDKN2A/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS2/CNOT9/CSE1L/CTPS1/DCTPP1/DDX39A/DEK/DEPDC1/DLGAP5/DONSON/DSCC1/DUT/E2F8/EED/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/H2AX/H2AZ1/HELLS/HMGA1/HMGB3/HMMR/ILF3/ING3/IPO7/JPT1/KIF18B/KIF22/KIF2C/KIF4A/LBR/LIG1/LMNB1/LUC7L3/LYAR/MAD2L1/MCM3/MCM5/MCM7/MELK/MKI67/MMS22L/MXD3/MYBL2/MYC/NAA38/NAP1L1/NASP/NCAPD2/NME1/NOP56/NUDT21/NUP107/NUP153/ORC2/ORC6/PA2G4/PAICS/PAN2/PCNA/PDS5B/PLK1/PLK4/PNN/POLD1/POLD2/POLD3/POLE/POP7/PPM1D/PPP1R8/PRDX4/PRIM2/PRPS1/PSIP1/PSMC3IP/PTTG1/RACGAP1/RAD51AP1/RAD51C/RAN/RANBP1/RFC1/RFC2/RPA1/RPA3/RRM2/SLBP/SMC1A/SMC3/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF2/STAG1/SYNCRIP/TACC3/TBRG4/TFRC/TIMELESS/TIPIN/TK1/TOP2A/TP53/TRA2B/TRIP13/TUBB/TUBG1/UBE2T/UBR7/USP1/WDR90/WEE1/XPO1/XRCC6/ZW10
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0118911901839711	0.218568633091097	NA	0.328920830776059	44	ADAM10/AFAP1L2/AKAP7/APP/ATP6V0A4/ATP8B1/BRCA1/CD160/CRYBG1/CX3CL1/DCBLD2/EFNA5/EPHB4/FLOT2/GAS1/GATA3/GSTM3/HSPB1/IL2RB/IL2RG/LYPD3/MAL/MDGA1/NTNG1/PCSK9/PLAUR/RHCG/RTN4RL1/SCUBE1/SHROOM2/SLC22A12/SLC2A4/SLC34A3/SRPX/SULF2/THY1
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0153664946256743	0.218568633091097	NA	0.21278864669445	102	ABCB4/ABCC8/ABCD1/ABCD2/ABCD3/ACAA1/ACOT8/ACOX1/ACSL1/ACSL4/ACSL5/ALB/ALDH1A1/ALDH9A1/BCL10/CACNA1B/CADM1/CAT/CDK7/CEL/CNBP/CRABP1/CRABP2/CTBP1/CTPS1/DHRS3/DIO1/ECI2/EHHADH/ELOVL5/EPHX2/ERCC1/ERCC3/ESR2/FABP6/FDPS/FIS1/GSTK1/HAO2/HMGCL/HRAS/HSD11B2/HSD17B4/HSD3B7/IDH1/IDH2/IDI1/ISOC1/ITGB1BP1/MLYCD/MVP/NR1I2/PABPC1/PEX11A/PEX11B/PEX2/PEX5/PRDX5/RDH11/SCP2/SEMA3C/SIAH1/SLC23A2/SLC25A17/SLC25A19/SLC25A4/SLC27A2/SLC35B2/SMARCC1/SOD2/STS/SULT2B1/TOP2A/TSPO/TTR/VPS4B/YWHAH
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0174854906472877	0.218568633091097	NA	0.166864072667086	160	AIFM3/ANKH/ANXA1/APP/ATF3/AVPR1A/BAX/BCAP31/BCL10/BCL2L1/BCL2L10/BCL2L2/BGN/BID/BIK/BIRC3/BMF/BRCA1/BTG2/BTG3/CASP1/CASP2/CASP3/CASP4/CASP6/CASP7/CASP8/CASP9/CCNA1/CCND1/CCND2/CD14/CD2/CD44/CDK2/CDKN1A/CDKN1B/CLU/CTH/CTNNB1/DAP/DAP3/DCN/DDIT3/DIABLO/DNAJA1/DNAJC3/DPYD/EGR3/EMP1/ENO2/ERBB2/ERBB3/EREG/ETF1/F2R/FAS/FASLG/FDXR/FEZ1/GADD45A/GADD45B/GCH1/GNA15/GPX1/GPX3/GPX4/GSN/H1-0/HGF/HMOX1/HSPB1/IER3/IFNGR1/IGFBP6/IL18/IL1A/IL6/ISG20/JUN/KRT18/LEF1/LGALS3/LUM/MADD/MGMT/MMP2/NEDD9/NEFH/PAK1/PDGFRB/PLAT/PLCB2/PLPPR4/PPP3R1/PTK2/RARA/RHOT2/ROCK1/SATB1/SC5D/SMAD7/SOD2/SPTAN1/SQSTM1/TAP1/TGFB2/TGFBR3/TIMP1/TIMP3/TNFRSF12A/TNFSF10/TOP2A/TSPO/TXNIP/WEE1/XIAP
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0331560122736403	0.30820901222631	NA	0.180741209747	107	ABCA1/ABCA2/ABCA3/ABCA4/ABCA5/ABCA6/ABCA8/ABCA9/ABCD1/ABCD2/ABCD3/ACSL1/ACSL5/AGXT/AKR1D1/ALDH1A1/ALDH9A1/AMACR/APOA1/AQP9/AR/BCAR3/BMP6/CAT/CH25H/CROT/CYP39A1/CYP46A1/CYP7B1/CYP8B1/DIO1/DIO2/EFHC1/EPHX2/FADS2/FDXR/GC/GNMT/GSTK1/HACL1/HAO1/HSD17B4/HSD17B6/HSD3B7/IDH1/IDH2/IDI1/ISOC1/LIPE/MLYCD/NPC1/NR0B2/NR1H4/NR1I2/NR3C2/NUDT12/PAOX/PEX1/PEX11A/PEX19/PEX7/PHYH/PIPOX/PNPLA8/PRDX5/PXMP2/RBP1/RXRA/SCP2/SLC23A1/SLC23A2/SLC27A2/SLC29A1/SLC35B2/SLCO1A2/SULT1B1/SULT2B1/TFCP2L1/TTR
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0369850814671572	0.30820901222631	NA	0.318867166112136	32	ARRB1/CCND1/CUL1/DLL1/DTX1/DTX2/FBXW11/FZD1/FZD7/HEYL/JAG1/KAT2A/LFNG/MAML2/NOTCH1/NOTCH2/NOTCH3/PPARD/PSENEN/RBX1/SAP30/SKP1/ST3GAL6/TCF7L2/WNT2/WNT5A
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0652393556693439	0.465995397638171	NA	0.158995829333747	99	ACRBP/ADCYAP1/ARL4A/AURKA/BRAF/BUB1/CAMK4/CCNA1/CCNB2/CDKN3/CFTR/CHFR/CLGN/CLPB/CLVS1/CNIH2/COIL/CRISP2/CSNK2A2/DBF4/DCC/DDX25/DMC1/EZH2/GAD1/GFI1/GMCL1/GPR182/GRM8/GSTM3/HSPA2/IL12RB2/IL13RA2/IP6K1/JAM3/KIF2C/LDHC/LPIN1/MTNR1A/MTOR/NCAPH/NEFH/NEK2/NOS1/NPHP1/NPY5R/OAZ3/PACRG/PCSK4/PEBP1/PGS1/PHKG2/PIAS2/POMC/PRKAR2A/RAD17/RFC4/SCG5/SEPTIN4/SHE/SIRT1/SLC12A2/SLC2A5/STAM2/STRBP/TALDO1/TCP11/TNNI3/TOPBP1/TSN/TTK/ZC3H14
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.0869998340817325	0.519778973311092	NA	0.100743900150903	199	ACTA2/ADAM12/APLP1/BGN/BMP1/CADM1/CALD1/CALU/CAP2/CAPG/CCN1/CCN2/CD44/CDH11/CDH2/CDH6/COL12A1/COL16A1/COL3A1/COL4A1/COL5A1/COL5A2/COL5A3/COL6A3/COL7A1/COL8A2/COLGALT1/COMP/CRLF1/CTHRC1/CXCL1/CXCL12/CXCL6/CXCL8/DCN/DKK1/DPYSL3/ECM2/ELN/EMP3/ENO2/FAS/FBLN1/FBLN2/FBLN5/FBN1/FERMT2/FLNA/FOXC2/FSTL1/FSTL3/FUCA1/GADD45A/GADD45B/GAS1/GEM/GLIPR1/GPC1/GPX7/GREM1/HTRA1/IGFBP2/IL32/IL6/INHBA/ITGA2/ITGAV/ITGB5/JUN/LAMA2/LAMA3/LAMC1/LGALS1/LOXL2/LRRC15/LUM/MAGEE1/MATN2/MATN3/MCM7/MEST/MFAP5/MGP/MMP1/MMP14/MMP2/MXRA5/MYL9/MYLK/NID2/NNMT/NOTCH2/NTM/OXTR/P3H1/PCOLCE2/PDGFRB/PDLIM4/PFN2/PLAUR/PLOD2/PLOD3/PMEPA1/PPIB/PRRX1/PTX3/PVR/SCG2/SDC1/SERPINE1/SERPINE2/SERPINH1/SFRP1/SGCG/SLIT2/SLIT3/SNAI2/SNTB1/SPOCK1/SPP1/TAGLN/TFPI2/TGFBI/TGFBR3/THBS1/THBS2/THY1/TIMP1/TIMP3/TNFRSF12A/TPM2/TPM4/VCAM1/VCAN/VEGFA/VEGFC/VIM/WIPF1/WNT5A
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.095919210673735	0.519778973311092	NA	0.111966920928605	152	AADAT/ACAA1/ACAA2/ACADM/ACADVL/ACAT2/ACO2/ACOT2/ACOT8/ACOX1/ACSL1/ACSL4/ACSL5/ACSM3/ACSS1/ADH1C/ADSL/ALAD/ALDH1A1/ALDH3A1/ALDH3A2/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/AUH/BCKDHB/BLVRA/BMPR1B/BPHL/CA2/CA4/CD1D/CD36/CEL/CPOX/CPT1A/CPT2/CRYZ/CYP1A1/CYP4A11/CYP4A22/DLST/ECHS1/ECI1/ECI2/EHHADH/ELOVL5/ENO2/ERP29/ETFDH/FABP1/FH/FMO1/G0S2/GABARAPL1/GCDH/GPD1/GRHPR/H2AZ1/HADH/HADHB/HAO2/HIBCH/HMGCL/HMGCS1/HMGCS2/HPGD/HSD17B4/HSD17B7/HSDL2/IDH1/IDI1/IL4I1/INMT/KMT5A/LDHA/LGALS1/MAOA/MCEE/METAP1/MGLL/MLYCD/NCAPH2/NTHL1/ODC1/OSTC/PDHB/PPARA/PSME1/PTPRG/RAP1GDS1/RDH11/REEP6/S100A10/SDHA/SDHC/SDHD/SERINC1/SLC22A5/SUCLA2/SUCLG1/SUCLG2/TP53INP2/UROD/YWHAH
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__KIRP_limma	tcga_cancer__KIRP_limma	0.103955794662218	0.519778973311092	NA	0.0953302028347472	194	ABCA3/ABHD2/ACOX2/ADD3/AFF1/AGR2/ALDH3A2/ALDH3B1/AMFR/ANXA9/ASS1/BAG1/BATF/BCL2/BLVRB/BTG3/CA12/CA2/CACNA2D2/CALCR/CCNA1/CCND1/CD44/CD9/CDC20/CDC6/CDH1/CELSR2/CHPT1/CISH/COX6C/CPE/CXCL12/CXCL14/CYP26B1/DCXR/DHCR7/DHRS2/DNAJC1/DNAJC12/DUSP2/DYNLT3/EGR3/ELOVL5/EMP2/FABP5/FDFT1/FGFR3/FKBP4/FKBP5/FLNB/FOS/FRK/GALE/GFUS/GINS2/GJB3/GLA/HMGCS2/HPRT1/HR/HSPB8/IDH2/IGSF1/IL6ST/ISG20/ITPK1/JAK2/KIF20A/KLK11/LARGE1/LSR/LTF/MDK/MEST/MOCS2/MYB/MYOF/NBL1/NPY1R/NXT1/OLFM1/OVOL2/PCP4/PERP/PGR/PLAAT3/PLK4/PRKAR2B/PRLR/PRSS23/PTGER3/PTPN6/RAB31/RAPGEFL1/RBBP8/RET/RPS6KA2/S100A9/SCARB1/SCNN1A/SCUBE2/SERPINA5/SFN/SIAH2/SLC1A4/SLC22A5/SLC24A3/SLC26A2/SLC27A2/SLC29A1/SLC7A5/SNX10/SORD/ST6GALNAC2/STIL/SULT2B1/TFAP2C/TFF1/TFF3/TFPI2/TIAM1/TJP3/TMPRSS3/TNNC1/TOP2A/TPBG/TPD52L1/TPSAB1/TST/UNC13B/WFS1/XBP1/XRCC3/ZFP36
