pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	4.82834401039557e-06	0.000241417200519778	NA	0.264525577627126	199	AK2/ANP32E/ASF1A/ASF1B/ATAD2/AURKA/AURKB/BARD1/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CBX5/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1A/CDKN2A/CDKN2C/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EED/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/GSPT1/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMMR/HUS1/ILF3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LBR/LIG1/LMNB1/LUC7L3/LYAR/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MRE11/MSH2/MXD3/MYBL2/MYC/NAP1L1/NASP/NBN/NCAPD2/NME1/NOP56/NUDT21/NUP107/NUP205/ORC2/ORC6/PA2G4/PCNA/PHF5A/PLK1/PLK4/PMS2/POLA2/POLD1/POLD3/PRDX4/PRIM2/PRKDC/PSIP1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD50/RAD51AP1/RAD51C/RAN/RBBP7/RFC1/RFC2/RFC3/RPA2/RRM2/SHMT1/SLBP/SMC3/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF2/SSRP1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/USP1/WDR90/WEE1/XPO1/XRCC6
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.000222663908475964	0.00556659771189911	NA	0.219809756639801	194	ACKR3/ADM/AK4/AKAP12/ALDOA/ALDOB/ALDOC/AMPD3/ANGPTL4/ANKZF1/ANXA2/ATF3/ATP7A/B3GALT6/B4GALNT2/BCAN/BGN/BHLHE40/BNIP3L/BTG1/CA12/CASP6/CAV1/CAVIN1/CAVIN3/CCN1/CCN2/CCN5/CDKN1A/CDKN1C/CHST2/CHST3/CITED2/COL5A1/CP/CSRP2/CXCR4/DCN/DDIT3/DPYSL4/DTNA/DUSP1/EDN2/EFNA1/EFNA3/EGFR/ENO1/ENO2/ENO3/ERRFI1/ETS1/F3/FAM162A/FBP1/FOS/FOXO3/GAPDH/GBE1/GCK/GCNT2/GLRX/GPC1/GPC3/GPC4/GRHPR/GYS1/HEXA/HK1/HK2/HMOX1/HOXB9/HSPA5/IER3/IGFBP1/IGFBP3/IL6/ILVBL/INHA/IRS2/JMJD6/JUN/KDELR3/KDM3A/KIF5A/KLF6/KLF7/KLHL24/LDHA/LOX/MAFF/MT1E/MT2A/MXI1/MYH9/NDRG1/NDST1/NEDD4L/NFIL3/NOCT/NR3C1/P4HA1/P4HA2/PCK1/PDGFB/PDK1/PFKFB3/PFKP/PGF/PGK1/PGM1/PGM2/PHKG1/PIM1/PKLR/PLAC8/PLAUR/PLIN2/PNRC1/PPARGC1A/PPFIA4/PPP1R15A/PPP1R3C/PRKCA/RBPJ/RORA/RRAGD/S100A4/SAP30/SDC2/SDC3/SDC4/SERPINE1/SLC2A1/SLC2A3/SLC2A5/SLC37A4/SLC6A6/SRPX/STBD1/STC1/STC2/SULT2B1/TES/TGFB3/TGM2/TIPARP/TKTL1/TMEM45A/TPD52/TPST2/UGP2/VLDLR/XPNPEP1/ZFP36/ZNF292
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.000559472310706276	0.00932453851177127	NA	0.20501275471172	196	ABCD2/ABHD6/ACOX1/ACOX2/ACOX3/ACP2/ADH1C/ADH5/AKR1C2/AKR1C3/ALAS1/ALDH2/ALDH3A1/ALDH9A1/ANGPTL3/AOX1/AP4B1/ARG1/ARG2/ARPP19/ASL/ATOH8/ATP2A2/BCAT1/BPHL/CA2/CASP6/CAT/CBR1/CCL25/CD36/CDA/CDO1/CNDP2/COMT/CRP/CSAD/CYB5A/CYP17A1/CYP1A2/CYP26A1/CYP27A1/CYP2C18/CYP2E1/CYP2J2/CYP2S1/CYP4F2/DCXR/DDAH2/DHPS/DHRS1/ECH1/ENPEP/ENTPD5/EPHA2/EPHX1/ESR1/ETFDH/ETS2/F11/FABP1/FAH/FAS/FBLN1/FBP1/FETUB/FMO1/FMO3/GABARAPL1/GAD1/GCH1/GCKR/GCLC/GCNT2/GNMT/GSR/HACL1/HES6/HGFAC/HMOX1/HRG/HSD11B1/HSD17B2/ID2/IDH1/IGF1/IGFBP1/IGFBP4/IL1R1/IRF8/ITIH1/KYNU/LCAT/LEAP2/LPIN2/MAN1A1/MAOA/MBL2/MCCC2/MPP2/MT2A/MTHFD1/NDRG2/NFS1/NMT1/NPC1/NQO1/PAPSS2/PC/PDK4/PDLIM5/PEMT/PGRMC1/PINK1/PLG/PMM1/POR/PPARD/PROS1/PTGDS/PTGES/PTGES3/PTS/PYCR1/RAP1GAP/RBP4/REG1A/RETSAT/SAR1B/SERPINA6/SERPINE1/SERTAD1/SHMT2/SLC1A5/SLC22A1/SLC35B1/SLC35D1/SLC46A3/SLC6A12/SLC6A6/SMOX/SSR3/TAT/TDO2/TGFB2/TKFC/TMBIM6/TMEM176B/TNFRSF1A/TPST1/TTPA/UPB1/VNN1/VTN/XDH
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.00389248368303713	0.0486560460379641	NA	0.172504041861444	194	ABCB6/AGL/AGRN/AK3/AK4/AKR1A1/ALDH7A1/ALDH9A1/ALDOA/ALDOB/ALG1/ANG/ANGPTL4/ANKZF1/ARPP19/ARTN/AURKA/B3GALT6/B3GAT1/B3GAT3/B3GNT3/B4GALT1/B4GALT2/B4GALT7/BIK/BPNT1/CAPN5/CASP6/CD44/CDK1/CENPA/CHPF/CHPF2/CHST1/CHST2/CHST4/CHST6/CITED2/CLN6/COG2/COL5A1/CTH/CXCR4/CYB5A/DCN/DEPDC1/DLD/DPYSL4/DSC2/ECD/EFNA3/EGFR/EGLN3/ENO1/ENO2/FAM162A/FKBP4/G6PD/GAL3ST1/GCLC/GFUS/GLRX/GMPPA/GMPPB/GNE/GNPDA1/GOT1/GOT2/GPC1/GPC3/GPC4/GUSB/GYS1/GYS2/HAX1/HK2/HMMR/HOMER1/HS6ST2/HSPA5/IDH1/IDUA/IER3/IGFBP3/IL13RA1/IRS2/KDELR3/KIF20A/KIF2A/LDHA/LHPP/LHX9/ME1/ME2/MED24/MIOX/MPI/MXI1/NANP/NASP/NDST3/NOL3/NSDHL/NT5E/P4HA1/P4HA2/PAXIP1/PC/PFKFB1/PFKP/PGAM1/PGK1/PGM2/PHKA2/PKM/PKP2/POLR3K/PPFIA4/PPIA/PPP2CB/PSMC4/PYGB/PYGL/RARS1/RBCK1/RRAGD/SAP30/SDC1/SDC2/SDC3/SLC16A3/SLC25A13/SLC35A3/SLC37A4/SOD1/SOX9/SPAG4/STC1/STC2/STMN1/TALDO1/TGFA/TKTL1/TPST1/TXN/UGP2/VCAN/VLDLR/XYLT2/ZNF292
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.00691646140203846	0.0691646140203847	NA	0.181028114167983	153	AADAT/ACAA1/ACAA2/ACADL/ACADM/ACADS/ACADVL/ACAT2/ACOT2/ACOT8/ACOX1/ACSL1/ACSL4/ACSM3/ACSS1/ADH1C/ADIPOR2/ADSL/ALAD/ALDH3A1/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/AUH/BCKDHB/BLVRA/BMPR1B/BPHL/CA2/CA4/CBR1/CBR3/CD1D/CD36/CEL/CIDEA/CPOX/CPT2/CRAT/CYP4A11/CYP4A22/DECR1/DLD/DLST/ECH1/ECHS1/EHHADH/ENO2/ENO3/EPHX1/ERP29/ETFDH/FABP1/FASN/FMO1/G0S2/GABARAPL1/GCDH/GLUL/GPD1/GPD2/GRHPR/GSTZ1/H2AZ1/HADH/HADHB/HAO2/HIBCH/HMGCL/HMGCS2/HPGD/HSD17B10/HSD17B11/HSD17B4/HSD17B7/HSDL2/HSP90AA1/HSPH1/IDH1/IDH3G/IL4I1/INMT/LDHA/LGALS1/MAOA/MCEE/ME1/MGLL/MLYCD/NBN/NCAPH2/NSDHL/NTHL1/OSTC/PCBD1/PDHB/PPARA/PSME1/PTPRG/PTS/RDH11/RDH16/REEP6/RETSAT/S100A10/SDHD/SERINC1/SLC22A5/SMS/SUCLA2/SUCLG1/SUCLG2/TDO2/TP53INP2/UBE2L6/VNN1/YWHAH
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.0113331990205471	0.0944433251712254	NA	0.207314805688259	101	ABCB4/ABCB9/ABCC5/ABCC8/ABCD1/ABCD2/ABCD3/ACAA1/ACOT8/ACOX1/ACSL1/ACSL4/ALB/ALDH9A1/BCL10/CAT/CDK7/CEL/CLN6/CLN8/CNBP/CRABP2/CRAT/CTBP1/CTPS1/DHRS3/DIO1/ECH1/EHHADH/EPHX2/ERCC3/FABP6/FDPS/GNPAT/HAO2/HMGCL/HRAS/HSD11B2/HSD17B11/HSD17B4/IDH1/IDH2/ISOC1/ITGB1BP1/LONP2/MLYCD/MSH2/MVP/NR1I2/PABPC1/PEX11A/PEX11B/PEX13/PEX14/PEX2/PEX6/PRDX1/RDH11/RETSAT/RXRG/SCP2/SEMA3C/SERPINA6/SIAH1/SLC25A17/SLC25A19/SLC25A4/SLC27A2/SLC35B2/SMARCC1/SOD1/SOD2/STS/SULT2B1/TOP2A/TSPO/TTR/UGT2B17/VPS4B/YWHAH
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.0183956655227393	0.128723486360505	NA	0.138341715066432	196	ABL1/AMD1/ARID4A/ATF5/AURKA/AURKB/BARD1/BCL3/BIRC5/BRCA2/BUB1/BUB3/CASP8AP2/CBX1/CCNA2/CCNB2/CCNF/CDC20/CDC25A/CDC25B/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CUL3/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F2/E2F3/E2F4/EGF/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/GINS2/GSPT1/H2AX/H2AZ1/H2AZ2/H2BC12/HMGA1/HMGN2/HMMR/HNRNPU/HUS1/ILF3/INCENP/JPT1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIF5B/KNL1/KPNA2/KPNB1/LBR/LIG3/LMNB1/MAD2L1/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MNAT1/MT2A/MTF2/MYBL2/MYC/NASP/NCL/NDC80/NEK2/NSD2/NUP98/ORC6/PAFAH1B1/PBK/PLK1/PLK4/PML/POLA2/POLQ/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD21/RAD23B/RAD54L/RASAL2/RBL1/RBM14/RPA2/SAP30/SFPQ/SLC38A1/SLC7A1/SMAD3/SMARCC1/SMC2/SMC4/SNRPD1/SQLE/SRSF2/SS18/STIL/STMN1/SUV39H1/TACC3/TMPO/TNPO2/TOP2A/TPX2/TRAIP/TROAP/TTK/UBE2C/UBE2S/UCK2/UPF1/XPO1/YTHDC1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.0205957578176807	0.128723486360505	NA	0.135940224639445	195	ABCA1/ACKR3/AREG/ATF3/B4GALT1/B4GALT5/BCL3/BHLHE40/BIRC2/BIRC3/BTG1/BTG2/BTG3/CCL2/CCL20/CCL4/CCN1/CCNL1/CD44/CD69/CD83/CDKN1A/CEBPB/CEBPD/CFLAR/CSF1/CXCL11/CXCL2/CXCL6/DENND5A/DRAM1/DUSP1/DUSP2/DUSP4/DUSP5/EDN1/EFNA1/EGR1/EGR2/EGR3/ETS2/F3/FOS/FOSB/FOSL1/G0S2/GADD45A/GADD45B/GCH1/GEM/GPR183/HBEGF/HES1/ICAM1/ID2/IER2/IER3/IER5/IFIH1/IFIT2/IFNGR2/IL15RA/IL1B/IL6/IL6ST/IL7R/INHBA/IRF1/IRS2/JAG1/JUN/JUNB/KDM6B/KLF10/KLF4/KLF6/KLF9/KYNU/LAMB3/LDLR/MAFF/MAP2K3/MAP3K8/MARCKS/MCL1/MSC/MYC/NAMPT/NFE2L2/NFIL3/NFKB1/NFKB2/NFKBIA/NFKBIE/NR4A1/NR4A2/NR4A3/OLR1/PDE4B/PDLIM5/PER1/PFKFB3/PHLDA1/PLAU/PLAUR/PLK2/PLPP3/PMEPA1/PNRC1/PPP1R15A/PTGS2/RCAN1/REL/RELB/RHOB/RIPK2/SAT1/SDC4/SERPINB8/SERPINE1/SGK1/SIK1/SLC2A3/SLC2A6/SMAD3/SOCS3/SOD2/SPHK1/SPSB1/SQSTM1/TANK/TAP1/TIPARP/TLR2/TNF/TNFAIP2/TNFRSF9/TNFSF9/TNIP2/TRAF1/TRIB1/TRIP10/TSC22D1/YRDC/ZBTB10/ZC3H12A/ZFP36
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.0328853144095221	0.182696191164011	NA	0.149934345066414	134	A2M/ACOX2/ADAM9/ANG/APOA1/APOC2/APOC3/C1R/C1S/C3/C8A/C8B/C9/CAPN2/CAPN5/CASP9/CFD/CFH/CFI/CLU/COMP/CPB2/CPN1/CPQ/CSRP1/CTSB/CTSE/CTSK/CTSO/CTSV/DPP4/DUSP14/DUSP6/F11/F12/F2/F3/F8/F9/FBN1/FGA/FGG/FURIN/FYN/GDA/GNG12/GP1BA/GSN/HMGCS2/HPN/HRG/ITGA2/ITGB3/ITIH1/KLF7/KLKB1/LGMN/LRP1/LTA4H/MAFF/MASP2/MBL2/MEP1A/MMP1/MMP10/MMP11/MMP14/MMP3/MMP8/MMP9/MST1/OLR1/PDGFB/PECAM1/PF4/PLAU/PLG/PREP/PROC/PROS1/PROZ/RABIF/RAC1/RAPGEF3/RGN/S100A1/S100A13/SERPINA1/SERPINC1/SERPINE1/SERPING1/SH2B2/SIRT2/SPARC/TF/TFPI2/THBD/THBS1/TIMP3/TMPRSS6/USP11/VWF
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.0662447000459126	0.331223500229563	NA	0.116176969818015	156	ACAA1/AGO2/ALAS1/ALDOA/AMD1/AQP3/ASNS/ATF3/ATP6V1C1/ATP6V1F/BAK1/BSG/BTG1/BTG2/BTG3/CA2/CASP3/CCK/CCNE1/CDC5L/CDK2/CDKN1C/CDKN2B/CDO1/CHKA/CHRNA5/CLCN2/COL2A1/CTSV/CXCL2/CYB5B/CYB5R1/DNAJA1/E2F5/EIF2S3/EIF5/ENO2/EPCAM/EPHX1/FEN1/FGF18/FKBP4/FMO1/FOS/FOSB/FURIN/GAL/GCH1/GGH/GLS/GRINA/GRPEL1/H2AX/HLA-F/HMOX1/HNRNPU/HSPA2/HTR7/ICAM1/IL6/IL6ST/IRF1/JUNB/KCNH2/KLHDC3/LHX2/MAOA/MAPK8IP2/MARK2/MGAT1/MMP14/MSX1/NAT1/NFKBIA/NR4A1/NTRK3/NXF1/OLFM1/PARP2/PDAP1/PLCL1/POLE3/POLG2/POLR2H/PPAT/PPIF/PPP1R2/PPT1/PRKACA/PRKCD/PRPF3/PTPRD/RAB27A/RET/RFC4/RHOB/RXRB/SHOX2/SLC25A4/SLC6A12/SLC6A8/SOD2/SQSTM1/STARD3/STIP1/STK25/SULT1A1/TAP1/TCHH/TFRC/TGFBRAP1/TMBIM6/TST/TYRO3/WIZ/YKT6
