pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.34449180763349746	0.817148802354552		0.10431495338136684	200	CD151;CS;TST;AIFM1;JAGN1;ANGPT1;CRAT;DNAJB9;GRPEL1;FABP4;LIFR;DRAM2;TANK;ACADM;COQ9;COX7B;BAZ2A;MCCC1;DNAJC15;SCP2;ITGA7;PEX14;MYLK;HADH;CPT2;IDH1;RETSAT;ATP5PO;MTCH2;HIBCH;ECHS1;GPD2;SNCG;COQ5;ELMOD3;UQCR11;PIM3;SLC1A5;ARAF;COQ3;PFKFB3;CDKN2C;SDHB;ACAA2;SPARCL1;ADIG;PTGER3;STOM;COX6A1;ACLY;CMBL;NKIRAS1;LIPE;RIOK3;COL4A1;ACADS;RMDN3;PEMT;DLD;ITSN1;SOWAHC;PPP1R15B;LAMA4;ME1;G3BP2;UQCRQ;RTN3;YWHAG;PRDX3;ORM1;ATP1B3;MTARC2;PLIN2;ANGPTL4;CD36;SUCLG1;SOD1;POR;AK2;ACOX1;MGLL;RAB34;SLC66A3;ABCA1;ITIH5;COL15A1;GPAT4;ADIPOR2;CAT;DBT;TKT;CAVIN2;CYC1;ALDOA;APLP2;CD302;RNF11;GPHN;GHITM;EPHX2;LPCAT3;HSPB8;LPL;NDUFA5;BCL2L13;ARL4A;SULT1A1;REEP5;PGM1;MIGA2;NMT1;CAVIN1;ADCY6;DECR1;SLC5A6;TALDO1;GBE1;MAP4K3;C3;FAH;ECH1;GADD45A;CMPK1;ACADL;NDUFAB1;QDPR;ALDH2;MRPL15;IDH3G;REEP6;SORBS1;PREB;VEGFB;ELOVL6;PPARG;SAMM50;DGAT1;PHYH
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.9994851674404688	0.9994851674404688		-0.6966030788779796	200	TRAF2;TAP2;IL2RG;ABI1;HDAC9;NCF4;LCP2;RPL39;PTPRC;IL1B;NPM1;MMP9;IKBKB;KLRD1;CCL11;HLA-DMA;DEGS1;CD4;CXCR3;EGFR;CD40;EIF5A;F2;EIF3D;IL11;ABCE1;THY1;F2R;IL2RA;CCND2;MTIF2;RARS1;RPS3A;IFNAR2;ELF4;CD3D;CCR1;BRCA1;CCL13;IRF8;ITK;IRF4;RIPK2;IRF7;MBL2;MAP3K7;CXCL9;LYN;RPL9;IFNGR2;INHBB;AARS1;FAS;CSF1;STAB1;NOS2;FCGR2B;CAPG;EIF4G3;GBP2;GCNT1;APBB1;FLNA;IL27RA;NME1;BCL3;INHBA;B2M;BCAT1;TPD52;CCL4;IL18RAP;EREG;TLR2;HLA-A;GLMN;ICAM1;IL7;HLA-DOB;IL4R;CD1D;TAP1;CCL2;CD7;PRKCB;SOCS5;BCL10;SOCS1;TLR3;CDKN2A;TAPBP;IL12A;LTB;FGR;IL2RB;HLA-G;IL10;SRGN;HCLS1;RPS19;IL6;CFP;GPR65;GALNT1;UBE2D1;NLRP3;ETS1;TGFB2;UBE2N;ACVR2A;PF4;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.36262688173755075	0.817148802354552		0.13740351528549738	101	CENPN;BMPR1B;UBE2I;ANKH;TMEM50A;ELL2;ITGAV;H1-0;PTPN21;SEC24D;PMEPA1;XRCC6;PLPP1;ABCC4;RAB4A;DBI;DNAJB9;PTK2B;LIFR;ZBTB10;SLC38A2;UAP1;ABHD2;KLK3;HPGD;RRP12;LMAN1;AKAP12;NGLY1;MAF;SRP19;MAK;PIAS1;IQGAP2;SPDEF;PDLIM5;CDC14B;SMS;STK39;SELENOP;SPCS3;INPP4B;NKX3-1;B2M;GPD1L;PA2G4;NCOA4;TPD52;FADS1;STEAP4;ADRM1;SAT1;TMPRSS2;AZGP1;B4GALT1;SGK1;INSIG1;CDK6;ADAMTS1;KLK2;KRT19;SORD;MAP7;ALDH1A3;NDRG1;SLC26A2;ELK4;RPS6KA3;GSR;ZMIZ1;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.48568425093341694	0.8994152795063276		0.09001457931350866	36	APOH;ITGAV;POSTN;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;JAG1;SERPINA5;TNFRSF21;THBD;OLR1;APP;VTN;COL5A2;KCNJ8;PDGFA;VCAN;MSX1;JAG2;PF4;LPL;CCND2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.9202343045444534	0.9994851674404688		-0.3001378324243421	200	CDH8;TAOK2;BAIAP2;KCNH2;JAM3;SYMPK;NECTIN1;CRAT;ACTA1;CERCAM;PTPRC;VWF;MAP4K2;MMP9;SLIT2;CDH1;INPPL1;NECTIN3;CLDN7;HRAS;MPZL1;GTF2F1;EGFR;SHC1;HADH;THBS3;MSN;PLCG1;COL9A1;SPEG;SDC3;CLDN18;GRB7;ITGB4;LAMB3;SHROOM2;THY1;CD34;MYH9;CNTN1;RHOF;PTK2;PIK3R3;MADCAM1;CDH6;TSC1;FSCN1;ADAM15;VCAM1;CLDN19;GNAI1;MVD;CLDN4;MYH10;CTNNA1;ALOX15B;PKD1;ACTC1;VCAN;YWHAH;NEGR1;ITGA10;CDH11;COL16A1;TMEM8B;ACTN2;EXOC4;SIRPA;IKBKG;PARVA;PARD6G;LAYN;ADAM9;ADAM23;STX4;ADRA1B;MMP2;NECTIN4;DHX16;AKT2;SORBS3;PCDH1;ICAM5;B4GALT1;ARPC2;ITGA2;PPP2R2C;INSIG1;AMH;TNFRSF11B;PBX2;ICAM1;LAMA3;GNAI2;GAMT;PECAM1;ACTG2;LDLRAP1;TRAF1;CD274;NF2;MAPK13;PTEN;ITGA3;CADM3;RRAS;NRAP;CLDN15;ITGA9;SRC;FLNC;MDK;WNK4;CALB2;MAPK11;TSPAN4;NLGN2;SLC30A3;TUBG1;FBN1;ACTN4;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.37588844908309393	0.817148802354552		0.21736548726563484	44	GSTM3;TMEM8B;IL2RG;PCSK9;CRYBG1;BRCA1;GATA3;RTN4RL1;IL2RB;SRPX;ADIPOR2;AKAP7;APP;CROCC;DCBLD2;SCUBE1;MDGA1;CD160;SLC22A12;LYPD3;ATP8B1;ADAM10;B4GALT1;HSPB1;LYN;NCOA6;SHROOM2;SULF2;THY1;GHRL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.7225228209932493	0.9994851674404688		-0.12961259050347687	161	IER3;CASP6;PPP2R5B;ANKH;SPTAN1;GSN;NEFH;DFFA;RHOT2;LMNA;CFLAR;DPYD;GCH1;IL1B;BAX;GUCY2D;CASP7;ERBB3;CASP2;HGF;RETSAT;AIFM3;AVPR1A;F2;SAT1;PLPPR4;LGALS3;TSPO;MCL1;TIMP3;SOD2;PLCB2;F2R;IRF1;GSR;CCND2;BMF;PEA15;LEF1;CTH;PTK2;BRCA1;VDAC2;ATF3;DDIT3;TOP2A;DIABLO;CASP4;CASP3;HMOX1;PAK1;CAV1;MGMT;BIK;GADD45B;JUN;SMAD7;BTG3;FAS;SATB1;PSEN2;DAP3;DNM1L;H1-0;SOD1;WEE1;EGR3;CD69;BTG2;MMP2;BGN;DCN;PPT1;SLC20A1;BCAP31;CASP8;EREG;HSPB1;SC5D;TXNIP;BIRC3;CDC25B;BID;TAP1;CLU;RHOB;ADD1;CYLD;SQSTM1;BCL10;TNFSF10;CDK2;EMP1;GSTM1;APP;GADD45A;IL6;CD14;ENO2;PDGFRB;FEZ1;BNIP3L;HMGB2;TGFB2;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.5041429971005364	0.9002553519652435		0.019891802103302728	112	BBOX1;ABCD3;NR3C2;PNPLA8;ISOC1;SCP2;IDH1;RETSAT;FADS1;MLYCD;CYP8B1;TFCP2L1;SLC35B2;SLC27A2;CYP7A1;NR1H4;GNMT;GNPAT;LIPE;SERPINA6;PXMP2;ABCD1;AR;OPTN;NPC1;ABCA3;DIO1;AKR1D1;HAO1;CYP7B1;AMACR;ABCA9;PAOX;NUDT12;ALDH9A1;SOD1;TTR;ABCG8;SLC27A5;ABCA1;HSD17B4;CYP46A1;PEX6;CAT;RXRG;ABCA8;CYP39A1;EPHX2;ACSL1;PIPOX;IDH2;PFKM;CYP27A1;NR1I2;APOA1;LONP2;SULT2B1;PEX13;SOAT2;ALDH8A1;GC;NR0B2;SLC29A1;EFHC1;HSD17B6;PEX11G;SULT1B1;PEX11A;PECR;DIO2;HSD17B11;AGXT;ABCA6;ABCA4;ABCD2;PHYH;PEX7
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.6012282440370798	0.9697229742533544		-0.05856415439062726	74	FASN;GPX8;SQLE;ATF5;CLU;LGMN;S100A11;FDPS;CBS;STARD4;LDLR;FDFT1;ACAT2;GLDC;NIBAN1;ERRFI1;PMVK;ATF3;FBXO6;JAG1;HSD17B7;GNAI1;MVD;CPEB2;ANXA5;NSDHL;ETHE1;ECH1;ADH4;GUSB;SREBF2;NFIL3;AVPR1A;MAL2;PNRC1;SC5D;ALCAM;LGALS3;FABP5;ATXN2;ALDOC;ANXA13;ANTXR2;ACSS2;CHKA;PPARG;SEMA3B;PLSCR1;LPL;MVK;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.11558218232805464	0.48159242636689437		0.35455372526199197	138	TF;GSN;MAFF;F12;FURIN;MMP3;APOC3;VWF;SH2B2;CAPN5;MMP9;MMP14;SPARC;APOC2;THBS1;FGG;CFH;F2;TIMP3;TMPRSS6;MST1;CAPN2;MEP1A;PROC;PROS1;LTA4H;ITGB3;CTSO;LGMN;SERPING1;CFI;PLAU;CFD;HPN;MMP7;S100A13;RGN;THBD;MBL2;CPQ;RAC1;C1S;CTSV;COMP;S100A1;C9;HMGCS2;PROZ;USP11;KLKB1;RAPGEF3;F3;CPB2;PREP;MMP11;F11;ADAM9;CTSB;OLR1;CPN1;PLG;MMP2;C8B;ITGA2;GNG12;RABIF;FGA;DUSP14;DUSP6;APOA1;CLU;CTSE;PECAM1;SERPINA1;CSRP1;GDA;SERPINC1;MMP1;C1R;HRG;DPP4;FYN;MASP2;C3;PDGFB;ANG;ACOX2;ITIH1;SERPINE1;CTSK;TFPI2;FBN1;MMP10;PF4;LRP1;C8A;F9;A2M;F8;DCT
