pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	3.65344578953868e-08	1.82672289476934e-06	NA	0.331052550951396	199	AK2/ANP32E/ASF1A/ASF1B/ATAD2/AURKA/AURKB/BARD1/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CBX5/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1A/CDKN1B/CDKN2A/CDKN2C/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EED/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/GSPT1/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMMR/HUS1/ILF3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LBR/LIG1/LMNB1/LUC7L3/LYAR/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MMS22L/MRE11/MSH2/MXD3/MYBL2/MYC/NAP1L1/NASP/NCAPD2/NME1/NOP56/NUDT21/NUP107/NUP205/ORC2/ORC6/PA2G4/PAICS/PCNA/PHF5A/PLK1/PLK4/PMS2/POLA2/POLD1/POLD2/POLD3/POLE4/PRDX4/PRIM2/PRKDC/PRPS1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD50/RAD51AP1/RAD51C/RAN/RBBP7/RFC1/RFC2/RFC3/RPA2/RRM2/SHMT1/SLBP/SMC3/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF2/SSRP1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TOP2A/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/USP1/WDR90/WEE1/XPO1/XRCC6
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.000106976849364653	0.00267442123411632	NA	0.290153268954925	134	A2M/ACOX2/ADAM9/ANG/APOA1/APOC1/APOC3/C1QA/C1R/C1S/C2/C3/C8A/C8B/C8G/C9/CAPN2/CAPN5/CD9/CFB/CFD/CFH/CFI/CLU/CPB2/CPN1/CPQ/CSRP1/CTSB/CTSO/CTSV/DCT/DUSP14/DUSP6/F10/F11/F12/F13B/F2/F2RL2/F3/F8/F9/FGA/FGG/FN1/FURIN/FYN/GDA/GNG12/GP1BA/GSN/HMGCS2/HPN/HRG/ITGA2/ITGB3/ITIH1/KLF7/KLKB1/LGMN/LRP1/MAFF/MASP2/MBL2/MEP1A/MMP1/MMP10/MMP11/MMP14/MMP15/MMP7/MMP8/MMP9/MSRB2/MST1/P2RY1/PDGFB/PECAM1/PF4/PLAU/PLEK/PLG/PREP/PROC/PROS1/PROZ/RABIF/RAC1/RAPGEF3/RGN/S100A1/SERPINA1/SERPINC1/SERPINE1/SERPING1/SH2B2/SIRT2/SPARC/TF/TFPI2/THBD/THBS1/TIMP1/TIMP3/TMPRSS6/USP11/VWF
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.000644577530363098	0.010742958839385	NA	0.215463803629901	196	ABHD6/ACOX1/ACOX2/ACOX3/ACP2/ADH1C/ADH5/ADH7/AKR1C3/ALAS1/ALDH2/ALDH3A1/ALDH9A1/ANGPTL3/AOX1/AP4B1/AQP9/ARG1/ARG2/ASL/ATOH8/ATP2A2/BCAT1/BLVRB/BPHL/CA2/CASP6/CAT/CCL25/CD36/CDA/CDO1/CES1/CFB/CNDP2/COMT/CRP/CSAD/CYB5A/CYFIP2/CYP17A1/CYP1A1/CYP1A2/CYP26A1/CYP27A1/CYP2C18/CYP2E1/CYP2J2/CYP4F2/DCXR/DDAH2/DDC/DHPS/DHRS1/ECH1/ENPEP/ENTPD5/EPHA2/ESR1/ETFDH/ETS2/F10/F11/FABP1/FAH/FAS/FBP1/FETUB/FMO3/GABARAPL1/GAD1/GCH1/GCKR/GCLC/GCNT2/GNMT/HACL1/HES6/HGFAC/HMOX1/HRG/HSD11B1/HSD17B2/ID2/IDH1/IGF1/IGFBP1/IGFBP4/IL1R1/IRF8/ITIH1/ITIH4/KYNU/LCAT/LEAP2/LPIN2/MAN1A1/MAOA/MBL2/MCCC2/MT2A/MTHFD1/NDRG2/NFS1/NPC1/NQO1/PAPSS2/PC/PDK4/PDLIM5/PEMT/PGRMC1/PINK1/PLG/PMM1/POR/PPARD/PROS1/PTGES/PTGES3/PTGR1/PTS/RBP4/REG1A/RETSAT/SAR1B/SERPINA6/SERPINE1/SERTAD1/SHMT2/SLC22A1/SLC35B1/SLC35D1/SLC46A3/SLC6A12/SMOX/SPINT2/SSR3/TAT/TDO2/TKFC/TMBIM6/TMEM176B/TNFRSF1A/TPST1/TTPA/UPB1/VNN1/VTN/XDH
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.00264056277273856	0.033007034659232	NA	0.214331834139981	153	AADAT/ACAA1/ACAA2/ACADL/ACADM/ACADS/ACADVL/ACAT2/ACOT2/ACOT8/ACOX1/ACSL1/ACSL4/ACSL5/ACSM3/ADH1C/ADH7/ADIPOR2/ADSL/ALAD/ALDH3A1/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/AUH/BCKDHB/BLVRA/BMPR1B/BPHL/CA2/CA4/CBR3/CD1D/CD36/CEL/CIDEA/CPOX/CPT1A/CPT2/CRAT/CRYZ/CYP1A1/CYP4A11/CYP4A22/DECR1/DHCR24/DLD/DLST/ECH1/ECHS1/ECI1/ECI2/EHHADH/ENO3/ERP29/ETFDH/FABP1/FASN/G0S2/GABARAPL1/GCDH/GLUL/GPD1/GPD2/GRHPR/GSTZ1/H2AZ1/HADH/HADHB/HAO2/HIBCH/HMGCL/HMGCS2/HPGD/HSD17B10/HSD17B11/HSD17B4/HSD17B7/HSDL2/HSP90AA1/HSPH1/IDH1/IDH3G/IL4I1/INMT/LDHA/MAOA/MCEE/MGLL/MLYCD/NCAPH2/NTHL1/OSTC/PCBD1/PDHB/PPARA/PTPRG/PTS/RDH11/RDH16/REEP6/RETSAT/S100A10/SDHA/SDHD/SERINC1/SLC22A5/SUCLA2/SUCLG1/SUCLG2/TDO2/TP53INP2/UBE2L6/VNN1/YWHAH
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.00810577423300345	0.0810577423300345	NA	0.166554203148955	196	ABL1/AMD1/ARID4A/ATF5/AURKA/AURKB/BARD1/BCL3/BIRC5/BRCA2/BUB1/BUB3/CBX1/CCNA2/CCNB2/CCND1/CCNF/CDC20/CDC25A/CDC25B/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN1B/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CUL3/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F2/E2F3/E2F4/EFNA5/EGF/ESPL1/EWSR1/EXO1/EZH2/FANCC/GINS2/GSPT1/H2AX/H2AZ1/H2AZ2/HMGA1/HMMR/HNRNPU/HUS1/ILF3/INCENP/JPT1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIF5B/KNL1/KPNA2/KPNB1/LBR/LIG3/LMNB1/MAD2L1/MAP3K20/MARCKS/MCM2/MCM3/MCM5/MCM6/MKI67/MNAT1/MT2A/MYBL2/MYC/NASP/NCL/NDC80/NEK2/NOTCH2/NSD2/NUP50/NUP98/ORC6/PAFAH1B1/PBK/PLK1/PLK4/PML/POLA2/POLQ/PRIM2/PTTG1/PURA/RACGAP1/RAD21/RAD23B/RAD54L/RASAL2/RBL1/RBM14/RPA2/SAP30/SFPQ/SLC12A2/SLC7A1/SMAD3/SMARCC1/SMC2/SMC4/SNRPD1/SQLE/SRSF2/SS18/STIL/STMN1/SUV39H1/TACC3/TNPO2/TOP2A/TPX2/TRAIP/TROAP/TTK/UBE2C/UBE2S/UCK2/UPF1/XPO1/YTHDC1
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0155280433158502	0.129400360965418	NA	0.209930015192335	101	ABCB1/ABCB4/ABCB9/ABCC5/ABCD1/ABCD3/ACAA1/ACOT8/ACOX1/ACSL1/ACSL4/ACSL5/ALB/ALDH9A1/BCL10/CAT/CDK7/CEL/CLN6/CLN8/CNBP/CRAT/CTBP1/CTPS1/DHCR24/DHRS3/DIO1/ECH1/ECI2/EHHADH/EPHX2/ERCC3/FABP6/FDPS/GNPAT/HAO2/HMGCL/HRAS/HSD17B11/HSD17B4/HSD3B7/IDH1/IDH2/ISOC1/ITGB1BP1/LONP2/MLYCD/MSH2/NR1I2/PABPC1/PEX11A/PEX11B/PEX13/PEX14/PEX2/PEX6/RDH11/RETSAT/SCP2/SEMA3C/SERPINA6/SIAH1/SLC23A2/SLC25A17/SLC25A19/SLC25A4/SLC27A2/SLC35B2/SMARCC1/SOD1/SOD2/STS/TOP2A/TTR/UGT2B17/VPS4B/YWHAH
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0188725129223949	0.134803663731392	NA	0.195034675071494	110	ABCA1/ABCA3/ABCA4/ABCA6/ABCA8/ABCA9/ABCD1/ABCD3/ABCG4/ABCG8/ACSL1/ACSL5/AGXT/AKR1D1/ALDH8A1/ALDH9A1/APOA1/AQP9/AR/BBOX1/BMP6/CAT/CH25H/CYP27A1/CYP39A1/CYP46A1/CYP7B1/CYP8B1/DHCR24/DIO1/DIO2/EFHC1/EPHX2/GC/GCLM/GNMT/GNPAT/HACL1/HAO1/HSD17B11/HSD17B4/HSD17B6/HSD3B1/HSD3B7/IDH1/IDH2/ISOC1/LONP2/MLYCD/NPC1/NR0B2/NR1H4/NR1I2/NR3C2/NUDT12/OPTN/PECR/PEX1/PEX11A/PEX11G/PEX12/PEX13/PEX16/PEX19/PEX6/PEX7/PHYH/PIPOX/PNPLA8/PXMP2/RBP1/RETSAT/SCP2/SERPINA6/SLC23A2/SLC27A2/SLC27A5/SLC29A1/SLC35B2/SLCO1A2/SOD1/SULT1B1/TTR
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0305316567818815	0.190822854886759	NA	0.133575995898411	195	ABCA1/AREG/ATF3/B4GALT1/B4GALT5/BCL2A1/BCL3/BHLHE40/BIRC2/BMP2/BTG1/BTG2/BTG3/CCL2/CCL20/CCL4/CCL5/CCN1/CCND1/CCNL1/CD69/CD83/CDKN1A/CEBPB/CEBPD/CFLAR/CXCL1/CXCL2/CXCL3/CXCL6/DENND5A/DNAJB4/DRAM1/DUSP1/DUSP2/DUSP5/EDN1/EGR1/EGR2/EGR3/ETS2/F2RL1/F3/FOS/FOSB/FOSL1/G0S2/GADD45A/GADD45B/GCH1/GEM/GFPT2/GPR183/HBEGF/HES1/ICAM1/ID2/IER2/IER3/IER5/IFIH1/IL15RA/IL18/IL1B/IL6/IL6ST/IL7R/INHBA/IRF1/IRS2/JUN/JUNB/KDM6B/KLF10/KLF2/KLF4/KLF6/KLF9/KYNU/LDLR/MAFF/MAP2K3/MARCKS/MCL1/MYC/NAMPT/NFE2L2/NFIL3/NFKB1/NFKB2/NFKBIA/NR4A1/NR4A2/NR4A3/PANX1/PDE4B/PDLIM5/PER1/PFKFB3/PHLDA1/PLAU/PLAUR/PLEK/PLK2/PLPP3/PNRC1/PPP1R15A/PTGER4/PTGS2/RCAN1/REL/RELB/RHOB/RIPK2/RNF19B/SAT1/SDC4/SERPINB8/SERPINE1/SGK1/SIK1/SLC2A3/SMAD3/SOCS3/SOD2/SPSB1/SQSTM1/TANK/TAP1/TIPARP/TLR2/TNF/TNIP2/TRAF1/TRIB1/TRIP10/TSC22D1/YRDC/ZBTB10/ZC3H12A/ZFP36
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0543088707107644	0.301715948393135	NA	0.115928130078987	196	ACTN2/ADAM9/ADRA2B/ANG/APOA4/APOBEC3F/APOC1/ATOX1/BRPF3/C1QA/C1QC/C1R/C1S/C2/C3/C9/CA2/CALM1/CALM3/CASP1/CASP3/CASP4/CASP7/CCL5/CD36/CD46/CD55/CDA/CDH13/CDK5R1/CEBPB/CFB/CFH/CLU/COL4A2/CP/CPM/CPQ/CR1/CSRP1/CTSB/CTSC/CTSL/CTSO/CTSS/CTSV/CXCL1/DGKH/DOCK10/DUSP5/DUSP6/DYRK2/F10/F2/F3/F7/F8/FCER1G/FCN1/FDX1/FN1/FYN/GATA3/GCA/GMFB/GNAI2/GNAI3/GNB4/GNG2/GNGT2/GP1BA/GPD2/GRB2/GZMA/GZMK/HSPA1A/HSPA5/IL6/IRF1/IRF2/IRF7/ITIH1/KCNIP2/KIF2A/KLKB1/KYNU/L3MBTL4/LAP3/LCP2/LGMN/LIPA/LRP1/MAFF/MMP12/MMP14/MMP15/MMP8/MSRB1/MT3/NOTCH4/PCLO/PDGFB/PHEX/PIK3CA/PIK3R5/PIM1/PLA2G4A/PLAUR/PLEK/PLG/PLSCR1/PPP2CB/PRCP/PRDM4/PREP/PRKCD/PRSS3/PRSS36/RABIF/RAF1/RCE1/RNF4/S100A12/S100A9/SERPINA1/SERPINC1/SERPINE1/SERPING1/SH2B3/SIRT6/SRC/STX4/TFPI2/TIMP1/TIMP2/TMPRSS6/USP14/USP15/XPNPEP1/ZFPM2
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0660987028510125	0.330493514255062	NA	0.123307660444585	156	ABCB1/ACAA1/AGO2/ALAS1/ALDOA/AMD1/APOM/AQP3/ASNS/ATF3/ATP6V1C1/ATP6V1F/BAK1/BMP2/BSG/BTG1/BTG2/BTG3/CA2/CASP3/CCK/CCNE1/CDK2/CDKN1C/CDKN2B/CDO1/CHKA/CHRNA5/CLCN2/COL2A1/CTSV/CXCL2/CYB5R1/CYP1A1/DNAJA1/E2F5/EIF2S3/EIF5/EPCAM/FEN1/FKBP4/FOS/FOSB/FURIN/GCH1/GGH/GLS/GRINA/GRPEL1/H2AX/HLA-F/HMOX1/HNRNPU/HTR7/ICAM1/IGFBP2/IL6/IL6ST/IRF1/JUNB/KLHDC3/LHX2/MAOA/MAPK8IP2/MARK2/MGAT1/MMP14/MSX1/NAT1/NFKBIA/NPTX2/NR4A1/NTRK3/NXF1/OLFM1/PARP2/PDAP1/PLCL1/POLG2/POLR2H/PPAT/PPIF/PPP1R2/PRKACA/PRKCD/PRPF3/PTPRD/RAB27A/RET/RFC4/RHOB/RXRB/SELENOW/SHOX2/SLC25A4/SLC6A12/SLC6A8/SOD2/SQSTM1/STARD3/STIP1/STK25/SULT1A1/TAP1/TARS1/TCHH/TFRC/TMBIM6/TST/TYRO3/WIZ/YKT6
