pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.9768284141316362	0.9967636878894247		-0.434419927339262	200	CD151;CS;NDUFS3;AIFM1;GPX4;ANGPT1;SLC19A1;CRAT;GRPEL1;FABP4;LIFR;IFNGR1;COQ9;DLAT;BAZ2A;SDHC;CHCHD10;SCP2;PEX14;MYLK;IDH1;RETSAT;ESRRA;MTCH2;GPAM;HIBCH;ECHS1;GPD2;SNCG;COQ5;ELMOD3;SSPN;SLC1A5;GPX3;COQ3;PFKFB3;CDKN2C;IMMT;RETN;CCNG2;BCL6;ACAA2;SPARCL1;STOM;COX6A1;ACLY;CMBL;NKIRAS1;ETFB;ENPP2;CYP4B1;ACADS;PTCD3;RMDN3;DLD;ITSN1;SOWAHC;UQCRC1;LAMA4;ME1;UCP2;UQCRQ;ATL2;YWHAG;ABCB8;PRDX3;ORM1;ATP1B3;MTARC2;PLIN2;MDH2;ANGPTL4;CD36;SOD1;AK2;MGLL;RAB34;ABCA1;ITIH5;SLC25A10;COL15A1;GPAT4;ADIPOR2;CAT;TKT;FZD4;IDH3A;CAVIN2;CYC1;ALDOA;RREB1;APLP2;CD302;RNF11;EPHX2;LPCAT3;HSPB8;LPL;SULT1A1;REEP5;PGM1;PHLDB1;ESYT1;MIGA2;NMT1;COX8A;NABP1;SLC25A1;CAVIN1;SLC5A6;TALDO1;MAP4K3;GADD45A;STAT5A;PDCD4;ACADL;LTC4S;NDUFAB1;QDPR;ALDH2;MRPL15;IDH3G;REEP6;SORBS1;PREB;ELOVL6;PPARG;DGAT1;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.38826664787689313	0.6262365288336986		0.08009965708416843	200	TRAF2;IL18;WAS;ST8SIA4;HDAC9;NCF4;LCP2;RPL39;IFNGR1;HLA-DRA;PTPRC;IL1B;NPM1;MMP9;IKBKB;CD247;CCL11;CCL19;KLRD1;HLA-DMA;DEGS1;STAT1;CD4;CXCR3;KRT1;JAK2;EIF5A;F2;EIF3D;CD74;LY86;IL11;ABCE1;DYRK3;LIF;CD47;F2R;HLA-DMB;IL2RA;THY1;CCND2;CD86;MTIF2;IL15;RARS1;IFNAR2;ICOSLG;ELF4;CD3D;CCR1;BRCA1;CD8B;CD8A;SPI1;PRKCG;IRF8;IRF4;RIPK2;CCL22;CTSS;IRF7;MAP3K7;IL13;CXCL9;LYN;CRTAM;ZAP70;SIT1;PTPN6;STAT4;IFNGR2;INHBB;CD96;AARS1;FAS;CXCL13;CSF1;ACHE;NOS2;CAPG;EIF4G3;PRF1;RPL3L;GCNT1;APBB1;FLNA;IL27RA;TLR6;NME1;IL12B;INHBA;B2M;BCAT1;MRPL3;IL16;C2;TPD52;IL18RAP;EREG;TLR2;GLMN;ITGAL;ICAM1;IL7;HLA-E;HLA-DOA;IL4R;TAP1;CCL2;TIMP1;FASLG;DARS1;CD7;PRKCB;SOCS5;TLR3;CDKN2A;CD28;CD40LG;CCL7;HLA-DQA1;LTB;FGR;IGSF6;IL12RB1;SRGN;HCLS1;RPS19;IL6;CCND3;CFP;GPR65;GALNT1;TGFB1;UBE2D1;NLRP3;ETS1;TGFB2;IFNG;CD79A;PF4;NCR1;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.9318542469077238	0.9967636878894247		-0.43852714743148197	101	CAMKK2;CENPN;UBE2I;GUCY1A1;PGM3;ITGAV;PTPN21;H1-0;SEC24D;KRT8;PMEPA1;XRCC6;DHCR24;SCD;DBI;PTK2B;LIFR;ZBTB10;UAP1;ABHD2;KLK3;HPGD;RRP12;AKT1;HMGCS1;LMAN1;AKAP12;ARID5B;HMGCR;MAF;MYL12A;MAK;PIAS1;IQGAP2;SPDEF;SMS;TSC22D1;STK39;SELENOP;INPP4B;NKX3-1;B2M;GPD1L;PA2G4;NCOA4;TPD52;STEAP4;CCND3;ADRM1;TMPRSS2;AZGP1;B4GALT1;SGK1;IDI1;INSIG1;ADAMTS1;XRCC5;KRT19;SORD;MAP7;NDRG1;SLC26A2;HERC3;ELK4;GSR;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.13297493090611445	0.3343385394818596		0.7359714416571933	36	TIMP1;ITGAV;POSTN;FGFR1;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;SERPINA5;TNFRSF21;THBD;OLR1;CXCL6;VTN;COL5A2;KCNJ8;FSTL1;VEGFA;PDGFA;VCAN;VAV2;MSX1;LRPAP1;PGLYRP1;JAG2;PF4;LPL;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.12471242700644894	0.3343385394818596		0.2936705858412434	200	MPZL2;TAOK2;SGCE;BAIAP2;KCNH2;JAM3;SYMPK;NECTIN1;CRAT;NRXN2;ADAMTS5;CERCAM;CLDN11;COL17A1;PTPRC;PIK3CB;VWF;MAP4K2;MMP9;SLIT2;RASA1;CDH1;INPPL1;SYK;NECTIN3;CLDN7;NFASC;MPZL1;CLDN6;SHC1;THBS3;MSN;ZYX;ACTG1;PLCG1;TJP1;COL9A1;LAMC2;SPEG;CLDN18;GRB7;ITGB4;LAMB3;SHROOM2;THY1;CD34;MYH9;CD86;CNTN1;NECTIN2;CTNND1;NEXN;RHOF;CLDN9;PTK2;PIK3R3;CDH6;AKT3;FSCN1;ADAM15;AMIGO1;VCAM1;MVD;NF1;CLDN4;MYH10;PKD1;VCL;EVL;ACTC1;VCAN;VAV2;IRS1;VASP;YWHAH;JUP;NEGR1;CD99;TIAL1;ITGA10;COL16A1;AMIGO2;TMEM8B;TGFBI;ACTN2;EXOC4;SIRPA;CDK8;TRO;RAC2;CLDN5;PARVA;RSU1;LAYN;WASL;ADAM9;STX4;ADRA1B;NECTIN4;CDH15;DHX16;AKT2;SORBS3;ICAM5;B4GALT1;ARPC2;ITGA2;PPP2R2C;INSIG1;EPB41L2;AMH;ICAM1;DMP1;ARHGEF6;LAMA3;GNAI2;ATP1A3;GAMT;ACTG2;LDLRAP1;PECAM1;TRAF1;CLDN14;MAPK13;CD276;PTEN;MAP3K20;ICAM2;ITGA3;CADM3;RRAS;NRAP;ITGA9;NRTN;SRC;MYL12B;MDK;WNK4;CX3CL1;CALB2;MAPK11;TSPAN4;NLGN2;SLC30A3;TUBG1;ACTN4;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0353301050396008	0.22081315649750502		1.0828245435689277	44	GSTM3;TMEM8B;MAL;PCSK9;NTNG1;BRCA1;GATA3;EFNA5;GAS1;RTN4RL1;SRPX;ADIPOR2;PKHD1;AKAP7;DCBLD2;RHCG;SCUBE1;EPHB4;MDGA1;CD160;LYPD3;ATP8B1;ADAM10;PLAUR;B4GALT1;AFAP1L2;HSPB1;CX3CL1;LYN;ATP6V0A4;SLC2A4;NCOA6;SHROOM2;SULF2;THY1;SLC34A3;GHRL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.79473424677037	0.9967636878894247		-0.1918996824474944	161	IER3;CASP6;PPP2R5B;IL18;SPTAN1;GSN;GPX4;DFFA;RHOT2;LMNA;IFNGR1;BMP2;CFLAR;DPYD;IL1B;BAX;IL1A;ERBB3;CASP2;HGF;RETSAT;AIFM3;F2;LGALS3;TSPO;CASP1;MCL1;TIMP3;PLCB2;GPX3;F2R;IRF1;GSR;ERBB2;IGF2R;CCND2;BMF;PEA15;LEF1;CTH;ANXA1;PTK2;BCL2L2;BRCA1;ATF3;DDIT3;TOP2A;DIABLO;XIAP;KRT18;NEDD9;CASP3;HMOX1;PAK1;CAV1;FDXR;IGFBP6;TIMP2;BIK;GADD45B;JUN;SMAD7;FAS;SATB1;PSEN2;DAP3;DNM1L;H1-0;SOD1;PLAT;PRF1;ETF1;EGR3;CD69;BTG2;DCN;PPT1;SLC20A1;BCAP31;CASP8;RARA;EREG;HSPB1;SC5D;TXNIP;CDC25B;BCL2L10;BCL2L11;TAP1;ISG20;TIMP1;PMAIP1;RHOB;FASLG;ADD1;CYLD;SQSTM1;ROCK1;TNFSF10;CDK2;EMP1;CCNA1;DAP;GADD45A;IL6;PDCD4;ENO2;FEZ1;HMGB2;TGFB2;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.7213939652686862	0.9876704210070202		-0.1595333454502673	112	APOA1;LONP2;NR1H4;SULT2B1;NEDD4;SOD1;TTR;PEX13;GNMT;BBOX1;AQP9;DHCR24;CH25H;GC;SLC23A1;ABCG8;SLC27A5;HACL1;ALDH1A1;ACSL5;ABCA1;PEX26;HSD17B4;CYP46A1;NR0B2;ABCA2;SLC29A1;GNPAT;NR3C2;SERPINA6;PXMP2;SLC23A2;ABCD1;SCP2;GCLM;AR;PEX6;CAT;RXRG;HSD17B6;ABCA8;CYP39A1;HSD3B7;PEX11G;SULT1B1;PEX11A;NPC1;IDH1;ABCA3;RETSAT;PECR;DIO2;RXRA;PEX16;HSD17B11;MLYCD;ATXN1;FDXR;CYP8B1;RBP1;ABCA6;ABCA4;SLC35B2;EPHX2;NR1I2;ACSL1;SLC27A2;SLCO1A2;IDH2;IDI1;PEX1;AMACR;CYP27A1;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.9749909308732496	0.9967636878894247		-0.6610641555537728	74	GPX8;ATF5;S100A11;CBS;STARD4;LDLR;FDFT1;TRIB3;ACAT2;SCD;GLDC;NIBAN1;ERRFI1;PMVK;ATF3;ABCA2;FBXO6;HMGCS1;HMGCR;LSS;HSD17B7;MVD;CPEB2;ANXA5;NSDHL;LPL;ADH4;GUSB;SREBF2;NFIL3;ACTG1;MAL2;PNRC1;CXCL16;PLAUR;SC5D;CYP51A1;ALCAM;LGALS3;FABP5;ALDOC;ANXA13;PPARG;ACSS2;SEMA3B;IDI1;CD9
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.4760251114540199	0.721250168869727		0.03691011251026267	138	TF;GSN;MAFF;F12;FURIN;MMP3;GP1BA;VWF;SH2B2;CAPN5;MMP9;MMP14;PEF1;THBS1;F2;F2RL2;CRIP2;TIMP3;TMPRSS6;MST1;PROC;GP9;PROS1;LTA4H;ITGB3;CTSO;ANXA1;SERPING1;F10;PLAU;CFD;HPN;MMP7;S100A13;RGN;THBD;APOC1;CPQ;C1S;MMP8;CTSV;COMP;HNF4A;HMGCS2;PROZ;USP11;KLKB1;RAPGEF3;PLAT;CPB2;PREP;MMP11;F11;ADAM9;PLG;OLR1;SERPINB2;C8B;C2;CFB;ITGA2;RABIF;FGA;PLEK;KLF7;P2RY1;CD9;CTSH;LEFTY2;APOA1;TIMP1;ISCU;KLK8;ARF4;PECAM1;SERPINA1;CSRP1;C8G;GDA;SERPINC1;SIRT2;MMP1;C1QA;DPP4;FYN;MASP2;PDGFB;ANG;CTSK;TFPI2;PF4;MMP10;MMP15;LRP1;A2M;F8
