pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	8.01501912677486e-06	2.67167304225829e-05	-1.66815955600422	NA	194	FABP4;CAVIN2;CAT;CD36;ACADL;CAVIN1;ITIH5;LPL;RETN;GPX3;LPCAT3;MTARC2;ANGPT1;RMDN3;HSPB8;SPARCL1;SORBS1;PPARG;LIFR;CD302;CYP4B1;STOM;MYLK;SLC19A1;LTC4S;FZD4;QDPR;SULT1A1;ALDH2;ACAA2;STAT5A;ADIPOR2;IFNGR1;PGM1;RNF11;MGLL;LAMA4;SOWAHC;EPHX2;PLIN2;APLP2;ABCA1;ATP1B3
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0159591828135985	0.0241805800206038	-1.34802165876132	NA	195	FGR;HLA-E;APBB1;CFP;SPI1;LY86;CCND2;ITGAL;HLA-DOA;PF4;ETS1;TGFB2;SRGN;IRF8;GPR65;IL16;IFNGR1;CD4;HLA-DRA;JAK2;CCND3;CRTAM;PRF1;B2M;HLA-DQA1;CTSS;WAS;PTPRC;IL1B;CD74;TLR3;CD47;CD86;TLR2;HLA-DMA;CCR1;C2;NCR1;IL12RB1;PTPN6;KLRD1;ELANE;IL6;IGSF6;HCLS1;KRT1;HLA-DMB;PRKCB;NOS2;FLNA;TGFB1;LCP2;NCF4;IL15;FAS;ITGB2;ELF4;CSF1;IL7;IL18RAP;TLR1;NLRP3;CCL2;CD40LG;SOCS5;IL4R;CD40;IL18;CD247;ICAM1;DEGS1;IL13;ACVR2A;DYRK3;CD80;CAPG;TNF;WARS1;AKT1;CD1D;F2R;INHBA
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0171784638669181	0.0252624468631149	-1.42338589087158	NA	100	PTPN21;PIAS1;SELENOP;ADAMTS1;LIFR;DHCR24;INSIG1;HMGCR;HMGCS1;ZMIZ1;SGK1;IDI1;AKAP12;PTK2B;SCD;NCOA4;GPD1L;SRF;TMPRSS2;CCND3;DBI;B2M;TSC22D1;IQGAP2;SLC26A2;MYL12A;HPGD;GUCY1A1;ABHD2;STEAP4
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.168975069252078	0.196482638665206	-1.22711089187799	NA	35	THBD;LPL;OLR1;S100A4;CCND2;SLCO2A1;PF4;VTN;KCNJ8;PDGFA;MSX1;PGLYRP1;FGFR1;LRPAP1;APOH
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.000198055080888997	0.000450125183838629	-1.58134645863723	NA	192	PECAM1;CLDN18;ARHGEF6;ACTN2;CLDN5;MYL9;SLIT2;VWF;NEXN;MYH10;EPB41L2;CD34;ICAM2;SORBS3;RRAS;PARVA;NEGR1;GNAI2;NFASC;SIRPA;AKT3;CLDN11;TJP1;INSIG1;ITGA10;CNTN1;JAM3;AMIGO1;TSPAN4;MAP3K20;RSU1;ACTG2;MSN;SGCE;EVL;TMEM8B;ZYX;LAYN;PIK3R3;CADM3;CALB2;PTPRC;LAMA3;CD86;CX3CL1;TAOK2;NECTIN3;VCL;MAP4K2;ITGA9;ARPC2;PTEN;ALOX15B;CDH6;ADRA1B;MAPK11;SHROOM2;ACTN4;YWHAH;BAIAP2;MYL12B;CTNND1;FLNC;ACTC1;ICAM5;SYK
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.00412334880477617	0.00777790579684999	-1.6507227604728	NA	43	SCUBE1;PCSK9;NTNG1;SRPX;MAL;AKAP7;RTN4RL1;MDGA1;ADIPOR2;TMEM8B;GATA3;CX3CL1;SLC2A4;GAS1;GSTM3;CD160;ADAM10;SHROOM2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0116566571369804	0.0182135267765319	-1.39272598576543	NA	160	CAV1;TGFBR3;FEZ1;TIMP3;GPX3;BCL2L2;ADD1;NEDD9;BMP2;ETF1;DCN;CCND2;SMAD7;CASP1;IL1A;BTG2;TGFB2;SPTAN1;HGF;SATB1;GADD45B;CD44;IFNGR1;EMP1;TIMP2;PPP2R5B;CD69;JUN;GSN;PRF1;IL1B;CFLAR;EGR3;ATF3;TXNIP;PEA15;ROCK1;DPYD;TNFSF10;RARA;IL6;RHOB;TSPO;IGFBP6;PLPPR4;PLCB2;CYLD;FAS
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	5.50342090687113e-05	0.000137585522671778	-1.73116220164091	NA	104	ABCA8;CAT;RXRG;HSD17B6;SLCO1A2;CYP27A1;HSD17B4;APOA1;DHCR24;ABCA3;NR0B2;ABCA9;ABCA6;AQP9;IDI1;SULT1B1;NR3C2;ALDH1A1;AR;RXRA;ACSL1;BMP6;HSD17B11;EPHX2;NR1H4;PEX11G;SULT2B1;ABCA1;HACL1;CYP39A1;GNMT;PECR;RBP1;ATXN1;NPC1;NEDD4;SLC23A2;RETSAT;MLYCD;SERPINA6;FADS2;PEX11A;CH25H
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	9.05512895640803e-06	2.82972779887751e-05	-1.87904857137385	NA	74	LPL;LDLR;PPARG;FABP5;SEMA3B;LSS;STARD4;SREBF2;CXCL16;ACSS2;HMGCR;HMGCS1;IDI1;CYP51A1;SCD;CD9;PNRC1;ATF3;FDFT1;ALCAM;ANXA5;ACAT2;NIBAN1;NFIL3;CLU;CPEB2;JAG1;LGALS3;PDK3;GNAI1;FADS2;MVD;FASN;SQLE
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	1.06421364926989e-05	3.13004014491144e-05	-1.74736867679837	NA	130	PECAM1;F11;THBD;CFD;PROS1;OLR1;TIMP3;P2RY1;VWF;CPB2;A2M;C8B;F10;SERPING1;F8;GP9;APOA1;LEFTY2;CSRP1;CTSH;C1QA;CTSO;PF4;RAPGEF3;PDGFB;APOC1;RGN;CPQ;LRP1;GSN;CD9;HMGCS2;MAFF;PEF1;ISCU;LTA4H;C2;PLG;FYN;ANG;PLEK;SERPINA1;USP11;SERPINB2
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	1.4011915850836e-06	7.00595792541801e-06	-1.72460882586065	NA	197	SPOCK2;CD36;ACTN2;OLR1;DOCK4;CA2;PCSK9;CALM1;CDH13;NOTCH4;F10;ZEB1;SERPING1;F8;GP9;CSRP1;GNAI2;CTSH;CD59;SH2B3;CASP1;C1QA;CTSO;GNGT2;PDGFB;PPP2CB;FCER1G;APOC1;FCN1;PIK3R5;EHD1;S100A12;CPQ;TIMP2;LRP1;GNG2;GATA3;JAK2;DOCK9;CASP5;ZFPM2;PHEX;GNB4;C1QC;CTSS;WAS;CD55;LIPA;MAFF;LTA4H;ITGAM;FDX1;C2;PLG;PIK3CG;FYN;CPM;ANG;PLEK;IL6;SERPINA1;ANXA5;RHOG;SERPINB2;LCP2;PRKCD;RBSN;GMFB;L3MBTL4;USP8;PRCP;CLU;TNFAIP3;GCA;DGKG;CR1;CD40LG;C3;LGALS3;USP16;PREP;HPCAL4
