pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	4.92153601479392e-06	0.000246076800739696	NA	0.189483876562058	199	AK2/ANP32E/ASF1B/ATAD2/AURKA/AURKB/BARD1/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CCNB2/CCNE1/CCP110/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1A/CDKN2A/CDKN2C/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTCF/CTPS1/DCK/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/E2F8/EED/EIF2S1/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/GSPT1/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HNRNPD/HUS1/ILF3/ING3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LBR/LIG1/LMNB1/LUC7L3/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MRE11/MSH2/MTHFD2/MXD3/MYBL2/NAA38/NASP/NCAPD2/NME1/NOLC1/NOP56/NUDT21/NUP107/NUP153/NUP205/ORC2/ORC6/PA2G4/PAICS/PAN2/PCNA/PDS5B/PHF5A/PLK1/PLK4/PMS2/PNN/POLA2/POLD1/POLD2/POLD3/POLE/POP7/PPM1D/PPP1R8/PRDX4/PRIM2/PRKDC/PSIP1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD51AP1/RAD51C/RAN/RANBP1/RBBP7/RFC1/RFC2/RFC3/RPA1/RPA3/RRM2/SLBP/SMC1A/SMC3/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SRSF2/SSRP1/STMN1/SUV39H1/SYNCRIP/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRA2B/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UBR7/UNG/USP1/WDR90/WEE1/XPO1/XRCC6/ZW10
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.000256925277100346	0.00642313192750866	NA	0.155962389448286	197	ABL1/ARID4A/ATF5/ATRX/AURKA/AURKB/BARD1/BIRC5/BRCA2/BUB1/BUB3/CASP8AP2/CBX1/CCNA2/CCNB2/CCND1/CCNF/CCNT1/CDC20/CDC25A/CDC25B/CDC27/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CTCF/CUL1/DBF4/DDX39A/DKC1/DMD/DR1/DTYMK/E2F1/E2F2/E2F3/E2F4/EFNA5/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/G3BP1/GINS2/GSPT1/H2AX/H2AZ1/H2BC12/HIF1A/HIRA/HMGA1/HMGB3/HMMR/HNRNPD/HNRNPU/HOXC10/HUS1/ILF3/INCENP/JPT1/KATNA1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIF5B/KMT5A/KNL1/KPNA2/KPNB1/LBR/LIG3/LMNB1/MAD2L1/MAP3K20/MAPK14/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MNAT1/MT2A/MTF2/MYBL2/NASP/NCL/NDC80/NEK2/NOLC1/NOTCH2/NSD2/NUMA1/NUP50/ODC1/ODF2/ORC5/ORC6/PAFAH1B1/PBK/PDS5B/PLK1/PLK4/POLA2/POLE/POLQ/PRC1/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD21/RAD23B/RAD54L/RASAL2/RBL1/RBM14/SAP30/SFPQ/SLC12A2/SLC38A1/SLC7A1/SLC7A5/SMAD3/SMARCC1/SMC1A/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF10/SRSF2/STIL/STMN1/SUV39H1/SYNCRIP/TACC3/TENT4A/TFDP1/TGFB1/TLE3/TMPO/TNPO2/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/UCK2/UPF1/XPO1/YTHDC1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0256680745816855	0.367212889031977	NA	0.117763580879268	128	A2M/ACOX2/ANG/APOA1/APOC1/ARF4/C1QA/C1R/C1S/C2/C3/C8B/C8G/C9/CAPN2/CAPN5/CASP9/CD9/CFB/CFD/CFH/CFI/CLU/CPB2/CPQ/CRIP2/CSRP1/CTSE/CTSH/CTSO/CTSV/DCT/DPP4/DUSP14/DUSP6/F10/F11/F12/F2RL2/F3/F8/FBN1/FGA/FGG/FN1/FYN/GDA/GNG12/GP1BA/GP9/GSN/HMGCS2/HNF4A/HPN/HRG/HTRA1/ISCU/ITGA2/ITGB3/KLF7/KLK8/KLKB1/LAMP2/LEFTY2/LGMN/LRP1/LTA4H/MAFF/MASP2/MMP1/MMP10/MMP11/MMP14/MMP15/MMP2/MMP3/MMP7/MMP8/MMP9/MSRB2/MST1/OLR1/P2RY1/PDGFB/PECAM1/PEF1/PF4/PLAT/PLAU/PLEK/PREP/PROC/PROS1/PROZ/PRSS23/RABIF/RAPGEF3/RGN/S100A13/SERPINA1/SERPINB2/SERPING1/SPARC/TF/TFPI2/THBD/THBS1/TIMP3/TMPRSS6/USP11/VWF/WDR1
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0293770311225582	0.367212889031977	NA	0.0916365531639133	199	ABCE1/ACP1/AIMP2/APEX1/BUB3/C1QBP/CAD/CBX3/CCNA2/CCT2/CCT3/CCT4/CCT5/CCT7/CDC20/CDC45/CDK2/CDK4/CLNS1A/CNBP/COPS5/COX5A/CSTF2/CTPS1/CUL1/CYC1/DDX18/DEK/DHX15/DUT/EIF2S1/EIF2S2/EIF3B/EIF3D/EIF3J/EIF4H/EPRS1/ERH/ETF1/EXOSC7/FBL/G3BP1/GNL3/GOT2/GSPT1/H2AZ1/HDAC2/HDGF/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPD/HNRNPR/HNRNPU/HPRT1/HSP90AB1/HSPD1/HSPE1/IARS1/ILF2/IMPDH2/KARS1/KPNA2/KPNB1/LDHA/LSM2/LSM7/MAD2L1/MCM2/MCM4/MCM5/MCM6/MCM7/MRPL9/NCBP1/NCBP2/NDUFAB1/NHP2/NME1/NOLC1/NOP16/NOP56/NPM1/ODC1/ORC2/PA2G4/PABPC1/PABPC4/PCNA/PGK1/PHB2/POLD2/POLE3/PPIA/PPM1G/PRDX4/PRPF31/PRPS2/PSMA1/PSMA2/PSMA4/PSMA7/PSMB2/PSMB3/PSMC4/PSMC6/PSMD1/PSMD14/PSMD3/PSMD7/PSMD8/PTGES3/PWP1/RAD23B/RAN/RANBP1/RFC4/RNPS1/RPL14/RPL18/RPL22/RPL34/RPL6/RPLP0/RPS10/RPS2/RPS5/RRM1/RRP9/RSL1D1/RUVBL2/SERBP1/SET/SF3A1/SF3B3/SMARCC1/SNRPA/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPG/SRM/SRPK1/SRSF1/SRSF2/SRSF3/SSB/SSBP1/SYNCRIP/TARDBP/TCP1/TFDP1/TOMM70/TRA2B/TRIM28/TUFM/TXNL4A/TYMS/UBA2/UBE2E1/UBE2L3/USP1/VBP1/VDAC1/VDAC3/XPO1/XPOT/XRCC6/YWHAQ
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0367818197940935	0.367818197940935	NA	0.0880162374852163	196	ABCB1/ACE/ADAM17/ADAMDEC1/ADGRA2/ADGRL4/AKAP12/AKT2/ALDH1A2/AMMECR1/ANGPTL4/ANXA10/APOD/ARG1/AVL9/BIRC3/BMP2/BTBD3/BTC/C3AR1/CA2/CAB39L/CBL/CBX8/CCND2/CCSER2/CD37/CDADC1/CFB/CFH/CIDEA/CMKLR1/CPE/CROT/CSF2/CSF2RA/CTSS/CXCR4/DOCK2/DUSP6/EMP1/ENG/EPB41L3/EPHB2/EREG/ERO1A/ETS1/ETV1/ETV4/ETV5/EVI5/F13A1/F2RL1/FBXO4/FCER1G/FGF9/FLT4/FUCA1/G0S2/GABRA3/GADD45G/GALNT3/GFPT2/GLRX/GNG11/GPNMB/GUCY1A1/GYPC/HBEGF/HKDC1/HOXD11/HSD11B1/ID2/IGF2/IGFBP3/IKZF1/IL10RA/IL1B/IL1RL2/IL2RG/IL33/IL7R/INHBA/IRF8/ITGA2/ITGB2/ITGBL1/JUP/KLF4/LAPTM5/LAT2/LCP1/LIF/LY96/MALL/MAP3K1/MAP4K1/MAP7/MMP10/MMP11/MMP9/MTMR10/MYCN/NR0B2/NRP1/PDCD1LG2/PECAM1/PEG3/PIGR/PLAT/PLAU/PLAUR/PLEK2/PLVAP/PPBP/PPP1R15A/PRELID3B/PRKG2/PSMB8/PTBP2/PTCD2/PTGS2/PTPRR/RABGAP1L/RBM4/RBP4/RELN/RETN/RGS16/SATB1/SCG3/SCG5/SCN1B/SDCCAG8/SEMA3B/SERPINA3/SLPI/SNAP25/SNAP91/SOX9/SPARCL1/SPON1/SPP1/SPRY2/ST6GAL1/STRN/TFPI/TLR8/TMEM100/TMEM158/TMEM176A/TMEM176B/TNFAIP3/TNFRSF1B/TNNT2/TOR1AIP2/TRIB1/TSPAN1/TSPAN13/TSPAN7/USH1C/USP12/VWA5A/WDR33/WNT7A/YRDC/ZNF277/ZNF639
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0485195594315589	0.404329661929658	NA	0.0819314750242388	198	ABCF2/ACLY/ACTR3/AK4/ALDOA/ARPC5L/ASNS/ATP2A2/ATP5MC1/AURKA/BCAT1/BHLHE40/BTG2/BUB1/CACYBP/CALR/CCNF/CCNG1/CCT6A/CD9/CDC25A/CDKN1A/CFP/COPS5/CORO1A/CTSC/CXCR4/CYP51A1/DDIT3/DDIT4/DDX39A/DHCR24/DHCR7/DHFR/EBP/EDEM1/EEF1E1/EGLN3/EIF2S2/ELOVL6/ENO1/EPRS1/ERO1A/ETF1/FDXR/FGL2/G6PD/GAPDH/GBE1/GCLC/GGA2/GLA/GLRX/GMPS/GOT1/GPI/GSK3B/GSR/HK2/HMBS/HMGCR/HPRT1/HSP90B1/HSPA4/HSPA5/HSPA9/HSPD1/HSPE1/IDH1/IDI1/IFI30/IGFBP5/IMMT/INSIG1/ITGB2/LDHA/LDLR/LGMN/LTA4H/MAP2K3/MCM2/MCM4/ME1/MLLT11/MTHFD2/NFIL3/NFKBIB/NIBAN1/NUFIP1/NUP205/NUPR1/P4HA1/PDAP1/PDK1/PFKL/PGK1/PGM1/PHGDH/PIK3R3/PITPNB/PLK1/PLOD2/PNO1/POLR3G/PPA1/PPIA/PPP1R15A/PRDX1/PSAT1/PSMA3/PSMA4/PSMB5/PSMC2/PSMC4/PSMC6/PSMD12/PSMD13/PSMD14/PSME3/PSMG1/PSPH/QDPR/RAB1A/RIT1/RPA1/RPN1/RRM2/RRP9/SC5D/SCD/SDF2L1/SEC11A/SERPINH1/SHMT2/SKAP2/SLA/SLC1A4/SLC1A5/SLC2A1/SLC2A3/SLC37A4/SLC6A6/SLC7A11/SLC7A5/SORD/SQLE/SRD5A1/SSR1/STARD4/STIP1/SYTL2/TCEA1/TES/TFRC/TM7SF2/TOMM40/TPI1/TRIB3/TUBA4A/TUBG1/TXNRD1/UBE2D3/UCHL5/UFM1/UNG/VLDLR/WARS1/XBP1/YKT6
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0682136061627456	0.487240044019611	NA	0.0755036261716676	193	ACKR3/ADM/ADORA2B/AK4/AKAP12/ALDOA/ALDOB/ALDOC/AMPD3/ANGPTL4/ANKZF1/ATF3/ATP7A/B4GALNT2/BCAN/BGN/BHLHE40/BNIP3L/CA12/CASP6/CAV1/CAVIN1/CAVIN3/CCN1/CCN2/CCN5/CCNG2/CDKN1A/CDKN1C/CHST2/CHST3/CITED2/COL5A1/CSRP2/CXCR4/DCN/DDIT3/DDIT4/DPYSL4/DTNA/DUSP1/EDN2/EFNA3/EGFR/ENO1/ENO2/ENO3/ERO1A/ERRFI1/ETS1/EXT1/F3/FAM162A/FBP1/FOS/FOXO3/GAA/GAPDH/GBE1/GCNT2/GLRX/GPC1/GPC3/GPC4/GPI/GYS1/HAS1/HEXA/HK1/HK2/HMOX1/HOXB9/HSPA5/IDS/IER3/IGFBP1/IGFBP3/IL6/ILVBL/INHA/IRS2/ISG20/JUN/KDELR3/KDM3A/KIF5A/KLF6/KLF7/KLHL24/LARGE1/LDHA/LDHC/LXN/MAFF/MAP3K1/MT1E/MT2A/MYH9/NAGK/NCAN/NDRG1/NDST1/NEDD4L/NFIL3/NR3C1/P4HA1/PAM/PDGFB/PDK1/PFKFB3/PFKL/PFKP/PGF/PGK1/PGM1/PGM2/PHKG1/PKP1/PLAC8/PLAUR/PLIN2/PNRC1/PPARGC1A/PPFIA4/PPP1R15A/PPP1R3C/PRDX5/PRKCA/PYGM/RBPJ/RORA/RRAGD/S100A4/SAP30/SDC2/SDC3/SDC4/SELENBP1/SIAH2/SLC25A1/SLC2A1/SLC2A3/SLC2A5/SLC37A4/SLC6A6/SRPX/STBD1/STC2/SULT2B1/TES/TGM2/TIPARP/TKTL1/TMEM45A/TNFAIP3/TPBG/TPD52/TPI1/TPST2/VLDLR/WSB1/XPNPEP1/ZFP36/ZNF292
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0866886640004508	0.513379739492031	NA	0.0694005593178695	195	AARS1/ABCE1/ABI1/ACHE/APBB1/B2M/BCAT1/BRCA1/C2/CAPG/CCL13/CCL2/CCL4/CCL5/CCL7/CCND2/CCND3/CCR1/CCR2/CCR5/CD1D/CD2/CD247/CD28/CD3D/CD3E/CD3G/CD4/CD40/CD40LG/CD47/CD7/CD74/CD80/CD86/CD8A/CD8B/CD96/CDKN2A/CFP/CRTAM/CSF1/CSK/CTSS/CXCL13/CXCR3/DARS1/DEGS1/DYRK3/EGFR/EIF3D/EIF3J/EIF4G3/EIF5A/ELANE/EREG/ETS1/F2R/FAS/FASLG/FCGR2B/FGR/FLNA/FYB1/GALNT1/GBP2/GCNT1/GLMN/GPR65/GZMA/GZMB/HCLS1/HIF1A/HLA-A/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DRA/HLA-E/HLA-G/ICAM1/IFNAR2/IFNGR1/IGSF6/IL10/IL11/IL12A/IL12B/IL12RB1/IL13/IL15/IL16/IL18/IL18RAP/IL1B/IL27RA/IL2RA/IL2RB/IL2RG/IL4R/IL6/IL7/INHBA/IRF8/ITGAL/ITGB2/ITK/JAK2/KLRD1/LCK/LCP2/LIF/LY75/LY86/LYN/MAP3K7/MAP4K1/MMP9/MRPL3/MTIF2/NCF4/NCK1/NCR1/NLRP3/NME1/NPM1/PF4/PRF1/PRKCB/PRKCG/PSMB10/PTPN6/PTPRC/RARS1/RIPK2/RPL39/RPL3L/RPL9/RPS19/RPS9/SIT1/SOCS5/SPI1/SRGN/ST8SIA4/STAB1/STAT4/TAP2/TAPBP/TGFB1/TGFB2/THY1/TLR1/TLR2/TLR3/TNF/TPD52/TRAF2/TRAT1/UBE2N/WARS1/WAS/ZAP70
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.0940745393317097	0.513379739492031	NA	0.0687027624283822	188	ABCC2/ABCC3/ABCD2/ABHD6/ACO2/ACOX1/ACOX2/ACOX3/ACP1/ACSM1/ADH1C/ADH7/AHCY/AKR1C2/AKR1C3/ALAS1/ALDH2/ALDH3A1/AOX1/APOE/AQP9/ARG1/ARG2/ARPP19/ASL/ATOH8/ATP2A2/BCAT1/BLVRB/BPHL/CA2/CASP6/CAT/CBR1/CD36/CDO1/CES1/CFB/CNDP2/COMT/CROT/CRP/CSAD/CYB5A/CYFIP2/CYP17A1/CYP1A1/CYP1A2/CYP26A1/CYP27A1/CYP2E1/CYP2S1/CYP4F2/DDAH2/DDC/DHPS/DHRS1/DHRS7/ENPEP/EPHX1/ESR1/ETFDH/ETS2/F10/F11/FAS/FBLN1/FBP1/FETUB/FMO1/FMO3/GABARAPL1/GAD1/GART/GCLC/GCNT2/GNMT/GSR/GSS/GSTA3/GSTM4/HACL1/HES6/HGFAC/HMOX1/HNF4A/HPRT1/HRG/HSD11B1/ID2/IDH1/IGF1/IGFBP1/IGFBP4/IL1R1/IRF8/JUP/KARS1/LCAT/LONP1/LPIN2/MAN1A1/MAOA/MARCHF6/MCCC2/MPP2/MT2A/MTHFD1/NDRG2/NFS1/NINJ1/NQO1/PAPSS2/PC/PDK4/PGD/PGRMC1/PINK1/PMM1/PROS1/PSMB10/PTGDS/PTGES/PTGES3/PTGR1/PTS/PYCR1/RAP1GAP/RBP4/REG1A/RETSAT/SAR1B/SERPINA6/SERTAD1/SHMT2/SLC12A4/SLC1A5/SLC35B1/SLC35D1/SLC46A3/SLC6A12/SLC6A6/SMOX/SPINT2/SSR3/TAT/TDO2/TGFB2/TKFC/TMBIM6/TMEM176B/TNFRSF1A/TPST1/TTPA/UGDH/UPB1/VNN1/VTN/XDH
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__LUSC_limma	tcga_cancer__LUSC_limma	0.102675947898406	0.513379739492031	NA	0.0902828444571614	106	ACE/ACRBP/ADCYAP1/ALOX15/AURKA/BUB1/CAMK4/CCNA1/CCNB2/CDK1/CDKN3/CFTR/CHRM4/CLGN/CLPB/CNIH2/COIL/CRISP2/CSNK2A2/DBF4/DCC/DDX25/DMC1/DMRT1/DPEP3/ELOVL3/EZH2/GAD1/GMCL1/GPR182/GSTM3/HSPA1L/HSPA4L/IDE/IFT88/IL12RB2/IP6K1/JAM3/KIF2C/LDHC/LPIN1/MAP7/MAST2/MLF1/MLLT10/MTNR1A/NCAPH/NEK2/NF2/NOS1/NPHP1/NPY5R/OAZ3/PACRG/PARP2/PEBP1/PGS1/PHF7/PHKG2/PIAS2/POMC/PRKAR2A/PSMG1/RAD17/RFC4/RPL39L/SCG3/SCG5/SEPTIN4/SHE/SIRT1/SLC12A2/SLC2A5/SNAP91/SPATA6/STAM2/STRBP/TALDO1/TCP11/TEKT2/TKTL1/TLE4/TNNI3/TOPBP1/TSN/TTK/TULP2/VDAC3/YBX2/ZC2HC1C/ZC3H14
