pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0070745083432025	0.0150812672547751	-1.39522016173066	NA	194	ANGPT1;SNCG;GPX3;HSPB8;MYLK;RAB34;CYP4B1;STOM;SSPN;ITIH5;CAVIN2;CAVIN1;ITSN1;ME1;SORBS1;LIPE;ALDH2;SPARCL1;SOWAHC;PEX14;DNAJC15;GADD45A;STAT5A;CAT;PTGER3;RNF11;ATL2;TANK;SLC66A3;ARL4A;PFKFB3;MGST3;ACAA2;LAMA4;PHLDB1;ITGA7;PGM1;IDH3A;COQ9;PLIN2;DNAJB9;NKIRAS1;GHITM;ANGPTL4;FABP4
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.408066429418743	0.523162088998388	-1.03058530805535	NA	184	TLR3;CD40;CAPG;ELF4;PRKCB;JAK2;FLNA;GBP2;APBB1;LY75;CCND2;TLR2;TLR1;MAP3K7;IL18;CCND3;IL27RA;FAS;HLA-DOA;EGFR;KLRD1;IL4R;HLA-E;IRF8;TGFB2;SOCS5;CSF1;CXCL13;DARS1;TIMP1;IL1B;IL15;CTSS;SRGN;ETS1;HDAC9;ABI1;IL7;IL2RB;ACVR2A;NLRP3;B2M;ST8SIA4;DYRK3;PSMB10;KRT1;HLA-DRA;CD47;CD8A;CD1D;GPR65;IL6;NOS2;IL18RAP;PTPRC;FYB1;CD74;CCL5;SOCS1;TNF;CARTPT
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.498054474708171	0.607383505741672	0.977153199239994	NA	100	CAMKK2;MAK;PDLIM5;RRP12;UAP1;ABCC4;TPD52;CENPN;ZBTB10;PA2G4;PMEPA1;GUCY1A1;ADRM1;H1-0;SPDEF;MAP7;SMS;ALDH1A3;NKX3-1;HOMER2;ABHD2;STK39;KLK2;KRT8;PLPP1;NGLY1;DHCR24
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.242152466367713	0.345932094811019	-1.16971872177328	NA	33	KCNJ8;CCND2;CXCL6;SERPINA5;APP;FGFR1;S100A4;TIMP1;SLCO2A1;JAG2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	3.79675003055725e-08	2.10930557253181e-07	-1.87295323168305	NA	192	MPZL2;GNAI2;ITGA3;PARVA;TRO;VCL;RRAS;LAMB3;CNN2;ITGA2;CAP1;COL17A1;MSN;LAYN;CDH8;SGCE;ITGB4;ADAMTS5;ACTN4;ITGA9;NLGN3;RSU1;ACTN1;MYL9;CD274;JAM3;ITGB1;ACTG2;ARPC2;ACTC1;CX3CL1;EPB41L2;ADRA1B;NEXN;MAP3K20;PARD6G;AMIGO2;DSC3;SPEG;FLNC;LAMA3;SIRPA;ACTB;CLDN19;CLDN11;CERCAM;PTEN;LIMA1;CNTN1;SDC3;SHC1;NEGR1;NRTN;EGFR;ZYX;CDH3;MAPK14;TMEM8B;COL9A1;SLIT2;KCNH2;NF1;IRS1;MMP2;NECTIN1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	6.64564034037268e-05	0.000221521344679089	-1.88179369887695	NA	43	AFAP1L2;GSTM3;GATA3;MAL;GAS1;ATP6V0A4;DCBLD2;CX3CL1;EFNA5;SRPX;RHCG;SLC2A4;HSPB1;APP;SULF2;AKAP7;TMEM8B;SCUBE1;CD160
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	1.73847670772333e-05	6.68644887585896e-05	-1.71426254027277	NA	158	CAV1;LGALS3;GPX3;RNASEL;FEZ1;CLU;TIMP3;TGFBR3;BNIP3L;BTG3;CASP1;ANXA1;RHOB;CYLD;DPYD;BMP2;GADD45A;IER3;ADD1;CCND2;PAK1;ENO2;HSPB1;TXNIP;IL18;TIMP2;SMAD7;FAS;ETF1;APP;GSR;DCN;SQSTM1;TGFB2;CD38;GSN;BTG2;ATF3;MMP2;TIMP1;CD44;ROCK1;IGFBP6;NEDD9;IFITM3;LMNA;IL1B;WEE1;IL1A;CD69;AIFM3;CDKN1A;PEA15;BIRC3;SPTAN1;NEFH;DNM1L;SC5D;AVPR1A;SATB1;DFFA
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0746666666666667	0.120430107526882	-1.27509858957836	NA	103	PIPOX;CYP27A1;NR3C2;RBP1;BCAR3;OPTN;FADS1;LIPE;FADS2;ABCD3;ABCG4;CAT;CROT;RXRA;PNPLA8;RXRG;ABCD2;NEDD4;NR1H4;AQP9;BBOX1;CYP7B1;TFCP2L1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.524475524475524	0.624375624375624	-0.979759535562914	NA	74	LGALS3;CLU;GPX8;FADS2;GSTM2;SEMA3B;PDK3;STARD4;ALDOC;CD9;ANTXR2;PLSCR1;ATF3;ACSS2;HMGCS1;CPEB2;FDFT1;NSDHL;SC5D;AVPR1A;NIBAN1;CTNNB1;NFIL3;PNRC1;ANXA13;ADH4;CXCL16;PPARG;IDI1;ERRFI1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0286281339025665	0.0530150627825305	-1.37906857879596	NA	118	CTSB;ACOX2;GNG12;CSRP1;CLU;WDR1;TIMP3;RGN;ITGA2;PLAU;CPQ;USP11;ANXA1;MMP14;ITGB3;CFH;ISCU;DCT;CD9;F10;HTRA1;DUSP6;GSN;SERPING1;PRSS23;KLF7;MMP2;F8;TIMP1;FBN1;TFPI2;CTSE;BMP1;ANG
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	9.45291768488855e-07	4.29678076585843e-06	-1.77019840966843	NA	189	L3MBTL4;CTSB;CALM1;LGALS3;GNAI2;GATA3;CSRP1;CLU;APOBEC3G;DGKH;KCNIP3;APOBEC3F;CD59;CPQ;CASP1;JAK2;DGKG;IRF2;MMP14;ME1;PPP2CB;ADRA2B;CFH;ZFPM2;PLA2G4A;CD55;F7;ZEB1;TIMP2;AKAP10;TNFAIP3;F10;PLSCR1;DUSP6;DUSP5;SERPING1;CDH13;LTF;KIF2A;RBSN;F8;TIMP1;CD36;S100A12;HPCAL4;NOTCH4;GNG2;TFPI2;COL4A2;CXCL1;CEBPB;LIPA;PCSK9;CTSS;USP8;ANG;USP16;S100A9;DOCK9;USP15;FYN;CTSH;CASP10;PIK3CA
