pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.4250897056326258	0.8320213752048623		0.053313052427228655	200	SCARB1;TST;GPX4;DHRS7B;ANGPT1;SLC19A1;FABP4;LIFR;IFNGR1;TANK;ACADM;COQ9;DLAT;COX7B;SDHC;CHCHD10;DNAJC15;SCP2;ITGA7;MYLK;HADH;PPM1B;CPT2;RETSAT;UBC;HIBCH;GPD2;SNCG;SSPN;SLC1A5;GPX3;CDKN2C;CHUK;SDHB;CCNG2;ACAA2;ACO2;SPARCL1;PTGER3;STOM;ACLY;CMBL;MGST3;NKIRAS1;ENPP2;RIOK3;CYP4B1;COL4A1;ACADS;PTCD3;PEMT;DLD;ITSN1;PPP1R15B;LAMA4;G3BP2;ATL2;YWHAG;ABCB8;ORM1;ATP1B3;MTARC2;PLIN2;MDH2;CD36;SUCLG1;POR;ACOX1;DHCR7;MGLL;RAB34;ABCA1;ITIH5;SLC25A10;GPAT4;CAT;DBT;TKT;FZD4;IDH3A;CAVIN2;ALDOA;APLP2;CD302;RNF11;GHITM;EPHX2;SLC27A1;HSPB8;NDUFA5;BCL2L13;SULT1A1;PGM1;PHLDB1;NMT1;NABP1;CAVIN1;ADCY6;DECR1;SLC5A6;TALDO1;CMPK1;PDCD4;IDH3G;BCKDHA;REEP6;SORBS1;PREB;ELOVL6;PHYH;SQOR;OMD
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.3081194127399107	0.7478989547367476		0.11948581011415604	200	TRAF2;TAP2;IL18;WAS;ST8SIA4;HDAC9;IFNGR1;PTPRC;NPM1;MMP9;CCR2;FYB1;IKBKB;CD247;CCL11;CCL19;GZMA;CD4;CXCR3;EGFR;KRT1;JAK2;F2;LY75;EIF3D;LY86;IL11;ABCE1;LIF;THY1;F2R;HLA-DMB;CCL5;IL15;RARS1;IFNAR2;BRCA1;CD8A;PRKCG;ITK;IRF4;RIPK2;CTSS;IRF7;NCK1;IL13;CXCL9;LYN;CRTAM;STAT4;INHBB;CD96;AARS1;FAS;CSF1;CXCL13;ACHE;GZMB;STAB1;FCGR2B;CAPG;EIF4G3;GBP2;RPL3L;APBB1;FLNA;IL27RA;TLR6;NME1;INHBA;B2M;MRPL3;IL16;C2;TPD52;EREG;CD3E;ITGAL;HLA-DOB;HLA-DOA;IL4R;CD1D;TAP1;TIMP1;MAP4K1;DARS1;CD7;PRKCB;BCL10;SOCS1;TLR3;CDKN2A;CD28;CD40LG;HLA-DQA1;LTB;IL10;HCLS1;RPS19;EIF3J;ELANE;IL6;CFP;GALNT1;NLRP3;ETS1;ACVR2A;CD3G;CD79A;PF4;TRAT1;TLR1;CARTPT
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.23519695522914372	0.7349904850910741		0.2389634215166026	101	CAMKK2;TNFAIP8;CENPN;UBE2I;GUCY1A1;ANKH;TMEM50A;ELL2;PTPN21;SEC24D;KRT8;PMEPA1;PLPP1;CCND1;UBE2J1;SCD;PTK2B;LIFR;UAP1;KLK3;HPGD;RRP12;LMAN1;AKAP12;HMGCR;MAF;MYL12A;PIAS1;IQGAP2;PDLIM5;APPBP2;SELENOP;SPCS3;ACTN1;B2M;GPD1L;PA2G4;NCOA4;TPD52;FADS1;STEAP4;ADRM1;TMPRSS2;AZGP1;B4GALT1;HOMER2;SGK1;IDI1;ADAMTS1;XRCC5;KLK2;FKBP5;SORD;MAP7;SLC26A2;VAPA;KRT19;GSR;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.7244614848325384	0.9843173832180012		-0.2125822257559559	36	CXCL6;VCAN;SPP1;VEGFA;TIMP1;MSX1;COL5A2;JAG2;SLCO2A1;FGFR1;SERPINA5;PF4;TNFRSF21;PTK2;KCNJ8;OLR1;COL3A1;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.7578553294464417	0.9843173832180012		-0.1336660593653979	200	DLG1;SGCE;SYMPK;JAM3;NECTIN1;NRXN2;CLDN11;PTPRC;MMP9;SLIT2;FYB1;NECTIN3;CLDN7;CLDN8;HRAS;CAP1;NFASC;MPZL1;ACTN1;EGFR;CNN2;HADH;MSN;PLCG1;TJP1;COL9A1;SPEG;SDC3;GRB7;ITGB4;THY1;CD34;CNTN1;CTNND1;NEXN;RHOF;CLDN9;PTK2;MADCAM1;CDH6;AKT3;FSCN1;AMIGO1;VCAM1;GNAI1;CTNNA1;VCL;EVL;VCAN;DSC3;NEGR1;CDH11;KRT31;CADM2;TGFBI;CDK8;LIMA1;RAC2;CLDN5;PARVA;RSU1;PARD6G;LAYN;SKAP2;WASL;CD209;ADAM23;STX4;ADRA1B;NECTIN4;DHX16;SORBS3;ICAM5;B4GALT1;ITGA2;PPP2R2C;AMH;TNFRSF11B;ITGB1;ARHGEF6;LAMA3;GNAI2;PECAM1;ACTG2;CLDN14;CD276;PTEN;MAP3K20;CADM3;NRAP;CLDN15;SRC;MYL12B;FLNC;MDK;NLGN3;CALB2;TSPAN4;NLGN2;TUBG1;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0670361954150501	0.3113215312472806		0.7519804230402669	44	GSTM3;MAL;PCSK9;NTNG1;BRCA1;EFNA5;GAS1;SRPX;PKHD1;AKAP7;DCBLD2;CROCC;RHCG;SCUBE1;EPHB4;MDGA1;CD160;LYPD3;ATP8B1;ADAM10;B4GALT1;AFAP1L2;LYN;ATP6V0A4;SLC2A4;NCOA6;SULF2;THY1;SLC34A3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.4229290606131355	0.8320213752048623		0.062092012970810344	161	ANKH;IL18;GSN;GPX4;NEFH;DFFA;RHOT2;IFNGR1;BMP2;CFLAR;DPYD;BAX;CASP7;ERBB3;CASP2;RETSAT;F2;LGALS3;MCL1;EBP;GPX3;F2R;GSR;IFITM3;LEF1;PTK2;TNFRSF12A;BCL2L2;BRCA1;VDAC2;ATF3;DDIT3;TOP2A;DIABLO;KRT18;BCL2L1;NEDD9;CASP3;CAV1;RNASEL;IGFBP6;TIMP2;CASP9;SMAD7;CTNNB1;FAS;PSEN2;DAP3;PLAT;BTG2;BGN;DCN;SLC20A1;BCAP31;CASP8;EREG;SC5D;TXNIP;BIRC3;CDC25B;BCL2L11;GPX1;BID;TAP1;GNA15;ISG20;TIMP1;PMAIP1;CLU;RHOB;ADD1;CCND1;CYLD;SQSTM1;BCL10;ROCK1;TNFSF10;CDK2;EMP1;DNAJA1;PSEN1;IL6;PDCD4;CD14;PDGFRB;FEZ1;BNIP3L;CD38;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.46697150178223523	0.8320213752048623		0.05039809026265446	112	NR1H4;PAOX;NUDT12;SULT2B1;ALDH9A1;PEX7;BCAR3;AQP9;SLC27A5;HACL1;ALDH1A1;ABCA1;ABCD3;PEX26;NR0B2;ABCA5;SLC29A1;NR3C2;PNPLA8;ISOC1;CAT;SCP2;GCLM;AR;RXRG;HSD17B6;ABCA8;OPTN;CYP39A1;HSD3B7;SULT1B1;CROT;PEX19;PECR;ABCA3;RETSAT;PEX11A;DIO2;FADS1;RXRA;PEX16;HSD17B11;ATXN1;TFCP2L1;RBP1;ABCA6;SLC35B2;EPHX2;CYP7B1;FADS2;ABCD2;PIPOX;SLCO1A2;PHYH;IDI1;BMP6;AMACR;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.9303653399501812	0.989750361649129		-0.4559315168742478	74	FASN;PCYT2;SQLE;CLU;S100A11;CBS;STARD4;TRIB3;DHCR7;TNFRSF12A;SCD;NIBAN1;ERRFI1;PMVK;ATF3;HMGCR;HSD17B7;GNAI1;TP53INP1;CPEB2;NSDHL;ETHE1;PNRC1;CXCL16;MVK;TMEM97;SC5D;LGALS3;ATXN2;ANTXR2;ACSS2;EBP;FADS2;IDI1;CTNNB1;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.7831391921644573	0.9843173832180012		-0.1783394436532718	138	CTSO;TIMP1;CLU;MAFF;GSN;KLKB1;ISCU;KLK8;PLAT;ARF4;PECAM1;CSRP1;F12;MMP3;C8G;GP1BA;CFI;GNB2;PLAU;SH2B2;PREP;MMP1;CAPN5;MMP9;CFD;C1QA;HRG;HPN;MMP7;MMP11;OLR1;CPN1;MMP14;MASP2;SERPINB2;SPARC;FGG;CFH;CPQ;F2;C2;SERPINE1;CFB;C1S;ITGA2;MMP8;GNG12;CTSV;F8;COMP;TMPRSS6;S100A1;CASP9;WDR1;MST1;CAPN2;MEP1A;HMGCS2;FGA;PLEK;PF4;P2RY1;PROS1;MMP10;PROZ;ITGB3;DUSP14;A2M;CTSH
