pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	2.02154368285179e-07	1.0107718414259e-05	NA	0.62023123042474	57	TBRG4/EXOSC5/RRP9/PUS1/SORD/MYC/WDR74/BYSL/GNL3/RCL1/WDR43/NOP56/PA2G4/LAS1L/NOC4L/NOP16/HSPD1/SLC19A1/SRM/CDK4/RRP12/PPRC1/PRMT3/HSPE1/IMP4/FARSA/NIP7/PLK1/NOP2/TMEM97/HK2/NOLC1/PPAN/MYBBP1A/IPO4/PES1/MCM4/CBX3/SLC29A2/TCOF1/AIMP2/MRTO4/GRWD1/RABEPK/DDX18/UTP20/NPM1/MPHOSPH10/PLK4/MCM5/DUSP2
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.000108453504087584	0.0027113376021896	NA	0.283622634473131	199	CSE1L/TBRG4/CDC25B/ORC6/RFC3/POLD2/AURKA/MYC/MYBL2/BRCA2/KIF18B/TRIP13/WDR90/DSCC1/PAICS/EZH2/MCM7/LYAR/NOP56/CDCA3/SUV39H1/PA2G4/HMGA1/UBE2S/CDK4/NUP107/ESPL1/KIF2C/ILF3/GINS1/SNRPB/ATAD2/RFC2/EXOSC8/ORC2/DIAPH3/RANBP1/NME1/HMGB3/POLD1/TOP2A/UBR7/MELK/PLK1/DDX39A/NOLC1/MCM3/MCM6/CNOT9/MCM2/POP7/CDKN2A/MMS22L/POLA2/KIF4A/HELLS/CHEK1/MTHFD2/RACGAP1/CHEK2/STAG1/MCM4/LIG1/RAN/GINS4/NUP205/CCNE1/BUB1B/PTTG1/UBE2T/CDCA8/GINS3/DNMT1/PRIM2/TIMELESS/PCNA/DONSON/CDK1/CDKN2C/CKS1B/AURKB/KPNA2/SSRP1/CDKN1A/SPC25/BRCA1/CDC20/PAN2/PPM1D/ASF1B/PRKDC/HMMR/CTPS1/RRM2/MRE11/SPC24/BIRC5/MAD2L1/POLD3/CIT/NCAPD2/TUBG1/CDC25A/PSIP1/CCNB2/H2AX/TACC3/CKS2/PNN/PRDX4/CENPE/SLBP/MSH2/MXD3/DLGAP5/TCF19/SPAG5/PMS2/CDKN3/NAP1L1/ING3/E2F8/TUBB/ZW10/RAD51AP1/BRMS1L/ASF1A/LUC7L3/PLK4/DCK/STMN1/MCM5/RAD1/XPO1/MKI67/RPA1/TK1/PSMC3IP/NASP/RBBP7/LMNB1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.00784767623139066	0.130794603856511	NA	0.21838214084203	158	NGB/ABCB11/CPB1/TCL1A/SOX10/P2RY4/KRT1/EPHA5/GP2/SPTBN2/ZBTB16/SLC25A23/SGK1/GDNF/THRB/CPEB3/KCNMB1/INSL5/CLDN8/TLX1/TENT5C/TCF7L1/NUDT11/SELENOP/NOS1/SMPX/GP1BA/PKP1/MSH5/UGT2B17/TG/ITGB1BP2/GPR19/HSD11B2/HNF1A/AKR1B10/SIDT1/DTNB/ASB7/SYNPO/PRKN/HTR1D/NR6A1/TNNI3/MTHFR/SLC29A3/EDAR/CD40LG/CLDN16/GTF3C5/IDUA/SLC16A7/CNTFR/CD207/PTGFR/KLK7/LFNG/NR4A2/COQ8A/TFCP2L1/PDK2/KRT15/SLC38A3/DCC/KLK8/EDN2/FGGY/CAPN9/RSAD2/BTG2/TENM2/COPZ2/TGM1/NPY4R/WNT16/CCR8/DLK2/CAMK1D/MAST3/SKIL/SERPINB2/SPRR3/PAX4/SLC6A3/IGFBP2/ADRA2C/CDKAL1/RYR1/CYP39A1/KCND1/SERPINA10/LYPD3/SHOX2/SNN/PAX3/PNMT/NTF3/CLSTN3/TAS2R4/EFHD1/CKM/NRIP2/KRT5/ARHGDIG/CELSR2/MFSD6/THNSL2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.0105391264030951	0.131739080038689	NA	0.188353871531232	196	DKC1/UBE2C/MEIS1/MEIS2/MT2A/SLC7A5/DMD/CDC25B/TPX2/FOXN3/ORC6/RPS6KA5/MARCKS/E2F1/AURKA/TROAP/MYC/PAFAH1B1/MYBL2/BRCA2/EZH2/E2F3/SUV39H1/EXO1/CCNF/CCND1/PURA/TRAIP/HMGA1/CDC45/UBE2S/CDK4/ESPL1/E2F4/RBL1/CDC6/KIF2C/ILF3/BUB1/RAD54L/HMGB3/ODF2/TOP2A/TNPO2/PLK1/CENPA/DDX39A/CUL4A/NOLC1/MCM3/MCM6/MCM2/NEK2/POLA2/KIF4A/SLC12A2/ORC5/CHEK1/SLC7A1/KIF23/RACGAP1/STAG1/PML/PRC1/DTYMK/STIL/DBF4/ABL1/EFNA5/TFDP1/POLQ/TTK/PTTG1/PRIM2/SFPQ/CDK1/CDKN2C/CKS1B/FBXO5/AURKB/KPNA2/CENPF/NCL/CDC20/LIG3/RBM14/SMARCC1/HMMR/BIRC5/PRMT5/MAD2L1/TENT4A/MAP3K20/HMGN2/CDC25A/NOTCH2/CCNB2/GINS2/H2AX/TACC3/ARID4A/CKS2/CHAF1A/KIF15/SQLE/CENPE/CUL5/CDC7/KNL1/FANCC/BUB3/CDKN3/G3BP1/HSPA8/H2AZ2/HIRA/INCENP/PLK4/STMN1/MCM5/XPO1/HNRNPU/MKI67/UPF1/SS18/CCNA2/SRSF10/E2F2/NASP/LMNB1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.0182115012851623	0.147717248200733	NA	0.183242457713633	174	SGCG/SH3BGR/GNAO1/PYGM/GSN/SVIL/MYOM1/NCAM1/MYLK/FHL1/AGL/SMTN/HSPB8/LARGE1/TEAD4/LDB3/CHRNA1/PPP1R3C/FGF2/TPM2/TAGLN/CACNA1H/MYH11/SSPN/SORBS1/DMD/SPEG/NOS1/ITGA7/MYH2/COX7A1/CFD/SCHIP1/DMPK/WWTR1/MYO1C/ADCY9/STC2/MEF2C/MEF2A/MEF2D/CASQ1/CAMK2B/SCD/CASQ2/CD36/PRNP/DTNA/GPX3/BDKRB2/TNNT3/PTP4A3/DES/CRYAB/DENND2B/PDLIM7/SGCA/ADAM12/EFS/COL1A1/LSP1/SGCD/TNNT2/NQO1/REEP1/OCEL1/IGF1/MYL6B/ENO3/EPHB3/AGRN/CLU/LAMA2/ACHE/FLII/MYH4/CKMT2/ATP2A1/CDKN1A/PC/HRC/MYBPC3/SPHK1/PSEN2/KIFC3/ITGB1/BAG1/VIPR1/FOXO4/NOTCH1/TNNC2/GABARAPL2/CKB/TNNT1/ERBB3/SYNGR2/PDE4DIP/RYR1/ATP6AP1/MRAS/PKIA/CTF1/PPFIA4/SORBS3/BHLHE40/MB/SPARC/PTGIS/ITGB4/COL3A1/SLC6A8/CKM/FKBP1B/SPDEF/MYOM2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.0185561314898235	0.147717248200733	NA	0.170262714380711	200	SGCG/TPM1/EDIL3/MYLK/CAP2/CXCL12/ANPEP/ABI3BP/MYL9/FUCA1/TGFBI/FAS/FLNA/FGF2/TPM2/TAGLN/PLOD3/SGCB/FERMT2/SLIT3/MEST/LAMA1/SFRP1/APLP1/VEGFA/SNTB1/PCOLCE2/INHBA/CALD1/CD44/SCG2/CADM1/TGFBR3/OXTR/COL11A1/MCM7/COL7A1/DST/PMP22/PMEPA1/CTHRC1/TIMP1/MFAP5/MATN2/ITGB3/ID2/DCN/COMP/MSX1/PTX3/ADAM12/FBLN1/COLGALT1/MMP3/SLIT2/PVR/BGN/P3H1/SERPINH1/MMP1/LOXL2/COL1A1/EMP3/TNFRSF12A/SGCD/PRSS2/GEM/CD59/WIPF1/RHOB/SERPINE2/ACTA2/CXCL1/LAMA3/DPYSL3/LAMA2/FBLN5/PLOD1/SPP1/FAP/MMP14/CAPG/MGP/FOXC2/IL15/VCAM1/GAS1/CXCL8/MATN3/NOTCH2/FBLN2/SFRP4/ITGB1/WNT5A/COL5A2/COL5A3/COL5A1/FZD8/QSOX1/THY1/IL32/LRRC15/TNFRSF11B/SERPINE1/ITGA2/IGFBP2/ITGA5/CDH11/ECM2/THBS2/ECM1/RGS4/PLOD2/SDC4/COL4A1/COL12A1/FSTL3/AREG/SPARC/CXCL6/COL1A2/COL3A1/SLC6A8/BDNF/TGM2/CDH2/PPIB/PDLIM4/PDGFRB/IGFBP4/VIM
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.0206804147481026	0.147717248200733	NA	0.393672779508738	34	PCSK2/SST/SCGN/GCG/ABCC8/PDX1/CHGA/PAK3/LMO2/HNF1A/INSM1/FOXO1/DCX/AKT3/NKX2-2/SRPRB/FOXA2/SRP14/VDR/SEC11A/PAX4/NEUROG3/ISL1/STXBP1/SYT13/PCSK1
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.0678972848947515	0.424358030592197	NA	0.12756189925525	195	ENDOD1/SVIL/GFRA1/SLC26A2/KLF4/CXCL12/IL6ST/PGR/SULT2B1/HSPB8/PAPSS2/TGIF2/BCL2/SNX24/MAPT/CA12/SLC22A5/FCMR/SLC7A5/RETREG1/FKBP5/AR/ADCY9/MYC/STC2/CCN5/AFF1/CD44/SYNGR1/CALB2/PDLIM3/NRIP1/UGCG/MINDY1/PDZK1/KLF10/CCND1/TIAM1/KLK10/RRP12/MPPED2/DLC1/CELSR1/NXT1/TMPRSS3/PEX11A/SCARB1/OLFM1/CLDN7/IL17RB/MYBBP1A/TIPARP/REEP1/TMEM164/PMAIP1/INHBB/P2RY2/GLA/SEC14L2/RET/NPY1R/SLC1A1/INPP5F/JAK2/SLC24A3/KRT15/FOS/DHRS2/KRT19/CANT1/FARP1/ISG20L2/OPN3/SLC2A1/FASN/DHCR7/LAD1/FLNB/FKBP4/SFN/MAST4/OLFML3/SLC19A2/THSD4/CYP26B1/TBC1D30/KRT18/BAG1/KRT8/SLC7A2/SLC1A4/MYOF/LRIG1/SH3BP5/ZNF185/CLIC3/CISH/RASGRP1/BCL11B/PODXL/PLAAT3/ABCA3/BHLHE40/MED24/AREG/ANXA9/B4GALT1/TJP3/PTGES/RPS6KA2/GAB2/RAPGEFL1/WFS1/TSKU/TGM2/TTC39A/SYT12/RAB17/CELSR2/UNC119/TUBB2B/IGFBP4/MED13L/KCNK15
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.129184384800771	0.717691026670953	NA	0.0982675924612122	199	CCT3/CAD/CDK2/POLD2/RRP9/XPOT/EIF2S2/MYC/EIF3B/GNL3/HSP90AB1/EXOSC7/IARS1/CCT7/PSMA7/MCM7/NOP56/RNPS1/PABPC1/RPS2/SF3B3/PA2G4/NOP16/KARS1/HSPD1/CDC45/SRM/CDK4/PPIA/MRPL9/HSPE1/RSL1D1/HDGF/FBL/PSMA2/TRIM28/ORC2/SRPK1/RPS10/RANBP1/NME1/RFC4/CCT4/PPM1G/IMPDH2/UBA2/SNRPA/NOLC1/ACP1/MCM6/MCM2/LSM7/PABPC4/CCT5/SSB/DDX21/RUVBL2/ABCE1/SSBP1/MCM4/HDAC2/RAN/CCT2/CBX3/TFDP1/CLNS1A/PSMD14/ILF2/AIMP2/PCNA/RACK1/KPNA2/SNRPA1/RPL18/NCBP2/HNRNPA1/VDAC1/CSTF2/CDC20/SMARCC1/CTPS1/EIF4E/PSMA1/NHP2/PSMB2/MAD2L1/DDX18/HPRT1/PRPF31/EIF4A1/LDHA/PRDX4/EIF3D/SET/NPM1/RPL14/APEX1/PCBP1/COX5A/SNRPD2/AP3S1/PSMD7/SLC25A3/EPRS1/BUB3/NAP1L1/G3BP1/RPS3/RPLP0/PWP1/MCM5/SNRPB2/COPS5/TCP1/XPO1/HNRNPU/PSMB3/PSMA6/CCNA2/EIF3J/MRPS18B/LSM2/EIF4H/RPS5
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_edgeR	tcga_cancer__READ_edgeR	0.168785164965218	0.843925824826089	NA	0.195733401896829	42	MAL/NTNG1/ATP8B1/SLC2A4/CD160/AKAP7/SRPX/EPHB4/GSTM3/SLC34A3/MDGA1/EFNA5/PCSK9/AFAP1L2/BRCA1/SCUBE1/ATP6V0A4/NCOA6/GAS1/CROCC/THY1/RHCG/DCBLD2/ADAM10/LYPD3/B4GALT1/PKHD1/IL2RB
