pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	6.95606446692016e-08	3.47803223346008e-06	NA	0.655361560802968	57	AIMP2/BYSL/CBX3/CDK4/DDX18/DUSP2/EXOSC5/FARSA/GNL3/GRWD1/HK2/HSPD1/HSPE1/IMP4/IPO4/LAS1L/MCM4/MCM5/MPHOSPH10/MRTO4/MYBBP1A/MYC/NIP7/NOC4L/NOLC1/NOP16/NOP2/NOP56/NPM1/PA2G4/PES1/PLK1/PLK4/PPAN/PPRC1/PRMT3/PUS1/RABEPK/RCL1/RRP12/RRP9/SLC19A1/SLC29A2/SORD/SRM/TBRG4/TCOF1/TMEM97/UTP20/WDR43/WDR74
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.000242519661080532	0.0060629915270133	NA	0.277233695413092	199	ASF1A/ASF1B/ATAD2/AURKA/AURKB/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1A/CDKN2A/CDKN2C/CDKN3/CENPE/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTPS1/DCK/DDX39A/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/E2F8/ESPL1/EXOSC8/EZH2/GINS1/GINS3/GINS4/H2AX/HELLS/HMGA1/HMGB3/HMMR/ILF3/ING3/KIF18B/KIF2C/KIF4A/KPNA2/LIG1/LMNB1/LUC7L3/LYAR/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MRE11/MSH2/MTHFD2/MXD3/MYBL2/MYC/NAA38/NAP1L1/NCAPD2/NME1/NOLC1/NOP56/NUP107/NUP205/ORC2/ORC6/PA2G4/PAICS/PAN2/PCNA/PLK1/PLK4/PMS2/PNN/POLA2/POLD1/POLD2/POLD3/POP7/PPM1D/PRDX4/PRIM2/PRKDC/PSIP1/PTTG1/RACGAP1/RAD1/RAD51AP1/RAN/RANBP1/RFC2/RFC3/RPA1/RRM2/SLBP/SNRPB/SPAG5/SPC24/SPC25/SSRP1/STAG1/SUV39H1/TACC3/TBRG4/TCF19/TIMELESS/TOP2A/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UBR7/WDR90/ZW10
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00494209350220075	0.0823682250366792	NA	0.483250893909343	34	ABCC8/AKT3/CHGA/DCX/DPP4/FOXA2/FOXO1/GCG/HNF1A/INSM1/ISL1/LMO2/MAFB/NEUROD1/NEUROG3/NKX2-2/PAK3/PAX4/PCSK2/PDX1/SCGN/SEC11A/SRP14/SRPRB/SST/SYT13/VDR
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00806440557258277	0.100805069657285	NA	0.201116388881006	196	ABL1/ARID4A/AURKA/AURKB/BIRC5/BRCA2/BUB1/BUB3/CCNA2/CCNB2/CCND1/CCNF/CDC20/CDC25A/CDC25B/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CUL4A/CUL5/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F2/E2F3/E2F4/EFNA5/EGF/ESPL1/EXO1/EZH2/FANCC/FBXO5/FOXN3/G3BP1/GINS2/H2AX/H2AZ2/HIF1A/HIRA/HMGA1/HMGB3/HMGN2/HMMR/HNRNPU/HSPA8/ILF3/INCENP/KIF11/KIF15/KIF23/KIF2C/KIF4A/KNL1/KPNA2/LIG3/LMNB1/MAD2L1/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MT2A/MYBL2/MYC/NCL/NEK2/NOLC1/NOTCH2/ODF2/ORC5/ORC6/PAFAH1B1/PLK1/PLK4/PML/POLA2/POLQ/PRC1/PRIM2/PRMT5/PTTG1/PURA/RACGAP1/RAD54L/RBL1/RBM14/RPS6KA5/SFPQ/SLC12A2/SLC7A1/SLC7A5/SMARCC1/SQLE/SS18/STAG1/STIL/SUV39H1/TACC3/TENT4A/TFDP1/TNPO2/TOP2A/TPX2/TRAIP/TROAP/TTK/UBE2C/UBE2S/UPF1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0471565913246308	0.471565913246308	NA	0.154242450672146	174	ACHE/ADAM12/ADCY9/AGL/AGRN/ATP2A1/ATP6AP1/BAG1/BDKRB2/BHLHE40/CACNA1H/CAMK2B/CASQ1/CASQ2/CD36/CDKN1A/CFD/CHRNA1/CKB/CLU/COL1A1/COX7A1/CRAT/CRYAB/CTF1/DENND2B/DES/DMD/DMPK/DTNA/EFS/ENO3/EPHB3/ERBB3/FGF2/FHL1/FKBP1B/FLII/FOXO4/FST/GABARAPL2/GNAO1/GPX3/GSN/HRC/HSPB8/IGF1/ITGA7/ITGB1/ITGB4/KCNH2/KIFC3/LAMA2/LARGE1/LDB3/LSP1/MB/MEF2A/MEF2C/MEF2D/MRAS/MYBPC3/MYH11/MYH2/MYL3/MYL6B/MYLK/MYO1C/MYOM1/NCAM1/NOS1/NOTCH1/NQO1/OCEL1/PC/PDE4DIP/PDLIM7/PKIA/PPP1R3C/PRNP/PSEN2/PTGIS/PTP4A3/PYGM/REEP1/RYR1/SCD/SCHIP1/SGCA/SGCD/SGCG/SH3BGR/SLC6A8/SMTN/SORBS1/SORBS3/SPDEF/SPEG/SPHK1/SSPN/STC2/SVIL/SYNGR2/TAGLN/TEAD4/TNNT2/TNNT3/TPM2/VIPR1/WWTR1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0754761441907568	0.602505232370907	NA	0.141402104898721	158	ABCB11/AKR1B10/ASB7/BTG2/CAMK1D/CAPN9/CCDC106/CD207/CD40LG/CDKAL1/CHST2/CLDN16/CLDN8/CLSTN3/CNTFR/COL2A1/COPZ2/COQ8A/CPA2/CPB1/CPEB3/DCC/DLK2/DTNB/EDAR/EDN2/EFHD1/EGF/EPHA5/FGGY/GAMT/GDNF/GP1BA/GP2/GPR19/GPR3/GTF3C5/HNF1A/HSD11B2/HTR1D/IDUA/INSL5/ITGB1BP2/KCND1/KCNMB1/KCNQ2/KLK7/KLK8/KRT1/KRT15/LFNG/MAST3/MEFV/MFSD6/MSH5/MTHFR/NGB/NOS1/NPY4R/NR4A2/NR6A1/NRIP2/NTF3/NUDT11/P2RY4/PAX4/PDE6B/PDK2/PKP1/PRKN/PTGFR/RSAD2/RYR1/SELENOP/SGK1/SIDT1/SKIL/SLC16A7/SLC25A23/SLC29A3/SMPX/SOX10/SPRR3/SPTBN2/STAG3/SYNPO/TCF7L1/TCL1A/TENM2/TENT5C/TFCP2L1/TG/TGM1/THRB/TLX1/TNNI3/UGT2B17/WNT16/ZBTB16
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0910368810284829	0.602505232370907	NA	0.123335267970613	181	ABCB6/ABCG2/ACKR1/ACSL6/ADD1/ADD2/ADIPOR1/AGPAT4/ALAD/ALDH1L1/ALDH6A1/ARHGEF12/ASNS/ATG4A/BLVRA/BMP2K/BNIP3L/BPGM/BSG/BTG2/C3/CA1/CA2/CAST/CAT/CDR2/CLCN3/CLIC2/CPOX/CROCCP2/CTSE/DAAM1/DCAF11/DCUN1D1/E2F2/EIF2AK1/ELL2/ENDOD1/FBXO9/FECH/GCLM/GDE1/GLRX5/GMPS/GYPC/HBB/HDGF/HMBS/IGSF3/ISCA1/KAT2B/KLF3/LMO2/LPIN2/LRP10/MARCHF2/MARCHF8/MBOAT2/MGST3/MINPP1/MOCOS/MXI1/NARF/NCOA4/NEK7/NFE2L1/NNT/NR3C1/OPTN/OSBP2/PC/PDZK1IP1/PGLS/PIGQ/PPOX/PPP2R5B/RAD23A/RBM38/RCL1/RIOK3/RNF19A/SEC14L1/SELENBP1/SIDT2/SLC11A2/SLC22A4/SLC2A1/SLC30A1/SLC30A10/SLC66A2/SLC6A8/SLC6A9/SLC7A11/SMOX/SNCA/SYNJ1/TAL1/TENT5C/TMCC2/TMEM9B/TNRC6B/TNS1/TRAK2/TRIM10/TRIM58/TSPO2/UBAC1/UROD/USP15/VEZF1/XK/YPEL5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0964008371793452	0.602505232370907	NA	0.114484548560729	200	ABI3BP/ACTA2/ADAM12/ANPEP/APLP1/AREG/BASP1/BGN/CADM1/CALD1/CAP2/CAPG/CD44/CD59/CDH11/CDH2/CDH6/COL11A1/COL12A1/COL1A1/COL4A1/COL5A1/COL5A2/COL5A3/COL7A1/COLGALT1/COMP/CRLF1/CTHRC1/CXCL1/CXCL12/CXCL8/DCN/DPYSL3/DST/ECM2/EDIL3/EMP3/FAP/FAS/FBLN1/FBLN2/FBLN5/FERMT2/FGF2/FLNA/FMOD/FUCA1/FZD8/GAS1/GEM/ID2/IGFBP4/IL15/IL32/INHBA/ITGA2/ITGA5/ITGB1/ITGB3/LAMA1/LAMA2/LAMC2/LOXL2/LRRC15/MAGEE1/MATN2/MATN3/MCM7/MEST/MFAP5/MGP/MMP1/MMP14/MMP3/MSX1/MYL9/MYLK/NOTCH2/NT5E/OXTR/P3H1/PCOLCE2/PDLIM4/PFN2/PLOD1/PLOD2/PLOD3/PMEPA1/PMP22/PPIB/PTX3/PVR/QSOX1/RGS4/RHOB/SCG2/SDC1/SERPINE1/SERPINE2/SERPINH1/SFRP1/SGCB/SGCD/SGCG/SLC6A8/SLIT2/SLIT3/SNTB1/SPP1/TAGLN/TGFBI/TGFBR3/THBS1/THY1/TIMP1/TNFRSF12A/TPM1/TPM2/VCAM1/VEGFA/VIM/WIPF1
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.126109631307046	0.67631215145067	NA	0.103313682554547	195	ABCA1/ACVR2A/ADRM1/ATP2B1/AXL/BDKRB1/BTG2/C3AR1/CALCRL/CCL2/CCL20/CCL24/CCL5/CCR7/CD14/CD48/CD69/CD82/CDKN1A/CHST2/CLEC5A/CMKLR1/CSF1/CXCL11/CXCL8/CXCR6/CYBB/DCBLD2/EBI3/EMP3/FZD5/GNA15/GP1BA/GPC3/GPR183/HIF1A/IFITM1/IFNAR1/IL10/IL10RA/IL15/IL15RA/IL18/IL18R1/IL18RAP/IL1R1/IL2RB/IL4R/IL7R/INHBA/IRAK2/IRF7/ITGA5/ITGB3/ITGB8/KCNA3/KCNMB2/KIF1B/KLF6/LIF/LPAR1/LTA/MARCO/MEFV/MEP1A/MET/MMP14/MXD1/MYC/NFKB1/NFKBIA/NLRP3/NMUR1/NOD2/OLR1/OSM/P2RX4/P2RX7/P2RY2/PCDH7/PDE4B/PDPN/PIK3R5/PSEN1/PTAFR/PTGER2/PTGER4/PVR/RAF1/RASGRP1/RGS1/RGS16/RIPK2/RNF144B/ROS1/SCN1B/SELENOS/SELL/SEMA4D/SERPINE1/SGMS2/SLAMF1/SLC11A2/SLC1A2/SLC28A2/SLC31A2/SLC4A4/SLC7A1/SLC7A2/SPHK1/SRI/STAB1/TACR1/TIMP1/TLR1/TLR3/TNFSF10/TNFSF15/VIP
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.153605210310755	0.67631215145067	NA	0.0937339153115384	193	AARS1/ABCE1/ACHE/ACVR2A/APBB1/B2M/BCL10/BRCA1/C2/CAPG/CARTPT/CCL11/CCL13/CCL19/CCL2/CCL5/CCR2/CD1D/CD2/CD247/CD28/CD3D/CD3E/CD3G/CD4/CD40LG/CD7/CD79A/CD86/CD8A/CD96/CDKN2A/CFP/CRTAM/CSF1/CTSS/CXCL13/DARS1/EGFR/EIF3D/EIF4G3/ELANE/ETS1/F2/F2R/FAS/FASLG/FCGR2B/FLNA/FYB1/GALNT1/GBP2/GPR65/GZMA/GZMB/HCLS1/HDAC9/HIF1A/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DQA1/HLA-DRA/IFNAR2/IFNGR1/IGSF6/IKBKB/IL10/IL11/IL15/IL16/IL18/IL18RAP/IL27RA/IL2RB/IL4R/INHBA/INHBB/IRF4/IRF7/ITGAL/ITK/JAK2/KLRD1/KRT1/LIF/LTB/LY75/LY86/MAP4K1/MMP9/MRPL3/NCF4/NCK1/NLRP3/NME1/NPM1/PRKCB/PTPRC/RIPK2/RPS19/SIT1/SRGN/ST8SIA4/STAB1/STAT4/TAP1/TAP2/THY1/TIMP1/TLR1/TLR3/TLR6/TPD52/TRAF2/TRAT1/WAS
