pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.0020192045472200077	0.012620028420125048		0.6319501206661375	200	CD151;APOE;TST;JAGN1;NDUFS3;GPX4;DHRS7B;ANGPT1;CRAT;DNAJB9;FABP4;LIFR;IFNGR1;ACADM;COQ9;COX7B;CHCHD10;SDHC;SCP2;ITGA7;PEX14;MYLK;HADH;PPM1B;CPT2;RETSAT;ESRRA;UBC;ATP5PO;CIDEA;HIBCH;ECHS1;SNCG;ELMOD3;UQCR11;SSPN;SLC1A5;ARAF;GPX3;CHUK;SDHB;AGPAT3;CCNG2;BCL6;ACO2;SPARCL1;PTGER3;STOM;UQCR10;ADIPOQ;COX6A1;ACLY;LEP;MGST3;NKIRAS1;LIPE;DHRS7;ETFB;ENPP2;RIOK3;CYP4B1;COL4A1;ACADS;PTCD3;PEMT;SOWAHC;UQCRC1;UQCRQ;ME1;RTN3;ATL2;YWHAG;MTARC2;PLIN2;ANGPTL4;CD36;SUCLG1;SOD1;ACOX1;DHCR7;MGLL;ABCA1;UBQLN1;ITIH5;COL15A1;GPAT4;ADIPOR2;CAT;DBT;CAVIN2;UCK1;ALDOA;CD302;RNF11;NDUFB7;GHITM;EPHX2;LPCAT3;HSPB8;LPL;NDUFA5;BCL2L13;SULT1A1;REEP5;PGM1;MIGA2;COX8A;NABP1;SLC25A1;CAVIN1;SLC5A6;TALDO1;C3;ECH1;GADD45A;STAT5A;PDCD4;ACADL;LTC4S;QDPR;ALDH2;MRPL15;IDH3G;REEP6;SORBS1;VEGFB;ELOVL6;SAMM50;DGAT1;PHYH;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.9998311175443968	0.9998311175443968		-0.7283502006159421	200	TRAF2;TAP2;IL18;HDAC9;NCF4;LCP2;IFNGR1;WARS1;NPM1;MMP9;FYB1;IKBKB;KLRD1;CCL11;STAT1;RPS9;KRT1;F2;LY75;IL11;ABCE1;LIF;CD47;F2R;THY1;IL2RA;CD86;MTIF2;RARS1;RPS3A;CCR1;BRCA1;PRKCG;IRF8;IRF4;RIPK2;CTSS;MAP3K7;CXCL9;LYN;EIF3A;SIT1;RPL9;INHBB;AARS1;GZMB;CD80;APBB1;FLNA;IL27RA;NME1;INHBA;BCAT1;MRPL3;IL16;C2;CCL4;TLR2;GLMN;ICAM1;HLA-DOB;HLA-DOA;IL4R;TAP1;CCL2;TIMP1;PRKCB;TLR3;CDKN2A;TAPBP;IL12A;CCL7;HLA-G;IGSF6;EIF3J;ELANE;CFP;UBE2D1;ETS1;TGFB2;ACVR2A;IFNG;CD79A;CARTPT;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.7312732903261037	0.8917966955196387		-0.1520514876383993	101	CENPN;BMPR1B;ELL2;PGM3;ITGAV;PTPN21;PMEPA1;PLPP1;CCND1;UBE2J1;ABCC4;DHCR24;RAB4A;DNAJB9;SCD;DBI;PTK2B;LIFR;UAP1;ABHD2;KLK3;HPGD;RRP12;AKT1;AKAP12;MAF;MAK;PDLIM5;SMS;TSC22D1;SELENOP;GPD1L;PA2G4;NCOA4;STEAP4;ADRM1;TMPRSS2;AZGP1;HOMER2;SGK1;INSIG1;CDK6;ADAMTS1;XRCC5;FKBP5;MAP7;NDRG1;SLC26A2;VAPA;ELK4;RPS6KA3;HERC3;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.0039029860138578574	0.02168325563254365		1.5162301096314077	36	TIMP1;ITGAV;FGFR1;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;JAG1;TNFRSF21;THBD;OLR1;LUM;NRP1;CXCL6;VTN;COL5A2;KCNJ8;VEGFA;PDGFA;VCAN;VAV2;MSX1;LRPAP1;PGLYRP1;JAG2;LPL;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.2726789333893008	0.5243825642101939		0.14069558414242683	200	MPZL2;CDH8;BAIAP2;SGCE;KCNH2;JAM3;SYMPK;NECTIN1;CRAT;NRXN2;COL17A1;CLDN11;PIK3CB;MMP9;SLIT2;FYB1;CRB3;CLDN8;NFASC;MPZL1;GTF2F1;CLDN6;HADH;PLCG1;TJP1;COL9A1;LAMC2;SPEG;ITGB4;THY1;MYH9;CD86;CNTN1;NECTIN2;NEXN;RHOF;CLDN9;PTK2;MADCAM1;CDH6;AKT3;FSCN1;AMIGO1;VCAM1;GNAI1;MVD;NF1;CLDN4;CTNNA1;ALOX15B;PKD1;ACTB;ACTC1;VCAN;VAV2;DSC3;NEGR1;CD99;CDH11;COL16A1;KRT31;CADM2;AMIGO2;TMEM8B;TGFBI;ACTN2;DSC1;CDK8;IKBKG;MAPK14;CLDN5;PARVA;RSU1;PARD6G;LAYN;WASL;ADAM9;ADAM23;ADRA1B;NECTIN4;DHX16;AKT2;SORBS3;ICAM5;ITGA2;ARPC2;PPP2R2C;INSIG1;AMH;TNFRSF11B;ICAM1;ITGB1;BMP1;LAMA3;GAMT;ACTG2;CLDN14;CD274;CD276;PTEN;MAP3K20;ICAM2;CADM3;RRAS;CLDN15;ITGA9;NRTN;FLNC;MDK;WNK4;CX3CL1;NLGN3;NLGN2;TUBG1;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.0312356556861886	0.09761142401933938		0.9232579144268619	44	GSTM3;TMEM8B;MAL;PCSK9;CRYBG1;FLOT2;NTNG1;BRCA1;GATA3;GAS1;SRPX;ADIPOR2;PKHD1;RHCG;SCUBE1;EPHB4;MDGA1;CD160;LYPD3;ADAM10;PLAUR;HSPB1;CX3CL1;LYN;ATP6V0A4;SLC2A4;NCOA6;SULF2;THY1;SLC34A3;GHRL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.39185102620935275	0.6997339753738441		0.08037878123160984	161	PPP2R5B;IL18;SPTAN1;GSN;GPX4;NEFH;IFNGR1;GCH1;ERBB3;CASP2;HGF;RETSAT;AIFM3;AVPR1A;F2;PLPPR4;LGALS3;TSPO;TIMP3;SOD2;PLCB2;GPX3;F2R;IGF2R;IFITM3;LEF1;ANXA1;PTK2;TNFRSF12A;BCL2L2;BRCA1;VDAC2;ATF3;TOP2A;DIABLO;XIAP;KRT18;BCL2L1;HMOX1;CAV1;RNASEL;IGFBP6;MGMT;CASP9;BIK;GADD45B;JUN;SMAD7;CTNNB1;BTG3;SATB1;DAP3;SOD1;PLAT;ETF1;EGR3;BTG2;BGN;DCN;PPT1;SLC20A1;BCAP31;CASP8;RARA;HSPB1;SC5D;TXNIP;CDC25B;BCL2L11;BID;TAP1;GNA15;ISG20;TIMP1;PMAIP1;CLU;RHOB;ADD1;CCND1;CDK2;EMP1;DNAJA1;GSTM1;LUM;CCNA1;GADD45A;PDCD4;PDGFRB;FEZ1;HMGB2;TGFB2;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.011872954595475601	0.049470644147815004		0.6823752878794994	112	APOA1;CYP7A1;NR1H4;PAOX;SULT2B1;PRDX5;ALDH9A1;SOD1;GNMT;BCAR3;BBOX1;AQP9;DHCR24;SOAT2;CH25H;GC;SLC23A1;ABCG8;HACL1;ALDH1A1;ACSL5;ABCA1;PEX26;HSD17B4;CYP46A1;NR0B2;ABCA5;SLC29A1;NR3C2;LIPE;ISOC1;PXMP2;CAT;SCP2;RXRG;AR;EFHC1;HSD17B6;ABCA8;OPTN;CYP39A1;HSD3B7;PEX11G;GSTK1;SULT1B1;CROT;PEX19;NPC1;PECR;RETSAT;PEX11A;RXRA;PEX16;HSD17B11;MLYCD;ATXN1;TFCP2L1;RBP1;ABCA6;SLC35B2;EPHX2;CYP7B1;ABCD2;ACSL1;PIPOX;SLCO1A2;PHYH;ABCG4;BMP6;PEX1;PFKM;CYP27A1;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.47834301940327323	0.744244038043482		0.05405374377804088	74	PCYT2;GPX8;CLU;FDPS;TRIB3;DHCR7;TNFRSF12A;SCD;NIBAN1;ERRFI1;PMVK;STX5;PDK3;ATF3;JAG1;LSS;GNAI1;MVD;CPEB2;ANXA5;NSDHL;ECH1;ADH4;SREBF2;NFIL3;AVPR1A;PNRC1;CXCL16;MVK;PLAUR;SC5D;LGALS3;FABP5;TM7SF2;ATXN2;ALDOC;ANTXR2;ACSS2;SEMA3B;PLSCR1;LPL;CTNNB1;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.5424797521063988	0.7977643413329393		-0.006563456949222889	138	TF;BMP1;APOA1;CTSO;TIMP1;CLU;C8A;GSN;MAFF;ISCU;ANXA1;RAPGEF3;PLAT;CSRP1;F3;MMP3;C8G;APOC3;F13B;F10;PLAU;PREP;SIRT2;MMP1;CPB2;MMP9;CFD;DPP4;MMP7;MMP11;F11;ADAM9;RGN;THBD;CTSB;OLR1;CPN1;MMP14;PEF1;SERPINB2;C3;SPARC;PDGFB;MSRB2;APOC1;ANG;ACOX2;CPQ;C2;F2;SERPINE1;ITGA2;F2RL2;MMP8;GNG12;CRIP2;COMP;TIMP3;TMPRSS6;CASP9;WDR1;MST1;CTSK;CAPN2;MEP1A;PLEK;PROC;P2RY1;MMP10;PROZ;LTA4H;F8;DCT
