pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	8.63519339173927e-13	4.31759669586963e-11	NA	0.455001267059094	199	DSCC1/ATAD2/PRIM2/RFC3/MMS22L/HELLS/NUP107/BRCA1/RAD51AP1/CHEK1/CENPE/CDC25B/NOP56/DNMT1/TRIP13/ANP32E/GINS4/ORC6/HMGB3/KPNA2/TIMELESS/LYAR/MAD2L1/KIF2C/NASP/TMPO/MCM6/DONSON/GINS1/PAICS/TOP2A/MCM3/TIPIN/DCLRE1B/XPO1/CTPS1/MSH2/CCNE1/SRSF1/MCM7/PLK4/KIF18B/CSE1L/MTHFD2/CIT/BRCA2/MCM4/CHEK2/BUB1B/NOLC1/POLD3/NCAPD2/KIF4A/UBE2T/PCNA/PRKDC/AURKA/SPAG5/MCM2/RAD21/EZH2/CDK1/WDR90/RACGAP1/CCNB2/CDKN1A/PNN/STMN1/ORC2/DLGAP5/MELK/CDC25A/POLE/TUBB/CDKN2A/POLD1/HMMR/MKI67/SRSF2/CDKN3/USP1/NUP205/NBN/KIF22/DEPDC1/LIG1/PLK1/CNOT9/MYBL2/TACC3/RANBP1/UBE2S/LMNB1/CDCA8/SPC25/TFRC/POLA2/SMC6/SUV39H1/PSMC3IP/ILF3/DEK/EED/SMC3/CKS1B/PA2G4/SMC1A/SHMT1/RAD1/SPC24/SLBP/CKS2/MRE11/DIAPH3/RRM2/BARD1/EXOSC8/SMC4/NME1/AURKB/BIRC5/SNRPB/SSRP1/CDC20/SYNCRIP/RAN/NAA38/HMGB2/MCM5/TBRG4/CTCF/ZW10/HUS1/DCK/ASF1B/NUDT21/RFC2/GINS3/H2AX/TK1/CCP110/DDX39A/HMGA1/NUP153/E2F8/PTTG1/CDK4/EIF2S1/PMS2/TCF19/LUC7L3/DUT/PRPS1/PDS5B/TP53/RPA3/UNG/LBR/MXD3/RAD50/HNRNPD/CDCA3/TUBG1/H2AZ1/IPO7/CENPM/DCTPP1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	8.64885176316279e-07	2.1622129407907e-05	NA	0.3337972891159	197	E2F3/HOXC10/PRIM2/DKC1/STIL/RBL1/PRC1/KIF23/CHEK1/CENPE/DBF4/CDC7/CDC25B/KIF20B/ODF2/ORC6/NDC80/HMGB3/KPNA2/MAD2L1/KIF15/CENPF/KIF2C/E2F1/SMC2/NASP/TMPO/MCM6/RAD54L/EXO1/TOP2A/MCM3/TPX2/NSD2/XPO1/SNRPD1/SRSF1/SRSF10/BUB1/PLK4/BRCA2/NOLC1/CDC6/KIF4A/FBXO5/AURKA/CCNF/TROAP/MCM2/CHAF1A/TRAIP/MTF2/RAD21/NEK2/EZH2/CDK1/KIF11/POLQ/RACGAP1/CCNB2/STMN1/NCL/BUB3/CDC25A/POLE/KNL1/FOXN3/TTK/HMMR/MKI67/SRSF2/CDKN3/UBE2C/FANCC/SMARCC1/PBK/RPS6KA5/CDC45/KIF22/MT2A/PLK1/G3BP1/MYBL2/TACC3/UBE2S/LMNB1/CENPA/PAFAH1B1/CDC27/POLA2/CCNA2/SUV39H1/WRN/ILF3/CUL4A/PURA/CKS1B/UCK2/SMC1A/TFDP1/HNRNPU/DMD/MEIS2/SFPQ/CKS2/BARD1/SMC4/MEIS1/ORC5/MAP3K20/AURKB/NUP98/BIRC5/GINS2/CDC20/SYNCRIP/LIG3/MCM5/KPNB1/CTCF/HUS1/TOP1/CASP8AP2/HIRA/DTYMK/CCNT1/RBM14/KIF5B/CCND1/TENT4A/ABL1/H2AX/SLC12A2/ODC1/DDX39A/HMGA1/EGF/PTTG1/HIF1A/CDK4/SAP30/EWSR1/PDS5B/LBR/HNRNPD/INCENP/PML/E2F4/PRMT5/H2AZ1/MAPK14/NUP50
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	1.49104727853929e-05	0.000248507879756548	NA	0.308651411708163	182	GPX3/ADAM12/TEAD4/CHRNA1/CFD/COL1A1/GSN/EFS/COL3A1/AGRN/SGCG/NCAM1/SPARC/SIRT2/CD36/PPP1R3C/CKMT2/GADD45B/SH3BGR/MYOM2/HDAC5/FOXO4/CRYAB/ATP2A1/NOS1/CDKN1A/DENND2B/OCEL1/MYL4/CKB/CKM/STC2/TNNT3/MEF2D/FHL1/HSPB8/PC/COX7A1/TPD52L1/ACTC1/FGF2/ACTN2/TNNC1/DMPK/DMD/CRAT/MYOM1/GNAO1/HSPB2/SORBS1/SVIL/PRNP/ABLIM1/PKIA/SMTN/SLC6A8/MAPRE3/MYOZ1/SGCA/CAMK2B/MYH7/PYGM/TPM2/SH2B1/CLU/ADCY9/MYH4/REEP1/MB/SPEG/IGFBP3/SOD3/MYH11/LAMA2/TAGLN/CACNA1H/LDB3/HRC/CASQ2/CNN3/MYO1C/APLNR/ITGA7/KCNH2/COL6A3/MYL3/VIPR1/LSP1/LARGE1/MYLK/SCHIP1/TSC2/DAPK2/AKT2/FKBP1B/TNNI2/GABARAPL2/TPM3/GJA5/ACSL1/WWTR1/HBEGF/PDLIM7/BDKRB2/FST/PFKM/ITGB4/RB1/CTF1/DTNA/MEF2A/EIF4A2/SORBS3/FLII/DES/PPFIA4/MAPK12/SCD/SPHK1/CASQ1/MYH1/MYH9/TNNT1/SSPN/RIT1/MYL6B/TCAP/ERBB3/PVALB/COL15A1/FABP3/NQO1/NAV2/NOTCH1/PTGIS/PDE4DIP/FDPS/SPTAN1
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.000185997753701574	0.00232497192126968	NA	0.455155524748724	56	HSPD1/NOP56/CBX3/DDX18/WDR43/PUS1/TCOF1/PLK4/MCM4/UTP20/NOLC1/BYSL/PRMT3/RRP12/PLK1/NIP7/MRTO4/RRP9/PA2G4/TFB2M/SUPV3L1/HSPE1/PPRC1/GNL3/MYBBP1A/MCM5/TBRG4/SLC29A2/NOP2/NOP16/NOC4L/PES1/MPHOSPH10/GRWD1/CDK4/SRM/MAP3K6/EXOSC5/HK2/WDR74/NPM1/RCL1/UNG/LAS1L/IMP4/FARSA/DCTPP1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.00125724296021994	0.0125724296021994	NA	0.233549956467445	182	KRT4/KRT1/TGM1/GAMT/BTG2/NGB/CLDN8/KRT13/KCNE2/CNTFR/CPB1/SPRR3/LYPD3/TNNI3/CPEB3/ZBTB16/CLPS/SLC6A3/CCR8/PDK2/KRT5/MSH5/PRKN/EDN2/KRT15/ABCG4/NOS1/SLC25A23/TFAP2B/PKP1/LGALS7/GRID2/GPR19/SELENOP/CPA2/SLC16A7/CKM/CD80/KLHDC8A/ARPP21/IFNG/CCDC106/ACTC1/SGK1/SKIL/SOX10/SLC5A5/SHOX2/CD207/SLC6A14/TAS2R4/CAMK1D/ASB7/ATP4A/TCF7L1/CDKAL1/ITGB1BP2/MACROH2A2/TENM2/SNN/BARD1/EFHD1/MYH7/TENT5C/SERPINA10/CLDN16/COPZ2/ABCB11/KCNMB1/CAPN9/EPHA5/TLX1/AKR1B10/SNCB/CACNA1F/RGS11/IFI44L/BMPR1B/IGFBP2/UGT2B17/DCC/ARHGDIG/TFF2/SCGB1A1/PTPRJ/SMPX/RYR2/TGFB2/THNSL2/GPRC5C/RIBC2/ALOX12B/NTF3/CLSTN3/EGF/LFNG/CCNA1/VPS50/NR6A1/SYNPO/EDN1/THRB/CHST2/MTHFR/ZNF112/SERPINB2/CDH16/NR4A2/CYP39A1/MAGIX/BRDT/SPHK2/HTR1B/SCN10A/P2RX6/YPEL1/KLK8/PDE6B/NUDT11/YBX2/CALML5/NPY4R/TFCP2L1/FGGY/MEFV/FGFR3/SLC38A3/CELSR2/PTGFR/IRS4/HNF1A
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.00905540944004183	0.075461745333682	NA	0.179821431363211	199	HSPD1/RFC4/NOP56/CBX3/DDX21/CDK2/DDX18/KPNA2/MAD2L1/MCM6/XPO1/CTPS1/CAD/SNRPD1/SRSF1/MCM7/ABCE1/MCM4/NOLC1/CCT2/HSP90AB1/PCNA/MCM2/XPOT/SSB/SNRPA1/HNRNPA2B1/ORC2/BUB3/SET/TYMS/NCBP2/DHX15/SRSF2/PSMD14/PSMA2/USP1/SMARCC1/PCBP1/CDC45/SRPK1/G3BP1/TARDBP/CCT3/RANBP1/PTGES3/EPRS1/CCT5/HNRNPR/IARS1/PSMD1/CCNA2/UBE2E1/RRP9/EIF3B/DEK/NCBP1/PA2G4/TFDP1/ILF2/UBA2/HNRNPU/HDAC2/EIF4H/SF3B3/CNBP/FAM120A/TCP1/SNRPB2/NME1/HPRT1/KARS1/POLE3/HSPE1/RPL34/RPS6/GNL3/CDC20/SYNCRIP/SLC25A3/RAN/MCM5/KPNB1/PPM1G/TRIM28/EIF2S2/STARD7/SNRPG/PSMB2/PSMA4/CCT4/CANX/PSMA1/NOP16/RRM1/RNPS1/RUVBL2/ODC1/HNRNPA1/SNRPA/PSMC4/PWP1/AP3S1/CDK4/PSMD3/HNRNPA3/SRM/CLNS1A/EIF2S1/PSMA7/RPL14/HDGF/FBL/CSTF2/RACK1/EEF1B2/NPM1/DUT/SRSF7/RPL18/ETF1/EIF3J/EIF1AX/MRPL23/RPS5/ACP1/NHP2/RPL6/HNRNPD/H2AZ1/PSMA6/EIF4A1/PRPF31/PSMC6/SERBP1/C1QBP/COX5A/HNRNPC
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.020335260095173	0.145251857822664	NA	0.159300941471255	196	GPX3/CYP4B1/CIDEA/ACADM/ACO2/RNF11/CD36/LTC4S/SULT1A1/PDCD4/DHRS7/NDUFB7/UBC/HADH/CAT/SLC5A6/MIGA2/LEP/EPHX2/SUCLG1/ANGPT1/LIFR/DNAJB9/ACOX1/COL4A1/UQCRQ/PTCD3/ME1/FABP4/ALDH2/RETSAT/SCP2/UQCR11/MTARC2/ANGPTL4/HSPB8/DBT/SLC1A5/ATP5PO/ACADL/ALDOA/UCK1/COQ9/COX8A/TST/ECH1/UQCR10/ACADS/GHITM/CRAT/CPT2/SORBS1/GPAT4/CHCHD10/APOE/PGM1/DGAT1/MGST3/NDUFS3/PTGER3/ETFB/ITIH5/NDUFA5/ADIPOQ/COX7B/CHUK/MGLL/PHYH/SPARCL1/RIOK3/NKIRAS1/GADD45A/ELMOD3/ARAF/VEGFB/SAMM50/UQCRC1/ADIPOR2/ITGA7/REEP6/SNCG/CAVIN1/YWHAG/ATL2/MYLK/LPCAT3/ACLY/SDHB/IFNGR1/RETN/CCNG2/MRPL15/IDH3G/LPL/DHRS7B/SLC25A1/ENPP2/STOM/COX6A1/ABCA1/LIPE/SOD1/BCL6/AGPAT3/HIBCH/PFKL/SDHC/QDPR/GPX4/PEX14/ESRRA/BCL2L13/STAT5A/REEP5/ELOVL6/CAVIN2/C3/SSPN/PLIN2/DHCR7/OMD/RTN3/PPM1B/SOWAHC/COL15A1/NABP1/CD151/PEMT/JAGN1/CD302/ECHS1/TALDO1/UBQLN1/ITSN1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.0250961046446498	0.156850654029061	NA	0.151528246604305	200	CTHRC1/ADAM12/BGN/INHBA/COL11A1/COL1A1/FAP/COL5A2/COLGALT1/SPP1/LAMC2/SERPINH1/MMP3/PMEPA1/COL3A1/P3H1/SGCG/MEST/COL1A2/SPARC/CXCL8/MCM7/LOX/TNFRSF11B/ECM1/MXRA5/MATN3/THBS2/BMP1/COMP/GADD45B/VCAN/MMP14/JUN/LOXL2/THY1/PLOD3/PCOLCE2/TIMP1/SERPINE1/ABI3BP/PVR/SFRP4/PDGFRB/TGFBR3/DCN/CXCL1/CDH11/COL12A1/COL4A1/LRRC15/COL5A1/MFAP5/RHOB/TPM1/SFRP1/FBLN1/PDLIM4/MAGEE1/ITGA2/FGF2/COL5A3/CXCL6/CALU/PMP22/MYL9/CAP2/PTX3/SLC6A8/TPM2/CXCL12/FERMT2/PLAUR/PRRX1/IGFBP3/EMP3/GADD45A/LAMA2/FLNA/TIMP3/GEM/TAGLN/VCAM1/CDH2/LAMA3/GJA1/BDNF/PTHLH/ACTA2/SLIT2/VEGFA/MSX1/MATN2/COL6A3/GAS1/ITGAV/IGFBP2/MYLK/SLIT3/TNFRSF12A/COL7A1/CALD1/DKK1/FBLN2/TNFAIP3/CDH6/MMP1/DST/QSOX1/ANPEP/LUM/SDC1/SCG2/NID2/FUCA1/CD59/LOXL1/RGS4/SGCB/FBLN5/TGFBI/GREM1/SNTB1/FOXC2/NNMT/FMOD/FSTL3/DAB2/PLOD1/NTM/EFEMP2/TGM2/COPA/OXTR/ID2/GLIPR1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.0353751632189325	0.196528684549625	NA	0.333526080347192	35	OLR1/COL5A2/SPP1/COL3A1/VCAN/PTK2/TIMP1/THBD/CXCL6/VAV2/STC1/LRPAP1/NRP1/VEGFA/MSX1/ITGAV/SLCO2A1/LPL/FGFR1/TNFRSF21/APOH/JAG2/LUM/S100A4/PDGFA/KCNJ8/JAG1
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__STAD_edgeR	tcga_cancer__STAD_edgeR	0.0685100284982964	0.332779552228041	NA	0.162487458594172	108	DBF4/RFC4/GAD1/GRM8/TOPBP1/KIF2C/IL13RA2/TSN/BUB1/TNNI3/PACRG/TKTL1/AURKA/TLE4/NEK2/SLC2A5/ACRV1/EZH2/CDK1/CCNB2/NOS1/NCAPH/ACE/MEP1B/TTK/ELOVL3/CDKN3/HSPA2/ART3/PEBP1/CHRM4/SCG5/ALOX15/JAM3/CLPB/PSMG1/SPATA6/TCP11/COIL/DCC/DDX25/GSTM3/PGS1/SLC12A2/ADAM2/CCNA1/HSPA1L/GMCL1/SHE/ADCYAP1/POMC/PARP2/DMC1/CHFR/DDX4/IFT88/SNAP91/NEFH/CNIH2/CRISP2/YBX2/PHF7/IL12RB2/MAST2/TULP2/PIAS2/PCSK1N/MAP7/STRBP/PHKG2/SYCP1/IP6K1/TALDO1/CLVS1
