pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0001221981030133142	0.0006788783500739678		0.7797415194801153	200	SCARB1;APOE;TST;NDUFS3;GPX4;DHRS7B;ANGPT1;SLC19A1;CRAT;DNAJB9;FABP4;LIFR;IFNGR1;ACADM;COQ9;COX7B;CHCHD10;SDHC;SCP2;ITGA7;PEX14;MYLK;HADH;CPT2;RETSAT;UBC;ATP5PO;CIDEA;HIBCH;ECHS1;SNCG;ELMOD3;UQCR11;SSPN;SLC1A5;ARAF;GPX3;CHUK;SDHB;AGPAT3;RETN;ACO2;SPARCL1;PTGER3;STOM;UQCR10;ADIPOQ;COX6A1;ACLY;LEP;MGST3;NKIRAS1;LIPE;DHRS7;ETFB;ENPP2;RIOK3;CYP4B1;COL4A1;ACADS;PTCD3;ITSN1;UQCRC1;UQCRQ;ME1;ATL2;YWHAG;TOB1;MTARC2;ANGPTL4;CD36;SUCLG1;SOD1;ACOX1;MGLL;RAB34;ABCA1;ITIH5;COL15A1;GPAT4;ADIPOR2;CAT;DBT;CAVIN2;UCK1;ALDOA;CD302;RNF11;NDUFB7;GHITM;EPHX2;SLC27A1;HSPB8;NDUFA5;BCL2L13;SULT1A1;REEP5;PGM1;MIGA2;COX8A;NABP1;SLC25A1;CAVIN1;SLC5A6;FAH;ECH1;GADD45A;PDCD4;ACADL;LTC4S;QDPR;ALDH2;MRPL15;IDH3G;SORBS1;VEGFB;SAMM50;PHYH;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.9257170494074465	0.9446092340892311		-0.2846784981739295	200	TRAF2;TAP2;IL2RG;ST8SIA4;HDAC9;LCP2;IFNGR1;WARS1;MMP9;FYB1;IKBKB;CCL11;STAT1;RPS9;KRT1;LY75;LY86;IL11;ABCE1;LIF;CD47;F2R;THY1;IL2RA;CD86;MTIF2;RPS3A;CCR1;BRCA1;PRKCG;IRF8;RIPK2;CCL22;CTSS;MAP3K7;CXCL9;LYN;EIF3A;PTPN6;RPL9;AARS1;CXCL13;FCGR2B;CD80;APBB1;FLNA;IL27RA;NME1;INHBA;BCAT1;MRPL3;IL16;C2;CCL4;TLR2;LCK;GLMN;ICAM1;CCR5;IL4R;TAP1;CCL2;TIMP1;PRKCB;TLR3;CDKN2A;TAPBP;IL12A;CCL7;IGSF6;EIF3J;ELANE;CCND3;CFP;GPR65;UBE2D1;ETS1;TGFB2;ACVR2A;IFNG;CARTPT;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.4182000455794072	0.5007367094721014		0.08925143749812638	101	CENPN;BMPR1B;ELL2;PGM3;ITGAV;H1-0;PTPN21;KRT8;PMEPA1;PLPP1;CCND1;UBE2J1;ABCC4;RAB4A;DBI;DNAJB9;LIFR;UAP1;ABHD2;HPGD;RRP12;AKT1;AKAP12;MAF;MAK;SMS;TSC22D1;SELENOP;NKX3-1;GPD1L;PA2G4;NCOA4;STEAP4;CCND3;HOMER2;SGK1;CDK6;ADAMTS1;XRCC5;FKBP5;MAP7;NDRG1;SLC26A2;VAPA;ELK4;RPS6KA3;HERC3;ZMIZ1;SRF
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.05499094596426967	0.15028461067449886		0.8559900550754292	36	TIMP1;ITGAV;FGFR1;PTK2;COL3A1;SPP1;SLCO2A1;JAG1;TNFRSF21;THBD;OLR1;LUM;NRP1;CXCL6;COL5A2;VEGFA;VCAN;VAV2;MSX1;LRPAP1;JAG2;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.5009880492117961	0.5825442432695304		0.014753221151872673	200	BAIAP2;SGCE;KCNH2;SYMPK;JAM3;NRXN2;CRAT;CLDN11;PIK3CB;MMP9;SLIT2;FYB1;CLDN7;CLDN8;NFASC;MPZL1;GTF2F1;CLDN6;HADH;LAMC2;SPEG;GRB7;ITGB4;LAMB3;THY1;MYH9;CD86;CNTN1;NEXN;CLDN9;PTK2;MADCAM1;CDH6;FSCN1;AMIGO1;VCAM1;GNAI1;MVD;NF1;CLDN4;CTNNA1;PKD1;EVL;ACTC1;VCAN;VAV2;NEGR1;CD99;CDH11;CADM2;AMIGO2;TMEM8B;TGFBI;ACTN2;IKBKG;MAPK14;CLDN5;PARVA;RSU1;PARD6G;LAYN;WASL;ADAM9;ADAM23;ADRA1B;AKT2;SORBS3;ITGA2;ARPC2;PPP2R2C;AMH;TNFRSF11B;PBX2;ICAM1;ITGB1;BMP1;LAMA3;GAMT;ACTG2;CLDN14;CD276;PTEN;CADM3;RRAS;ITGA9;NRTN;FLNC;MDK;WNK4;NLGN3;CALB2;NLGN2;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.06798758213523177	0.15451723212552676		0.7177029367468989	44	GSTM3;TMEM8B;IL2RG;MAL;PCSK9;NTNG1;BRCA1;GATA3;GAS1;RTN4RL1;SRPX;ADIPOR2;PKHD1;AKAP7;SCUBE1;EPHB4;MDGA1;CD160;ADAM10;PLAUR;HSPB1;LYN;SLC2A4;NCOA6;THY1;GHRL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.1600423518750742	0.27173725834221407		0.24573009540803992	161	PPP2R5B;SPTAN1;GSN;GPX4;IFNGR1;GCH1;DPYD;BAX;IL1A;ERBB3;CASP2;RETSAT;PLPPR4;TSPO;TIMP3;SOD2;PLCB2;GPX3;F2R;IFITM3;LEF1;PTK2;TNFRSF12A;BCL2L2;BRCA1;VDAC2;ATF3;TOP2A;DIABLO;KRT18;BCL2L1;CAV1;RNASEL;IGFBP6;MGMT;CASP9;BIK;GADD45B;JUN;SMAD7;BTG3;SATB1;DAP3;H1-0;SOD1;PLAT;EGR3;BTG2;BGN;DCN;PPT1;SLC20A1;CASP8;RARA;HSPB1;SC5D;TXNIP;CDC25B;BCL2L11;BID;TAP1;TIMP1;PMAIP1;CLU;RHOB;ADD1;CCND1;CYLD;CDK2;EMP1;DNAJA1;GSTM1;LUM;CCNA1;GADD45A;PDCD4;CDKN1B;PDGFRB;FEZ1;HMGB2;TGFB2;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.014998908901674029	0.06483072209569783		0.6335938209163978	112	APOA1;CYP7A1;PAOX;PRDX5;ALDH9A1;SOD1;TTR;GNMT;BCAR3;AQP9;SOAT2;CH25H;SLC23A1;HACL1;ALDH1A1;ABCA1;HSD17B4;CYP46A1;ABCA5;NR3C2;LIPE;ISOC1;PXMP2;PEX6;CAT;SCP2;RXRG;AR;HSD17B6;ABCA8;OPTN;CYP39A1;HSD3B7;PEX11G;GSTK1;CROT;PEX19;NPC1;ABCA3;RETSAT;PECR;PEX11A;DIO2;RXRA;MLYCD;ATXN1;RBP1;ABCA6;LCK;EPHX2;CYP7B1;ABCD2;ACSL1;SLC27A2;PIPOX;SLCO1A2;ABCG4;IDH2;PHYH;BMP6;PEX1;CYP27A1;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.4065726411871869	0.5007367094721014		0.11810346675803277	74	GPX8;CLU;TRIB3;TNFRSF12A;NIBAN1;ERRFI1;PMVK;STX5;PDK3;ATF3;JAG1;LSS;GNAI1;TP53INP1;MVD;CPEB2;ECH1;ADH4;SREBF2;NFIL3;MAL2;PNRC1;CXCL16;PLAUR;TMEM97;SC5D;CYP51A1;TM7SF2;ATXN2;ALDOC;ANXA13;ANTXR2;ACSS2;SEMA3B;PLSCR1;MVK;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.23285006364796992	0.34242656418819106		0.20837701590201613	138	TF;BMP1;APOA1;CTSO;TIMP1;CLU;GSN;MAFF;ISCU;RAPGEF3;PLAT;SERPINA1;CSRP1;F12;MMP3;FN1;APOC3;GDA;F10;PLAU;PREP;SIRT2;MMP1;CPB2;MMP9;CFD;MMP7;MMP11;F11;ADAM9;RGN;THBD;CTSB;OLR1;MMP14;PEF1;SPARC;PDGFB;MSRB2;APOC1;ANG;ACOX2;CPQ;C2;SERPINE1;ITGA2;F2RL2;MMP8;GNG12;CRIP2;CTSV;COMP;TIMP3;TMPRSS6;HNF4A;CASP9;WDR1;CAPN2;PLEK;PROC;P2RY1;MMP10;PROZ;LTA4H;F8;DCT
