pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	2.19691290421163e-08	1.09845645210581e-06	NA	0.329485446065444	196	ABLIM1/ADCY1/ADCY9/ADD3/AFF1/AKAP1/ALDH3B1/AMFR/ANXA9/AR/AREG/ARL3/B4GALT1/BAG1/BCL11B/BCL2/BHLHE40/CA12/CALB2/CANT1/CBFA2T3/CCND1/CD44/CELSR1/CELSR2/CHPT1/CLDN7/CLIC3/CXCL12/CYP26B1/DEPTOR/DHCR7/DHRS2/DHRS3/DLC1/DYNLT3/EGR3/ELF3/ELOVL2/ELOVL5/ENDOD1/ESRP2/FARP1/FCMR/FDFT1/FHL2/FKBP4/FKBP5/FLNB/FOS/FRK/GAB2/GFRA1/GJA1/GLA/GREB1/HES1/HR/HSPB8/IGFBP4/IL6ST/INHBB/INPP5F/ISG20L2/ITPK1/JAK2/KAZN/KCNK15/KCNK5/KDM4B/KLF10/KLF4/KLK10/KRT13/KRT15/KRT18/KRT19/LAD1/LRIG1/MED13L/MED24/MINDY1/MPPED2/MREG/MSMB/MUC1/MYBBP1A/MYBL1/MYC/MYOF/NADSYN1/NAV2/NBL1/NCOR2/NRIP1/OLFM1/OLFML3/PAPSS2/PDLIM3/PEX11A/PGR/PLAAT3/PMAIP1/PODXL/PPIF/PRSS23/RAB17/RAB31/RAPGEFL1/RARA/RASGRP1/RBBP8/REEP1/RET/RETREG1/RHOBTB3/RHOD/RPS6KA2/RRP12/SCARB1/SCNN1A/SEC14L2/SFN/SH3BP5/SLC16A1/SLC19A2/SLC1A1/SLC1A4/SLC22A5/SLC24A3/SLC26A2/SLC27A2/SLC2A1/SLC37A1/SLC39A6/SLC7A2/SNX24/STC2/SULT2B1/SVIL/SYBU/SYNGR1/SYT12/TBC1D30/TFAP2C/TFF1/TFF3/TGIF2/TGM2/THSD4/TIAM1/TIPARP/TJP3/TMEM164/TMPRSS3/TOB1/TPBG/TPD52L1/TTC39A/TUBB2B/UGCG/UNC119/WFS1/XBP1/ZNF185
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00010552223452492	0.002638055863123	NA	0.235869204282815	199	ABI3BP/ACTA2/ADAM12/ANPEP/APLP1/AREG/BASP1/BDNF/BGN/BMP1/CALU/CAP2/CAPG/CCN1/CCN2/CD44/CD59/CDH11/CDH2/CDH6/COL11A1/COL12A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A2/COL6A3/COL7A1/COL8A2/COLGALT1/COMP/CRLF1/CTHRC1/CXCL1/CXCL12/CXCL8/DAB2/DCN/DKK1/DPYSL3/DST/ECM1/ECM2/EDIL3/EFEMP2/EMP3/FAP/FAS/FBLN1/FBLN2/FBLN5/FBN2/FERMT2/FGF2/FLNA/FMOD/FN1/FSTL3/FUCA1/FZD8/GADD45A/GADD45B/GAS1/GJA1/GLIPR1/GPC1/HTRA1/ID2/IGFBP2/IGFBP3/IGFBP4/IL15/IL32/IL6/INHBA/ITGA2/ITGA5/ITGAV/ITGB1/ITGB3/ITGB5/JUN/LAMA1/LAMA2/LAMC1/LAMC2/LGALS1/LOX/LOXL1/LOXL2/MATN2/MATN3/MCM7/MEST/MFAP5/MMP1/MMP14/MMP2/MMP3/MSX1/MXRA5/MYL9/NOTCH2/NT5E/NTM/OXTR/P3H1/PCOLCE2/PDGFRB/PDLIM4/PLAUR/PLOD1/PLOD2/PLOD3/PMEPA1/POSTN/PRRX1/PRSS2/PTX3/QSOX1/RGS4/RHOB/SAT1/SCG2/SDC1/SDC4/SERPINE2/SERPINH1/SFRP1/SGCB/SGCD/SGCG/SPARC/SPOCK1/SPP1/TGFB1/TGFBI/TGFBR3/TGM2/THBS2/THY1/TIMP1/TIMP3/TNC/TNFAIP3/TNFRSF11B/TNFRSF12A/TPM4/VCAN/VEGFA/VIM/WNT5A
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.000254922575666046	0.00424870959443411	NA	0.225887747191295	194	ABHD4/AEN/AK1/ALOX15B/ANKRA2/ATF3/BAIAP2/BAX/BLCAP/BMP2/BTG1/BTG2/CCND2/CCND3/CCNG1/CCP110/CD82/CDH13/CDKN1A/CDKN2A/CDKN2AIP/CDKN2B/CLCA2/CSRNP2/CTSD/CTSF/CYFIP2/DCXR/DDB2/DDIT4/DRAM1/EI24/ELP1/EPHA2/EPHX1/EPS8L2/ERCC5/F2R/FAM162A/FAS/FBXW7/FDXR/FGF13/FOS/FOXO3/FUCA1/GADD45A/H1-2/H2AJ/HBEGF/HDAC3/HEXIM1/HMOX1/HRAS/IER5/INHBB/IP6K2/IRAG2/IRAK1/ISCU/ITGB4/JAG2/JUN/KIF13B/KLF4/KLK8/KRT17/LIF/MAPKAPK3/MDM2/MXD1/NDRG1/NINJ1/NOL8/NOTCH1/NUPR1/OSGIN1/PCNA/PDGFA/PERP/PHLDA3/PIDD1/PLK2/PLK3/PLXNB2/POLH/POM121/PPP1R15A/PRKAB1/PRMT2/PROCR/PTPRE/PVT1/RAB40C/RACK1/RAP2B/RB1/RCHY1/RETSAT/RGS16/RHBDF2/RNF19B/RPL18/RPL36/RPS27L/RRAD/RRP8/RXRA/S100A10/S100A4/SAT1/SDC1/SEC61A1/SERPINB5/SESN1/SFN/SLC19A2/SLC35D1/SLC3A2/SLC7A11/SP1/SPHK1/ST14/STEAP3/STOM/TCHH/TCN2/TGFA/TGFB1/TM4SF1/TM7SF3/TNFSF9/TNNI1/TOB1/TP53/TP63/TPD52L1/TRIAP1/TRIB3/TSC22D1/TSPYL2/TXNIP/UPP1/VAMP8/VDR/VWA5A/WRAP73/WWP1/ZBTB16/ZFP36L1/ZMAT3/ZNF365
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00070192747893797	0.00877409348672463	NA	0.238784429889292	148	ABCB11/ABCG4/ACTC1/ADRA2C/ALOX12B/ATP4A/BARD1/BMPR1B/BTG2/C5/CACNA1F/CAMK1D/CAPN9/CCDC106/CCNA1/CCR8/CD207/CD40LG/CD80/CDH16/CDKAL1/CELSR2/CHST2/CLDN16/CLDN8/CLSTN3/CNTFR/COPZ2/CPEB3/DLK2/EDN1/EDN2/EFHD1/EGF/ENTPD7/EPHA5/FGFR3/FGGY/GDNF/GP1BA/GPR19/GPRC5C/HSD11B2/HTR1D/IFNG/IGFBP2/IL12B/IRS4/ITGB1BP2/ITIH3/KCND1/KCNMB1/KLHDC8A/KLK7/KLK8/KRT13/KRT15/LYPD3/MACROH2A2/MAST3/MFSD6/MSH5/MTHFR/MX1/MYH7/NOS1/NPHS1/NRIP2/NTF3/NUDT11/PDCD1/PDE6B/PDK2/PKP1/PLAG1/PNMT/PRKN/PRODH/PTGFR/PTPRJ/RGS11/RSAD2/RYR1/RYR2/SELENOP/SERPINB2/SGK1/SIDT1/SKIL/SLC12A3/SLC16A7/SLC25A23/SLC30A3/SLC5A5/SLC6A14/SLC6A3/SOX10/SPHK2/SPTBN2/SYNPO/TCF7L1/TCL1A/TENM2/TENT5C/TFCP2L1/TFF2/TG/TGFB2/TGM1/THRB/TNNI3/VPS50/YBX2/YPEL1/ZBTB16/ZC2HC1C/ZNF112
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00188065701431938	0.0188065701431938	NA	0.249547209849324	113	A2M/ANG/ANXA1/APOA1/APOC1/ARF4/BMP1/C1R/C1S/C3/C8A/C8B/C8G/CAPN2/CAPN5/CD9/CFB/CFD/CFI/CLU/COMP/CPQ/CRIP2/CSRP1/CTSB/CTSH/CTSV/DCT/DPP4/DUSP14/DUSP6/F10/F12/F2RL2/FN1/FURIN/FYN/GNB2/GP1BA/GSN/HMGCS2/HPN/HTRA1/ISCU/ITGA2/ITGB3/KLK8/KLKB1/LAMP2/LGMN/LTA4H/MAFF/MASP2/MMP1/MMP11/MMP14/MMP15/MMP2/MMP3/MMP7/MSRB2/OLR1/PDGFB/PECAM1/PEF1/PLAT/PLAU/PLEK/PREP/PROC/PROS1/PRSS23/RABIF/RAC1/RAPGEF3/RGN/S100A1/S100A13/SERPINA1/SERPINB2/SIRT2/SPARC/TF/THBD/TIMP1/TIMP3/TMPRSS6/USP11/VWF/WDR1
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00511286444354859	0.0366958240005912	NA	0.175501988492153	189	ABCB6/ADORA2B/AGL/AGRN/AK3/AK4/AKR1A1/ALDH7A1/ALDH9A1/ALDOA/ANG/ANGPTL4/ARTN/AURKA/B3GALT6/B3GAT1/B3GAT3/B3GNT3/B4GALT1/B4GALT2/B4GALT4/B4GALT7/BIK/BPNT1/CACNA1H/CAPN5/CASP6/CD44/CHPF2/CHST2/CHST6/CITED2/CLDN9/COG2/COL5A1/COPB2/CTH/CXCR4/DCN/DDIT4/DLD/DPYSL4/DSC2/ECD/EFNA3/EGFR/EGLN3/ELF3/ENO1/ERO1A/EXT1/EXT2/FAM162A/FKBP4/FUT8/GALE/GALK1/GALK2/GCLC/GFUS/GLCE/GLRX/GMPPA/GMPPB/GNE/GNPDA1/GOT1/GPC1/GPC3/GPC4/GUSB/GYS1/HK2/HS2ST1/HS6ST2/HSPA5/IDH1/IGFBP3/IL13RA1/IRS2/ISG20/KDELR3/KIF20A/LDHA/MDH1/ME1/MED24/MERTK/MET/MIOX/MXI1/NANP/NDST3/NT5E/P4HA1/P4HA2/PAM/PAXIP1/PC/PDK3/PFKFB1/PFKP/PGK1/PGLS/PGM2/PHKA2/PKM/PKP2/PLOD1/PLOD2/PPFIA4/PPP2CB/PRPS1/PSMC4/PYGB/PYGL/QSOX1/RARS1/RBCK1/RPE/SAP30/SDC1/SDC2/SDC3/SLC16A3/SLC25A13/SLC37A4/SOX9/SPAG4/STC2/STMN1/TALDO1/TFF3/TGFA/TGFBI/TPBG/TPST1/TXN/VCAN/VEGFA/VLDLR/XYLT2/ZNF292
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00544577188269903	0.0366958240005912	NA	0.172819665228615	192	ADD3/AFF1/AGR2/ALDH3A2/ALDH3B1/AMFR/ANXA9/AREG/ARL3/ASCL1/ASS1/ATP2B4/BAG1/BATF/BCL2/BTG3/CA12/CA2/CACNA2D2/CCNA1/CCND1/CD44/CD9/CDC6/CELSR2/CHPT1/CHST8/CKB/CLIC3/CXCL12/CXCL14/CYP26B1/DCXR/DHCR7/DHRS2/DLG5/DYNLT3/EGR3/ELOVL5/EMP2/FABP5/FARP1/FDFT1/FGFR3/FKBP4/FKBP5/FLNB/FOS/FRK/GALE/GFUS/GINS2/GJB3/GLA/GPER1/HMGCS2/HPRT1/HR/HSPB8/ID2/IGFBP4/IGSF1/IL6ST/IMPA2/ISG20/ITPK1/JAK1/JAK2/KCNK5/KIF20A/KLF4/KLK10/KLK11/KRT13/KRT19/LAMC2/LLGL2/LSR/LTF/MAPK13/MDK/MEST/METTL3/MYOF/NAB2/NBL1/NCOR2/NMU/NRIP1/OLFM1/PAPSS2/PCP4/PDLIM3/PERP/PGR/PKP3/PLAAT3/PLK4/PLXNB1/PPIF/PRKAR2B/PRSS23/PTGER3/RAB31/RAPGEFL1/RBBP8/RET/RPS6KA2/S100A9/SCARB1/SCNN1A/SERPINA1/SERPINA5/SFN/SGK1/SLC16A1/SLC1A4/SLC22A5/SLC24A3/SLC26A2/SLC27A2/SLC2A8/SORD/ST14/ST6GALNAC2/SULT2B1/TFAP2C/TFF1/TFF3/TH/TIAM1/TJP3/TMPRSS3/TOB1/TPBG/TPD52L1/TPSAB1/TRIM29/TSPAN13/TST/UNC13B/WFS1/XBP1/XRCC3/ZFP36
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.00587133184009459	0.0366958240005912	NA	0.173031343761881	188	ACTA1/ACTB/ACTC1/ACTG1/ACTN1/ACTN2/ACTN4/ADAM15/ADAM23/ADAMTS5/ADRA1B/AKT2/AKT3/ALOX15B/AMIGO2/ARHGEF6/ARPC2/B4GALT1/BAIAP2/BMP1/CALB2/CAP1/CD274/CD276/CDH11/CDH15/CDH3/CDH4/CDH6/CDH8/CLDN11/CLDN4/CLDN5/CLDN6/CLDN7/CLDN8/CLDN9/CNN2/CNTN1/COL9A1/CRB3/CTNNA1/CTNND1/CX3CL1/DHX16/DLG1/DMP1/DSC3/EGFR/EPB41L2/EVL/EXOC4/FLNC/FYB1/GNAI1/GNAI2/GRB7/HADH/HRAS/ICAM1/ICAM5/IKBKG/INPPL1/IRS1/ITGA10/ITGA2/ITGA3/ITGA9/ITGB1/ITGB4/JAM3/JUP/LAMB3/LAMC2/LAYN/LDLRAP1/LIMA1/MADCAM1/MAP3K20/MAP4K2/MAPK11/MAPK13/MAPK14/MDK/MMP2/MPZL2/MSN/MVD/MYH10/MYH9/MYL12B/MYL9/NECTIN1/NECTIN2/NECTIN3/NECTIN4/NEGR1/NEXN/NF2/NFASC/NLGN2/NLGN3/NRTN/PARD6G/PARVA/PCDH1/PECAM1/PFN1/PIK3R3/PKD1/PTK2/PTPRC/RASA1/RHOF/RRAS/RSU1/SDC3/SGCE/SHC1/SHROOM2/SIRPA/SLC30A3/SRC/STX4/SYK/SYMPK/TAOK2/TGFBI/THY1/TJP1/TMEM8B/TNFRSF11B/TRO/TSC1/TSPAN4/TUBG1/VASP/VCAN/VCL/VWF/YWHAH/ZYX
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.0108366401173997	0.0602035562077759	NA	0.162835576655993	180	ABLIM1/ACHE/ACSL1/ACTA1/ACTC1/ACTN2/ADAM12/ADCY9/AEBP1/AGL/AGRN/AK1/AKT2/ANKRD2/APLNR/APOD/ATP2A1/ATP6AP1/BAG1/BDKRB2/BHLHE40/BIN1/CACNA1H/CAMK2B/CASQ2/CD36/CDH13/CDKN1A/CFD/CHRNB1/CKB/CLU/CNN3/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/CRYAB/CTF1/DAPK2/DENND2B/DES/DMD/DMPK/DTNA/EFS/EIF4A2/EPHB3/ERBB3/FABP3/FDPS/FGF2/FHL1/FLII/FST/GABARAPL2/GADD45B/GJA5/GNAO1/GPX3/GSN/HBEGF/HDAC5/HRC/HSPB8/IGF1/IGFBP3/ITGA7/ITGB1/ITGB4/ITGB5/KIFC3/KLF5/LAMA2/LDB3/LPIN1/LSP1/MAPK12/MB/MEF2C/MYBPH/MYH11/MYH2/MYH3/MYH7/MYH9/MYL2/MYL3/MYL6B/MYO1C/MYOM1/NAV2/NCAM1/NOS1/NOTCH1/OCEL1/PC/PDE4DIP/PDLIM7/PFKM/PKIA/PLXNB2/PPFIA4/PRNP/PTP4A3/PVALB/PYGM/RB1/REEP1/RIT1/RYR1/SCD/SGCD/SGCG/SH3BGR/SIRT2/SOD3/SORBS1/SPARC/SPHK1/SPTAN1/SSPN/STC2/SVIL/SYNGR2/TEAD4/TGFB1/TNNC2/TNNI1/TNNT3/TPD52L1/TPM3/WWTR1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_DESeq2	tcga_cancer__THCA_DESeq2	0.0217726822971561	0.102449032468281	NA	0.138341014735244	198	ABCA1/ACKR3/AREG/ATF3/ATP2B1/B4GALT1/B4GALT5/BCL3/BCL6/BHLHE40/BMP2/BTG1/BTG2/BTG3/CCL2/CCL20/CCL4/CCL5/CCN1/CCND1/CCNL1/CD44/CD69/CD80/CDKN1A/CFLAR/CSF1/CSF2/CXCL1/CXCL11/CXCL2/DNAJB4/DRAM1/DUSP1/DUSP4/DUSP5/EDN1/EGR1/EGR2/EGR3/F2RL1/FJX1/FOS/FOSB/FUT4/G0S2/GADD45A/GADD45B/GFPT2/GPR183/HBEGF/HES1/ICAM1/ID2/IER2/IER5/IFIT2/IFNGR2/IL12B/IL15RA/IL18/IL1B/IL23A/IL6/IL6ST/IL7R/INHBA/IRS2/JAG1/JUN/JUNB/KDM6B/KLF10/KLF2/KLF4/KLF6/KLF9/LAMB3/LDLR/LIF/LITAF/MAFF/MAP2K3/MAP3K8/MCL1/MSC/MXD1/MYC/NAMPT/NFE2L2/NFKB2/NFKBIA/NFKBIE/NINJ1/NR4A1/NR4A3/OLR1/PANX1/PDE4B/PER1/PHLDA2/PLAU/PLAUR/PLEK/PLK2/PMEPA1/PNRC1/PPP1R15A/PTPRE/PTX3/RCAN1/RELA/RHOB/RIPK2/RNF19B/SAT1/SDC4/SERPINB2/SERPINB8/SGK1/SIK1/SOCS3/SPHK1/SPSB1/SQSTM1/STAT5A/TANK/TGIF1/TIPARP/TLR2/TNC/TNF/TNFAIP2/TNFAIP3/TNFAIP6/TNFAIP8/TNFRSF9/TNFSF9/TNIP1/TNIP2/TRIB1/TRIP10/TSC22D1/TUBB2A/VEGFA/ZFP36
