pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.583153347732181	0.66267425878657	0.957294472633352	NA	196	RAB34;TANK;APLP2;CD151;LPL;ACOX1;ITGA7;IDH1;SLC1A5;COL4A1;GPX4;UCP2;PEMT;PLIN2;ELOVL6;SQOR;DHCR7;GPD2;ESYT1;NMT1;STOM;PEX14;APOE;RETN;JAGN1;RMDN3;ABCA1;COL15A1;TKT;RIOK3;FAH;CDKN2C;ANGPTL4;IFNGR1;PFKL;CAVIN1;ATP1B3;CS;ACAA2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.000100915380015905	0.000420480750066269	1.62892922923126	NA	187	CCND2;DEGS1;TIMP1;F2R;TGFB1;CCND3;ICAM1;ST8SIA4;INHBB;CDKN2A;LYN;FAS;CTSS;FLNA;ELF4;CD47;HDAC9;TLR2;BCAT1;IFNGR2;NPM1;CAPG;HIF1A;IGSF6;CCL13;IFNGR1;MAP3K7;CCR1;RIPK2;IL11;STAB1;EREG;BCL3;HLA-G;IL18;MRPL3;TGFB2;IL27RA;EIF5A;IFNAR2;RARS1;NME1;IL4R;THY1;CD40;LY86;GBP2;STAT1;C2;CD4;WARS1;RPS9;SPI1;GCNT1;EIF3D;FGR;HLA-A;RPS19;PSMB10;ABI1;EGFR;AKT1;LIF;NOS2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.636363636363636	0.707070707070707	0.931894799262395	NA	99	CCND1;PMEPA1;UBE2I;TSC22D1;ACTN1;CCND3;TMEM50A;KRT19;PTK2B;SCD;RPS6KA3;ALDH1A3;STEAP4;STK39;ANKH;DBI;RRP12;MERTK
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0101431604826041	0.0202863209652081	1.6264302705112	NA	31	CCND2;TIMP1;JAG2;PDGFA;LPL;TNFRSF21;LRPAP1;POSTN;PTK2;COL5A2;SPP1;NRP1;OLR1;S100A4;ITGAV;COL3A1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	8.85130959243678e-08	1.47521826540613e-06	1.90704195628639	NA	188	MPZL2;BMP1;MAPK13;ITGA3;MSN;CDH3;MDK;ADRA1B;CD276;GRB7;AMIGO2;SRC;ADAM15;CDH6;NECTIN4;SDC3;LAMB3;ITGA2;CX3CL1;CLDN9;MYH10;ACTN4;LAMC2;ACTN1;ICAM5;TUBG1;VASP;CTNNA1;MYL12B;PCDH1;BAIAP2;ITGB4;CAP1;ALOX15B;RRAS;ICAM1;CLDN7;TGFBI;NECTIN1;GNAI2;CDH15;CDH4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.907407407407407	0.945216049382716	-0.763872260345865	NA	41	SRPX;ADIPOR2;GSTM3;NTNG1;GAS1;AKAP7;EFNA5;TMEM8B;GHRL;AFAP1L2;SLC2A4;MDGA1;CD160
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	1.07408795882266e-06	1.34260994852833e-05	1.86827139897686	NA	159	CCND1;CCND2;CD44;LGALS3;BID;TIMP1;RARA;BAX;BCL2L1;PEA15;F2R;ERBB3;GPX1;TNFRSF12A;ANXA1;IGF2R;SC5D;GPX4;PPT1;CTNNB1;ERBB2;IGFBP6;FAS;RELA;CASP6;SPTAN1;CLU;CASP3;CDKN1A;FDXR;DAP3;DAP;CCNA1;GUCY2D;ANKH;BTG3;HMOX1;CDK2;PMAIP1;PSEN1;GSN;ADD1;DPYD;PPP3R1;PTK2;TOP2A;CDC25B;SLC20A1;LMNA;IFNGR1;GSR;CD14;EREG;GNA15;SAT1;BGN;CASP7;IL18;TGFB2;BMF;TSPO;LEF1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.169172932330827	0.216888374783112	-1.14773808462489	NA	94	TFCP2L1;ABCA9;CYP7B1;DIO2;ABCA6;ALDH1A1;DIO1;IDI1;AR;PEX11A;CYP46A1;APOA1;HSD17B6;ABCA8;MLYCD;HACL1;PEX1;GNMT;HSD17B4;RETSAT;ACSL1;PXMP2;RXRA;BBOX1;ALDH9A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.149450549450549	0.207570207570208	1.20418580214174	NA	72	LGALS3;S100A11;CXCL16;LPL;TNFRSF12A;ETHE1;ANXA5;SC5D;TP53INP1;CTNNB1;CLU;SCD;TM7SF2;PLAUR;DHCR7;HSD17B7;ATXN2;CD9
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	6.07691199104734e-08	1.47521826540613e-06	2.03126161128654	NA	113	BMP1;PROS1;DUSP6;SPARC;SERPINA1;DPP4;TIMP1;FN1;FYN;CTSH;ITGA2;PRSS23;HPN;PLAU;CFI;ISCU;RAPGEF3;ANXA1;PREP;MMP11;CTSB;S100A1;PDGFB;CLU;GNB2;S100A13;RABIF;MMP14;TMPRSS6;LTA4H;MMP1;RAC1;F2RL2;C8B;PROC;LAMP2;COMP;APOC1;GSN;C8A;MMP7;CAPN2;CD9
