pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	3.86572170786317e-05	0.00193286085393158	NA	0.225073190297949	199	JPT1/SPAG5/AURKA/CDCA8/PLK1/GINS1/KIF2C/CCNB2/TACC3/CIT/KPNA2/ESPL1/LMNB1/CDC20/RACGAP1/CCNE1/MYBL2/KIF22/CHEK1/MCM4/TK1/ORC6/PTTG1/ASF1B/MELK/TIMELESS/CDCA3/UBE2T/RFC2/EZH2/SPC24/BIRC5/CDKN3/CDC25A/CKS2/DIAPH3/RAD51AP1/BUB1B/PLK4/PCNA/HMGB3/AURKB/KIF4A/KIF18B/DEPDC1/SPC25/DLGAP5/NME1/CDKN2A/GINS4/TUBG1/BRCA2/TOP2A/DNMT1/CDK1/MAD2L1/RRM2/DDX39A/H2AX/CENPE/MKI67/HMMR/NCAPD2/TRIP13/CNOT9/H2AZ1/TBRG4/SNRPB/ATAD2/POLA2/CHEK2/CENPM/E2F8/CKS1B/MCM7/POP7/PDS5B/SUV39H1/SMC4/BRCA1/LIG1/POLD1/MCM2/CDKN1B/MCM5/POLE/UBE2S/HELLS/MYC/PPM1D/NAP1L1/HMGA1/PSIP1/TUBB/DSCC1/HUS1/ING3/RANBP1/NAA38/CSE1L/RFC3/DCTPP1/MSH2/PA2G4/MCM3/MCM6/STMN1/UNG/GINS3/MTHFD2/RAN/BRMS1L/DONSON/TFRC/TP53/PRDX4/MXD3/AK2/ANP32E/ILF3/NASP/CDC25B/MRE11/MMS22L/TIPIN/DCLRE1B/PAICS/WDR90/RBBP7/NUP107/POLD2/PSMC3IP/TCF19/SHMT1/HMGB2/RFC1/SLBP/PRIM2/RPA3/NOLC1/STAG1/LBR/NUDT21/TMPO/SRSF2/SMC3/PRKDC/EED/PHF5A/CCP110/BARD1/NUP205/LUC7L3/NOP56/GSPT1/DUT/PRPS1/SSRP1/LYAR/CTCF/SRSF1/MLH1/CBX5/ORC2/IPO7/SMC1A
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.000788862096995009	0.0197215524248752	NA	0.18653465492566	197	JPT1/STIL/AURKA/PLK1/KIF2C/BUB1/MAP3K20/CCNB2/PRC1/TACC3/KPNA2/ESPL1/LMNB1/CCNF/CDC20/RACGAP1/RAD54L/CDC6/MYBL2/KIF22/CHEK1/CENPF/ORC6/PTTG1/CCNA2/NEK2/KIF11/CHAF1A/TPX2/EXO1/CDC45/TRAIP/CENPA/TTK/EZH2/POLQ/BIRC5/E2F1/CDKN3/CDC25A/CKS2/KNL1/KIF15/UBE2C/TROAP/PLK4/HMGB3/AURKB/KIF4A/E2F2/INCENP/NSD2/DTYMK/BRCA2/E2F3/ABL1/TOP2A/CDK1/MAD2L1/DDX39A/H2AX/CENPE/MKI67/HMMR/KIF23/GINS2/PBK/FOXN3/H2AZ1/POLA2/SNRPD1/PURA/CKS1B/PDS5B/SUV39H1/SMC4/MCM2/CDKN1B/MCM5/POLE/UBE2S/SLC7A5/DMD/NDC80/YTHDC1/KIF20B/ATF5/UCK2/MYC/SQLE/SMARCC1/HMGA1/HUS1/WRN/CDC7/MCM3/MCM6/STMN1/MEIS2/CUL5/TLE3/ARID4A/TOP1/FANCC/ODF2/SLC7A1/DBF4/SMC2/PAFAH1B1/MAPK14/DKC1/ILF3/SMAD3/NASP/BUB3/CDC25B/H2BC12/DR1/SLC38A1/KATNA1/UPF1/SFPQ/MNAT1/TENT4A/PRIM2/NOLC1/CHMP1A/STAG1/LBR/NOTCH2/TMPO/HIF1A/SRSF2/CDC27/ODC1/FBXO5/HOXC10/CCNT1/NUMA1/BARD1/TFDP1/KPNB1/BCL3/RBL1/HNRNPU/GSPT1/CCND1/RBM14/ORC5/EFNA5/ATRX/PRMT5/CTCF/SRSF1/EGF/RPS6KA5/EWSR1/HIRA/MEIS1/SMC1A
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.00240405384445955	0.0400675640743258	NA	0.197151762299689	143	TGFBR3/CAV1/MAGI2/SYNE1/AKT3/ABCC1/SPOP/PTPN21/NR1D2/CCN1/PTGFR/DUSP1/SNAI2/CDON/CITED2/GRK5/DLC1/EFEMP1/KCNMA1/IGFBP5/NR3C1/PMP22/CAP2/RUNX1/BDNF/PRKCA/CDKN1B/TGFBR2/RBPMS/YTHDC1/IRS1/PDGFRB/MYC/PLPP3/ATXN1/PRKAR2B/FBLN5/PDLIM5/ATP2B4/PHF3/NEK7/ANXA2/ICA1/MAP2K5/ARHGEF9/AMPH/ATP2C1/SLC7A1/SFMBT1/DAB2/PRDM2/PIAS3/TJP1/MAPK14/TOGARAM1/SMAD3/GCNT1/SIPA1L1/FYN/MMP16/DMAC2L/MET/ERBB2/KALRN/CELF2/KIT/PRKCE/PTEN/COL3A1/BMPR1A/RXRA/PEX14/NRP1/RASA2/ZMIZ1/TENT4A/PIK3R3/LPAR1/CDC42BPA/LTBP1/RND3/NOTCH2/RGS4/ATRN/SCHIP1/APBB2/PTPRM/SMAD7/TFPI/NFKB1/MTA1/MAP1B/FZD2/SDC2/MIOS/DYRK1A/VAV2/FHL2/LAMC1/COL1A2/ANXA4/INPP4B/ITGB3/GJA1/ATRX/BCKDHB/ACVR2A/DDAH1/DLG1/COL11A1/MT1E/SYNJ2/SERPINE1/MGMT/COL1A1/NIPBL/ATP2B1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.00537285650746654	0.0671607063433318	NA	0.153814507128128	199	ATP6V0B/IDH2/GPI/ATP5MF/COX5A/UQCRQ/COX6A1/ATP6AP1/MAOB/MRPS12/ISCU/IDH1/HSD17B10/PDK4/TIMM10/ALAS1/TIMM8B/VDAC1/NDUFA2/ATP6V1F/UQCRC1/UQCR10/NDUFS8/LDHA/COX8A/NDUFA9/ECHS1/NDUFS6/COX5B/COX6B1/NDUFS3/MRPL15/TIMM50/COX7A2/MRPS15/AIFM1/POR/NDUFA3/BAX/FH/MRPS11/ATP5ME/ATP5F1E/SDHA/GPX4/MTRR/SLC25A5/COX7B/CYC1/NDUFB8/NDUFB4/ACADSB/NDUFB2/TIMM13/ATP5F1C/TIMM17A/NDUFS2/PDHA1/ATP5PD/NDUFB3/HSPA9/ACAA1/NDUFA6/ATP5F1B/PDHX/HCCS/OAT/ACADVL/IDH3G/NDUFA8/ECI1/ATP5PO/VDAC3/ACAT1/ATP5MC3/NDUFS4/UQCRH/NDUFS7/MDH2/PMPCA/ATP5MC1/NDUFAB1/TCIRG1/UQCR11/NDUFB1/CS/ECH1/POLR2F/SDHD/ETFB/DECR1/RHOT2/LDHB/NDUFA1/MRPL34/TOMM22/GLUD1/IDH3B/ATP6V1H/NDUFV1/SDHC/MTX2/NDUFB7/ATP5F1D/SLC25A12/ATP5MC2/ATP5MG/NDUFV2/COX11/RHOT1/ACADM/ATP6V0E1/SDHB/PDP1/BDH2/ISCA1/NDUFC1/CYCS/PDHB/MGST3/SUPV3L1/GRPEL1/CASP7/CYB5R3/COX17/TOMM70/IMMT/NDUFC2/BCKDHA/COX4I1/MDH1/NDUFA7/SLC25A6/ETFA/SLC25A11/MRPL11/NNT/ATP5F1A/GOT2/ACO2/PRDX3/ABCB7/COX7C/COX6C/ATP1B1/MFN2/UQCRFS1/MTRF1/ATP5PF/AFG3L2/COX10/SURF1/FDX1/SUCLG1/NDUFA5/ATP6V1D/ATP6V1E1/PHYH
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0121325784458287	0.121325784458287	NA	0.137422938611576	200	TGFBR3/FGF2/PRSS2/TPM1/CALD1/SDC1/ECM2/MYL9/MYLK/DCN/ABI3BP/FERMT2/CCN1/GAS1/TPM2/ACTA2/TAGLN/TIMP3/GLIPR1/SNAI2/CXCL12/FLNA/PMP22/MCM7/MATN2/CAP2/BDNF/EDIL3/MAGEE1/IGFBP4/FBN1/SFRP1/MGP/DPYSL3/GEM/JUN/PDGFRB/LAMA1/COLGALT1/COPA/ANPEP/LRP1/RHOB/CCN2/MEST/IL32/FBLN5/COL6A3/SFRP4/PPIB/COL16A1/CAPG/SNTB1/EMP3/TGM2/GREM1/POSTN/LAMA2/FMOD/PLOD1/PVR/SPP1/THBS1/FAP/CTHRC1/DAB2/FBN2/CDH11/COL6A2/PLAUR/APLP1/SLC6A8/SLIT3/CXCL1/COL5A1/VEGFC/SDC4/CD59/DST/IGFBP2/FAS/SAT1/PRRX1/CD44/QSOX1/FSTL1/PMEPA1/LUM/FSTL3/SGCG/HTRA1/CRLF1/FZD8/COL3A1/SGCB/VCAM1/SPARC/MFAP5/PLOD3/ECM1/LOXL1/THBS2/ITGAV/COL5A3/ITGB1/MSX1/P3H1/ENO2/CADM1/NOTCH2/RGS4/SLIT2/TPM4/CDH6/IL15/FOXC2/MMP2/THY1/WIPF1/TNFRSF12A/NTM/EFEMP2/LAMC2/GADD45B/FUCA1/LAMC1/ELN/COL1A2/GPX7/GADD45A/ITGB3/GJA1/SGCD/PLOD2/LGALS1/VEGFA/PDLIM4/LRRC15/SCG2/PCOLCE/PCOLCE2/DKK1/ITGA5/AREG/COL11A1/NT5E/CXCL6/SERPINE1/IL6/INHBA/CALU/ID2/COL1A1/GPC1/NID2/TIMP1/FBLN1
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0206312591736543	0.171927159780453	NA	0.126158164225262	199	AURKA/PLK1/BUB1/ENO1/CCNF/TPI1/GPI/MCM4/ARPC5L/CALR/SHMT2/PNP/CDC25A/GAPDH/HSPE1/TUBG1/RRM2/DDX39A/GOT1/EBP/GSR/DHCR7/PSMD14/SDF2L1/IDH1/PSMC4/TOMM40/PSMB5/PRDX1/PPIA/ERO1A/RPN1/IGFBP5/LDHA/SCD/SLC2A1/TM7SF2/HMBS/STIP1/YKT6/MCM2/HMGCR/COPS5/ABCF2/HSPA4/DHFR/SLC7A5/PFKL/EGLN3/NFKBIB/PSME3/IFI30/SQLE/TMEM97/SORD/G6PD/SLC37A4/TRIB3/PDK1/HSPA5/UNG/HK2/ACLY/MTHFD2/RRP9/CCT6A/PSMG1/XBP1/CTSC/LGMN/PSMA3/ALDOA/PGK1/TFRC/HSPA9/PSMD13/ACACA/FKBP2/PPP1R15A/EEF1E1/PSAT1/GTF2H1/ATP2A2/CACYBP/GLRX/BTG2/HSPD1/ELOVL6/HSP90B1/NIBAN1/FADS2/DDIT4/ATP5MC1/HPRT1/RIT1/PNO1/PSMA4/WARS1/MAP2K3/ITGB2/PHGDH/UBE2D3/RDH11/PSMD12/EIF2S2/PPA1/CCNG1/NFIL3/SLC2A3/TUBA4A/PIK3R3/DHCR24/SERP1/PDAP1/GGA2/PSMC2/GCLC/CXCR4/SLC1A5/FGL2/EPRS1/CFP/MLLT11/DAPP1/CD9/HMGCS1/MTHFD2L/NUP205/LTA4H/P4HA1/NFYC/AK4/UCHL5/IMMT/PGM1/CTH/NAMPT/BCAT1/USO1/CORO1A/GMPS/DDIT3/UFM1/ACTR3/PLOD2/SLC6A6/GLA/SRD5A1/ACTR2/FADS1/ACSL3/IDI1/SLA/SSR1/ATP6V1D
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0384971230579549	0.274979450413963	NA	0.208357217007569	57	PLK1/MCM4/HSPE1/PLK4/SLC19A1/TBRG4/FARSA/SLC29A2/AIMP2/BYSL/RRP12/MCM5/NOP16/MYC/TMEM97/SORD/IMP4/PUS1/DCTPP1/PA2G4/IPO4/UNG/HK2/RRP9/NOC4L/EXOSC5/TFB2M/HSPD1/TCOF1/NOP2/SRM/GRWD1/MRTO4/MYBBP1A/CBX3/NOLC1/WDR74/GNL3/NPM1/PPAN/UTP20/NOP56/SUPV3L1/LAS1L/PES1/PPRC1/DUSP2
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0537732263829332	0.326489127399268	NA	0.103654707855543	193	AURKA/GFUS/ENO1/TPI1/PKM/CENPA/TALDO1/CASP6/SDC1/CACNA1H/DCN/MIOX/GALE/DEPDC1/ARTN/EFNA3/CDK1/SPAG4/SLC25A10/GOT1/HMMR/SLC16A3/KIF20A/IDH1/PSMC4/MXI1/B4GALT1/CITED2/PPIA/ISG20/AKR1A1/ERO1A/LDHA/SLC25A13/CHPF2/PPFIA4/STC2/PMM2/PPP2CB/SRD5A3/B3GNT3/POLR3K/EGLN3/B4GALT7/BPNT1/PFKFB1/GMPPB/GMPPA/G6PD/SLC37A4/TFF3/NSDHL/HSPA5/ANKZF1/CLN6/STMN1/GYS1/HK2/FAM162A/B3GAT3/COPB2/GALK1/ALDOA/PGK1/PGLS/CHST6/GFPT1/DSC2/TGFA/TKTL1/PLOD1/CLDN3/FKBP4/AGRN/ELF3/COL5A1/GLRX/MED24/ALG1/NASP/MDH2/KDELR3/DDIT4/HDLBP/NDUFV3/ABCB6/EGFR/MET/CD44/QSOX1/GAL3ST1/CLDN9/TPST1/CHPF/RARS1/UGP2/BIK/PYGL/IRS2/SDHC/ARPP19/ANGPTL4/PC/ENO2/PFKP/GCLC/PAXIP1/TXN/CXCR4/AK3/GPC4/HAX1/SDC2/GNE/B4GALT2/P4HA1/AK4/LDHC/RBCK1/KIF2A/GNPDA1/NANP/MERTK/SOD1/MDH1/CHST2/CTH/PRPS1/EXT1/NOL3/ME2/B4GALT4/GOT2/PLOD2/LHX9/VEGFA/B3GALT6/HS6ST2/ECD/IDUA/GUSB/PGM2/NT5E/FUT8/IER3/ALDOB/GPC1/IL13RA1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0587680429318682	0.326489127399268	NA	0.142703978277312	99	DBI/LIFR/CENPN/PTPN21/GSR/ADRM1/B4GALT1/MAF/KRT8/SRF/TPD52/SCD/HMGCR/ADAMTS1/RRP12/SELENOP/ACTN1/SORD/PIAS1/STEAP4/APPBP2/CAMKK2/PA2G4/PDLIM5/MAP7/AKT1/PLPP1/TMPRSS2/SLC26A2/ALDH1A3/KRT19/SAT1/RPS6KA3/SMS/AKAP12/HOMER2/TSC22D1/ARID5B/PGM3/IQGAP2/PMEPA1/STK39/DNAJB9/ZMIZ1/MYL12A/DHCR24/CDC14B/SPDEF/ITGAV/GUCY1A1/RAB4A/NGLY1/HMGCS1/VAPA/GPD1L/KLK3/SGK1/SRP19/MERTK/CCND1/SLC38A2/INPP4B/BMPR1B/UBE2I/AZGP1/TMEM50A/ELK4/XRCC5/HSD17B14/ANKH/FKBP5/UAP1/FADS1/ACSL3/CCND3/KLK2/ZBTB10/IDI1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0713010541791203	0.356505270895602	NA	0.0972466878913242	186	SSPN/CHRNA1/FHL1/FGF2/COX7A1/MYLK/PPP1R3C/MEF2C/CASQ2/DENND2B/CACNA1H/PYGM/GSN/TPM3/SORBS1/FOXO4/PRNP/MEF2A/SVIL/PTGIS/ATP6AP1/TPM2/TAGLN/SMTN/MYOM1/SGCA/FDPS/REEP1/NQO1/ITGA7/CDH13/HSPB8/SCD/MYH11/PPFIA4/FXYD1/TNNC1/GABARAPL2/STC2/DES/EIF4A2/DMD/PFKM/SPEG/ANKRD2/MYH2/GNAO1/MEF2D/TNNT3/ACTC1/NAV2/APOD/LDB3/SYNGR2/HDAC5/MYH7/NCAM1/DMPK/COL6A3/CKM/EFS/COL15A1/MYH3/AEBP1/PICK1/MYL6B/MYL3/CNN3/HBEGF/PDLIM7/LAMA2/ERBB3/AGRN/MYOM2/COL6A2/PDE4DIP/ATP2A1/TNNI2/CFD/SLC6A8/DTNA/CD36/RYR1/TSC2/RIT1/MRAS/SPTAN1/VIPR1/LARGE1/TNNT2/CTF1/SGCG/TEAD4/MYH9/COL3A1/SPARC/ENO3/ADCY9/IGFBP7/SPDEF/TPD52L1/ITGB1/PC/TNNI1/FKBP1B/SCHIP1/WWTR1/AK1/FLII/TNNT1/SORBS3/KLF5/PLXNB2/LPIN1/PKIA/KCNH2/CHRNB1/FABP3/OCEL1/DAPK2/GJA5/HSPB2/HRC/GADD45B/APLNR/GAA/SIRT2/CKMT2/SGCD/ABLIM1/CLU/CAMK2B/MB/EPHB3/CASQ1/PVALB/ACTN2/PSEN2/BIN1/MAPRE3/ACHE/COL1A1
