pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.7391298547445451	0.839349209073975		-0.12775361975090768	200	CD151;CS;APOE;TST;AIFM1;JAGN1;NDUFS3;GPX4;DHRS7B;ANGPT1;SLC19A1;DNAJB9;GRPEL1;FABP4;LIFR;IFNGR1;ACADM;COQ9;COX7B;MCCC1;CHCHD10;DNAJC15;SDHC;ITGA7;PEX14;MYLK;HADH;CPT2;IDH1;ESRRA;UBC;ATP5PO;MTCH2;ECHS1;SNCG;COQ5;UQCR11;SSPN;SLC1A5;COQ3;SDHB;IMMT;AGPAT3;BCL6;ACO2;SPARCL1;PTGER3;STOM;UQCR10;COX6A1;ACLY;MGST3;NKIRAS1;ETFB;ENPP2;CYP4B1;ACADS;PTCD3;RMDN3;ITSN1;SOWAHC;UQCRC1;LAMA4;UQCRQ;UCP2;RTN3;YWHAG;ABCB8;PRDX3;ORM1;ATP1B3;MDH2;ANGPTL4;CD36;SUCLG1;SOD1;POR;AK2;ACOX1;DHCR7;SLC66A3;ABCA1;SLC25A10;COL15A1;GPAT4;TKT;FZD4;CAVIN2;CYC1;ALDOA;RREB1;CD302;RNF11;NDUFB7;EPHX2;LPCAT3;HSPB8;NDUFA5;ARL4A;SULT1A1;REEP5;PGM1;PHLDB1;COX8A;NABP1;SLC25A1;CAVIN1;DECR1;SLC5A6;TALDO1;ECH1;GADD45A;STAT5A;PDCD4;LTC4S;NDUFAB1;MRPL15;IDH3G;BCKDHA;SORBS1;PREB;ELOVL6;SAMM50;DGAT1;PHYH;SQOR;OMD;PFKL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.8746240701789947	0.8933617386384004		-0.23799824203478023	200	TRAF2;IL18;IL2RG;WAS;NCF4;LCP2;RPL39;IFNGR1;PTPRC;WARS1;NPM1;MMP9;FYB1;CCL11;STAT1;CD4;CXCR3;EGFR;KRT1;JAK2;EIF5A;F2;LY75;CD74;IL11;CD47;THY1;HLA-DMB;IL2RA;CCND2;CD86;MTIF2;IL15;RARS1;RPS3A;IFNAR2;CD3D;CCR1;BRCA1;CD8B;PSMB10;CCL13;PRKCG;SPI1;RIPK2;CCL22;CTSS;IRF7;NCK1;CXCL9;LYN;SIT1;PTPN6;RPL9;IFNGR2;ZAP70;AARS1;FAS;ACHE;NOS2;FCGR2B;CAPG;CD80;GBP2;RPL3L;GCNT1;APBB1;FLNA;IL27RA;NME1;BCL3;INHBA;BCAT1;MRPL3;TPD52;C2;IL18RAP;EREG;TLR2;LCK;HLA-A;CD3E;ITGAL;ICAM1;IL7;HLA-E;CCR5;HLA-DOB;TNF;TAP1;CCL2;TIMP1;MAP4K1;PRKCB;SOCS5;TLR3;CDKN2A;CSK;TAPBP;CD28;CCL7;LTB;HLA-G;IGSF6;IL10;IL12RB1;HCLS1;IL6;CCND3;CFP;CD2;GALNT1;ETS1;UBE2N;ACVR2A;CD3G;IFNG;CD79A;TRAT1;TLR1;CARTPT;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.010928016426642947	0.05228918846516468		0.7944361026443101	101	BMPR1B;ANKH;TMEM50A;DNAJB9;SCD;DBI;LIFR;AKAP12;MAF;SPDEF;CDC14B;STK39;ACTN1;INPP4B;PA2G4;FADS1;STEAP4;SAT1;HSD17B14;KLK2;MAP7;SLC26A2;VAPA;ELK4;RPS6KA3;GSR;CAMKK2;CENPN;DHCR24;UAP1;KLK3;HMGCS1;ARID5B;PIAS1;ADRM1;MERTK;ADAMTS1;FKBP5;KRT19;ZMIZ1;SRF;UBE2I;PGM3;PLPP1;ZBTB10;HMGCR;SMS;SELENOP;GPD1L;TPD52;TMPRSS2;B4GALT1;HOMER2;SGK1;XRCC5;IDI1;SORD;GUCY1A1;ITGAV;PTPN21;KRT8;PMEPA1;CCND1;RAB4A;ACSL3;SLC38A2;RRP12;NGLY1;MYL12A;SRP19;IQGAP2;PDLIM5;APPBP2;TSC22D1;CCND3;AZGP1;ALDH1A3;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.6370003700410138	0.776829719562212		-0.10886807229053576	36	TIMP1;ITGAV;POSTN;COL3A1;SPP1;SLCO2A1;JAG1;TNFRSF21;THBD;OLR1;LUM;NRP1;CXCL6;VTN;KCNJ8;FSTL1;VEGFA;VAV2;MSX1;LRPAP1;JAG2;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.1108843456863321	0.27721086421583024		0.2916250723082101	200	CDH8;DLG1;SGCE;KCNH2;JAM3;SYMPK;NECTIN1;NRXN2;ADAMTS5;COL17A1;CLDN11;PTPRC;VWF;MAP4K2;MMP9;SLIT2;RASA1;CDH1;FYB1;INPPL1;PFN1;SYK;NECTIN3;CRB3;CLDN7;CLDN8;HRAS;NFASC;MPZL1;ACTN1;CLDN6;EGFR;HADH;MSN;ZYX;ACTG1;TJP1;COL9A1;LAMC2;SPEG;GRB7;LAMB3;SHROOM2;THY1;CD34;MYH9;CD86;CNTN1;NECTIN2;CTNND1;NEXN;RHOF;CLDN9;PIK3R3;CDH6;AKT3;TSC1;ADAM15;AMIGO1;VCAM1;CLDN19;GNAI1;MVD;CLDN4;MYH10;CTNNA1;ALOX15B;PKD1;VCL;ACTC1;VAV2;IRS1;YWHAH;JUP;NEGR1;CD99;ITGA10;CDH11;COL16A1;KRT31;CADM2;AMIGO2;CDH4;TMEM8B;ACTN2;EXOC4;CDK8;IKBKG;LIMA1;MAPK14;RAC2;CLDN5;PARVA;RSU1;PARD6G;LAYN;WASL;STX4;MMP2;NECTIN4;CDH15;DHX16;SORBS3;PCDH1;ICAM5;B4GALT1;ARPC2;PPP2R2C;AMH;ICAM1;DMP1;ITGB1;ARHGEF6;ATP1A3;PECAM1;ACTG2;LDLRAP1;CLDN14;MAPK13;CD276;PTEN;MAP3K20;ICAM2;CADM3;RRAS;CLDN15;ITGA9;NRTN;SRC;MYL12B;FLNC;MDK;NLGN3;MAPK11;TSPAN4;NLGN2;TUBG1;FBN1;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.07506374614712573	0.20851040596423814		0.7849398007437964	44	GSTM3;TMEM8B;IL2RG;MAL;PCSK9;CRYBG1;FLOT2;BRCA1;GATA3;EFNA5;GAS1;RTN4RL1;SRPX;PKHD1;AKAP7;CROCC;RHCG;SCUBE1;EPHB4;MDGA1;LYPD3;PLAUR;B4GALT1;AFAP1L2;HSPB1;LYN;ATP6V0A4;SLC2A4;NCOA6;SHROOM2;SULF2;THY1;SLC34A3;GHRL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.4397513853228379	0.6662899777618756		0.053063869833925484	161	IER3;CASP6;ANKH;IL18;SPTAN1;GSN;GPX4;RHOT2;LMNA;IFNGR1;DPYD;BAX;IL1A;CASP7;ERBB3;CASP2;HGF;AIFM3;AVPR1A;F2;SAT1;LGALS3;TSPO;TIMP3;EBP;GSR;ERBB2;IGF2R;CCND2;BMF;LEF1;CTH;ANXA1;TNFRSF12A;BCL2L2;BRCA1;ATF3;DDIT3;TOP2A;DIABLO;KRT18;BCL2L1;CASP3;PAK1;CAV1;RNASEL;IGFBP6;MGMT;TIMP2;CASP9;BIK;GADD45B;JUN;SMAD7;CTNNB1;FAS;SATB1;BTG3;PSEN2;DAP3;SOD1;PLAT;EGR3;BTG2;MMP2;CREBBP;DCN;SLC20A1;BCAP31;CASP8;EREG;HSPB1;TXNIP;CDC25B;BCL2L11;GPX1;TNF;BID;TAP1;GNA15;ISG20;TIMP1;CLU;RHOB;ADD1;CCND1;CYLD;ROCK1;CDK2;EMP1;DNAJA1;LUM;PSEN1;CCNA1;DAP;GADD45A;IL6;PDCD4;CD14;ENO2;CDKN1B;PDGFRB;FEZ1;CD2;BNIP3L;HMGB2;CD38;CD44;GCH1;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.5392239118773072	0.7489220998295933		-0.0056377869870795775	112	APOA1;LONP2;PAOX;NUDT12;SULT2B1;PRDX5;NEDD4;SOD1;TTR;PEX7;PEX13;GNMT;BCAR3;SOAT2;DHCR24;CH25H;SLC23A1;ALDH1A1;PEX12;ABCA1;ABCD3;PEX26;HSD17B4;CYP46A1;NR0B2;ABCA2;GNPAT;NR3C2;PNPLA8;ISOC1;PXMP2;SLC23A2;ABCD1;AR;HSD17B6;ABCA8;CYP39A1;HSD3B7;PEX11G;GSTK1;SULT1B1;CROT;NPC1;IDH1;PEX11A;FADS1;RXRA;PEX16;HSD17B11;MLYCD;ATXN1;CYP8B1;TFCP2L1;AGXT;ABCA6;LCK;ABCA4;SLC35B2;EPHX2;CYP7B1;FADS2;ABCD2;PIPOX;SLCO1A2;IDH2;PHYH;IDI1;PFKM;BMP6;AMACR;NR1I2;ABCA9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.03132587642696406	0.13052448511235024		0.7511712404291626	74	FASN;PCYT2;GPX8;SQLE;ATF5;CLU;LGMN;S100A11;FDPS;CBS;TRIB3;FDFT1;DHCR7;TNFRSF12A;ACAT2;SCD;GLDC;NIBAN1;ERRFI1;PMVK;ATF3;ABCA2;FBXO6;HMGCS1;JAG1;HMGCR;HSD17B7;GNAI1;MVD;CPEB2;ANXA5;NSDHL;ETHE1;ECH1;ADH4;GUSB;NFIL3;ACTG1;AVPR1A;MAL2;PNRC1;CXCL16;MVK;PLAUR;TMEM97;LGALS3;FABP5;TM7SF2;ANXA13;ANTXR2;CHKA;EBP;FADS2;SEMA3B;IDI1;CD9;CTNNB1;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.15894152895702585	0.3784322118024425		0.29704834841243005	138	TF;GSN;MAFF;F12;FURIN;APOC3;VWF;SH2B2;MMP9;SPARC;MSRB2;THBS1;FGG;F2;CRIP2;TIMP3;TMPRSS6;MST1;CAPN2;MEP1A;PROC;PROS1;LTA4H;ITGB3;CTSO;ANXA1;LGMN;SERPING1;PRSS23;F10;PLAU;CFD;HPN;S100A13;RGN;THBD;APOC1;CPQ;C1S;CTSV;HNF4A;CASP9;S100A1;HMGCS2;PROZ;HTRA1;PLAT;GNB2;CPB2;PREP;CTSB;OLR1;CPN1;MMP2;SERPINB2;C2;CFB;GNG12;RABIF;FGA;PLEK;KLF7;P2RY1;CD9;DUSP6;CTSH;LEFTY2;APOA1;TIMP1;CLU;CTSE;ISCU;PECAM1;SERPINA1;CSRP1;C8G;GDA;SERPINC1;SIRT2;C1QA;C1R;HRG;FYN;ACOX2;ITIH1;SERPINE1;CTSK;FBN1;MMP15;LRP1;C8A;A2M;F8;DCT
