input_id	database	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__BLCA_DESeq2	hallmark	human	symbol	50	1.81	ok
tcga_cancer__BLCA_DESeq2	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__BLCA_DESeq2	c2_reactome	human	symbol	1779	2.66	ok
tcga_cancer__BLCA_DESeq2	c2_wikipathways	human	symbol	913	1.98	ok
tcga_cancer__BLCA_DESeq2	c5_go_bp	human	symbol	6987	5.7	ok
tcga_cancer__BLCA_edgeR	hallmark	human	symbol	50	1.91	ok
tcga_cancer__BLCA_edgeR	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__BLCA_edgeR	c2_reactome	human	symbol	1779	2.97	ok
tcga_cancer__BLCA_edgeR	c2_wikipathways	human	symbol	913	1.91	ok
tcga_cancer__BLCA_edgeR	c5_go_bp	human	symbol	6987	5.55	ok
tcga_cancer__BLCA_limma	hallmark	human	symbol	50	1.98	ok
tcga_cancer__BLCA_limma	c2_kegg	human	symbol	186	1.58	ok
tcga_cancer__BLCA_limma	c2_reactome	human	symbol	1779	2.63	ok
tcga_cancer__BLCA_limma	c2_wikipathways	human	symbol	913	2.01	ok
tcga_cancer__BLCA_limma	c5_go_bp	human	symbol	6987	5.53	ok
tcga_cancer__BRCA_DESeq2	hallmark	human	symbol	50	1.82	ok
tcga_cancer__BRCA_DESeq2	c2_kegg	human	symbol	186	1.57	ok
tcga_cancer__BRCA_DESeq2	c2_reactome	human	symbol	1772	2.82	ok
tcga_cancer__BRCA_DESeq2	c2_wikipathways	human	symbol	910	1.78	ok
tcga_cancer__BRCA_DESeq2	c5_go_bp	human	symbol	7007	5.33	ok
tcga_cancer__BRCA_edgeR	hallmark	human	symbol	50	1.86	ok
tcga_cancer__BRCA_edgeR	c2_kegg	human	symbol	186	1.55	ok
tcga_cancer__BRCA_edgeR	c2_reactome	human	symbol	1772	2.92	ok
tcga_cancer__BRCA_edgeR	c2_wikipathways	human	symbol	910	1.8	ok
tcga_cancer__BRCA_edgeR	c5_go_bp	human	symbol	7007	5.34	ok
tcga_cancer__BRCA_limma	hallmark	human	symbol	50	1.92	ok
tcga_cancer__BRCA_limma	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__BRCA_limma	c2_reactome	human	symbol	1772	3.29	ok
tcga_cancer__BRCA_limma	c2_wikipathways	human	symbol	910	1.85	ok
tcga_cancer__BRCA_limma	c5_go_bp	human	symbol	7007	6.25	ok
tcga_cancer__COAD_DESeq2	hallmark	human	symbol	50	1.58	ok
tcga_cancer__COAD_DESeq2	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__COAD_DESeq2	c2_reactome	human	symbol	1772	2.32	ok
tcga_cancer__COAD_DESeq2	c2_wikipathways	human	symbol	917	1.78	ok
tcga_cancer__COAD_DESeq2	c5_go_bp	human	symbol	6976	4.89	ok
tcga_cancer__COAD_edgeR	hallmark	human	symbol	50	1.71	ok
tcga_cancer__COAD_edgeR	c2_kegg	human	symbol	186	1.58	ok
tcga_cancer__COAD_edgeR	c2_reactome	human	symbol	1772	2.7	ok
tcga_cancer__COAD_edgeR	c2_wikipathways	human	symbol	917	1.85	ok
tcga_cancer__COAD_edgeR	c5_go_bp	human	symbol	6976	5.68	ok
tcga_cancer__COAD_limma	hallmark	human	symbol	50	1.84	ok
tcga_cancer__COAD_limma	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__COAD_limma	c2_reactome	human	symbol	1772	2.98	ok
tcga_cancer__COAD_limma	c2_wikipathways	human	symbol	917	1.99	ok
tcga_cancer__COAD_limma	c5_go_bp	human	symbol	6976	6.61	ok
tcga_cancer__ESCA_DESeq2	hallmark	human	symbol	50	1.94	ok
tcga_cancer__ESCA_DESeq2	c2_kegg	human	symbol	186	1.6	ok
