pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.220618556701031	0.604658266513937	1.17173959058218	NA	39	BAZ1B;RIF1;ITCH;DEK;SMAD5;SF3B1;SMARCA5;DDX21;ERCC6;JUND
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.983967935871743	1	0.574335489658976	NA	31	VEGFA;SMC3;CCSER2;MAD2L2;WAPL;SMC1A
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.891129032258065	1	0.715340117913557	NA	35	SHH;TIMP1;REST;ITGB1;LARGE2;PEX16;CD82;HLA-DMB;PHF21A;HLA-DMA;HBEGF;EXT2;HLA-DRA
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.939958592132505	1	-0.634519446307317	NA	16	SSPN;CDC42;RHOA;DAG1;RTN4;SGCB;MAPK8;ATXN1;RAC1;SPATA13;MIPEP;MAPK9;TRAF2;TRAF5;TRAF3;SNTB1
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.294545454545455	0.657472777312433	1.15523341242037	NA	9	TUBGCP3;NIPA1;CYFIP1;FMR1
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.171656686626747	0.545814620758483	1.2250015505783	NA	32	FANCI;SLF1;CANX;RELA;STXBP1;TJP1;NSMCE2
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.98021582733813	1	0.51896503944336	NA	8	FYN;SERPINH1;FAN1;CREBBP;KLF13;CCL5;MTMR10;FANCD2
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.251968503937008	0.625312079892453	1.15878114923278	NA	21	WDR73;TOP1;AP3M2;SLC2A1;NMB;RNMT;TENT4B;SPCS3;WHAMM
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.955339805825243	1	0.635928214614141	NA	17	CD81;PRMT1;SPNS1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.697916666666667	0.950006967670011	0.868537099546342	NA	59	CASP8;CCT2;CORO1A;CCT3;CCT7;TCP1;CCT6A;SEZ6L2;PARP4;PPP2CB;KCTD13;EZR;CCT4;KMT2C;CCT5;CCT8;CDIPT;PPP2R5D;MSN
